state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Alabama,1895,6.2,3.0,12.5,17.4,20.8,25.3,26.2,26.4,25.4,15.4,11.8,7.2,43.1,37.4,54.5,63.4,69.5,77.5,79.2,79.5,77.8,59.7,53.2,44.9
Alabama,1896,6.4,8.7,11.4,20.0,24.4,25.2,27.3,27.9,24.4,17.3,14.1,8.0,43.5,47.7,52.5,68.0,75.9,77.4,81.2,82.2,75.9,63.2,57.3,46.4
Alabama,1897,5.4,10.6,15.7,16.9,20.6,27.3,27.5,26.0,24.2,19.5,12.3,8.6,41.8,51.1,60.2,62.4,69.0,81.2,81.5,78.8,75.6,67.1,54.2,47.4
Alabama,1898,9.4,7.8,15.1,14.9,23.4,26.9,26.7,26.0,24.0,16.1,9.9,6.3,49.0,46.1,59.2,58.8,74.1,80.4,80.0,78.8,75.2,61.0,49.8,43.4
Alabama,1899,6.6,4.4,13.1,16.5,24.5,26.6,26.9,27.2,22.7,18.9,12.9,7.1,43.8,40.0,55.6,61.7,76.1,79.9,80.4,80.9,72.8,66.0,55.3,44.7
Alabama,1900,6.4,6.9,11.6,17.9,21.9,24.6,26.6,27.3,25.3,20.1,12.6,8.1,43.6,44.4,52.9,64.2,71.4,76.3,79.8,81.2,77.6,68.2,54.7,46.6
Alabama,1901,7.8,6.2,11.8,14.5,21.4,26.0,28.0,25.9,22.4,16.9,9.3,5.6,46.0,43.1,53.3,58.1,70.6,78.8,82.4,78.7,72.4,62.5,48.7,42.1
Alabama,1902,6.2,4.9,12.8,16.7,24.3,27.3,28.4,27.9,23.1,17.3,14.2,7.3,43.2,40.8,55.1,62.1,75.7,81.2,83.1,82.3,73.6,63.1,57.6,45.2
Alabama,1903,6.3,9.0,15.3,16.2,21.0,23.1,26.9,27.0,22.9,17.3,10.3,4.5,43.4,48.2,59.5,61.1,69.8,73.6,80.4,80.6,73.2,63.2,50.6,40.1
Alabama,1904,5.1,9.4,14.5,15.6,21.2,25.6,25.9,25.9,25.0,18.1,11.2,7.7,41.1,48.9,58.1,60.0,70.2,78.1,78.6,78.6,77.0,64.6,52.1,45.9
Alabama,1905,3.7,3.9,15.1,17.6,23.6,26.3,26.6,26.3,24.6,17.6,13.0,5.9,38.6,39.1,59.1,63.7,74.5,79.4,79.8,79.4,76.2,63.7,55.4,42.7
Alabama,1906,7.9,7.3,10.5,18.3,21.1,26.2,26.2,26.9,25.7,15.9,12.8,9.8,46.2,45.1,50.9,64.9,69.9,79.1,79.2,80.5,78.3,60.6,55.0,49.6
Alabama,1907,12.0,9.1,17.9,14.5,20.2,24.2,27.3,26.9,24.0,17.4,10.6,7.4,53.6,48.3,64.3,58.1,68.3,75.6,81.2,80.5,75.2,63.3,51.0,45.3
Alabama,1908,6.3,6.7,16.8,19.7,22.1,25.6,26.8,26.5,23.6,15.7,13.8,10.1,43.4,44.0,62.2,67.4,71.8,78.0,80.3,79.7,74.5,60.3,56.8,50.1
Alabama,1909,9.8,10.1,13.3,17.3,20.6,25.7,26.9,27.2,24.1,17.3,15.3,4.9,49.6,50.2,55.9,63.1,69.0,78.2,80.4,81.0,75.3,63.2,59.5,40.8
Alabama,1910,7.4,7.2,15.9,16.5,20.6,24.2,26.0,26.4,25.2,19.1,10.5,5.5,45.3,44.9,60.6,61.7,69.0,75.5,78.8,79.6,77.4,66.4,50.9,41.9
Alabama,1911,9.9,12.3,14.3,17.5,22.6,27.1,25.6,26.1,26.8,20.3,10.1,9.6,49.9,54.2,57.7,63.5,72.7,80.7,78.1,79.0,80.2,68.5,50.1,49.3
Alabama,1912,4.6,5.9,11.3,18.0,22.2,23.9,26.5,26.2,24.9,18.8,10.1,8.3,40.2,42.7,52.3,64.4,72.0,75.1,79.7,79.1,76.9,65.9,50.2,46.9
Alabama,1913,10.7,8.2,12.8,16.7,21.9,25.4,27.4,27.0,22.9,16.0,13.2,8.6,51.2,46.8,55.0,62.0,71.4,77.8,81.3,80.6,73.2,60.8,55.8,47.4
Alabama,1914,8.3,7.4,10.0,17.7,22.0,28.4,27.7,26.2,22.9,17.7,11.3,6.0,47.0,45.4,50.0,63.8,71.6,83.1,81.8,79.2,73.2,63.8,52.3,42.8
Alabama,1915,5.8,8.8,8.0,17.9,23.5,25.8,26.9,26.2,24.7,19.1,13.5,7.8,42.5,47.8,46.4,64.3,74.3,78.5,80.4,79.1,76.4,66.3,56.3,46.1
Alabama,1916,11.0,8.2,12.1,16.6,22.8,25.1,25.9,26.6,23.1,17.9,12.2,8.2,51.8,46.8,53.8,61.8,73.0,77.1,78.6,79.8,73.6,64.2,54.0,46.8
Alabama,1917,9.8,9.1,13.6,17.6,18.9,25.4,26.6,25.8,22.9,14.7,10.3,4.3,49.7,48.4,56.4,63.6,66.0,77.8,79.8,78.4,73.2,58.5,50.6,39.8
Alabama,1918,3.0,11.8,16.6,16.1,22.6,26.4,25.7,26.8,21.3,20.3,11.4,9.9,37.4,53.2,61.8,60.9,72.6,79.6,78.2,80.3,70.4,68.6,52.6,49.8
Alabama,1919,6.7,8.6,13.4,16.8,20.6,25.7,26.5,26.2,23.9,23.3,13.9,8.3,44.0,47.5,56.1,62.3,69.0,78.2,79.7,79.2,75.1,74.0,57.0,47.0
Alabama,1920,8.3,7.9,11.2,16.8,21.3,24.9,26.3,25.3,24.9,17.7,10.3,7.1,46.9,46.2,52.1,62.2,70.4,76.9,79.4,77.6,76.8,63.8,50.6,44.7
Alabama,1921,9.6,10.2,17.4,16.6,21.1,26.9,27.4,26.9,27.2,16.9,14.2,10.3,49.3,50.3,63.4,61.8,69.9,80.5,81.4,80.4,80.9,62.4,57.6,50.6
Alabama,1922,8.0,12.1,13.0,19.1,22.0,25.8,26.6,26.0,25.0,18.1,13.6,11.8,46.4,53.8,55.4,66.3,71.6,78.5,79.8,78.8,77.0,64.6,56.5,53.3
Alabama,1923,10.5,8.2,12.3,17.1,20.6,24.8,25.8,25.9,24.3,17.2,10.6,11.9,50.9,46.8,54.2,62.8,69.1,76.6,78.5,78.7,75.8,63.0,51.1,53.5
Alabama,1924,4.8,8.1,10.2,17.0,19.6,26.4,26.5,27.5,22.4,17.8,12.8,8.6,40.6,46.5,50.4,62.6,67.3,79.5,79.7,81.5,72.4,64.0,55.1,47.4
Alabama,1925,8.4,11.2,14.0,19.6,20.8,27.0,27.6,26.9,28.4,18.2,11.0,6.7,47.1,52.2,57.2,67.3,69.4,80.6,81.6,80.4,83.1,64.8,51.8,44.0
Alabama,1926,6.6,10.1,9.4,15.8,21.1,25.2,26.2,26.8,26.1,18.9,9.7,10.2,43.8,50.1,49.0,60.4,70.0,77.3,79.1,80.3,79.0,66.0,49.4,50.4
Alabama,1927,8.8,14.3,13.3,19.8,22.6,25.6,27.0,25.6,25.1,19.2,15.2,7.7,47.8,57.7,56.0,67.6,72.6,78.0,80.6,78.0,77.1,66.5,59.3,45.8
Alabama,1928,6.7,8.5,12.9,15.1,20.6,24.3,26.9,27.0,22.7,19.6,11.3,7.6,44.0,47.3,55.2,59.2,69.1,75.8,80.5,80.6,72.9,67.2,52.3,45.7
Alabama,1929,8.9,7.4,14.8,19.1,21.7,25.0,26.6,26.6,23.6,16.8,12.2,6.8,48.1,45.4,58.7,66.4,71.1,77.0,79.8,79.9,74.4,62.3,53.9,44.2
Alabama,1930,7.1,11.7,10.9,18.1,22.4,24.9,28.6,26.2,24.7,16.4,11.6,5.9,44.8,53.1,51.6,64.6,72.3,76.8,83.4,79.1,76.4,61.5,52.9,42.7
Alabama,1931,6.5,9.4,9.5,16.0,19.9,26.2,27.3,25.2,26.1,19.7,15.4,12.4,43.7,48.9,49.1,60.8,67.9,79.2,81.2,77.4,78.9,67.5,59.7,54.3
Alabama,1932,11.1,13.8,10.4,17.7,20.8,25.8,28.0,26.8,23.5,16.7,9.4,9.5,51.9,56.9,50.7,63.9,69.4,78.5,82.4,80.2,74.3,62.0,48.9,49.1
Alabama,1933,10.8,8.9,12.7,16.7,24.2,25.6,26.1,26.4,26.0,18.4,12.1,12.7,51.4,48.1,54.9,62.0,75.6,78.0,79.0,79.6,78.8,65.2,53.7,54.9
Alabama,1934,9.1,6.6,11.7,17.4,21.8,26.3,27.3,26.7,23.3,18.8,13.2,7.1,48.3,43.8,53.0,63.4,71.2,79.4,81.2,80.1,74.0,65.8,55.8,44.8
Alabama,1935,8.2,9.2,15.8,17.6,22.2,24.6,27.0,27.2,23.4,18.9,12.6,3.9,46.7,48.5,60.4,63.7,71.9,76.3,80.6,80.9,74.1,66.0,54.7,39.1
Alabama,1936,6.2,6.9,14.6,16.2,22.6,26.8,27.3,26.8,25.4,18.9,11.0,9.3,43.1,44.5,58.3,61.2,72.7,80.3,81.2,80.2,77.7,66.0,51.8,48.7
Alabama,1937,13.9,8.6,11.2,16.9,22.3,26.4,26.3,26.8,22.7,16.6,10.1,7.4,57.0,47.5,52.1,62.5,72.2,79.6,79.4,80.3,72.8,61.8,50.1,45.4
Alabama,1938,7.9,12.2,16.7,17.2,22.3,24.8,26.6,27.1,23.4,18.4,12.7,7.7,46.2,54.0,62.0,63.0,72.1,76.6,79.8,80.8,74.2,65.2,54.8,45.8
Alabama,1939,9.3,10.9,14.3,16.3,21.1,25.7,26.7,25.4,24.7,18.6,10.5,8.8,48.8,51.7,57.8,61.4,70.0,78.3,80.1,77.8,76.4,65.5,50.9,47.8
Alabama,1940,0.1,6.9,12.2,16.3,20.0,24.7,25.5,26.4,22.6,18.2,11.7,10.1,32.1,44.4,53.9,61.3,68.0,76.4,77.9,79.6,72.6,64.7,53.1,50.1
Alabama,1941,7.9,5.9,9.4,18.2,22.6,25.6,26.7,26.7,25.2,21.6,11.6,9.3,46.2,42.7,49.0,64.8,72.7,78.0,80.0,80.1,77.3,70.9,52.8,48.7
Alabama,1942,5.8,6.2,12.2,17.6,21.4,25.4,26.8,25.4,22.4,18.1,13.3,8.6,42.5,43.2,53.9,63.6,70.5,77.8,80.3,77.8,72.4,64.6,56.0,47.4
Alabama,1943,8.7,9.7,11.6,17.2,22.9,27.2,27.3,27.4,22.1,16.4,10.4,7.4,47.7,49.4,52.8,62.9,73.3,80.9,81.1,81.4,71.7,61.5,50.8,45.4
Alabama,1944,7.3,12.2,13.3,16.4,22.3,26.8,26.3,26.0,24.1,17.2,11.9,6.9,45.2,54.0,56.0,61.6,72.1,80.2,79.3,78.8,75.3,63.0,53.4,44.4
Alabama,1945,7.1,10.8,17.4,18.6,20.2,25.7,26.3,26.3,25.1,17.0,13.1,4.7,44.8,51.4,63.4,65.4,68.4,78.2,79.4,79.4,77.1,62.6,55.6,40.5
Alabama,1946,8.1,9.9,15.5,18.8,21.0,24.3,25.9,25.2,22.4,17.7,15.2,10.2,46.5,49.8,59.9,65.9,69.8,75.7,78.6,77.3,72.4,63.8,59.3,50.3
Alabama,1947,9.6,5.1,9.3,18.3,20.8,24.8,24.9,27.0,24.5,20.5,11.0,8.4,49.3,41.1,48.7,65.0,69.5,76.7,76.9,80.6,76.1,68.9,51.8,47.2
Alabama,1948,3.6,10.1,14.4,19.3,21.8,26.0,26.9,25.8,22.5,16.1,13.1,9.7,38.5,50.2,57.9,66.7,71.3,78.8,80.5,78.4,72.5,61.0,55.5,49.5
Alabama,1949,11.5,11.4,12.1,16.3,22.3,25.1,26.8,26.1,22.4,20.6,11.0,9.2,52.7,52.6,53.7,61.4,72.1,77.2,80.3,78.9,72.4,69.0,51.8,48.6
Alabama,1950,14.9,11.8,11.2,15.1,23.2,25.3,25.3,25.1,22.3,18.9,9.2,5.1,58.9,53.2,52.2,59.2,73.7,77.6,77.5,77.1,72.1,66.1,48.6,41.2
Alabama,1951,8.2,9.6,13.4,16.2,21.2,25.8,27.1,28.0,24.2,18.8,9.3,9.9,46.8,49.3,56.1,61.1,70.2,78.4,80.8,82.4,75.6,65.9,48.7,49.9
Alabama,1952,11.3,10.6,11.8,16.1,21.9,27.8,27.9,26.5,22.3,14.2,11.1,7.4,52.4,51.1,53.3,61.0,71.5,82.0,82.3,79.7,72.1,57.6,51.9,45.3
Alabama,1953,9.4,9.4,14.5,15.9,23.2,27.0,26.4,26.1,23.2,18.5,11.2,6.9,49.0,48.9,58.1,60.6,73.8,80.6,79.6,79.0,73.7,65.3,52.1,44.4
Alabama,1954,8.3,11.1,12.1,19.7,19.0,26.1,28.0,28.6,25.7,18.4,10.5,7.0,46.9,52.0,53.8,67.5,66.2,79.0,82.4,83.4,78.2,65.2,50.9,44.6
