state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Arizona,1895,4.7,6.4,10.0,14.6,18.8,22.0,25.7,25.4,21.9,16.2,7.8,3.1,40.4,43.5,50.0,58.3,65.8,71.6,78.3,77.8,71.5,61.2,46.0,37.5
Arizona,1896,7.0,7.4,10.7,12.9,18.8,25.5,25.8,25.2,21.9,16.0,9.1,6.3,44.6,45.3,51.3,55.2,65.8,77.9,78.5,77.3,71.5,60.8,48.3,43.3
Arizona,1897,5.1,5.4,7.3,14.1,20.1,22.6,26.0,26.1,22.3,14.7,10.2,3.6,41.2,41.8,45.1,57.4,68.1,72.7,78.8,79.0,72.2,58.5,50.3,38.4
Arizona,1898,1.7,8.3,8.3,16.5,17.6,24.4,27.2,26.4,22.8,15.9,9.0,2.1,35.1,46.9,47.0,61.7,63.6,75.9,81.0,79.5,73.0,60.6,48.2,35.7
Arizona,1899,3.3,6.2,10.1,14.6,16.3,23.7,26.8,24.4,23.9,15.0,10.6,6.1,38.0,43.2,50.1,58.3,61.4,74.7,80.2,76.0,75.1,59.0,51.0,43.0
Arizona,1900,7.5,7.7,12.8,11.6,19.5,24.5,27.2,23.9,20.2,15.9,10.6,5.7,45.5,45.9,55.0,52.9,67.1,76.1,81.0,75.0,68.3,60.6,51.1,42.3
Arizona,1901,5.3,7.4,9.3,12.7,18.7,22.7,28.0,26.4,21.9,16.7,11.5,5.7,41.5,45.3,48.8,54.8,65.6,72.8,82.4,79.6,71.4,62.1,52.7,42.3
Arizona,1902,5.5,7.6,7.8,15.3,18.6,24.9,25.4,25.6,22.3,17.1,9.4,4.9,41.9,45.7,46.0,59.5,65.4,76.8,77.8,78.0,72.1,62.8,48.9,40.9
Arizona,1903,5.2,3.4,9.7,13.6,17.9,23.4,26.5,26.4,21.6,15.9,11.2,5.1,41.4,38.1,49.4,56.4,64.3,74.2,79.7,79.6,70.8,60.6,52.2,41.2
Arizona,1904,3.2,9.2,11.7,14.3,18.9,23.7,25.7,25.2,21.6,15.5,10.1,5.3,37.7,48.6,53.0,57.7,66.0,74.6,78.3,77.4,70.9,59.9,50.1,41.6
Arizona,1905,6.2,7.0,10.4,12.9,16.2,22.8,26.0,26.3,22.6,15.6,9.3,3.2,43.1,44.6,50.7,55.3,61.1,73.1,78.8,79.4,72.7,60.0,48.8,37.8
Arizona,1906,3.9,8.7,9.9,13.2,17.7,22.8,26.8,24.3,21.3,15.6,8.9,7.1,39.0,47.6,49.8,55.7,63.9,73.1,80.2,75.8,70.3,60.0,48.0,44.8
Arizona,1907,5.7,9.8,10.6,14.7,16.3,21.0,26.1,24.9,21.9,16.3,9.3,6.4,42.2,49.7,51.0,58.5,61.4,69.8,78.9,76.8,71.5,61.3,48.8,43.5
Arizona,1908,6.1,6.8,10.9,14.0,16.2,22.2,26.3,25.2,21.4,13.8,9.9,5.4,42.9,44.2,51.6,57.2,61.1,71.9,79.4,77.3,70.6,56.8,49.9,41.8
Arizona,1909,7.4,6.4,8.0,13.4,16.9,23.9,26.4,24.9,21.1,16.1,9.8,2.1,45.4,43.5,46.4,56.1,62.4,75.0,79.6,76.8,70.0,60.9,49.6,35.8
Arizona,1910,4.7,6.3,13.0,15.1,20.2,24.2,26.8,26.3,23.7,16.3,10.8,7.1,40.4,43.4,55.4,59.2,68.3,75.6,80.3,79.3,74.7,61.4,51.5,44.7
Arizona,1911,7.4,6.2,11.7,13.6,17.7,23.1,25.4,25.5,22.6,15.1,8.2,2.2,45.3,43.1,53.0,56.5,63.8,73.5,77.7,77.9,72.7,59.1,46.8,35.9
