state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Arkansas,1895,2.3,0.6,10.7,16.8,20.2,24.8,25.9,26.0,24.7,13.2,8.7,5.3,36.1,33.0,51.2,62.2,68.3,76.7,78.7,78.8,76.4,55.7,47.6,41.6
Arkansas,1896,4.6,6.6,8.7,19.7,23.4,25.2,28.5,27.9,22.7,15.3,10.9,7.0,40.2,43.9,47.7,67.4,74.2,77.3,83.3,82.2,72.9,59.6,51.6,44.6
Arkansas,1897,3.2,7.7,12.8,15.8,19.8,25.4,27.9,26.1,24.2,19.0,9.7,3.8,37.7,45.8,55.1,60.5,67.7,77.7,82.2,78.9,75.6,66.2,49.4,38.8
Arkansas,1898,6.6,6.8,11.8,14.2,22.0,25.8,26.4,26.1,23.7,15.1,7.9,3.2,43.8,44.2,53.3,57.6,71.6,78.5,79.6,78.9,74.6,59.1,46.3,37.8
Arkansas,1899,3.4,-0.3,9.9,15.3,22.6,25.0,26.2,27.9,21.9,18.1,11.7,4.7,38.2,31.4,49.8,59.6,72.7,77.0,79.1,82.2,71.4,64.6,53.1,40.5
Arkansas,1900,5.6,3.9,10.3,16.3,20.4,24.7,26.3,27.0,25.1,18.4,10.4,6.3,42.1,39.1,50.5,61.3,68.8,76.5,79.3,80.6,77.2,65.2,50.7,43.4
Arkansas,1901,6.7,4.3,10.1,14.1,19.8,26.0,28.8,26.8,22.1,17.1,9.3,3.1,44.0,39.8,50.2,57.4,67.7,78.8,83.9,80.3,71.8,62.7,48.8,37.5
Arkansas,1902,2.7,1.1,10.9,15.8,22.8,25.2,26.4,27.0,20.0,16.3,12.7,4.0,36.8,34.0,51.7,60.4,73.0,77.3,79.6,80.6,68.0,61.4,54.8,39.2
Arkansas,1903,3.8,4.4,12.1,15.3,19.6,21.3,26.2,25.8,21.1,15.5,7.9,3.5,38.8,40.0,53.8,59.6,67.3,70.3,79.2,78.4,70.0,59.9,46.2,38.3
Arkansas,1904,3.0,6.3,12.2,13.3,19.3,23.9,25.2,25.4,23.6,16.5,9.8,5.0,37.4,43.4,54.0,55.9,66.8,75.1,77.4,77.7,74.4,61.7,49.6,41.0
Arkansas,1905,-0.1,-0.6,13.3,15.6,21.2,25.2,24.7,26.0,23.2,15.7,11.1,2.9,31.9,31.0,55.9,60.1,70.2,77.4,76.5,78.8,73.7,60.3,51.9,37.3
Arkansas,1906,5.2,4.7,6.6,17.1,20.3,24.4,24.7,25.4,24.1,14.2,9.3,7.5,41.4,40.5,43.8,62.7,68.5,76.0,76.5,77.7,75.4,57.5,48.7,45.5
Arkansas,1907,9.1,6.6,16.1,12.2,17.5,23.7,27.2,27.7,22.9,16.2,8.6,6.3,48.4,43.8,60.9,54.0,63.5,74.7,80.9,81.8,73.3,61.1,47.5,43.4
Arkansas,1908,4.6,6.2,14.7,17.1,20.8,24.4,26.1,26.1,22.8,14.7,11.3,7.2,40.3,43.2,58.4,62.7,69.5,75.9,79.0,78.9,73.0,58.4,52.4,44.9
Arkansas,1909,6.0,7.9,10.9,15.6,19.1,24.7,27.5,27.7,23.3,16.7,14.4,1.3,42.8,46.3,51.7,60.0,66.4,76.5,81.5,81.9,74.0,62.0,58.0,34.4
Arkansas,1910,4.9,3.2,15.1,14.9,18.7,23.2,26.2,25.9,24.5,16.9,10.0,4.1,40.8,37.7,59.2,58.8,65.6,73.7,79.1,78.7,76.1,62.5,50.0,39.4
Arkansas,1911,7.9,9.4,12.9,15.3,21.3,26.9,25.6,25.4,25.7,16.8,7.6,5.5,46.3,49.0,55.3,59.5,70.3,80.4,78.1,77.7,78.3,62.2,45.6,41.9
Arkansas,1912,0.5,2.7,6.9,16.1,20.7,22.7,27.1,25.7,23.3,17.1,9.4,4.6,32.9,36.8,44.5,60.9,69.2,72.9,80.8,78.3,74.0,62.7,48.9,40.2
Arkansas,1913,5.8,4.3,9.1,15.6,20.3,24.9,27.3,27.5,21.8,15.1,13.2,5.8,42.4,39.8,48.4,60.1,68.6,76.8,81.2,81.5,71.2,59.2,55.8,42.5
