state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
California,1895,4.7,7.8,8.8,12.1,16.3,20.3,22.4,22.4,18.7,15.6,9.0,5.0,40.5,46.0,47.8,53.7,61.3,68.6,72.4,72.3,65.7,60.0,48.2,41.0
California,1896,7.5,8.4,9.8,9.4,14.9,21.6,24.3,22.8,19.1,15.6,8.7,7.6,45.5,47.1,49.7,49.0,58.9,70.9,75.8,73.0,66.4,60.0,47.7,45.6
California,1897,5.6,5.7,6.2,13.3,17.7,20.0,23.3,23.8,19.6,13.5,9.2,5.3,42.0,42.2,43.1,56.0,63.8,68.0,73.9,74.8,67.2,56.3,48.6,41.6
California,1898,3.0,8.4,7.7,13.8,14.8,20.4,23.3,23.8,20.1,15.0,9.2,5.2,37.4,47.2,45.8,56.9,58.6,68.7,74.0,74.9,68.1,59.0,48.5,41.3
California,1899,6.6,7.0,8.8,12.6,13.6,20.2,23.3,20.5,21.4,13.2,10.4,6.0,43.9,44.6,47.8,54.7,56.5,68.4,74.0,68.9,70.5,55.8,50.8,42.8
California,1900,7.6,8.3,11.6,10.6,16.6,21.0,23.5,21.1,17.7,14.2,11.1,6.8,45.6,46.9,52.9,51.1,61.9,69.8,74.3,69.9,63.8,57.6,51.9,44.2
California,1901,5.3,7.3,9.8,10.8,15.5,19.7,23.7,23.8,18.4,16.1,11.1,6.8,41.5,45.2,49.7,51.5,59.9,67.4,74.7,74.8,65.1,60.9,52.0,44.2
California,1902,5.3,7.8,7.6,11.4,14.6,20.6,22.4,22.2,20.6,14.5,8.4,5.7,41.5,46.1,45.6,52.5,58.2,69.1,72.4,72.0,69.0,58.1,47.2,42.3
California,1903,5.6,3.6,8.2,10.9,15.9,20.7,21.7,22.8,19.4,16.0,10.5,6.2,42.0,38.4,46.8,51.6,60.6,69.2,71.1,73.1,66.9,60.8,50.9,43.1
California,1904,5.3,7.4,8.7,12.0,17.1,20.7,22.7,23.6,20.4,14.6,10.7,6.2,41.6,45.3,47.6,53.6,62.8,69.2,72.8,74.5,68.8,58.3,51.3,43.2
California,1905,7.6,8.3,10.3,12.5,13.8,19.1,23.8,23.1,20.0,14.6,9.1,4.8,45.7,47.0,50.6,54.5,56.9,66.4,74.8,73.6,68.0,58.3,48.4,40.7
California,1906,6.6,9.3,8.9,11.5,14.1,18.6,25.2,23.1,20.0,15.8,8.7,6.2,43.8,48.7,48.0,52.7,57.4,65.5,77.3,73.6,68.0,60.4,47.6,43.2
California,1907,4.4,9.9,7.8,13.1,14.9,18.2,22.8,21.7,18.4,15.4,9.9,7.0,40.0,49.9,46.0,55.5,58.8,64.8,73.0,71.0,65.1,59.8,49.8,44.6
California,1908,6.6,6.1,9.2,12.9,13.3,18.1,24.8,22.8,19.6,13.3,10.1,4.8,43.8,43.0,48.5,55.3,56.0,64.5,76.6,73.1,67.3,55.9,50.1,40.7
California,1909,7.3,6.4,7.6,12.6,14.7,20.1,22.4,22.8,19.7,14.4,9.1,4.4,45.1,43.6,45.7,54.7,58.5,68.2,72.3,73.1,67.4,57.9,48.3,39.9
California,1910,3.8,5.9,11.2,14.0,17.7,19.3,23.9,22.9,19.7,15.5,9.9,7.2,38.8,42.6,52.2,57.2,63.9,66.8,75.0,73.3,67.4,59.9,49.8,45.0
California,1911,6.1,4.6,9.9,11.1,13.9,19.3,24.0,21.8,17.8,13.9,9.0,4.4,43.0,40.2,49.9,51.9,57.1,66.7,75.2,71.2,64.1,57.1,48.2,39.9
California,1912,6.6,8.1,7.4,9.7,15.4,19.7,22.0,21.5,18.8,12.8,9.8,5.2,43.8,46.5,45.4,49.5,59.7,67.5,71.6,70.7,65.8,55.0,49.7,41.3
California,1913,3.8,6.1,8.0,11.6,15.8,18.6,23.1,23.9,21.1,15.4,10.1,5.7,38.8,43.0,46.4,52.8,60.4,65.4,73.5,75.0,70.0,59.7,50.1,42.3
California,1914,6.9,7.5,11.4,12.6,16.3,19.3,23.1,23.1,19.0,15.1,11.0,3.8,44.4,45.5,52.6,54.6,61.4,66.8,73.6,73.6,66.2,59.1,51.8,38.9
California,1915,5.2,6.8,10.3,12.4,13.9,19.7,22.9,23.8,19.1,15.7,9.0,6.2,41.4,44.2,50.6,54.4,57.0,67.4,73.2,74.8,66.4,60.2,48.2,43.1
California,1916,3.4,8.7,10.8,13.1,14.3,19.1,22.6,22.1,19.3,12.1,7.7,4.1,38.1,47.6,51.4,55.6,57.8,66.4,72.6,71.7,66.8,53.8,45.9,39.3
California,1917,2.6,6.1,6.4,10.8,13.1,20.7,25.2,23.4,20.4,17.0,10.6,8.1,36.6,42.9,43.6,51.4,55.5,69.2,77.3,74.1,68.7,62.6,51.1,46.5
California,1918,6.1,6.4,9.2,12.2,14.0,23.3,22.8,22.4,20.0,16.0,8.6,4.7,42.9,43.5,48.6,53.9,57.2,73.9,73.1,72.3,68.0,60.8,47.4,40.5
