state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Colorado,1895,-5.8,-7.1,-0.2,6.9,10.9,14.7,17.3,18.3,14.9,7.3,-1.6,-6.2,21.6,19.2,31.7,44.5,51.6,58.5,63.2,64.9,58.8,45.1,29.2,20.9
Colorado,1896,-2.6,-2.7,-0.2,6.4,11.7,17.7,19.4,18.8,13.6,7.1,-1.7,-1.8,27.4,27.1,31.6,43.6,53.1,63.8,67.0,65.9,56.5,44.7,29.0,28.8
Colorado,1897,-5.8,-4.1,-1.0,5.7,13.1,16.3,18.8,17.9,16.0,7.9,1.5,-6.2,21.5,24.7,30.2,42.3,55.5,61.4,65.8,64.3,60.8,46.3,34.7,20.9
Colorado,1898,-7.0,-1.7,-1.2,6.8,9.6,16.5,19.4,19.2,13.1,6.1,-1.4,-7.9,19.4,28.9,29.9,44.3,49.2,61.7,67.0,66.5,55.5,43.0,29.4,17.8
Colorado,1899,-6.0,-8.6,-0.4,6.3,10.7,16.2,18.8,18.1,14.8,7.0,2.8,-5.2,21.2,16.5,31.2,43.4,51.2,61.1,65.9,64.6,58.6,44.6,37.0,22.7
Colorado,1900,-2.1,-3.7,2.7,4.7,11.9,17.6,19.2,18.3,13.2,8.7,1.6,-2.7,28.3,25.3,36.9,40.5,53.5,63.7,66.5,64.9,55.7,47.6,34.8,27.2
Colorado,1901,-3.8,-4.1,0.0,5.2,11.8,16.1,21.1,19.1,13.6,8.8,2.9,-3.5,25.2,24.7,32.0,41.4,53.3,61.0,70.0,66.3,56.5,47.9,37.3,25.7
Colorado,1902,-4.1,-1.4,-0.3,6.7,12.1,16.9,18.0,18.7,13.1,8.3,1.1,-4.4,24.6,29.5,31.5,44.0,53.7,62.4,64.4,65.7,55.5,46.9,34.0,24.1
Colorado,1903,-4.1,-9.2,-0.3,5.5,9.7,14.1,18.8,18.3,12.7,8.0,1.4,-3.1,24.7,15.5,31.5,41.9,49.4,57.4,65.9,65.0,54.8,46.4,34.6,26.4
Colorado,1904,-5.7,0.0,2.7,6.3,10.9,14.3,17.7,17.8,14.1,7.8,2.0,-3.1,21.8,32.0,36.9,43.4,51.6,57.8,63.9,64.0,57.4,46.0,35.6,26.4
Colorado,1905,-4.9,-6.2,3.2,5.0,9.6,16.7,17.9,18.8,14.7,5.9,1.9,-5.8,23.1,20.8,37.7,41.0,49.2,62.0,64.2,65.9,58.4,42.7,35.4,21.5
Colorado,1906,-3.6,-1.6,-2.1,6.3,10.9,15.1,17.2,17.5,13.4,6.5,0.3,-0.3,25.5,29.1,28.3,43.4,51.6,59.2,63.0,63.5,56.1,43.7,32.6,31.5
Colorado,1907,-2.6,1.4,4.6,5.5,7.9,14.2,18.8,17.9,13.9,9.1,0.2,-3.4,27.3,34.5,40.2,41.9,46.3,57.5,65.9,64.3,57.1,48.4,32.3,25.8
Colorado,1908,-4.2,-2.8,2.7,6.6,9.2,15.0,18.6,17.6,14.6,6.0,-0.4,-5.4,24.5,27.0,36.9,43.9,48.6,59.0,65.5,63.6,58.2,42.8,31.2,22.3
Colorado,1909,-2.5,-3.6,-0.3,3.8,9.1,16.1,19.7,19.2,13.4,8.2,1.7,-9.5,27.5,25.5,31.5,38.9,48.4,60.9,67.4,66.5,56.2,46.8,35.1,14.9
Colorado,1910,-4.9,-4.6,5.7,7.3,10.7,16.9,19.9,18.1,15.2,8.6,3.3,-2.3,23.2,23.8,42.3,45.2,51.2,62.4,67.9,64.6,59.4,47.4,38.0,27.8
Colorado,1911,-1.1,-3.5,3.3,6.1,11.7,17.2,18.2,17.7,15.3,6.2,-1.3,-7.0,30.0,25.7,37.9,43.0,53.0,62.9,64.7,63.8,59.5,43.2,29.7,19.4
Colorado,1912,-5.9,-3.8,-2.3,4.2,10.4,14.5,18.2,17.5,10.6,6.8,1.3,-6.1,21.3,25.2,27.8,39.6,50.7,58.1,64.7,63.5,51.0,44.2,34.3,21.0
Colorado,1913,-6.7,-6.2,-0.8,6.2,12.0,15.8,18.9,19.4,12.2,6.0,3.0,-7.7,19.9,20.8,30.5,43.2,53.6,60.4,66.0,67.0,54.0,42.8,37.4,18.1
Colorado,1914,-3.3,-4.6,1.0,6.2,11.4,16.6,18.8,18.1,14.8,8.2,2.8,-7.3,26.0,23.8,33.8,43.2,52.6,61.8,65.9,64.5,58.7,46.8,37.0,18.8
Colorado,1915,-6.6,-2.2,-1.5,7.7,8.9,14.2,17.6,16.4,13.4,8.3,1.4,-3.4,20.2,28.0,29.3,45.9,48.1,57.6,63.7,61.6,56.1,46.9,34.6,25.9
Colorado,1916,-6.1,-1.8,3.4,5.6,10.1,15.4,19.8,17.5,13.0,6.8,-0.9,-6.4,21.1,28.8,38.2,42.0,50.2,59.8,67.6,63.5,55.4,44.3,30.4,20.5
Colorado,1917,-6.9,-3.2,-2.6,3.7,7.3,15.1,19.8,16.9,14.1,6.6,3.3,-1.4,19.6,26.3,27.4,38.6,45.2,59.1,67.6,62.5,57.4,43.9,37.9,29.4
Colorado,1918,-7.4,-2.4,3.5,3.6,10.9,18.5,18.7,18.1,12.7,8.9,-1.3,-5.3,18.6,27.7,38.3,38.5,51.6,65.3,65.6,64.6,54.8,48.1,29.6,22.5
Colorado,1919,-7.1,-5.4,0.2,6.2,11.3,15.9,20.2,19.1,15.4,5.6,-0.8,-5.6,19.3,22.2,32.4,43.1,52.4,60.6,68.4,66.4,59.8,42.0,30.5,22.0
Colorado,1920,-3.5,-1.9,-0.1,1.9,11.0,15.6,19.0,16.7,13.3,7.5,-0.2,-4.7,25.7,28.6,31.9,35.4,51.8,60.0,66.2,62.0,56.0,45.5,31.6,23.6
Colorado,1921,-2.8,-1.4,3.4,4.4,11.1,16.1,19.2,18.0,14.5,9.8,2.4,-1.3,26.9,29.4,38.1,39.9,52.0,61.0,66.6,64.4,58.1,49.6,36.3,29.7
Colorado,1922,-6.9,-3.8,-0.1,4.4,10.7,17.4,19.2,19.5,15.3,8.1,-0.3,-2.4,19.5,25.2,31.8,39.9,51.3,63.4,66.5,67.1,59.6,46.6,31.4,27.6
Colorado,1923,-1.6,-4.7,-1.9,5.3,10.8,15.6,19.6,17.2,12.7,5.1,1.2,-4.3,29.2,23.5,28.5,41.5,51.4,60.1,67.2,63.0,54.8,41.2,34.1,24.2
Colorado,1924,-7.3,-0.8,-3.7,4.9,9.3,16.6,18.7,18.3,13.1,8.3,1.7,-7.9,18.9,30.5,25.4,40.8,48.8,61.9,65.6,64.9,55.6,46.9,35.0,17.8
Colorado,1925,-7.6,-1.0,2.8,7.7,12.6,16.6,19.6,17.3,14.2,5.8,-0.2,-3.4,18.3,30.2,37.1,45.8,54.7,61.8,67.3,63.1,57.6,42.4,31.6,25.8
Colorado,1926,-5.7,-0.3,0.6,6.1,11.4,16.3,18.4,18.7,13.9,8.8,1.2,-5.1,21.8,31.5,33.0,43.0,52.5,61.4,65.2,65.7,57.0,47.9,34.2,22.8
Colorado,1927,-2.7,-1.1,0.0,6.3,12.1,15.6,18.6,16.3,13.4,8.6,3.0,-6.7,27.2,30.0,32.0,43.4,53.7,60.1,65.5,61.4,56.2,47.5,37.4,19.9
Colorado,1928,-2.7,-2.8,2.2,4.5,11.7,14.1,18.7,17.4,13.8,8.1,0.3,-5.6,27.2,26.9,36.0,40.1,53.0,57.4,65.6,63.3,56.8,46.5,32.5,21.9
Colorado,1929,-6.2,-7.7,0.4,4.8,10.2,16.0,19.6,18.7,12.6,7.7,-3.3,-2.4,20.8,18.2,32.7,40.6,50.3,60.8,67.3,65.6,54.6,45.8,26.1,27.7
Colorado,1930,-10.0,0.6,-0.3,8.8,9.6,16.4,19.4,18.4,13.7,7.2,-0.3,-6.2,14.0,33.0,31.5,47.9,49.3,61.6,67.0,65.1,56.7,45.0,31.5,20.9
Colorado,1931,-4.2,-0.4,-0.7,6.0,9.9,18.1,20.5,18.6,15.9,9.2,-0.9,-5.4,24.4,31.2,30.7,42.8,49.8,64.5,68.9,65.4,60.7,48.5,30.4,22.2
Colorado,1932,-7.6,-0.6,-1.6,6.6,11.8,15.4,20.2,18.9,13.9,6.9,1.8,-8.1,18.4,31.0,29.2,43.8,53.2,59.8,68.3,66.1,57.0,44.5,35.3,17.5
Colorado,1933,-4.4,-7.0,2.1,4.0,9.5,18.4,20.6,18.1,16.2,9.6,2.7,-0.1,24.0,19.4,35.8,39.2,49.1,65.1,69.0,64.5,61.1,49.3,36.8,31.8
Colorado,1934,-1.5,0.5,3.8,8.0,14.7,17.2,21.4,19.9,13.0,10.0,2.1,-2.7,29.3,32.9,38.9,46.4,58.5,63.0,70.6,67.8,55.4,50.0,35.8,27.1
Colorado,1935,-1.7,-1.2,1.8,5.4,8.5,16.3,20.3,19.3,14.3,7.7,0.1,-3.2,29.0,29.9,35.3,41.7,47.3,61.4,68.6,66.7,57.8,45.9,32.1,26.3
Colorado,1936,-4.7,-4.6,1.8,6.6,12.8,18.3,20.9,19.4,14.0,7.0,0.9,-2.9,23.6,23.7,35.3,43.9,55.0,65.0,69.6,66.9,57.2,44.6,33.7,26.8
Colorado,1937,-10.7,-3.7,-0.1,5.6,12.2,15.8,20.1,20.2,15.2,8.6,1.4,-3.2,12.8,25.3,31.8,42.1,54.0,60.4,68.1,68.4,59.4,47.5,34.5,26.2
Colorado,1938,-3.5,-1.7,2.2,6.1,10.2,16.6,18.9,19.6,14.8,9.3,-1.9,-3.3,25.7,29.0,35.9,42.9,50.3,61.9,66.1,67.2,58.6,48.8,28.6,26.1
Colorado,1939,-3.9,-7.8,1.1,6.9,12.5,16.3,20.4,18.4,15.8,8.2,2.2,-0.3,25.0,17.9,33.9,44.4,54.5,61.4,68.7,65.2,60.4,46.8,36.0,31.4
Colorado,1940,-7.2,-2.2,2.5,6.3,12.3,17.5,20.5,18.5,15.3,9.6,-0.8,-2.6,19.0,28.1,36.5,43.3,54.1,63.5,68.9,65.3,59.5,49.2,30.6,27.4
Colorado,1941,-4.1,-1.4,0.4,4.9,12.3,15.0,18.7,18.2,13.1,7.6,1.8,-2.4,24.6,29.5,32.7,40.8,54.2,59.0,65.7,64.8,55.6,45.6,35.2,27.6
Colorado,1942,-6.0,-6.4,-1.2,7.2,10.5,15.7,19.4,18.3,13.5,8.0,2.4,-2.1,21.2,20.5,29.9,44.9,50.9,60.3,66.9,65.0,56.3,46.4,36.3,28.2
Colorado,1943,-3.2,-0.1,-0.1,9.3,10.1,16.0,20.1,19.7,14.1,7.9,1.2,-3.6,26.3,31.8,31.9,48.7,50.1,60.8,68.2,67.4,57.4,46.3,34.2,25.6
Colorado,1944,-5.3,-3.2,-1.0,3.5,11.2,15.7,18.7,18.8,14.4,9.2,1.2,-3.8,22.4,26.3,30.2,38.3,52.2,60.2,65.6,65.8,57.9,48.6,34.2,25.2
Colorado,1945,-3.4,-1.3,1.4,3.3,11.3,13.8,19.2,18.9,13.3,8.9,1.2,-5.1,25.8,29.6,34.6,37.9,52.3,56.8,66.6,66.0,56.0,48.1,34.1,22.8
Colorado,1946,-4.5,-1.8,3.1,9.3,9.4,17.2,20.1,18.5,14.4,6.9,-1.4,-0.7,23.9,28.7,37.6,48.7,49.0,62.9,68.2,65.3,58.0,44.5,29.4,30.7
Colorado,1947,-4.8,-2.6,0.3,5.3,11.6,14.6,19.6,19.2,15.7,10.1,-1.8,-3.7,23.4,27.3,32.5,41.5,52.8,58.2,67.3,66.6,60.2,50.2,28.7,25.3
Colorado,1948,-5.3,-4.8,-3.0,7.3,11.8,16.1,19.2,18.6,15.9,7.9,-1.7,-3.7,22.5,23.4,26.6,45.2,53.3,60.9,66.6,65.4,60.6,46.3,29.0,25.4
Colorado,1949,-9.2,-4.8,1.3,6.7,11.3,15.5,19.4,18.2,14.3,6.9,4.8,-3.2,15.4,23.4,34.3,44.0,52.3,59.9,66.9,64.7,57.8,44.5,40.7,26.2
Colorado,1950,-4.4,-0.5,0.6,6.2,9.6,16.3,17.8,17.0,13.2,11.3,1.7,-0.8,24.1,31.1,33.0,43.2,49.3,61.4,64.1,62.6,55.8,52.4,35.0,30.5
Colorado,1951,-4.9,-1.8,-0.2,4.8,11.3,13.9,19.9,18.3,13.6,7.2,-0.9,-4.8,23.1,28.8,31.7,40.7,52.4,57.0,67.9,65.0,56.4,45.0,30.3,23.3
Colorado,1952,-3.8,-3.4,-2.2,6.1,11.2,18.4,19.5,18.9,15.0,8.8,-2.1,-4.7,25.1,25.8,28.0,42.9,52.2,65.2,67.1,66.0,59.0,47.9,28.2,23.6
Colorado,1953,-0.3,-2.8,2.6,4.1,9.2,17.9,20.3,18.1,15.2,8.9,2.3,-4.4,31.4,26.9,36.6,39.4,48.5,64.2,68.6,64.5,59.3,48.1,36.1,24.0
Colorado,1954,-1.8,2.4,-0.2,8.7,11.6,17.3,21.2,18.7,15.6,8.8,3.2,-3.2,28.7,36.4,31.6,47.7,52.8,63.2,70.2,65.6,60.1,47.8,37.8,26.3
Colorado,1955,-5.6,-6.3,-0.2,5.8,11.2,14.9,20.2,19.4,14.8,9.0,-0.6,-1.5,21.9,20.6,31.6,42.4,52.1,58.8,68.4,67.0,58.6,48.2,31.0,29.3
Colorado,1956,-1.5,-5.4,0.9,5.2,12.9,18.7,19.1,17.4,15.4,9.2,-1.5,-3.2,29.3,22.2,33.7,41.4,55.2,65.7,66.3,63.4,59.7,48.6,29.3,26.2
Colorado,1957,-5.4,0.5,0.8,3.8,9.2,15.6,19.5,18.5,12.9,8.0,-1.4,-1.3,22.2,32.9,33.5,38.9,48.6,60.0,67.1,65.3,55.3,46.4,29.5,29.7
Colorado,1958,-4.0,-0.4,-2.1,4.1,13.1,17.2,18.4,19.5,14.9,8.7,1.5,-1.0,24.8,31.3,28.3,39.4,55.6,63.0,65.2,67.1,58.8,47.6,34.7,30.2
Colorado,1959,-4.0,-2.9,0.3,5.4,11.2,18.0,19.2,19.0,13.2,6.7,0.4,-1.5,24.8,26.7,32.6,41.8,52.2,64.4,66.6,66.2,55.7,44.0,32.8,29.3
Colorado,1960,-5.9,-7.1,0.5,7.1,10.8,16.9,19.3,19.0,15.2,8.1,1.7,-4.3,21.4,19.3,32.9,44.8,51.5,62.4,66.7,66.2,59.4,46.6,35.1,24.2
Colorado,1961,-4.2,-1.2,1.2,4.8,11.2,16.9,19.1,18.9,11.4,7.6,-0.8,-5.7,24.4,29.8,34.1,40.6,52.2,62.5,66.3,66.0,52.5,45.6,30.6,21.7
Colorado,1962,-7.6,-1.2,-1.3,7.5,11.9,15.6,18.7,18.5,14.1,9.5,2.9,-1.7,18.4,29.9,29.6,45.5,53.5,60.1,65.6,65.3,57.4,49.1,37.2,29.0
Colorado,1963,-8.5,0.1,0.9,6.9,13.1,16.9,20.9,18.7,16.1,11.6,2.6,-4.7,16.7,32.1,33.7,44.4,55.5,62.4,69.7,65.7,60.9,52.8,36.7,23.6
Colorado,1964,-4.8,-5.9,-2.4,4.9,11.7,15.6,21.0,17.8,13.8,8.9,0.5,-3.8,23.3,21.3,27.7,40.9,53.0,60.1,69.8,64.1,56.9,48.0,32.9,25.1
Colorado,1965,-2.2,-4.0,-3.6,6.6,10.8,14.9,19.2,17.2,11.1,9.4,3.7,-1.8,28.1,24.8,25.5,43.9,51.4,58.8,66.5,63.0,51.9,48.9,38.6,28.7
Colorado,1966,-6.5,-5.5,2.3,5.6,12.3,16.3,21.0,17.8,14.4,7.7,2.8,-4.2,20.3,22.1,36.2,42.1,54.2,61.4,69.8,64.1,58.0,45.8,37.0,24.4
Colorado,1967,-3.0,-1.8,3.9,6.6,9.7,14.6,19.3,17.6,13.8,8.9,1.7,-6.2,26.6,28.8,39.0,43.9,49.5,58.3,66.7,63.6,56.9,48.0,35.0,20.9
Colorado,1968,-5.1,-1.8,1.6,3.8,9.6,17.1,19.0,16.8,13.1,8.8,-0.3,-4.8,22.9,28.8,34.8,38.8,49.2,62.7,66.2,62.2,55.5,47.8,31.4,23.3
Colorado,1969,-1.9,-2.3,-2.7,7.6,12.6,14.2,20.2,19.8,14.9,3.9,0.6,-2.4,28.6,27.9,27.2,45.6,54.7,57.6,68.3,67.7,58.8,39.1,33.1,27.6
Colorado,1970,-3.9,0.2,-1.2,3.3,11.9,15.7,19.7,19.7,12.7,5.1,1.4,-2.5,24.9,32.4,29.8,37.9,53.5,60.2,67.4,67.5,54.9,41.1,34.5,27.5
