state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Connecticut,1895,-5.1,-7.4,-0.3,6.9,14.3,19.7,19.1,20.4,17.4,7.2,5.1,-0.2,22.8,18.7,31.5,44.5,57.8,67.5,66.4,68.7,63.4,45.0,41.2,31.7
Connecticut,1896,-6.1,-3.4,-1.8,8.8,15.7,17.4,21.3,20.6,15.4,8.2,6.1,-3.3,21.1,25.8,28.8,47.8,60.2,63.3,70.4,69.1,59.7,46.8,43.0,26.0
Connecticut,1897,-4.2,-3.2,1.7,8.1,13.7,16.4,21.3,19.2,15.6,10.6,3.6,-0.9,24.5,26.3,35.0,46.5,56.6,61.6,70.3,66.6,60.1,51.1,38.5,30.3
Connecticut,1898,-3.7,-2.4,4.7,6.2,12.7,18.8,21.5,21.3,17.6,10.7,3.1,-2.3,25.4,27.6,40.5,43.1,54.8,65.9,70.7,70.3,63.6,51.2,37.6,27.8
Connecticut,1899,-4.1,-5.6,-0.3,7.7,13.9,19.8,20.7,19.7,15.1,10.8,3.3,-0.5,24.6,21.9,31.4,45.8,57.0,67.6,69.3,67.4,59.2,51.4,37.9,31.1
Connecticut,1900,-3.2,-3.7,-1.0,7.9,13.1,18.9,22.0,21.6,18.2,12.6,5.1,-1.8,26.2,25.4,30.2,46.3,55.6,66.0,71.6,70.8,64.7,54.7,41.1,28.7
Connecticut,1901,-4.2,-6.9,0.7,7.3,12.7,19.0,22.5,20.7,16.7,10.1,0.8,-2.2,24.4,19.6,33.2,45.2,54.8,66.2,72.5,69.2,62.1,50.1,33.4,28.0
Connecticut,1902,-5.0,-4.5,4.4,7.9,13.3,17.3,19.6,18.9,16.0,10.4,6.4,-3.8,23.0,23.9,40.0,46.3,56.0,63.2,67.2,66.1,60.8,50.8,43.6,25.1
Connecticut,1903,-3.8,-2.6,6.1,7.9,14.8,15.1,20.9,17.0,15.9,10.6,2.0,-4.8,25.2,27.4,43.0,46.3,58.7,59.2,69.6,62.6,60.7,51.0,35.6,23.3
Connecticut,1904,-8.4,-7.4,-0.2,6.1,15.2,17.7,20.6,19.2,15.6,8.6,1.3,-5.9,16.9,18.6,31.7,42.9,59.3,63.9,69.0,66.5,60.0,47.4,34.4,21.3
Connecticut,1905,-6.0,-7.8,0.9,7.4,13.7,17.7,21.8,18.9,15.7,10.4,3.0,-0.5,21.2,17.9,33.6,45.4,56.7,63.8,71.2,66.0,60.2,50.8,37.4,31.1
Connecticut,1906,-0.8,-3.4,-1.8,7.7,13.9,18.6,20.9,21.4,17.6,10.5,3.6,-3.7,30.6,25.8,28.8,45.8,57.0,65.5,69.6,70.5,63.6,50.9,38.4,25.4
Connecticut,1907,-4.1,-8.3,1.8,5.1,10.8,16.7,21.1,19.3,16.9,7.8,3.8,0.0,24.6,17.0,35.2,41.2,51.4,62.0,69.9,66.7,62.5,46.0,38.9,32.0
Connecticut,1908,-3.1,-5.8,1.8,7.6,14.8,19.6,22.6,19.6,17.3,11.9,3.7,-1.7,26.4,21.6,35.3,45.6,58.6,67.2,72.7,67.2,63.1,53.4,38.6,29.0
Connecticut,1909,-2.7,-1.1,0.4,7.2,13.1,19.1,20.2,19.1,15.8,9.0,5.8,-3.6,27.2,30.1,32.8,45.0,55.6,66.4,68.4,66.4,60.4,48.2,42.4,25.5
Connecticut,1910,-3.2,-3.9,4.2,9.9,13.2,17.4,22.2,19.1,16.4,11.4,2.4,-5.4,26.2,25.0,39.6,49.8,55.8,63.4,71.9,66.4,61.6,52.5,36.3,22.3
Connecticut,1911,-2.3,-4.6,-0.1,5.9,16.3,18.0,22.7,19.9,15.9,9.2,2.6,0.9,27.9,23.8,31.8,42.6,61.4,64.4,72.9,67.8,60.6,48.6,36.7,33.6
Connecticut,1912,-8.8,-5.4,-0.3,7.2,14.0,17.8,21.4,18.7,15.9,11.3,4.9,0.6,16.1,22.2,31.4,44.9,57.2,64.0,70.6,65.7,60.6,52.3,40.8,33.1
Connecticut,1913,1.2,-4.8,4.0,8.3,12.8,18.4,21.6,20.2,15.1,12.2,5.3,0.2,34.2,23.4,39.2,47.0,55.1,65.2,70.9,68.3,59.1,53.9,41.6,32.3
Connecticut,1914,-4.1,-7.1,0.2,5.9,14.9,17.8,19.4,20.4,16.2,12.2,3.4,-3.3,24.7,19.2,32.3,42.7,58.9,64.0,66.9,68.7,61.1,53.9,38.1,26.0
Connecticut,1915,-2.2,-1.3,-0.1,9.7,12.1,17.6,20.5,18.9,17.8,10.7,4.6,-2.5,28.0,29.6,31.9,49.5,53.8,63.7,68.9,66.1,64.1,51.2,40.2,27.5
Connecticut,1916,-1.7,-6.0,-3.2,6.4,13.4,16.0,21.8,20.9,16.3,10.8,3.6,-2.1,29.0,21.2,26.3,43.5,56.1,60.8,71.2,69.6,61.4,51.4,38.4,28.2
Connecticut,1917,-3.6,-5.6,0.9,6.3,9.4,18.3,21.6,21.4,14.1,8.1,1.4,-7.2,25.6,21.9,33.6,43.3,48.9,65.0,70.9,70.5,57.3,46.6,34.5,19.0
Connecticut,1918,-9.2,-5.1,2.1,7.6,16.0,16.8,20.7,21.0,14.2,11.3,4.4,-0.7,15.4,22.8,35.7,45.6,60.8,62.3,69.2,69.8,57.6,52.4,39.9,30.8
Connecticut,1919,-1.7,-2.2,3.3,6.8,13.9,19.4,21.3,18.6,16.1,11.6,3.9,-4.5,28.9,28.0,37.9,44.3,57.0,67.0,70.4,65.5,61.0,52.9,39.0,23.9
Connecticut,1920,-8.2,-5.5,1.4,5.7,11.9,17.6,19.9,20.8,17.0,13.0,2.9,-0.3,17.2,22.1,34.5,42.3,53.5,63.6,67.9,69.5,62.6,55.4,37.2,31.5
Connecticut,1921,-2.9,-2.2,6.0,10.7,13.7,18.8,22.5,19.0,18.6,10.4,3.4,-2.7,26.8,28.0,42.8,51.3,56.7,65.9,72.5,66.2,65.5,50.7,38.2,27.2
Connecticut,1922,-5.5,-2.6,2.2,7.9,15.1,19.4,20.8,19.6,16.9,11.0,4.1,-2.9,22.1,27.3,35.9,46.2,59.2,66.9,69.4,67.3,62.4,51.8,39.3,26.7
Connecticut,1923,-5.8,-7.3,-0.7,7.6,12.8,19.6,19.9,19.2,16.9,10.2,4.0,2.1,21.6,18.8,30.7,45.7,55.1,67.2,67.8,66.5,62.5,50.3,39.2,35.8
Connecticut,1924,-2.7,-5.6,1.1,6.7,11.6,17.4,21.1,20.1,14.5,10.1,4.1,-2.7,27.2,21.9,33.9,44.1,52.9,63.3,69.9,68.2,58.1,50.1,39.4,27.2
Connecticut,1925,-5.6,0.6,3.8,8.5,12.4,20.8,20.3,20.0,16.5,6.7,3.7,-1.4,22.0,33.0,38.8,47.3,54.3,69.4,68.6,68.0,61.7,44.1,38.6,29.5
Connecticut,1926,-3.1,-4.7,-1.0,5.2,12.8,16.4,21.1,20.4,15.4,9.1,4.2,-4.8,26.5,23.6,30.2,41.4,55.0,61.5,69.9,68.8,59.7,48.4,39.5,23.3
Connecticut,1927,-4.1,-1.4,3.4,6.8,12.2,16.7,20.8,17.9,16.2,12.1,6.3,-0.7,24.6,29.4,38.1,44.2,53.9,62.1,69.4,64.2,61.2,53.8,43.4,30.7
Connecticut,1928,-2.3,-3.3,0.7,6.1,12.6,17.1,21.7,21.6,14.7,11.1,4.9,0.5,27.9,26.1,33.2,43.0,54.7,62.8,71.1,70.9,58.4,51.9,40.8,32.9
Connecticut,1929,-4.3,-3.2,3.8,7.4,13.6,19.0,20.9,19.1,17.2,9.2,4.2,-2.2,24.3,26.2,38.8,45.3,56.5,66.2,69.6,66.4,63.0,48.6,39.6,28.1
Connecticut,1930,-3.0,-1.1,1.6,6.6,14.8,20.3,21.2,19.8,18.3,9.4,4.5,-1.6,26.6,30.1,34.9,43.8,58.6,68.6,70.1,67.7,65.0,49.0,40.1,29.2
Connecticut,1931,-3.8,-3.3,1.9,8.1,14.0,18.7,22.3,20.8,18.4,12.4,7.2,0.9,25.1,26.0,35.5,46.5,57.2,65.7,72.1,69.5,65.1,54.3,45.0,33.7
Connecticut,1932,2.1,-2.0,0.1,6.6,14.1,18.3,20.6,20.8,16.7,11.4,3.3,0.0,35.7,28.4,32.2,43.9,57.4,65.0,69.1,69.4,62.0,52.5,37.9,32.0
Connecticut,1933,0.8,-1.6,0.7,7.4,15.4,19.7,21.2,20.4,17.2,9.9,1.8,-3.6,33.5,29.2,33.2,45.4,59.8,67.4,70.2,68.7,62.9,49.8,35.2,25.6
Connecticut,1934,-2.4,-10.4,0.3,7.9,15.1,19.9,22.4,18.9,17.6,8.8,5.9,-2.6,27.7,13.3,32.6,46.2,59.2,67.8,72.3,66.1,63.7,47.8,42.6,27.4
Connecticut,1935,-5.6,-3.9,3.0,7.2,12.3,18.3,22.4,20.6,15.0,10.5,6.2,-4.0,21.9,25.0,37.4,45.0,54.1,65.0,72.4,69.0,59.0,50.9,43.2,24.8
