state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Delaware,1895,-0.5,-4.3,4.2,10.6,15.9,22.3,22.1,24.2,21.4,10.6,7.9,3.6,31.1,24.2,39.5,51.1,60.7,72.2,71.8,75.6,70.5,51.1,46.2,38.5
Delaware,1896,-0.3,1.7,2.8,12.4,19.2,20.7,24.3,23.6,19.0,11.6,10.1,0.9,31.4,35.0,37.1,54.3,66.6,69.2,75.7,74.5,66.2,52.8,50.2,33.6
Delaware,1897,-0.9,1.6,6.6,10.8,15.9,19.7,23.8,22.7,19.6,13.9,7.5,3.0,30.3,34.8,43.8,51.4,60.7,67.4,74.8,72.8,67.3,57.1,45.5,37.4
Delaware,1898,2.0,1.6,8.3,9.3,16.0,21.8,25.0,24.6,20.9,14.0,6.1,2.1,35.6,34.8,47.0,48.8,60.8,71.2,77.0,76.2,69.7,57.2,42.9,35.8
Delaware,1899,0.2,-2.9,4.8,10.9,16.6,22.8,24.3,22.9,18.6,14.1,7.2,2.3,32.4,26.8,40.6,51.6,61.8,73.1,75.8,73.3,65.4,57.4,44.9,36.2
Delaware,1900,1.1,0.6,3.1,10.9,16.9,21.9,25.6,25.7,21.9,15.8,9.1,1.8,33.9,33.0,37.6,51.6,62.5,71.5,78.1,78.3,71.4,60.5,48.3,35.3
Delaware,1901,0.4,-2.6,6.1,9.3,15.7,21.7,26.1,24.3,19.7,13.0,4.2,1.1,32.8,27.4,43.0,48.7,60.2,71.0,79.0,75.7,67.4,55.4,39.6,34.0
Delaware,1902,-1.0,-2.3,7.3,10.4,16.8,21.1,24.1,22.1,19.0,14.2,10.4,1.1,30.2,27.9,45.1,50.7,62.3,70.0,75.4,71.8,66.2,57.6,50.8,34.0
Delaware,1903,-0.1,2.1,9.1,10.9,17.1,18.7,23.8,22.1,19.2,13.6,5.2,-0.7,31.9,35.8,48.3,51.6,62.8,65.6,74.9,71.8,66.5,56.5,41.4,30.7
Delaware,1904,-2.8,-2.9,4.4,9.1,17.3,20.8,23.0,22.4,19.3,11.7,5.4,-1.6,26.9,26.7,40.0,48.4,63.2,69.4,73.4,72.3,66.8,53.0,41.8,29.1
Delaware,1905,-1.9,-3.8,6.2,10.8,17.4,21.1,23.9,22.4,19.4,13.8,6.5,2.9,28.5,25.1,43.2,51.4,63.3,69.9,75.1,72.4,67.0,56.8,43.7,37.3
Delaware,1906,3.8,0.7,3.0,11.6,17.1,21.9,23.3,24.4,21.4,13.3,7.0,2.3,38.8,33.2,37.4,52.9,62.7,71.5,73.9,75.9,70.5,56.0,44.6,36.1
Delaware,1907,2.0,-2.5,7.2,7.9,14.0,18.0,23.8,22.1,20.3,10.6,6.6,3.4,35.6,27.5,44.9,46.2,57.2,64.4,74.9,71.8,68.5,51.0,43.9,38.1
Delaware,1908,0.6,-0.8,7.4,11.9,17.6,21.2,24.9,21.8,18.6,14.4,6.9,2.2,33.1,30.5,45.3,53.5,63.6,70.2,76.8,71.3,65.4,58.0,44.5,36.0
Delaware,1909,2.2,5.4,4.6,11.1,16.5,21.7,22.6,21.8,18.5,10.9,8.7,-0.8,35.9,41.7,40.2,51.9,61.7,71.0,72.6,71.2,65.3,51.6,47.6,30.5
Delaware,1910,-0.1,1.1,8.6,12.9,15.8,19.9,24.2,22.1,20.4,14.5,4.5,-1.8,31.8,34.0,47.5,55.2,60.5,67.8,75.6,71.8,68.8,58.1,40.1,28.7
Delaware,1911,2.6,1.4,4.1,8.8,19.1,21.6,24.9,23.4,20.3,13.2,6.0,4.6,36.7,34.6,39.3,47.9,66.4,70.8,76.9,74.2,68.6,55.8,42.8,40.2
Delaware,1912,-4.1,-1.3,4.1,11.6,17.2,20.7,23.4,22.2,20.3,14.4,7.5,3.8,24.6,29.6,39.4,52.8,62.9,69.2,74.1,72.0,68.6,57.9,45.5,38.8
Delaware,1913,5.8,1.1,8.5,11.9,16.8,21.1,24.3,22.6,19.2,14.2,8.0,3.7,42.5,34.0,47.3,53.5,62.2,70.0,75.8,72.7,66.6,57.5,46.4,38.6
Delaware,1914,2.1,-1.5,2.6,10.3,17.8,21.9,23.6,24.1,17.9,14.8,6.8,0.2,35.8,29.3,36.6,50.6,64.1,71.4,74.4,75.4,64.3,58.7,44.2,32.4
Delaware,1915,1.7,3.2,2.4,13.2,15.8,20.0,23.7,22.6,20.6,13.9,6.9,0.7,35.1,37.8,36.4,55.7,60.4,68.0,74.7,72.7,69.0,57.0,44.5,33.3
Delaware,1916,3.4,-0.1,1.7,10.2,17.7,19.4,24.2,23.5,18.7,13.4,7.3,1.1,38.1,31.9,35.0,50.3,63.9,66.9,75.5,74.3,65.6,56.1,45.1,33.9
Delaware,1917,1.0,-0.3,5.0,11.1,13.6,21.6,23.9,23.2,16.9,11.0,4.8,-2.3,33.8,31.5,41.0,51.9,56.5,70.8,75.1,73.8,62.4,51.8,40.6,27.9
Delaware,1918,-5.7,0.7,7.0,10.8,19.3,20.1,22.8,24.3,17.3,14.9,6.9,4.3,21.8,33.2,44.6,51.4,66.8,68.1,73.1,75.8,63.2,58.9,44.4,39.8
Delaware,1919,2.0,1.6,7.6,10.7,17.0,21.3,23.9,22.2,19.6,16.9,7.5,-0.6,35.6,34.8,45.7,51.3,62.6,70.3,75.0,71.9,67.3,62.4,45.5,31.0
Delaware,1920,-2.7,-0.8,5.7,10.5,14.1,21.0,22.9,23.1,19.8,15.3,7.1,3.5,27.2,30.6,42.3,50.9,57.4,69.8,73.3,73.5,67.6,59.6,44.8,38.3
Delaware,1921,2.1,2.9,12.1,14.0,15.8,22.0,25.4,21.9,22.4,13.0,8.3,1.7,35.8,37.2,53.7,57.2,60.4,71.6,77.7,71.4,72.4,55.4,46.9,35.1
