state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Idaho,1895,-6.7,-4.7,-0.8,6.3,9.2,12.5,17.1,17.6,10.6,7.6,-0.6,-5.5,20.0,23.6,30.5,43.4,48.6,54.5,62.8,63.7,51.0,45.7,31.0,22.1
Idaho,1896,-2.8,-0.9,-0.6,3.3,6.5,15.1,19.7,17.6,11.7,6.4,-2.9,-1.3,26.9,30.3,31.0,38.0,43.7,59.2,67.5,63.6,53.1,43.5,26.8,29.7
Idaho,1897,-5.6,-3.7,-3.8,5.6,13.4,13.6,16.7,18.9,12.8,6.4,0.6,-4.5,22.0,25.3,25.1,42.1,56.1,56.5,62.1,66.0,55.1,43.6,33.0,23.9
Idaho,1898,-8.2,-1.3,-1.8,6.8,9.6,14.4,18.4,19.5,12.8,4.6,-2.4,-7.6,17.2,29.6,28.7,44.3,49.2,57.9,65.2,67.1,55.0,40.3,27.6,18.4
Idaho,1899,-3.5,-6.0,-0.8,4.4,7.2,12.9,18.5,14.8,13.7,4.6,3.0,-5.4,25.7,21.2,30.6,40.0,44.9,55.2,65.3,58.6,56.7,40.3,37.4,22.3
Idaho,1900,-2.2,-3.3,3.6,6.2,10.9,16.7,17.4,15.6,11.6,6.0,-0.4,-2.1,28.0,26.1,38.4,43.2,51.6,62.0,63.4,60.0,52.8,42.8,31.2,28.2
Idaho,1901,-3.9,-4.1,0.0,3.7,11.6,11.1,19.4,19.1,10.3,8.8,2.1,-3.4,24.9,24.6,32.0,38.7,52.9,51.9,66.9,66.3,50.6,47.8,35.7,25.9
Idaho,1902,-5.9,-1.1,-1.0,4.2,9.7,13.4,16.0,16.7,11.8,7.2,-0.6,-4.1,21.4,30.0,30.2,39.6,49.4,56.2,60.8,62.0,53.2,44.9,30.9,24.7
Idaho,1903,-4.4,-8.8,-0.5,3.7,8.4,15.7,16.1,17.4,10.7,7.1,-0.3,-4.6,24.1,16.1,31.1,38.7,47.1,60.2,60.9,63.3,51.3,44.7,31.4,23.8
Idaho,1904,-5.2,-2.9,-0.7,5.4,9.5,13.2,17.3,18.2,13.6,7.8,2.8,-3.8,22.6,26.7,30.7,41.8,49.1,55.7,63.1,64.7,56.4,46.0,37.1,25.1
