state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Indiana,1895,-6.2,-7.6,2.6,11.7,17.0,23.2,22.5,23.3,20.6,7.9,4.2,0.2,20.8,18.4,36.6,53.1,62.6,73.7,72.5,73.9,69.1,46.2,39.5,32.4
Indiana,1896,-2.4,-1.0,0.9,14.3,20.3,21.2,23.4,22.6,17.0,9.6,5.9,0.8,27.6,30.2,33.7,57.8,68.5,70.2,74.2,72.6,62.6,49.3,42.6,33.5
Indiana,1897,-4.7,-0.6,4.9,9.6,14.0,20.7,24.6,21.4,20.3,14.4,4.9,-1.3,23.6,30.9,40.8,49.3,57.2,69.3,76.3,70.5,68.5,58.0,40.8,29.7
Indiana,1898,-0.4,-0.7,6.6,9.1,16.7,22.5,24.2,22.8,20.4,11.4,2.7,-2.7,31.2,30.7,43.9,48.3,62.0,72.5,75.5,73.0,68.8,52.5,36.8,27.1
Indiana,1899,-3.0,-6.6,1.6,11.8,17.4,22.8,23.7,23.9,18.3,14.2,6.6,-1.9,26.6,20.2,34.9,53.3,63.4,73.0,74.7,75.1,65.0,57.6,43.8,28.6
Indiana,1900,-0.8,-4.2,0.9,10.8,17.7,21.3,23.7,25.4,20.6,15.8,4.9,-0.3,30.5,24.5,33.7,51.4,63.9,70.4,74.6,77.7,69.1,60.4,40.8,31.4
Indiana,1901,-2.0,-5.8,3.8,8.6,15.4,22.7,26.9,23.2,18.6,12.3,2.8,-3.6,28.4,21.6,38.9,47.4,59.7,72.8,80.4,73.8,65.4,54.2,37.1,25.5
Indiana,1902,-3.0,-6.7,5.7,9.6,18.6,20.4,23.8,21.2,17.1,13.0,8.9,-1.9,26.6,20.0,42.2,49.2,65.4,68.8,74.9,70.2,62.7,55.4,48.1,28.6
Indiana,1903,-3.6,-2.1,7.5,10.3,18.1,18.5,23.6,21.7,18.5,11.8,2.6,-5.2,25.5,28.2,45.5,50.6,64.6,65.3,74.4,71.0,65.3,53.3,36.6,22.7
Indiana,1904,-6.9,-5.3,3.8,7.3,16.1,20.4,22.3,21.1,18.9,11.1,4.6,-2.4,19.6,22.4,38.9,45.2,61.0,68.8,72.2,70.0,66.0,52.0,40.2,27.6
Indiana,1905,-6.2,-7.3,6.7,10.1,16.9,21.6,22.8,22.8,19.1,11.4,4.4,-0.6,20.8,18.9,44.1,50.2,62.4,70.8,73.1,73.0,66.4,52.6,39.9,30.9
Indiana,1906,0.7,-2.9,-1.1,11.6,17.1,21.1,22.7,23.9,20.7,11.3,4.4,-0.1,33.3,26.7,30.0,52.9,62.7,69.9,72.8,75.0,69.2,52.3,39.9,31.8
Indiana,1907,-0.1,-2.5,8.0,5.4,13.1,19.3,23.2,21.2,17.8,9.8,3.1,-0.1,31.9,27.5,46.4,41.7,55.5,66.8,73.8,70.2,64.1,49.7,37.5,31.9
Indiana,1908,-1.8,-2.9,6.1,10.7,17.0,21.0,23.6,22.7,20.7,11.8,5.4,0.0,28.7,26.7,43.0,51.2,62.6,69.8,74.5,72.8,69.2,53.2,41.8,32.0
Indiana,1909,-1.2,1.0,3.2,9.3,14.9,21.7,21.9,23.2,17.1,9.1,9.5,-5.6,29.8,33.8,37.7,48.7,58.8,71.1,71.5,73.7,62.8,48.4,49.1,21.9
Indiana,1910,-3.2,-3.8,9.4,10.7,13.4,19.8,23.4,21.4,18.8,13.1,1.8,-3.9,26.2,25.1,49.0,51.3,56.2,67.6,74.2,70.6,65.8,55.6,35.3,24.9
Indiana,1911,-0.9,0.8,3.7,9.0,19.3,22.4,23.4,22.4,20.2,11.5,1.9,1.4,30.4,33.5,38.7,48.2,66.7,72.4,74.2,72.4,68.3,52.7,35.4,34.6
Indiana,1912,-9.2,-6.2,-0.7,11.3,17.4,19.6,23.4,21.3,19.4,12.1,4.8,0.2,15.4,20.9,30.7,52.3,63.3,67.3,74.1,70.4,66.9,53.7,40.6,32.4
Indiana,1913,0.2,-3.8,3.2,10.1,16.5,22.4,24.8,23.9,18.4,11.6,7.4,1.7,32.4,25.1,37.8,50.1,61.7,72.3,76.7,75.1,65.1,52.9,45.4,35.1
Indiana,1914,0.4,-6.4,2.2,10.2,17.4,23.2,24.9,23.1,18.3,13.4,5.5,-4.2,32.8,20.5,36.0,50.4,63.3,73.8,76.8,73.6,64.9,56.2,41.9,24.4
Indiana,1915,-4.8,1.9,0.9,13.2,14.8,19.8,22.2,19.3,19.5,12.8,6.6,-1.7,23.4,35.4,33.6,55.8,58.6,67.6,72.0,66.7,67.1,55.0,43.8,29.0
Indiana,1916,0.1,-3.1,2.2,9.4,17.1,18.9,25.9,23.9,17.9,11.7,5.8,-2.6,32.2,26.4,35.9,49.0,62.7,66.1,78.7,75.0,64.2,53.1,42.5,27.3
Indiana,1917,-2.6,-4.1,4.4,9.3,12.7,19.7,22.8,21.6,17.5,7.5,4.6,-6.3,27.3,24.7,40.0,48.8,54.8,67.4,73.0,70.9,63.5,45.5,40.2,20.7
Indiana,1918,-11.4,-1.3,7.3,8.8,19.2,21.2,22.0,25.1,14.4,13.4,5.1,3.4,11.5,29.7,45.2,47.8,66.5,70.2,71.6,77.1,58.0,56.2,41.2,38.2
Indiana,1919,-0.2,-0.3,5.1,10.4,14.7,23.6,25.0,22.0,20.1,14.8,4.4,-4.4,31.6,31.5,41.2,50.8,58.5,74.4,77.0,71.6,68.2,58.7,40.0,24.0
Indiana,1920,-6.2,-2.5,4.9,7.7,15.3,21.1,22.2,21.3,19.7,14.8,4.2,0.0,20.8,27.5,40.8,45.8,59.6,70.0,72.0,70.4,67.5,58.6,39.5,32.0
Indiana,1921,0.1,1.2,9.3,12.4,17.5,24.1,26.4,22.2,21.3,11.8,5.7,0.9,32.2,34.2,48.8,54.3,63.5,75.4,79.5,71.9,70.3,53.3,42.2,33.6
Indiana,1922,-4.0,0.0,5.4,11.6,18.4,22.3,22.9,22.6,20.7,13.3,6.1,-0.3,24.8,32.0,41.8,52.8,65.2,72.2,73.2,72.6,69.3,56.0,42.9,31.5
Indiana,1923,-0.2,-4.0,2.8,9.3,15.1,22.0,23.4,22.0,18.7,10.4,5.1,4.3,31.7,24.8,37.1,48.7,59.2,71.6,74.2,71.6,65.7,50.7,41.2,39.8
Indiana,1924,-5.7,-2.2,1.4,10.6,12.6,20.6,21.6,22.2,16.0,14.2,5.0,-3.4,21.8,28.1,34.6,51.1,54.7,69.1,70.8,72.0,60.8,57.6,41.0,25.8
Indiana,1925,-3.6,2.2,5.4,13.3,13.9,23.1,23.1,22.6,22.2,7.4,3.7,-2.7,25.6,36.0,41.8,55.9,57.1,73.6,73.6,72.6,71.9,45.3,38.6,27.1
Indiana,1926,-2.9,0.4,0.3,6.9,16.9,19.1,23.8,23.5,19.3,11.8,3.1,-2.2,26.8,32.8,32.6,44.4,62.4,66.4,74.8,74.3,66.8,53.3,37.6,28.0
Indiana,1927,-3.4,2.8,5.7,10.6,15.7,18.9,22.9,19.1,20.8,13.9,7.3,-1.2,25.9,37.0,42.3,51.1,60.2,66.0,73.2,66.3,69.4,57.0,45.2,29.8
Indiana,1928,-2.7,-1.0,3.3,8.1,15.6,18.3,23.2,23.1,16.3,13.7,5.3,0.5,27.2,30.2,37.9,46.5,60.0,65.0,73.8,73.6,61.4,56.6,41.6,32.9
Indiana,1929,-5.0,-4.9,7.8,11.9,14.8,19.9,23.4,21.2,18.3,10.6,2.7,-1.4,23.0,23.2,46.0,53.5,58.6,67.8,74.2,70.2,65.0,51.1,36.8,29.4
Indiana,1930,-4.8,3.8,3.3,11.4,17.0,21.1,24.7,22.9,19.6,10.7,5.2,-1.3,23.3,38.9,37.9,52.6,62.6,70.0,76.5,73.2,67.2,51.2,41.3,29.7
Indiana,1931,-0.4,2.1,1.7,10.6,14.6,22.8,25.3,22.7,21.5,14.0,9.5,3.7,31.2,35.8,35.0,51.1,58.3,73.1,77.6,72.8,70.7,57.2,49.1,38.6
Indiana,1932,2.4,2.9,0.2,10.1,16.4,22.2,24.2,22.7,18.2,11.7,2.4,-1.1,36.4,37.3,32.4,50.2,61.6,72.0,75.5,72.8,64.7,53.0,36.4,30.0
Indiana,1933,2.4,-1.4,3.5,10.1,17.7,24.6,24.5,22.0,21.7,11.2,3.8,1.3,36.4,29.5,38.3,50.2,63.9,76.2,76.1,71.6,71.0,52.1,38.9,34.3
Indiana,1934,0.3,-5.2,1.8,10.3,18.4,24.7,26.5,22.7,18.6,12.8,7.0,-2.2,32.5,22.7,35.2,50.6,65.2,76.5,79.7,72.9,65.4,55.1,44.6,28.0
Indiana,1935,-1.7,-0.2,7.9,8.9,13.7,19.6,24.9,23.3,18.3,12.2,4.6,-4.5,29.0,31.7,46.2,48.0,56.7,67.2,76.9,74.0,65.0,53.9,40.2,23.9
Indiana,1936,-6.4,-6.4,6.0,7.9,18.1,21.6,26.9,25.7,20.8,11.8,2.7,1.0,20.5,20.5,42.8,46.3,64.6,70.9,80.5,78.2,69.5,53.3,36.9,33.8
Indiana,1937,-0.4,-1.4,1.8,9.8,16.4,21.1,23.2,24.0,17.6,10.4,2.9,-2.5,31.3,29.4,35.2,49.7,61.5,69.9,73.7,75.2,63.6,50.8,37.2,27.5
Indiana,1938,-2.5,2.9,7.8,11.6,16.3,20.5,23.7,23.8,19.4,13.6,6.2,-0.4,27.5,37.3,46.0,52.9,61.4,68.9,74.7,74.9,67.0,56.5,43.2,31.2
Indiana,1939,0.3,-0.9,5.1,8.4,17.8,22.5,23.3,22.3,21.4,13.2,3.9,0.9,32.5,30.3,41.2,47.2,64.0,72.5,74.0,72.2,70.6,55.7,39.0,33.7
Indiana,1940,-9.9,-1.4,2.1,8.7,14.4,21.8,23.8,23.4,17.7,13.8,3.8,1.9,14.1,29.5,35.8,47.6,57.9,71.3,74.8,74.2,63.8,56.8,38.8,35.5
Indiana,1941,-1.8,-3.3,1.3,13.1,17.9,21.9,24.1,23.1,20.8,14.1,5.6,2.3,28.7,26.1,34.3,55.6,64.3,71.4,75.4,73.5,69.4,57.4,42.0,36.2
Indiana,1942,-3.0,-3.1,5.4,12.6,16.9,21.8,24.0,22.0,17.8,12.3,6.3,-3.2,26.6,26.4,41.7,54.6,62.5,71.3,75.2,71.6,64.0,54.2,43.3,26.3
