state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Kansas,1895,-4.7,-4.5,5.6,14.6,18.4,22.2,23.7,24.0,22.2,10.9,3.9,-0.4,23.5,23.9,42.0,58.2,65.2,72.0,74.6,75.2,72.0,51.7,39.0,31.3
Kansas,1896,0.3,2.5,3.1,15.2,20.1,23.3,25.3,25.2,18.5,11.8,2.4,3.4,32.5,36.5,37.6,59.3,68.2,73.9,77.6,77.4,65.3,53.3,36.3,38.2
Kansas,1897,-2.7,0.3,5.3,11.7,17.4,23.5,26.3,23.9,22.7,15.2,5.1,-2.2,27.1,32.5,41.6,53.0,63.4,74.3,79.3,75.0,72.8,59.4,41.1,28.1
Kansas,1898,-1.0,2.0,5.2,11.2,16.5,23.4,25.0,24.9,20.1,10.8,2.8,-3.3,30.2,35.6,41.3,52.2,61.7,74.1,77.0,76.8,68.2,51.5,37.0,26.0
Kansas,1899,-2.2,-7.2,2.1,11.4,18.9,22.8,24.3,26.6,20.1,15.3,8.0,-1.3,28.1,19.0,35.8,52.5,66.0,73.0,75.8,79.8,68.2,59.5,46.4,29.7
Kansas,1900,1.1,-2.7,5.2,12.4,18.1,23.5,25.3,26.6,20.8,15.4,4.7,0.9,34.0,27.1,41.4,54.3,64.6,74.3,77.5,79.9,69.5,59.7,40.4,33.7
Kansas,1901,-0.7,-2.8,4.8,10.8,16.9,24.8,29.1,25.7,20.1,14.6,6.2,-1.3,30.7,26.9,40.6,51.5,62.5,76.6,84.4,78.2,68.1,58.2,43.1,29.6
Kansas,1902,-1.8,-2.8,6.7,12.1,19.7,21.4,24.7,25.3,17.3,14.1,6.8,-3.1,28.8,27.0,44.0,53.7,67.4,70.6,76.4,77.5,63.2,57.3,44.2,26.4
Kansas,1903,-0.7,-3.5,4.9,11.9,16.2,19.0,25.5,23.9,18.9,13.3,4.6,0.1,30.8,25.7,40.9,53.5,61.2,66.2,77.9,75.0,66.0,56.0,40.2,32.2
Kansas,1904,-2.3,0.0,7.3,10.0,16.7,21.0,24.0,23.3,20.6,14.1,6.7,-1.2,27.9,32.0,45.1,50.0,62.0,69.8,75.2,74.0,69.0,57.4,44.1,29.8
Kansas,1905,-6.4,-6.6,9.2,10.8,16.7,23.8,23.4,25.5,21.4,11.2,6.6,-0.6,20.5,20.2,48.5,51.5,62.0,74.8,74.2,77.9,70.6,52.2,43.9,31.0
Kansas,1906,0.8,1.5,-0.2,13.8,17.9,21.7,22.8,24.1,20.3,11.5,4.1,2.0,33.4,34.7,31.6,56.8,64.2,71.0,73.1,75.4,68.6,52.7,39.3,35.6
Kansas,1907,-1.6,1.5,10.3,8.6,14.1,21.8,25.6,25.0,20.6,13.2,4.8,0.2,29.1,34.7,50.5,47.5,57.4,71.3,78.0,77.0,69.0,55.8,40.7,32.4
Kansas,1908,0.9,1.8,7.9,12.5,17.1,22.0,24.1,24.2,20.8,12.2,5.8,1.1,33.6,35.2,46.3,54.5,62.8,71.6,75.3,75.5,69.4,53.9,42.4,34.0
Kansas,1909,-2.0,1.9,4.7,10.8,16.3,22.6,25.6,26.3,20.4,13.0,8.1,-6.1,28.4,35.5,40.4,51.4,61.4,72.6,78.0,79.4,68.8,55.4,46.5,21.0
Kansas,1910,-1.9,-1.6,12.4,13.3,15.2,22.3,26.2,23.9,20.8,14.8,6.1,-0.2,28.5,29.2,54.4,55.9,59.4,72.1,79.2,75.1,69.5,58.6,42.9,31.7
Kansas,1911,0.3,1.2,8.0,11.7,18.7,26.3,25.7,24.2,23.1,11.9,2.9,-1.8,32.6,34.1,46.4,53.0,65.6,79.3,78.2,75.6,73.6,53.5,37.2,28.8
Kansas,1912,-8.1,-1.1,-0.9,11.7,18.8,20.4,26.3,24.6,18.4,13.6,6.6,0.5,17.5,30.1,30.3,53.0,65.8,68.8,79.3,76.3,65.1,56.4,43.8,32.9
