state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Kentucky,1895,-2.0,-4.2,6.2,13.5,17.4,23.9,23.3,24.1,22.3,10.2,7.0,2.8,28.4,24.4,43.1,56.3,63.3,75.0,73.9,75.4,72.2,50.4,44.6,37.1
Kentucky,1896,1.1,2.3,3.9,16.7,21.3,22.2,24.6,24.2,19.5,12.2,8.9,3.3,33.9,36.1,39.0,62.0,70.4,72.0,76.2,75.6,67.1,53.9,48.1,38.0
Kentucky,1897,-1.1,3.6,8.9,12.4,15.9,22.6,24.9,23.6,21.5,16.4,8.0,2.8,30.0,38.5,48.1,54.3,60.6,72.6,76.9,74.4,70.7,61.6,46.4,37.0
Kentucky,1898,3.6,2.6,9.8,10.6,19.3,24.0,25.1,24.6,22.2,13.4,5.4,0.4,38.4,36.6,49.6,51.1,66.8,75.2,77.1,76.2,72.0,56.2,41.7,32.7
Kentucky,1899,0.4,-3.7,6.1,13.4,19.9,23.9,24.7,25.1,19.8,15.6,9.1,0.9,32.8,25.3,42.9,56.2,67.8,75.1,76.5,77.1,67.6,60.0,48.3,33.6
Kentucky,1900,2.0,-0.3,5.2,12.9,18.6,23.0,25.1,26.4,23.1,17.2,7.7,2.9,35.6,31.5,41.4,55.3,65.5,73.4,77.2,79.5,73.5,62.9,45.8,37.2
Kentucky,1901,1.8,-0.3,7.7,10.1,17.4,23.9,27.3,23.8,19.6,13.7,4.5,-0.4,35.2,31.4,45.8,50.2,63.3,75.0,81.2,74.9,67.3,56.7,40.1,31.3
Kentucky,1902,0.1,-2.8,7.8,11.6,20.6,22.6,25.3,23.8,19.2,15.0,11.3,2.0,32.2,26.9,46.0,52.9,69.1,72.6,77.6,74.9,66.5,59.0,52.4,35.6
Kentucky,1903,0.6,2.4,10.9,12.3,19.8,20.0,24.9,23.9,20.2,13.6,5.0,-1.4,33.0,36.4,51.7,54.2,67.6,68.0,76.8,75.1,68.3,56.4,41.0,29.4
Kentucky,1904,-0.7,0.8,7.9,9.9,17.9,22.4,23.6,23.7,21.2,13.6,6.3,1.7,30.7,33.5,46.3,49.9,64.2,72.3,74.5,74.6,70.1,56.4,43.4,35.0
