state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Louisiana,1895,8.7,5.1,15.2,18.8,22.6,26.4,27.6,27.3,26.4,17.3,13.3,9.9,47.6,41.2,59.3,65.8,72.6,79.6,81.6,81.1,79.6,63.2,55.9,49.8
Louisiana,1896,8.7,11.1,14.2,21.1,25.4,26.9,28.7,28.6,25.0,19.2,15.9,10.2,47.6,52.0,57.5,69.9,77.8,80.4,83.7,83.4,77.0,66.6,60.6,50.4
Louisiana,1897,7.9,12.4,18.9,19.2,22.3,27.3,28.3,27.5,25.1,21.5,14.7,10.2,46.2,54.3,66.1,66.5,72.1,81.1,83.0,81.5,77.1,70.7,58.5,50.4
Louisiana,1898,12.0,12.0,16.5,17.0,23.8,26.8,27.3,27.3,25.7,18.2,11.6,8.2,53.6,53.6,61.7,62.6,74.8,80.2,81.2,81.1,78.2,64.8,52.9,46.8
Louisiana,1899,9.1,6.2,15.9,18.1,25.6,26.8,28.1,28.5,23.8,20.9,14.6,9.7,48.4,43.2,60.6,64.6,78.1,80.2,82.6,83.3,74.8,69.6,58.2,49.4
Louisiana,1900,9.3,9.4,14.3,19.4,23.3,26.6,27.2,27.5,27.4,21.6,15.2,10.4,48.7,49.0,57.7,67.0,73.9,79.8,81.0,81.5,81.4,70.9,59.3,50.8
Louisiana,1901,11.0,9.3,14.2,17.2,22.4,27.4,28.5,27.7,24.2,19.2,12.7,8.9,51.8,48.8,57.6,62.9,72.4,81.3,83.3,81.9,75.6,66.5,54.9,48.1
Louisiana,1902,8.1,7.9,15.6,19.6,24.9,27.6,27.9,28.9,24.3,19.3,16.8,9.8,46.6,46.2,60.1,67.2,76.9,81.7,82.2,84.0,75.8,66.7,62.2,49.6
Louisiana,1903,8.4,10.6,16.3,18.5,22.0,24.2,27.0,27.4,23.8,18.7,12.7,8.1,47.2,51.1,61.4,65.3,71.6,75.5,80.6,81.4,74.9,65.6,54.9,46.6
Louisiana,1904,7.8,13.2,17.4,18.1,22.1,26.6,26.5,26.5,26.0,20.3,13.3,9.8,46.0,55.8,63.4,64.5,71.7,79.9,79.7,79.7,78.8,68.5,55.9,49.7
