state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Maine,1895,-11.0,-11.2,-5.9,3.4,11.8,17.1,17.3,16.4,13.1,4.1,0.3,-6.3,12.2,11.8,21.3,38.1,53.3,62.7,63.2,61.6,55.6,39.3,32.6,20.7
Maine,1896,-12.0,-10.2,-6.2,3.5,10.4,14.9,18.2,16.5,11.6,5.2,-0.3,-9.4,10.4,13.7,20.9,38.3,50.8,58.9,64.8,61.7,52.8,41.3,31.4,15.0
Maine,1897,-10.7,-8.9,-4.8,3.5,9.7,12.9,18.4,16.2,11.6,6.9,-1.1,-7.4,12.8,16.0,23.4,38.3,49.5,55.2,65.1,61.2,52.9,44.5,30.0,18.7
Maine,1898,-12.6,-7.1,-1.2,2.3,10.2,14.9,18.2,17.8,13.3,6.8,0.2,-8.6,9.4,19.2,29.8,36.2,50.4,58.8,64.8,64.1,55.9,44.3,32.4,16.6
Maine,1899,-11.3,-11.2,-5.7,3.9,9.9,15.4,17.7,16.9,11.7,7.6,-0.9,-5.2,11.7,11.9,21.7,39.0,49.8,59.8,63.8,62.4,53.1,45.6,30.4,22.7
Maine,1900,-10.1,-9.2,-5.8,4.2,8.2,16.2,18.2,17.6,13.5,8.9,0.1,-9.1,13.9,15.5,21.6,39.5,46.7,61.1,64.8,63.7,56.3,48.0,32.2,15.6
Maine,1901,-11.7,-11.6,-4.6,4.7,10.4,16.0,18.6,17.4,13.4,6.6,-3.2,-7.2,11.0,11.1,23.8,40.4,50.8,60.8,65.5,63.3,56.1,43.9,26.3,19.0
Maine,1902,-10.8,-8.5,0.1,4.0,8.8,12.8,16.3,15.6,13.1,6.6,1.3,-9.6,12.5,16.7,32.2,39.2,47.9,55.1,61.3,60.0,55.6,43.8,34.3,14.7
Maine,1903,-10.3,-8.5,0.4,3.8,10.9,13.3,16.3,14.1,13.4,6.6,-1.4,-9.8,13.4,16.7,32.7,38.9,51.6,56.0,61.3,57.3,56.2,43.8,29.4,14.3
Maine,1904,-14.5,-13.6,-4.6,2.5,12.2,14.6,18.4,15.7,10.6,5.3,-3.0,-13.4,5.9,7.5,23.8,36.5,53.9,58.2,65.1,60.2,51.1,41.6,26.6,7.8
Maine,1905,-13.7,-12.5,-4.7,3.4,9.5,14.0,18.4,15.7,11.7,5.9,-1.2,-7.2,7.3,9.5,23.6,38.2,49.1,57.2,65.1,60.2,53.0,42.7,29.8,19.0
Maine,1906,-7.2,-9.2,-7.4,2.1,8.8,14.9,18.3,17.9,12.6,6.7,-0.7,-10.6,19.0,15.5,18.6,35.7,47.9,58.9,64.9,64.2,54.7,44.1,30.7,12.9
Maine,1907,-13.6,-13.8,-5.2,1.7,7.3,14.7,17.8,16.1,12.3,4.7,-0.6,-5.3,7.6,7.2,22.7,35.1,45.2,58.5,64.0,60.9,54.1,40.4,31.0,22.5
Maine,1908,-9.2,-11.1,-4.7,1.8,10.7,16.4,19.3,16.1,14.6,8.1,-0.6,-9.8,15.4,12.0,23.5,35.2,51.3,61.5,66.8,61.0,58.3,46.6,31.0,14.4
Maine,1909,-10.8,-9.8,-4.7,2.0,9.2,15.5,16.9,16.5,12.6,7.3,1.3,-7.0,12.5,14.4,23.5,35.6,48.6,59.9,62.4,61.7,54.6,45.1,34.3,19.4
Maine,1910,-8.1,-9.9,-1.4,6.1,9.7,14.1,18.7,16.3,11.9,6.7,-0.3,-10.0,17.4,14.1,29.5,43.0,49.4,57.4,65.6,61.4,53.4,44.1,31.4,14.0
Maine,1911,-10.7,-12.4,-6.4,2.4,13.6,15.2,20.2,17.0,11.2,5.8,-1.3,-4.7,12.7,9.6,20.5,36.3,56.5,59.3,68.4,62.6,52.2,42.4,29.6,23.5
Maine,1912,-15.0,-10.3,-5.7,2.5,10.8,13.9,18.2,14.7,11.7,7.7,0.4,-5.6,5.0,13.5,21.8,36.5,51.4,57.0,64.7,58.4,53.0,45.9,32.8,21.9
Maine,1913,-6.2,-11.7,-2.1,4.6,8.6,14.2,18.4,16.6,11.8,9.8,1.5,-5.5,20.9,11.0,28.2,40.3,47.5,57.6,65.1,61.8,53.2,49.6,34.7,22.1
