state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Maryland,1895,-1.5,-4.7,4.1,10.7,16.0,22.6,21.9,23.8,21.2,10.1,7.0,2.7,29.3,23.6,39.3,51.3,60.8,72.7,71.4,74.9,70.2,50.1,44.6,36.8
Maryland,1896,-0.4,1.2,2.5,12.8,19.4,21.1,24.2,23.3,18.9,11.2,9.6,1.0,31.2,34.2,36.5,55.1,67.0,69.9,75.6,74.0,66.0,52.2,49.2,33.8
Maryland,1897,-1.7,1.3,6.5,10.7,15.8,20.1,23.8,22.1,19.2,13.6,6.9,2.6,29.0,34.4,43.7,51.2,60.5,68.2,74.9,71.8,66.5,56.4,44.5,36.7
Maryland,1898,1.6,0.7,8.3,9.3,16.9,22.1,25.1,24.1,20.6,13.7,5.7,1.2,34.8,33.3,47.0,48.7,62.4,71.7,77.1,75.4,69.1,56.6,42.2,34.2
Maryland,1899,-0.3,-3.3,4.7,11.2,17.1,22.8,24.2,23.1,18.3,13.8,6.7,1.7,31.5,26.0,40.5,52.2,62.7,73.1,75.6,73.5,64.9,56.9,44.1,35.1
Maryland,1900,0.7,-0.1,2.9,10.8,17.1,21.9,25.2,25.4,22.1,15.7,8.5,1.4,33.2,31.8,37.2,51.5,62.7,71.5,77.3,77.8,71.8,60.3,47.3,34.6
Maryland,1901,0.3,-2.7,6.0,9.2,15.9,21.5,25.8,23.7,19.1,12.6,3.8,0.3,32.6,27.1,42.8,48.5,60.7,70.7,78.5,74.6,66.4,54.6,38.8,32.6
Maryland,1902,-1.4,-2.6,7.0,10.5,17.3,21.1,24.1,21.7,18.4,13.8,9.8,0.6,29.5,27.3,44.6,50.9,63.2,69.9,75.4,71.1,65.2,56.8,49.6,33.0
Maryland,1903,-0.6,1.7,9.2,10.9,17.2,18.7,23.6,21.6,18.7,13.3,4.6,-1.1,30.9,35.0,48.5,51.6,63.0,65.7,74.5,70.8,65.7,55.9,40.3,30.1
Maryland,1904,-3.6,-3.2,4.7,9.1,17.3,20.9,22.9,21.9,19.2,11.6,5.0,-1.8,25.6,26.2,40.4,48.3,63.1,69.7,73.2,71.4,66.5,52.8,41.0,28.8
Maryland,1905,-2.3,-4.2,6.4,11.1,17.8,21.3,23.7,22.2,19.1,13.3,5.8,2.2,27.9,24.5,43.5,51.9,64.0,70.3,74.7,72.0,66.4,55.9,42.4,36.0
Maryland,1906,3.3,0.3,2.5,11.8,17.2,22.0,23.2,24.1,21.2,12.8,6.8,1.7,37.9,32.6,36.5,53.3,63.0,71.6,73.8,75.3,70.1,55.0,44.2,35.0
Maryland,1907,1.6,-2.7,7.6,8.0,14.4,18.1,23.4,21.7,19.9,10.2,5.8,2.6,34.8,27.2,45.6,46.4,57.9,64.5,74.2,71.0,67.8,50.4,42.5,36.6
Maryland,1908,0.0,-1.7,7.4,12.1,17.3,21.1,24.6,21.7,18.3,13.8,6.4,1.9,32.0,29.0,45.3,53.8,63.2,70.0,76.2,71.1,65.0,56.8,43.5,35.5
Maryland,1909,1.3,5.0,4.5,11.1,16.6,21.9,22.6,21.7,18.2,10.6,8.8,-1.2,34.3,41.0,40.1,51.9,61.8,71.4,72.6,71.1,64.8,51.0,47.9,29.9
Maryland,1910,-0.4,0.4,8.9,12.9,15.6,19.8,24.1,22.1,20.4,14.6,4.0,-2.2,31.3,32.7,48.1,55.3,60.0,67.6,75.4,71.7,68.7,58.2,39.2,28.0
Maryland,1911,2.2,1.7,4.1,9.0,19.4,21.8,24.8,23.4,20.4,13.1,5.3,4.0,35.9,35.0,39.4,48.2,66.9,71.2,76.6,74.2,68.7,55.5,41.5,39.2
Maryland,1912,-4.8,-1.9,3.9,12.2,17.3,20.4,23.2,21.7,20.3,14.0,7.2,3.1,23.4,28.6,39.0,53.9,63.2,68.8,73.8,71.1,68.6,57.2,45.0,37.5
Maryland,1913,4.9,0.9,8.2,11.8,16.7,21.4,24.1,22.4,18.8,13.9,7.6,3.3,40.9,33.6,46.8,53.2,62.0,70.5,75.4,72.3,65.8,57.0,45.7,38.0
Maryland,1914,1.6,-2.2,2.8,10.4,18.0,22.1,23.1,23.2,17.7,14.7,6.3,-0.6,34.9,28.1,37.0,50.7,64.4,71.7,73.6,73.8,63.9,58.4,43.3,31.0
Maryland,1915,0.7,2.6,2.3,13.4,15.8,20.0,23.3,22.2,20.2,13.8,6.7,0.2,33.3,36.6,36.1,56.1,60.4,68.0,74.0,71.9,68.4,56.9,44.0,32.3
Maryland,1916,3.0,-0.1,1.9,10.4,17.9,19.4,24.1,23.1,18.1,12.8,6.6,0.6,37.4,31.8,35.4,50.7,64.3,66.9,75.3,73.5,64.6,55.0,43.9,33.0
Maryland,1917,0.4,-0.5,4.9,11.1,13.9,21.2,23.7,22.9,16.7,10.3,4.6,-3.3,32.8,31.1,40.8,51.9,57.1,70.2,74.7,73.2,62.0,50.6,40.3,26.1
Maryland,1918,-6.2,0.6,7.3,10.5,19.6,20.3,22.4,24.2,17.1,14.8,6.4,4.1,20.8,33.1,45.2,50.9,67.3,68.6,72.4,75.5,62.7,58.7,43.6,39.3
Maryland,1919,1.6,1.3,7.2,10.6,16.8,21.8,23.8,21.9,19.6,16.7,7.1,-1.1,34.9,34.4,44.9,51.0,62.3,71.3,74.9,71.5,67.3,62.0,44.7,30.1
Maryland,1920,-2.9,-0.9,5.7,10.3,14.4,20.9,22.7,22.7,19.6,15.2,6.4,2.8,26.8,30.4,42.3,50.5,57.9,69.6,72.8,72.9,67.2,59.3,43.5,37.1
Maryland,1921,1.6,2.7,11.7,14.1,16.0,22.3,25.3,21.7,22.4,12.9,7.8,1.8,34.9,36.8,53.0,57.4,60.8,72.1,77.6,71.0,72.3,55.2,46.1,35.3
Maryland,1922,-1.6,2.3,6.4,11.8,17.9,22.6,23.7,21.9,20.1,14.3,7.3,2.1,29.2,36.2,43.6,53.2,64.3,72.7,74.6,71.5,68.2,57.8,45.2,35.8
