state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Michigan,1895,-10.4,-11.4,-5.1,6.6,12.9,18.9,18.4,18.7,16.2,4.8,-0.5,-4.4,13.3,11.5,22.8,43.8,55.3,66.0,65.2,65.7,61.2,40.7,31.1,24.0
Michigan,1896,-7.0,-7.1,-5.2,7.7,15.7,17.9,19.4,18.7,12.3,5.5,0.0,-4.3,19.4,19.3,22.7,45.9,60.3,64.3,67.0,65.6,54.1,41.9,32.0,24.2
Michigan,1897,-7.8,-6.4,-3.2,4.4,10.1,15.4,21.3,16.9,16.3,9.8,-0.4,-6.4,17.9,20.4,26.2,39.9,50.2,59.8,70.4,62.5,61.4,49.6,31.3,20.5
Michigan,1898,-6.2,-7.1,0.1,4.4,12.0,17.8,20.2,18.4,15.9,7.9,-0.3,-6.7,20.8,19.3,32.1,39.9,53.6,64.0,68.4,65.2,60.7,46.3,31.5,19.9
Michigan,1899,-9.1,-12.3,-6.4,6.6,12.5,18.0,19.3,19.6,12.6,9.8,3.1,-5.0,15.6,9.9,20.5,43.9,54.5,64.4,66.8,67.2,54.6,49.7,37.6,23.0
Michigan,1900,-5.7,-10.7,-6.2,6.8,12.8,16.8,18.9,21.5,16.1,12.4,-0.1,-4.6,21.7,12.8,20.8,44.2,55.0,62.3,66.1,70.7,61.0,54.4,31.9,23.8
Michigan,1901,-7.7,-11.2,-3.5,6.2,11.8,18.3,21.9,18.9,14.7,8.7,-0.4,-6.8,18.1,11.8,25.7,43.2,53.2,64.9,71.4,66.0,58.5,47.7,31.2,19.8
Michigan,1902,-7.3,-8.2,1.3,5.6,12.3,14.9,20.2,16.9,13.6,7.8,4.2,-5.7,18.9,17.2,34.4,42.0,54.1,58.8,68.3,62.4,56.5,46.0,39.6,21.7
Michigan,1903,-7.8,-7.6,1.8,5.4,13.1,15.1,19.4,16.3,14.4,8.7,-0.9,-8.6,18.0,18.4,35.2,41.8,55.6,59.1,66.9,61.4,57.9,47.6,30.4,16.5
Michigan,1904,-12.1,-14.5,-3.4,2.7,11.8,16.8,18.6,16.6,13.9,7.2,1.8,-7.3,10.3,5.9,25.9,36.8,53.2,62.3,65.4,61.8,57.0,45.0,35.2,18.9
Michigan,1905,-10.3,-11.6,-1.6,4.6,10.9,16.6,19.0,18.8,15.6,8.0,0.3,-3.5,13.5,11.1,29.2,40.2,51.6,61.9,66.2,65.9,60.1,46.4,32.5,25.7
Michigan,1906,-3.6,-7.8,-5.7,6.8,11.4,17.2,19.1,20.2,17.2,7.7,1.1,-5.3,25.6,18.0,21.8,44.2,52.5,63.0,66.4,68.4,62.9,45.9,33.9,22.5
Michigan,1907,-8.2,-9.2,0.0,0.8,7.6,16.4,18.9,17.3,14.3,6.2,0.3,-4.1,17.2,15.4,32.0,33.5,45.6,61.6,66.1,63.1,57.7,43.1,32.5,24.6
Michigan,1908,-6.6,-8.5,-1.8,5.5,12.4,17.6,20.2,18.2,17.4,9.4,1.8,-5.3,20.2,16.7,28.7,41.9,54.3,63.6,68.4,64.8,63.4,49.0,35.2,22.5
Michigan,1909,-6.2,-5.7,-2.8,3.0,10.7,17.4,19.1,19.7,13.8,6.3,4.0,-6.6,20.8,21.7,26.9,37.4,51.2,63.4,66.4,67.4,56.8,43.4,39.2,20.1
Michigan,1910,-7.7,-9.1,3.7,7.4,9.4,17.3,20.6,18.3,13.8,9.6,-0.7,-7.3,18.2,15.7,38.7,45.3,49.0,63.1,69.0,65.0,56.9,49.3,30.8,18.9
Michigan,1911,-7.1,-5.2,-1.8,4.7,14.9,18.7,20.5,18.2,14.2,7.2,-1.2,-2.3,19.2,22.6,28.8,40.4,58.8,65.7,68.9,64.8,57.6,44.9,29.9,27.8
Michigan,1912,-15.6,-11.2,-6.9,5.4,12.3,16.1,19.3,16.4,15.5,9.2,1.6,-3.2,4.0,11.9,19.6,41.8,54.1,60.9,66.8,61.6,59.9,48.5,34.9,26.3
Michigan,1913,-5.9,-10.1,-3.3,6.1,11.3,18.3,19.6,19.4,14.4,8.6,3.4,-1.3,21.4,13.9,26.0,42.9,52.4,65.0,67.3,67.0,58.0,47.4,38.1,29.7
Michigan,1914,-5.2,-12.3,-3.2,4.4,13.3,17.0,20.3,18.6,14.6,11.0,1.0,-7.3,22.7,9.9,26.3,40.0,55.9,62.6,68.6,65.4,58.2,51.8,33.8,18.8
Michigan,1915,-8.7,-4.3,-3.2,9.0,9.6,14.6,18.1,16.0,15.3,8.7,2.3,-5.6,16.4,24.2,26.3,48.2,49.3,58.3,64.5,60.8,59.5,47.7,36.2,22.0
Michigan,1916,-5.7,-9.6,-5.7,5.2,11.4,14.6,22.9,20.2,13.9,7.7,0.9,-7.3,21.7,14.8,21.8,41.3,52.6,58.2,73.3,68.4,57.0,45.8,33.6,18.8
Michigan,1917,-9.7,-12.7,-2.3,3.4,8.3,14.6,19.7,17.3,13.2,3.8,0.4,-9.3,14.6,9.2,27.8,38.1,47.0,58.2,67.5,63.2,55.7,38.9,32.8,15.3
Michigan,1918,-14.3,-9.3,0.0,4.3,13.6,16.3,19.0,20.0,11.0,9.2,2.7,-2.1,6.2,15.3,32.0,39.8,56.4,61.4,66.2,68.0,51.8,48.6,36.9,28.2
Michigan,1919,-4.6,-5.6,-0.9,5.3,11.2,20.8,21.0,18.3,15.7,8.9,-0.2,-9.3,23.8,22.0,30.3,41.5,52.1,69.4,69.8,65.0,60.3,48.0,31.7,15.3
Michigan,1920,-12.6,-9.6,-1.3,2.3,10.8,17.7,18.1,18.0,16.0,12.2,0.6,-2.9,9.3,14.7,29.7,36.2,51.5,63.9,64.5,64.4,60.8,53.9,33.0,26.8
