state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Minnesota,1895,-18.1,-14.6,-4.8,8.9,12.9,17.2,19.0,18.3,14.8,4.3,-3.9,-9.8,-0.6,5.7,23.3,48.0,55.2,62.9,66.2,65.0,58.7,39.7,24.9,14.3
Minnesota,1896,-13.1,-9.6,-7.6,5.5,15.0,18.3,19.7,18.5,11.7,4.6,-9.6,-8.7,8.4,14.8,18.3,41.9,59.0,65.0,67.5,65.3,53.0,40.3,14.8,16.4
Minnesota,1897,-16.2,-11.2,-7.9,5.3,11.9,16.0,21.4,17.2,17.2,8.3,-5.1,-13.2,2.9,11.8,17.8,41.6,53.5,60.8,70.5,62.9,63.0,47.0,22.9,8.2
Minnesota,1898,-9.9,-10.5,-2.7,5.1,11.8,17.7,19.9,18.1,14.4,4.5,-4.6,-13.2,14.1,13.1,27.2,41.2,53.2,63.8,67.9,64.5,58.0,40.1,23.8,8.2
Minnesota,1899,-15.2,-17.3,-11.7,5.2,11.6,17.6,20.2,19.2,12.4,7.7,2.6,-9.9,4.6,0.8,10.9,41.4,52.8,63.7,68.4,66.6,54.3,45.8,36.6,14.1
Minnesota,1900,-9.6,-16.1,-6.1,8.9,14.2,18.2,19.3,22.0,13.7,11.4,-5.2,-9.3,14.7,3.0,21.0,48.1,57.5,64.8,66.7,71.6,56.7,52.6,22.6,15.3
Minnesota,1901,-13.2,-14.0,-4.3,6.9,13.7,17.7,22.5,19.7,12.8,8.1,-3.6,-12.2,8.2,6.8,24.3,44.4,56.6,63.8,72.5,67.4,55.0,46.6,25.6,10.1
Minnesota,1902,-11.1,-10.8,-0.4,4.6,13.5,15.4,20.2,17.4,11.7,6.8,-0.9,-12.4,12.0,12.6,31.2,40.2,56.3,59.8,68.4,63.4,53.0,44.3,30.3,9.6
Minnesota,1903,-13.6,-13.5,-2.9,5.3,12.8,16.3,18.7,16.4,11.8,7.6,-4.4,-14.4,7.5,7.7,26.8,41.5,55.1,61.3,65.7,61.6,53.2,45.7,24.1,6.0
Minnesota,1904,-17.1,-18.4,-5.7,2.7,12.0,16.4,18.1,17.2,12.6,7.2,1.2,-10.7,1.2,-1.1,21.7,36.8,53.6,61.6,64.5,62.9,54.6,44.9,34.1,12.8
Minnesota,1905,-17.6,-14.3,-1.0,4.2,10.3,16.2,18.9,19.5,15.4,5.2,-1.1,-8.6,0.4,6.3,30.2,39.6,50.6,61.2,66.0,67.1,59.7,41.3,30.1,16.6
Minnesota,1906,-10.6,-12.3,-7.8,7.8,11.1,16.9,19.3,19.2,16.3,6.3,-2.2,-11.3,13.0,9.9,17.9,46.0,51.9,62.4,66.8,66.5,61.4,43.4,28.0,11.7
Minnesota,1907,-18.2,-11.3,-3.9,0.2,6.5,16.8,19.4,17.9,12.3,6.2,-1.6,-7.7,-0.8,11.6,24.9,32.3,43.7,62.3,66.9,64.3,54.1,43.2,29.2,18.2
Minnesota,1908,-10.4,-9.3,-4.7,6.4,11.3,16.4,20.1,17.6,16.7,7.2,-0.3,-10.1,13.2,15.2,23.5,43.5,52.4,61.6,68.2,63.7,62.0,45.0,31.4,13.9
Minnesota,1909,-14.1,-12.0,-4.7,1.0,10.8,17.7,19.8,20.7,13.9,6.0,-0.7,-13.7,6.6,10.4,23.5,33.8,51.4,63.9,67.7,69.2,57.0,42.8,30.8,7.3
Minnesota,1910,-12.8,-15.1,4.1,8.0,10.1,19.3,20.7,17.9,13.7,9.3,-5.0,-11.6,9.0,4.9,39.3,46.4,50.1,66.8,69.2,64.2,56.6,48.7,23.0,11.2
Minnesota,1911,-16.8,-10.1,-0.8,5.1,14.4,20.3,19.6,17.1,12.8,5.3,-7.8,-8.4,1.8,13.8,30.5,41.1,58.0,68.5,67.2,62.8,55.1,41.6,17.9,16.9
Minnesota,1912,-23.0,-13.0,-7.8,6.4,12.5,16.2,19.7,16.8,13.0,7.5,-0.2,-8.1,-9.4,8.6,17.9,43.6,54.5,61.2,67.5,62.2,55.4,45.5,31.7,17.4
Minnesota,1913,-15.3,-14.2,-7.7,7.1,10.6,18.9,18.9,19.8,13.8,4.8,1.4,-4.7,4.4,6.4,18.2,44.8,51.1,66.1,66.0,67.7,56.8,40.7,34.5,23.6
Minnesota,1914,-10.0,-17.4,-4.1,4.0,13.5,17.5,21.8,18.0,14.4,10.2,-0.9,-14.3,14.0,0.6,24.6,39.2,56.3,63.5,71.2,64.4,58.0,50.3,30.3,6.2
Minnesota,1915,-14.7,-6.9,-4.4,10.3,10.1,14.5,17.5,17.1,13.7,8.0,-1.5,-9.0,5.5,19.5,24.1,50.6,50.2,58.1,63.5,62.7,56.6,46.4,29.3,15.8
Minnesota,1916,-17.6,-15.0,-6.5,3.9,11.0,15.0,23.6,19.2,12.7,5.2,-2.0,-15.1,0.4,5.0,20.3,39.1,51.8,59.0,74.4,66.6,54.8,41.3,28.4,4.8
Minnesota,1917,-17.8,-17.9,-5.2,3.1,10.3,15.2,20.8,17.3,13.1,1.2,0.9,-16.6,-0.1,-0.3,22.6,37.6,50.6,59.4,69.5,63.2,55.6,34.2,33.6,2.2
