state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Mississippi,1895,5.8,3.0,13.0,18.0,21.2,25.8,26.9,26.8,25.8,15.3,11.6,7.8,42.5,37.4,55.4,64.4,70.2,78.4,80.5,80.2,78.5,59.5,52.8,46.0
Mississippi,1896,6.6,8.9,11.8,20.4,25.0,25.8,28.2,28.1,23.6,17.3,13.8,8.4,43.8,48.0,53.2,68.8,77.0,78.4,82.8,82.5,74.5,63.2,56.9,47.2
Mississippi,1897,5.3,10.6,16.2,17.4,20.9,27.1,27.9,26.8,24.8,20.1,12.7,8.3,41.6,51.0,61.1,63.3,69.7,80.8,82.3,80.2,76.6,68.2,54.9,47.0
Mississippi,1898,9.9,8.9,15.0,15.5,23.4,26.9,26.8,26.8,24.5,16.1,9.9,5.8,49.8,48.1,59.0,59.9,74.1,80.5,80.3,80.2,76.1,61.0,49.8,42.4
Mississippi,1899,6.9,3.1,13.3,16.9,24.9,26.6,27.4,28.0,22.7,19.6,13.3,7.2,44.4,37.5,56.0,62.5,76.9,79.8,81.4,82.4,72.9,67.3,56.0,44.9
Mississippi,1900,6.9,7.1,11.9,18.0,22.1,25.2,26.9,27.5,26.2,20.0,12.8,8.4,44.5,44.8,53.5,64.4,71.7,77.3,80.5,81.5,79.1,68.0,55.0,47.1
Mississippi,1901,8.3,6.8,12.4,15.2,21.2,26.8,28.5,26.7,22.8,17.6,10.3,5.8,47.0,44.2,54.3,59.4,70.1,80.2,83.3,80.1,73.0,63.7,50.5,42.5
Mississippi,1902,6.1,5.0,13.7,17.6,24.6,27.4,28.1,28.0,22.8,17.7,15.1,7.7,43.0,41.0,56.6,63.7,76.2,81.3,82.5,82.4,73.1,63.9,59.1,45.8
Mississippi,1903,6.8,8.8,15.1,17.1,21.5,23.2,27.2,27.1,22.9,17.7,10.5,5.6,44.2,47.8,59.1,62.7,70.7,73.8,80.9,80.7,73.2,63.8,50.9,42.0
Mississippi,1904,5.6,10.3,15.3,16.1,21.2,25.8,26.1,26.3,25.4,18.6,11.3,7.9,42.0,50.6,59.5,61.0,70.2,78.5,79.0,79.4,77.7,65.4,52.4,46.2
Mississippi,1905,4.0,3.6,15.6,17.9,23.7,26.4,26.3,27.1,24.7,17.8,13.5,5.7,39.2,38.4,60.0,64.2,74.6,79.6,79.3,80.8,76.5,64.1,56.3,42.3
