state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Missouri,1895,-4.2,-4.7,5.9,14.4,18.2,23.1,23.7,24.1,22.0,10.7,5.1,1.1,24.5,23.6,42.6,58.0,64.8,73.5,74.7,75.4,71.6,51.3,41.1,34.0
Missouri,1896,0.2,1.9,3.6,16.6,21.1,22.6,25.3,24.8,18.4,12.2,5.6,3.4,32.3,35.5,38.5,61.8,70.0,72.7,77.6,76.7,65.2,54.0,42.1,38.2
Missouri,1897,-2.4,1.4,6.7,12.2,16.8,23.1,26.1,23.4,23.2,16.9,5.9,-1.8,27.7,34.5,44.0,54.0,62.2,73.6,78.9,74.1,73.8,62.5,42.7,28.7
Missouri,1898,1.1,1.6,6.9,11.1,18.6,24.1,24.6,24.3,21.6,11.8,4.1,-2.1,33.9,34.9,44.4,52.0,65.4,75.4,76.2,75.7,70.8,53.2,39.4,28.2
Missouri,1899,-1.4,-6.6,2.8,12.0,19.4,23.3,24.4,25.9,19.4,16.6,9.2,-1.2,29.4,20.1,37.1,53.6,66.9,74.0,75.9,78.7,67.0,61.8,48.5,29.8
Missouri,1900,0.9,-3.3,4.8,13.3,18.8,22.8,24.8,26.6,21.6,16.4,6.1,1.7,33.7,26.1,40.6,55.9,65.9,73.0,76.6,79.9,70.9,61.5,43.0,35.0
Missouri,1901,1.1,-2.3,5.9,11.6,17.5,25.3,29.4,25.6,20.2,15.1,5.8,-2.3,34.0,27.9,42.6,52.8,63.5,77.5,85.0,78.1,68.4,59.2,42.5,27.9
Missouri,1902,-1.5,-4.8,7.1,11.8,20.7,21.6,24.9,23.8,16.9,14.7,9.6,-1.1,29.3,23.4,44.8,53.2,69.3,70.9,76.8,74.9,62.4,58.5,49.2,30.1
Missouri,1903,-0.8,-1.5,7.8,12.8,18.2,19.4,25.1,23.4,18.8,13.5,4.4,-1.4,30.5,29.3,46.1,55.1,64.8,66.9,77.2,74.2,65.9,56.3,39.9,29.5
Missouri,1904,-3.1,-1.2,6.9,9.1,17.2,21.3,23.3,22.9,20.6,13.8,7.2,0.1,26.4,29.9,44.4,48.3,63.0,70.4,74.0,73.2,69.1,56.8,44.9,32.2
Missouri,1905,-5.9,-6.2,9.6,12.3,18.2,23.8,22.9,24.3,20.6,12.4,7.1,0.0,21.3,20.8,49.3,54.2,64.8,74.8,73.2,75.8,69.0,54.3,44.7,32.0
Missouri,1906,0.8,0.0,0.4,14.6,18.6,22.1,23.3,24.2,21.8,12.7,4.7,1.8,33.5,32.0,32.8,58.2,65.4,71.7,73.9,75.6,71.3,54.8,40.5,35.3
Missouri,1907,1.3,0.9,11.3,8.4,14.8,21.2,25.3,24.7,19.8,12.9,5.4,2.1,34.3,33.6,52.4,47.2,58.7,70.2,77.5,76.5,67.7,55.2,41.7,35.7
Missouri,1908,0.0,0.9,9.2,12.7,18.6,21.8,24.3,24.1,21.2,12.7,7.3,2.6,32.0,33.7,48.5,54.8,65.4,71.3,75.7,75.3,70.1,54.8,45.2,36.6
Missouri,1909,-0.3,2.8,6.1,11.8,16.9,22.8,24.7,26.1,20.0,13.3,11.1,-4.6,31.5,37.0,42.9,53.2,62.4,73.0,76.4,79.0,68.0,56.0,51.9,23.7
Missouri,1910,-0.8,-2.0,12.9,12.4,15.7,21.2,24.9,23.7,20.6,14.7,5.1,-1.0,30.6,28.4,55.2,54.3,60.2,70.1,76.8,74.6,69.0,58.5,41.2,30.2
Missouri,1911,1.2,3.2,7.8,11.7,20.2,25.8,25.4,24.0,22.8,13.3,3.2,1.8,34.2,37.8,46.1,53.0,68.4,78.5,77.7,75.2,73.1,55.9,37.8,35.3
Missouri,1912,-7.6,-2.8,1.2,12.8,19.4,20.6,25.8,24.2,20.0,14.4,6.7,1.6,18.4,26.9,34.2,55.0,67.0,69.0,78.4,75.6,68.0,57.9,44.0,34.9
Missouri,1913,-0.4,-1.7,4.3,12.7,18.6,23.9,26.6,27.8,20.3,12.1,9.9,2.7,31.2,28.9,39.7,54.9,65.4,75.0,79.8,82.1,68.5,53.7,49.9,36.8
Missouri,1914,2.2,-2.7,5.4,12.2,18.9,26.0,26.8,25.2,20.4,14.4,8.3,-3.9,35.9,27.2,41.8,54.0,66.0,78.8,80.2,77.3,68.8,58.0,47.0,25.0
Missouri,1915,-2.7,3.4,1.6,15.7,17.2,21.2,23.5,20.7,20.9,14.7,8.9,0.7,27.2,38.1,34.8,60.3,63.0,70.2,74.3,69.3,69.7,58.4,48.0,33.2
Missouri,1916,-1.0,-0.7,6.9,11.3,18.4,20.9,27.2,26.0,19.4,14.0,7.3,-1.0,30.2,30.7,44.4,52.4,65.2,69.6,81.0,78.8,67.0,57.2,45.2,30.2
Missouri,1917,0.0,-1.3,6.7,11.3,14.7,21.5,25.2,22.7,19.5,9.6,6.9,-4.6,32.0,29.7,44.1,52.3,58.5,70.7,77.3,72.8,67.1,49.2,44.5,23.7
Missouri,1918,-9.4,1.3,10.2,10.1,20.2,24.8,24.8,27.3,16.4,15.4,6.3,3.9,15.1,34.3,50.4,50.2,68.3,76.6,76.6,81.2,61.5,59.8,43.4,39.1
Missouri,1919,0.6,1.4,7.4,12.6,16.4,23.6,26.1,24.1,21.4,14.4,5.3,-2.2,33.0,34.5,45.4,54.6,61.6,74.5,78.9,75.3,70.6,58.0,41.5,28.1
Missouri,1920,-2.4,1.1,6.7,9.9,17.6,22.3,24.5,22.5,20.8,15.7,4.5,1.7,27.6,34.0,44.1,49.8,63.6,72.1,76.1,72.5,69.5,60.3,40.1,35.0
Missouri,1921,2.4,4.3,10.9,12.9,18.7,24.4,26.7,24.7,22.8,13.7,6.8,2.3,36.3,39.7,51.6,55.3,65.7,76.0,80.0,76.4,73.0,56.6,44.2,36.1
Missouri,1922,-2.3,1.6,6.7,13.3,19.1,24.2,24.6,24.8,21.4,14.8,7.8,1.7,27.8,34.9,44.0,56.0,66.3,75.6,76.3,76.6,70.6,58.7,46.1,35.1
Missouri,1923,3.2,-1.3,4.5,12.0,16.8,22.9,25.4,24.9,20.0,11.2,6.8,4.7,37.7,29.7,40.1,53.6,62.3,73.2,77.7,76.9,68.0,52.2,44.2,40.4
Missouri,1924,-4.4,0.7,3.1,13.3,14.7,22.4,22.8,24.8,17.4,16.1,7.4,-2.7,24.1,33.3,37.6,56.0,58.5,72.3,73.0,76.6,63.3,60.9,45.4,27.2
Missouri,1925,-1.7,3.7,8.4,15.7,16.2,24.6,25.3,24.4,23.3,8.9,5.2,-0.5,29.0,38.6,47.2,60.3,61.1,76.2,77.6,75.9,74.0,48.1,41.4,31.1
Missouri,1926,-0.3,3.7,3.8,9.4,19.2,21.4,25.3,24.9,20.6,13.6,3.7,-0.1,31.4,38.7,38.9,49.0,66.5,70.5,77.6,76.9,69.0,56.5,38.6,31.9
Missouri,1927,-1.1,4.9,7.3,13.9,17.9,21.1,24.1,21.4,21.6,15.6,7.8,-1.4,30.0,40.8,45.2,57.1,64.3,69.9,75.3,70.5,70.8,60.0,46.1,29.5
Missouri,1928,0.1,2.3,7.4,10.3,18.4,19.7,25.0,24.5,17.9,15.6,6.2,1.9,32.1,36.1,45.4,50.5,65.2,67.4,77.0,76.1,64.2,60.1,43.2,35.4
Missouri,1929,-4.2,-4.3,8.7,13.6,16.2,21.6,25.3,24.1,19.5,13.6,3.3,1.4,24.4,24.2,47.7,56.5,61.2,70.9,77.6,75.4,67.1,56.4,37.9,34.5
Missouri,1930,-6.8,6.3,5.8,14.7,17.8,22.2,27.2,25.5,21.6,12.5,6.9,0.7,19.8,43.4,42.5,58.4,64.1,71.9,80.9,77.9,70.8,54.5,44.4,33.2
Missouri,1931,1.4,4.5,3.8,12.1,15.9,24.7,26.6,23.4,23.8,16.0,10.6,5.3,34.6,40.1,38.8,53.8,60.6,76.4,79.9,74.2,74.8,60.8,51.0,41.6
Missouri,1932,1.9,5.4,3.1,13.7,18.6,23.7,26.3,24.9,19.4,12.7,3.4,-0.8,35.5,41.8,37.6,56.7,65.4,74.6,79.4,76.8,67.0,54.9,38.2,30.6
Missouri,1933,4.5,-0.2,6.3,12.2,18.6,25.3,26.1,23.8,23.2,13.1,7.1,3.6,40.1,31.6,43.4,53.9,65.5,77.6,78.9,74.8,73.8,55.5,44.7,38.4
Missouri,1934,1.7,-0.2,4.7,13.0,20.1,26.5,29.8,26.7,18.3,15.6,8.6,-0.6,35.1,31.6,40.5,55.4,68.1,79.7,85.7,80.1,65.0,60.1,47.4,30.9
Missouri,1935,0.1,2.6,9.9,10.7,15.6,20.7,26.9,25.1,19.7,13.4,4.9,-1.4,32.1,36.7,49.8,51.3,60.0,69.2,80.4,77.2,67.5,56.1,40.8,29.4
Missouri,1936,-5.1,-5.7,9.0,11.1,20.1,24.4,29.3,28.8,22.7,13.2,4.9,2.9,22.8,21.8,48.2,52.0,68.2,76.0,84.8,83.9,72.8,55.8,40.8,37.2
Missouri,1937,-2.8,-0.4,4.0,11.9,18.6,23.2,25.3,26.5,20.3,12.9,4.1,-0.8,27.0,31.2,39.2,53.4,65.5,73.7,77.5,79.7,68.5,55.3,39.3,30.6
Missouri,1938,-0.2,4.4,11.3,13.1,17.9,22.1,26.2,26.9,21.4,17.1,6.9,1.4,31.6,40.0,52.4,55.5,64.2,71.7,79.1,80.4,70.6,62.7,44.4,34.6
Missouri,1939,2.9,-0.1,7.7,11.3,19.2,23.2,26.3,23.7,23.7,15.7,5.5,3.1,37.3,31.9,45.9,52.4,66.6,73.8,79.4,74.7,74.6,60.2,41.9,37.5
Missouri,1940,-10.1,0.1,5.4,11.6,16.7,22.7,25.1,23.7,19.9,16.6,4.8,2.8,13.9,32.1,41.8,52.9,62.0,72.9,77.2,74.7,67.9,61.8,40.6,37.1
Missouri,1941,0.6,-0.3,4.1,14.4,20.1,23.0,26.0,25.8,21.5,15.8,6.6,3.4,33.0,31.5,39.3,58.0,68.1,73.4,78.8,78.5,70.7,60.5,43.9,38.2
Missouri,1942,-1.2,-0.2,7.0,14.4,17.2,22.6,25.6,23.6,19.2,13.8,8.0,-0.4,29.8,31.7,44.6,58.0,63.0,72.7,78.1,74.4,66.5,56.9,46.4,31.2
Missouri,1943,-1.3,3.3,3.6,12.6,17.2,23.9,26.1,26.1,18.2,12.8,5.0,-1.1,29.6,38.0,38.4,54.7,63.0,75.1,78.9,79.0,64.8,55.1,41.0,30.1
Missouri,1944,1.1,2.5,4.5,10.4,19.8,24.2,25.0,23.9,20.1,14.7,7.5,-2.4,33.9,36.5,40.1,50.8,67.6,75.6,77.0,75.1,68.2,58.4,45.5,27.7
Missouri,1945,-1.9,1.3,10.8,12.7,15.5,20.4,23.6,24.5,20.4,13.1,7.1,-3.1,28.5,34.3,51.4,54.8,59.9,68.8,74.5,76.1,68.7,55.6,44.7,26.4
Missouri,1946,0.1,4.2,12.2,14.7,15.9,22.9,25.7,22.9,19.4,15.6,7.4,3.9,32.1,39.5,54.0,58.4,60.7,73.2,78.3,73.3,67.0,60.0,45.3,39.0
Missouri,1947,0.7,-2.4,2.3,12.3,16.4,22.2,23.6,28.1,21.8,17.8,4.2,2.4,33.3,27.7,36.2,54.1,61.6,71.9,74.4,82.5,71.2,64.0,39.5,36.4
Missouri,1948,-4.3,0.0,5.2,15.3,17.3,22.5,24.8,24.1,20.8,12.6,7.1,2.0,24.3,32.0,41.3,59.5,63.2,72.5,76.7,75.4,69.4,54.7,44.8,35.6
Missouri,1949,-1.7,1.1,5.7,11.8,19.4,23.6,25.7,23.4,16.8,14.6,7.9,2.6,29.0,34.0,42.3,53.2,66.9,74.5,78.2,74.2,62.3,58.3,46.2,36.6
Missouri,1950,1.1,1.9,4.3,10.2,18.4,22.3,22.3,21.3,18.6,16.7,3.6,-1.7,34.0,35.4,39.8,50.3,65.1,72.2,72.1,70.4,65.5,62.1,38.5,28.9
