state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Montana,1895,-12.4,-9.3,-1.9,7.1,9.6,12.5,17.3,16.8,10.4,6.0,-2.8,-6.6,9.6,15.3,28.6,44.7,49.2,54.5,63.2,62.2,50.7,42.8,27.0,20.1
Montana,1896,-9.1,-3.1,-4.6,3.3,8.3,15.7,18.9,16.8,9.7,5.8,-10.6,-1.6,15.7,26.5,23.7,37.9,47.0,60.3,66.0,62.2,49.4,42.4,12.9,29.2
Montana,1897,-8.8,-7.9,-8.4,5.9,13.8,14.4,17.2,18.5,13.8,6.1,-5.3,-6.8,16.2,17.7,16.8,42.6,56.8,57.9,62.9,65.3,56.9,42.9,22.5,19.7
Montana,1898,-7.1,-3.6,-6.3,5.1,9.4,14.2,17.8,19.0,11.9,2.8,-3.7,-7.5,19.3,25.6,20.7,41.2,49.0,57.6,64.0,66.2,53.5,37.1,25.4,18.5
Montana,1899,-8.4,-14.2,-8.3,2.7,7.4,13.3,18.4,15.7,13.3,4.2,2.8,-6.4,16.8,6.5,17.1,36.9,45.4,56.0,65.2,60.3,56.0,39.6,37.0,20.4
Montana,1900,-3.4,-8.5,-0.1,7.3,12.6,17.9,18.3,16.8,11.1,6.3,-3.7,-2.3,25.8,16.7,31.9,45.2,54.6,64.2,64.9,62.2,52.0,43.4,25.4,27.9
Montana,1901,-7.6,-8.7,-0.3,4.9,13.4,11.7,19.9,18.7,9.3,8.2,0.8,-4.9,18.4,16.4,31.4,40.9,56.1,53.0,67.9,65.6,48.7,46.7,33.4,23.1
Montana,1902,-7.2,-5.9,-1.8,3.7,10.9,12.6,16.6,16.8,10.7,6.8,-2.3,-8.7,19.0,21.4,28.8,38.6,51.7,54.6,61.8,62.2,51.3,44.2,27.8,16.3
Montana,1903,-5.6,-9.8,-4.2,4.1,8.6,15.6,16.3,16.6,10.4,7.4,-3.0,-3.6,21.9,14.3,24.4,39.4,47.5,60.0,61.4,61.8,50.8,45.3,26.6,25.6
Montana,1904,-6.5,-10.9,-5.9,5.3,9.8,13.9,17.9,17.2,12.4,7.4,2.9,-4.5,20.3,12.4,21.4,41.6,49.7,57.1,64.2,62.9,54.3,45.3,37.2,23.9
Montana,1905,-9.8,-9.8,2.4,4.9,8.2,12.9,18.1,18.8,13.8,3.6,-0.3,-5.4,14.3,14.3,36.3,40.8,46.8,55.3,64.5,65.8,56.8,38.4,31.5,22.3
Montana,1906,-5.6,-3.9,-5.2,7.1,9.1,13.1,18.9,17.1,13.8,7.1,-2.4,-6.1,22.0,25.0,22.6,44.8,48.4,55.5,66.1,62.8,56.8,44.8,27.7,21.1
Montana,1907,-16.1,-5.3,-1.4,2.2,7.2,13.0,16.8,15.8,11.2,8.2,0.7,-4.3,3.1,22.5,29.5,36.0,45.0,55.4,62.3,60.4,52.2,46.8,33.2,24.3
Montana,1908,-4.9,-5.6,-2.5,6.4,8.8,12.8,19.3,16.3,13.4,4.5,0.3,-5.5,23.1,21.9,27.5,43.5,47.9,55.1,66.7,61.4,56.1,40.1,32.6,22.1
Montana,1909,-11.8,-6.0,-1.4,0.8,8.4,14.7,17.8,18.4,13.3,6.0,-0.6,-11.2,10.7,21.2,29.4,33.5,47.2,58.4,64.1,65.1,56.0,42.8,30.9,11.9
Montana,1910,-7.7,-11.0,5.1,9.2,10.4,15.9,19.7,15.6,11.3,8.1,-1.2,-5.3,18.2,12.2,41.2,48.5,50.8,60.7,67.4,60.1,52.4,46.6,29.8,22.4
Montana,1911,-10.8,-10.2,1.8,3.9,9.4,16.1,16.7,15.2,10.9,4.5,-5.8,-6.9,12.6,13.7,35.2,39.0,49.0,61.0,62.0,59.3,51.7,40.1,21.5,19.5
