state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New Hampshire,1895,-9.1,-10.4,-4.2,4.6,13.2,18.3,17.8,17.3,14.3,4.6,1.6,-4.4,15.7,13.3,24.4,40.2,55.7,65.0,64.0,63.1,57.7,40.3,34.9,24.1
New Hampshire,1896,-9.6,-7.8,-5.1,5.7,13.3,15.9,19.8,18.1,12.9,5.8,2.2,-7.3,14.8,18.0,22.8,42.3,56.0,60.6,67.6,64.6,55.2,42.5,36.0,18.8
New Hampshire,1897,-7.8,-6.9,-2.6,5.6,11.7,14.1,20.4,17.1,12.9,7.3,-0.4,-5.3,17.9,19.5,27.3,42.1,53.0,57.4,68.8,62.7,55.3,45.2,31.3,22.4
New Hampshire,1898,-9.3,-5.4,0.9,3.2,11.1,16.5,19.6,18.8,14.8,8.1,0.2,-6.6,15.2,22.2,33.7,37.8,51.9,61.7,67.3,65.9,58.6,46.6,32.4,20.1
New Hampshire,1899,-8.9,-8.9,-4.3,4.3,11.4,17.3,18.9,17.7,12.5,8.2,-0.3,-3.8,15.9,16.0,24.3,39.7,52.5,63.2,66.0,63.8,54.5,46.7,31.5,25.1
New Hampshire,1900,-8.2,-8.1,-5.4,4.5,9.4,17.2,19.4,18.4,14.6,10.2,1.7,-6.7,17.2,17.5,22.2,40.1,49.0,62.9,67.0,65.1,58.2,50.3,35.0,19.9
New Hampshire,1901,-9.0,-10.9,-2.8,5.8,11.4,17.5,20.3,18.6,14.2,7.5,-2.4,-5.8,15.8,12.3,26.9,42.5,52.5,63.5,68.5,65.4,57.6,45.5,27.7,21.5
New Hampshire,1902,-9.2,-7.3,2.0,5.6,10.7,14.4,17.3,15.9,13.8,6.9,2.8,-8.0,15.4,18.8,35.6,42.0,51.2,58.0,63.1,60.7,56.8,44.5,37.0,17.6
New Hampshire,1903,-8.2,-6.3,2.6,4.8,12.6,13.6,18.1,14.2,14.2,7.4,-1.2,-8.3,17.2,20.7,36.7,40.7,54.6,56.4,64.6,57.6,57.5,45.3,29.9,17.1
New Hampshire,1904,-12.7,-11.4,-3.4,3.5,13.9,15.8,18.7,16.4,12.3,5.5,-2.7,-10.7,9.1,11.4,25.8,38.3,57.0,60.5,65.6,61.6,54.2,41.9,27.1,12.8
New Hampshire,1905,-10.7,-11.2,-3.1,4.2,11.0,15.2,19.3,16.4,12.9,7.1,-0.7,-4.8,12.8,11.8,26.4,39.6,51.8,59.3,66.7,61.6,55.2,44.8,30.8,23.4
New Hampshire,1906,-4.7,-7.6,-5.7,4.1,10.7,16.0,18.8,19.2,14.6,7.7,-0.1,-8.9,23.6,18.4,21.8,39.4,51.2,60.8,65.9,66.6,58.2,45.8,31.8,15.9
New Hampshire,1907,-10.1,-12.0,-2.4,2.5,8.3,15.6,18.8,16.4,13.7,4.8,0.1,-3.7,13.8,10.4,27.6,36.5,47.0,60.0,65.9,61.6,56.6,40.7,32.1,25.3
New Hampshire,1908,-7.2,-9.8,-2.2,3.4,12.7,16.9,20.4,16.7,15.2,8.7,0.4,-6.6,19.0,14.4,28.1,38.1,54.8,62.4,68.7,62.0,59.4,47.6,32.8,20.2
New Hampshire,1909,-7.4,-6.5,-3.3,4.1,10.3,16.6,17.5,16.7,13.2,6.8,2.4,-6.6,18.6,20.3,26.1,39.4,50.5,61.9,63.5,62.0,55.7,44.2,36.4,20.2
New Hampshire,1910,-6.8,-8.3,0.8,7.5,10.9,14.9,19.5,16.7,13.2,7.9,0.0,-9.2,19.8,17.0,33.5,45.5,51.6,58.9,67.1,62.0,55.8,46.2,32.0,15.4
New Hampshire,1911,-7.3,-9.4,-4.5,3.1,14.8,15.3,20.8,17.4,12.5,6.6,-0.2,-2.2,18.9,15.0,23.9,37.6,58.7,59.5,69.4,63.4,54.5,43.9,31.6,28.1
New Hampshire,1912,-13.1,-9.0,-4.3,4.4,11.7,14.9,19.0,15.6,12.8,8.4,1.4,-3.0,8.4,15.8,24.2,39.9,53.1,58.8,66.2,60.1,55.1,47.2,34.5,26.6
New Hampshire,1913,-3.1,-8.8,0.2,5.8,9.8,15.5,19.0,17.4,12.7,10.1,2.4,-3.7,26.4,16.1,32.4,42.5,49.7,59.9,66.2,63.3,54.9,50.2,36.4,25.3
New Hampshire,1914,-9.5,-11.7,-2.2,2.8,12.1,15.0,17.5,17.4,13.2,9.4,-0.6,-7.3,14.9,11.0,28.0,37.0,53.7,59.0,63.5,63.4,55.7,48.9,31.0,18.8
New Hampshire,1915,-6.5,-4.8,-3.4,7.3,9.5,15.2,18.0,16.8,15.2,8.3,1.7,-5.1,20.3,23.3,25.9,45.1,49.1,59.4,64.4,62.3,59.4,46.9,35.0,22.8
New Hampshire,1916,-6.4,-9.1,-6.3,4.4,11.1,14.1,20.2,18.6,13.3,7.8,-0.4,-6.4,20.4,15.6,20.7,39.9,52.0,57.4,68.4,65.4,56.0,46.1,31.3,20.4
New Hampshire,1917,-8.7,-10.2,-2.8,3.0,6.8,15.7,19.7,18.9,11.8,5.8,-1.8,-12.4,16.3,13.6,26.9,37.4,44.3,60.3,67.5,66.0,53.3,42.5,28.7,9.6
New Hampshire,1918,-13.8,-10.3,-2.8,4.9,14.1,13.9,19.1,18.1,11.6,8.3,1.3,-4.7,7.2,13.5,26.9,40.8,57.4,57.1,66.4,64.6,52.9,47.0,34.4,23.5
New Hampshire,1919,-6.2,-6.3,0.0,4.6,11.7,18.1,20.0,16.5,13.5,7.7,0.4,-8.8,20.9,20.7,32.0,40.3,53.0,64.5,68.0,61.7,56.3,45.9,32.8,16.2
New Hampshire,1920,-13.3,-8.7,-1.7,3.1,10.1,15.9,18.0,19.4,14.4,10.6,-0.9,-4.4,8.1,16.3,29.0,37.5,50.1,60.7,64.4,67.0,57.9,51.0,30.3,24.0
New Hampshire,1921,-7.2,-6.4,2.6,8.2,12.1,16.3,21.4,16.7,15.0,7.6,-0.7,-7.6,19.0,20.4,36.6,46.7,53.8,61.4,70.6,62.1,59.0,45.6,30.7,18.3
New Hampshire,1922,-10.7,-7.8,-1.4,4.9,12.6,17.1,18.9,17.7,14.2,7.6,1.0,-7.5,12.7,18.0,29.5,40.9,54.6,62.8,66.0,63.9,57.6,45.6,33.8,18.5
New Hampshire,1923,-10.7,-11.9,-5.3,4.0,10.4,16.7,17.2,16.3,14.5,7.9,1.3,-1.6,12.8,10.5,22.4,39.2,50.7,62.0,63.0,61.4,58.1,46.2,34.3,29.2
New Hampshire,1924,-7.3,-10.8,-1.7,3.7,9.5,15.0,18.8,17.6,12.3,7.6,1.1,-7.8,18.8,12.6,28.9,38.6,49.1,59.0,65.8,63.6,54.1,45.6,34.0,17.9
New Hampshire,1925,-11.3,-3.7,0.2,5.5,9.4,17.6,17.8,17.3,13.4,3.4,0.4,-5.8,11.6,25.4,32.4,41.9,49.0,63.6,64.0,63.2,56.2,38.1,32.7,21.6
New Hampshire,1926,-8.0,-9.4,-5.7,1.3,9.8,14.1,18.2,17.3,13.0,6.3,0.7,-8.9,17.6,15.1,21.8,34.4,49.7,57.4,64.8,63.1,55.4,43.4,33.3,15.9
New Hampshire,1927,-7.8,-6.1,-0.3,4.6,9.4,14.1,18.9,15.9,13.4,9.1,3.6,-4.2,17.9,21.0,31.4,40.3,49.0,57.3,66.1,60.6,56.2,48.4,38.5,24.4
New Hampshire,1928,-6.7,-7.6,-3.1,3.4,10.2,14.8,19.6,19.5,12.1,8.2,1.0,-2.9,20.0,18.3,26.5,38.2,50.4,58.7,67.2,67.1,53.7,46.8,33.8,26.7
New Hampshire,1929,-8.9,-7.7,-0.5,4.5,11.8,16.8,18.6,16.2,14.5,6.8,0.9,-6.4,15.9,18.2,31.1,40.1,53.3,62.3,65.4,61.2,58.1,44.3,33.7,20.5
New Hampshire,1930,-7.3,-6.4,-2.0,3.9,12.2,18.9,18.5,16.8,15.2,7.2,1.6,-5.2,18.9,20.4,28.4,39.1,54.0,66.0,65.3,62.2,59.3,44.9,34.9,22.6
New Hampshire,1931,-8.6,-7.0,-0.6,5.8,12.1,16.6,20.7,17.6,15.3,9.0,4.0,-4.1,16.6,19.4,31.0,42.4,53.7,61.8,69.2,63.7,59.5,48.2,39.2,24.6
New Hampshire,1932,-2.7,-7.2,-3.7,4.2,12.1,16.1,17.8,18.6,14.2,8.9,-0.3,-3.4,27.1,19.0,25.3,39.5,53.7,61.0,64.0,65.4,57.6,48.0,31.4,25.9
New Hampshire,1933,-3.1,-5.0,-3.3,4.4,12.4,17.3,18.8,17.7,14.2,6.9,-2.7,-9.2,26.4,23.0,26.1,40.0,54.4,63.2,65.9,63.8,57.6,44.5,27.2,15.5
New Hampshire,1934,-8.0,-14.1,-3.3,5.6,12.7,17.1,19.6,16.0,15.7,5.8,2.5,-7.4,17.6,6.6,26.0,42.1,54.8,62.8,67.2,60.8,60.2,42.5,36.5,18.6
New Hampshire,1935,-11.3,-8.2,-1.7,4.4,9.4,16.4,20.2,18.5,12.3,7.6,3.2,-7.8,11.6,17.2,29.0,39.9,49.0,61.5,68.4,65.3,54.2,45.6,37.8,18.0
New Hampshire,1936,-9.1,-11.3,1.6,3.8,13.3,16.8,18.2,17.4,13.8,7.2,-1.7,-4.3,15.7,11.6,34.9,38.9,55.9,62.2,64.7,63.4,56.9,45.0,28.9,24.3
New Hampshire,1937,-3.5,-4.5,-4.4,4.0,12.2,16.7,19.8,20.6,13.6,6.9,1.1,-6.5,25.7,23.9,24.1,39.2,54.0,62.0,67.7,69.1,56.5,44.5,33.9,20.3
New Hampshire,1938,-9.1,-5.8,-1.0,6.4,10.7,17.4,19.3,19.3,12.2,9.3,2.1,-4.6,15.7,21.6,30.2,43.6,51.2,63.4,66.8,66.8,53.9,48.7,35.8,23.8
New Hampshire,1939,-8.7,-6.7,-4.9,2.3,11.3,16.6,19.2,19.8,13.8,7.4,-0.8,-5.6,16.4,19.9,23.1,36.1,52.4,61.8,66.5,67.7,56.8,45.4,30.6,22.0
New Hampshire,1940,-11.4,-7.4,-4.1,2.7,11.5,15.8,19.1,17.2,12.8,5.6,0.9,-5.6,11.5,18.6,24.6,36.8,52.7,60.4,66.3,62.9,55.1,42.1,33.6,22.0
New Hampshire,1941,-9.6,-6.9,-4.3,8.1,12.0,17.3,19.6,16.4,14.3,7.2,2.4,-4.2,14.8,19.6,24.2,46.5,53.6,63.1,67.2,61.6,57.7,45.0,36.3,24.4
New Hampshire,1942,-8.3,-8.5,0.8,6.3,13.7,17.0,18.8,17.8,14.3,8.4,0.7,-7.9,17.1,16.7,33.4,43.4,56.6,62.6,65.8,64.0,57.7,47.1,33.3,17.8
New Hampshire,1943,-10.3,-7.0,-3.4,1.6,11.1,18.1,19.5,17.1,12.8,7.9,0.5,-8.8,13.4,19.4,25.9,34.9,51.9,64.5,67.1,62.8,55.0,46.3,32.9,16.2
New Hampshire,1944,-7.3,-8.6,-4.1,2.5,13.9,16.4,19.6,19.7,14.4,7.0,1.0,-7.4,18.8,16.6,24.7,36.5,57.0,61.6,67.2,67.4,58.0,44.6,33.8,18.7
New Hampshire,1945,-11.3,-7.0,2.8,7.9,9.8,16.3,19.1,17.8,15.1,6.5,1.4,-8.1,11.7,19.4,37.0,46.2,49.6,61.3,66.4,64.1,59.2,43.7,34.6,17.4
New Hampshire,1946,-8.7,-9.5,3.4,4.1,10.9,16.4,18.6,16.3,14.9,9.3,2.8,-5.2,16.4,14.9,38.2,39.4,51.6,61.5,65.5,61.4,58.9,48.8,37.1,22.7
New Hampshire,1947,-7.1,-7.6,-2.0,3.6,10.7,15.4,20.7,20.0,14.4,11.3,-0.2,-7.7,19.3,18.4,28.4,38.5,51.3,59.7,69.2,68.0,57.9,52.4,31.6,18.1
New Hampshire,1948,-11.3,-10.3,-2.3,5.4,10.1,15.2,19.5,19.1,14.4,7.6,4.5,-3.6,11.7,13.5,27.8,41.8,50.2,59.3,67.1,66.4,57.9,45.6,40.1,25.6
