state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New Jersey,1895,-3.1,-5.7,1.7,8.6,15.3,21.4,20.8,22.7,20.1,8.9,6.3,1.6,26.5,21.8,35.0,47.5,59.5,70.6,69.4,72.9,68.1,48.1,43.4,34.9
New Jersey,1896,-3.1,-1.1,0.1,10.8,17.8,19.5,23.2,22.3,17.5,10.0,7.9,-1.4,26.5,30.0,32.2,51.4,64.0,67.1,73.7,72.1,63.5,50.0,46.3,29.5
New Jersey,1897,-2.7,-0.7,3.9,9.4,15.1,18.3,22.9,21.0,17.7,12.3,5.5,0.8,27.1,30.7,39.1,48.9,59.2,65.0,73.3,69.8,63.9,54.1,41.9,33.4
New Jersey,1898,-0.6,-0.4,6.6,7.9,14.3,20.5,23.4,22.9,19.4,12.6,4.6,-0.4,31.0,31.2,43.8,46.2,57.7,68.9,74.2,73.3,66.9,54.6,40.2,31.3
New Jersey,1899,-2.2,-4.4,2.4,9.2,15.4,21.6,22.7,21.6,17.1,12.7,5.4,0.7,28.1,24.0,36.4,48.6,59.7,70.8,72.9,70.8,62.8,54.8,41.8,33.3
New Jersey,1900,-1.2,-1.8,0.9,9.6,15.2,20.8,23.6,23.9,20.1,14.4,7.4,-0.2,29.9,28.8,33.6,49.3,59.4,69.4,74.5,75.0,68.1,58.0,45.3,31.7
New Jersey,1901,-1.5,-4.7,3.2,8.2,14.1,20.5,24.7,22.7,18.6,11.6,2.6,-0.7,29.3,23.5,37.8,46.8,57.4,68.9,76.5,72.8,65.4,52.8,36.6,30.7
New Jersey,1902,-2.8,-3.4,5.8,9.4,15.2,19.3,22.3,20.6,17.5,12.5,8.6,-1.1,26.9,25.9,42.4,48.9,59.3,66.7,72.2,69.1,63.5,54.5,47.5,30.0
New Jersey,1903,-1.9,0.1,7.9,9.7,16.4,17.3,22.4,19.7,17.6,12.4,3.3,-2.7,28.6,32.1,46.2,49.4,61.6,63.1,72.4,67.5,63.7,54.3,38.0,27.1
New Jersey,1904,-5.8,-5.0,1.9,7.5,16.6,19.8,21.9,20.9,17.5,10.1,3.6,-3.6,21.6,23.0,35.5,45.5,61.9,67.6,71.4,69.6,63.5,50.2,38.5,25.6
