state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New Mexico,1895,0.7,-0.6,6.7,11.4,15.5,19.5,21.2,20.8,18.1,11.0,3.7,-0.3,33.3,31.0,44.1,52.5,59.9,67.1,70.1,69.5,64.6,51.8,38.6,31.5
New Mexico,1896,2.2,2.5,7.2,11.4,17.4,22.7,22.2,21.8,18.1,11.2,5.8,2.8,35.9,36.5,44.9,52.6,63.3,72.9,72.0,71.3,64.5,52.1,42.4,37.1
New Mexico,1897,-1.0,2.7,5.6,11.1,16.8,20.5,21.8,21.4,18.3,11.9,7.1,0.3,30.2,36.9,42.0,52.0,62.3,68.9,71.3,70.5,64.9,53.4,44.8,32.6
New Mexico,1898,-0.8,5.0,5.8,12.0,15.6,20.5,22.3,21.8,17.7,11.9,4.4,-2.2,30.5,41.0,42.4,53.6,60.1,68.9,72.1,71.2,63.8,53.4,40.0,28.1
New Mexico,1899,-0.5,0.4,7.1,11.3,15.4,20.6,22.2,22.0,18.6,11.9,6.3,1.4,31.1,32.7,44.8,52.4,59.7,69.0,72.0,71.6,65.5,53.4,43.3,34.6
New Mexico,1900,3.1,3.1,7.9,8.8,16.4,21.6,22.9,21.9,17.8,12.5,7.0,1.8,37.5,37.5,46.2,47.9,61.6,70.9,73.2,71.4,64.1,54.5,44.6,35.2
New Mexico,1901,2.0,3.1,5.8,9.9,16.1,20.5,23.1,22.7,18.0,12.8,7.2,1.7,35.6,37.6,42.4,49.8,61.0,68.9,73.5,72.8,64.4,55.1,45.0,35.0
New Mexico,1902,1.6,3.8,4.6,12.7,16.2,22.2,21.1,21.7,17.2,12.6,5.8,1.2,34.9,38.9,40.2,54.8,61.2,71.9,70.0,71.1,62.9,54.6,42.5,34.2
New Mexico,1903,1.3,-0.6,5.5,10.7,14.7,18.2,22.9,22.2,17.3,11.4,7.2,0.8,34.3,30.9,41.9,51.2,58.4,64.8,73.3,72.0,63.1,52.6,45.0,33.5
New Mexico,1904,-0.7,5.9,8.7,11.7,15.8,19.7,21.8,21.2,17.8,11.5,5.6,0.7,30.8,42.7,47.6,53.1,60.5,67.4,71.3,70.2,64.1,52.7,42.1,33.2
New Mexico,1905,1.1,0.8,7.6,9.4,15.2,20.9,21.1,21.7,18.1,11.3,5.9,-1.8,33.9,33.5,45.7,48.9,59.4,69.6,69.9,71.0,64.5,52.3,42.7,28.7
New Mexico,1906,0.3,3.4,6.4,10.5,15.4,20.7,21.1,20.2,17.4,10.9,4.4,3.9,32.6,38.2,43.6,50.9,59.8,69.2,69.9,68.4,63.3,51.6,40.0,39.0
New Mexico,1907,3.1,6.1,9.2,10.9,13.0,18.6,22.1,21.5,17.9,12.3,4.3,2.2,37.6,42.9,48.6,51.6,55.4,65.4,71.8,70.7,64.2,54.1,39.8,36.0
New Mexico,1908,1.6,3.1,8.8,10.9,14.1,19.9,21.4,20.7,17.3,10.2,4.3,1.6,34.9,37.6,47.8,51.7,57.3,67.9,70.5,69.2,63.1,50.3,39.8,34.9
New Mexico,1909,4.2,3.0,4.9,10.3,14.2,21.1,23.2,21.6,17.1,12.2,7.1,-2.7,39.5,37.4,40.8,50.6,57.5,69.9,73.8,70.9,62.8,54.0,44.8,27.1
New Mexico,1910,2.0,1.8,9.9,11.7,16.6,21.6,23.6,22.4,19.4,12.3,7.5,2.6,35.6,35.3,49.8,53.0,61.8,70.8,74.4,72.3,66.9,54.1,45.5,36.7
New Mexico,1911,4.5,2.7,8.7,11.4,16.2,20.8,21.2,22.0,19.6,11.3,3.8,-2.2,40.1,36.8,47.7,52.5,61.1,69.4,70.2,71.6,67.3,52.4,38.9,28.1
New Mexico,1912,0.6,1.9,5.5,8.7,15.5,19.5,22.2,21.3,15.9,11.1,4.7,-1.8,33.1,35.4,41.9,47.6,59.9,67.1,71.9,70.3,60.6,52.0,40.5,28.7
New Mexico,1913,-1.5,1.1,4.6,10.2,16.2,19.1,22.4,21.7,15.7,11.2,7.4,-1.5,29.3,33.9,40.2,50.3,61.2,66.4,72.3,71.1,60.3,52.1,45.3,29.3
New Mexico,1914,3.2,2.8,6.2,11.2,15.7,20.8,21.3,21.2,18.6,11.7,7.1,-0.7,37.8,37.0,43.1,52.1,60.3,69.4,70.3,70.2,65.4,53.1,44.7,30.8
New Mexico,1915,-1.2,2.4,3.6,10.7,13.9,20.0,21.9,20.3,17.3,12.2,6.1,1.9,29.8,36.4,38.4,51.2,57.0,68.0,71.4,68.5,63.2,53.9,43.0,35.4
New Mexico,1916,2.2,5.1,9.1,10.5,15.6,21.1,22.4,20.8,17.4,11.8,4.8,0.3,36.0,41.2,48.3,50.9,60.0,69.9,72.3,69.5,63.4,53.3,40.7,32.6
New Mexico,1917,0.3,2.8,4.5,9.8,12.3,20.3,23.6,21.5,18.2,12.3,7.4,3.8,32.5,37.0,40.1,49.6,54.1,68.5,74.5,70.7,64.8,54.2,45.3,38.8
New Mexico,1918,-1.3,4.6,8.3,9.8,15.2,22.1,22.7,21.4,17.4,12.8,3.6,-1.6,29.6,40.2,46.9,49.6,59.4,71.8,72.9,70.6,63.4,55.0,38.5,29.1
New Mexico,1919,-2.8,0.8,5.1,11.1,15.7,19.2,21.8,22.2,18.3,11.5,5.2,2.4,27.0,33.4,41.2,52.0,60.2,66.5,71.3,71.9,64.9,52.7,41.3,36.3
New Mexico,1920,1.7,4.8,5.4,8.1,15.6,19.6,22.4,20.3,18.0,11.4,5.3,0.4,35.0,40.7,41.7,46.6,60.1,67.3,72.3,68.5,64.4,52.6,41.5,32.8
New Mexico,1921,2.7,3.7,8.4,9.4,15.6,19.6,21.7,21.3,19.2,13.5,6.9,4.2,36.9,38.7,47.1,48.9,60.1,67.2,71.0,70.4,66.6,56.3,44.5,39.6
New Mexico,1922,-0.4,2.9,5.2,9.8,16.1,21.3,23.3,23.0,19.3,12.6,4.6,3.6,31.2,37.3,41.3,49.6,61.0,70.4,74.0,73.4,66.8,54.6,40.2,38.5
New Mexico,1923,3.7,2.2,4.5,10.6,16.1,20.8,22.9,21.0,16.9,10.4,5.1,0.0,38.7,36.0,40.1,51.0,61.0,69.4,73.2,69.8,62.4,50.7,41.2,32.0
New Mexico,1924,-0.7,3.6,3.4,9.9,15.4,22.4,22.2,22.3,17.9,12.6,7.0,-1.0,30.7,38.5,38.2,49.8,59.8,72.3,72.0,72.1,64.2,54.6,44.6,30.2
New Mexico,1925,-1.2,4.8,8.4,12.8,17.3,21.2,23.1,20.5,17.8,11.7,4.8,0.1,29.8,40.7,47.1,55.0,63.1,70.2,73.6,68.9,64.1,53.0,40.7,32.1
New Mexico,1926,-1.6,4.9,5.4,9.9,14.9,20.6,21.6,21.7,19.1,13.3,6.2,0.4,29.2,40.8,41.8,49.9,58.9,69.1,70.9,71.0,66.4,56.0,43.2,32.8
