state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New York,1895,-8.0,-9.9,-4.1,5.9,14.0,19.6,18.2,18.8,16.1,5.4,2.7,-2.3,17.6,14.1,24.7,42.7,57.2,67.3,64.8,65.8,60.9,41.8,36.8,27.8
New York,1896,-8.2,-6.3,-5.3,8.0,15.3,17.2,20.4,19.4,14.0,6.6,4.2,-4.9,17.2,20.6,22.4,46.4,59.6,63.0,68.8,66.9,57.2,43.9,39.6,23.1
New York,1897,-7.1,-5.5,-0.8,6.4,12.2,15.6,21.6,17.7,14.5,9.4,1.7,-3.4,19.3,22.1,30.6,43.6,54.0,60.0,70.8,63.9,58.1,49.0,35.0,25.8
New York,1898,-6.2,-4.4,3.2,4.9,12.7,18.4,21.3,20.0,16.4,9.6,1.4,-4.4,20.8,24.0,37.8,40.8,54.9,65.2,70.4,68.0,61.6,49.2,34.6,24.1
New York,1899,-7.1,-8.1,-2.4,7.1,13.1,18.8,20.1,19.7,14.1,10.2,2.1,-3.1,19.2,17.5,27.6,44.7,55.6,65.8,68.2,67.5,57.4,50.4,35.7,26.5
New York,1900,-5.7,-6.7,-5.2,6.2,12.3,18.5,20.6,20.9,16.7,12.1,2.8,-4.6,21.7,19.9,22.7,43.2,54.2,65.3,69.1,69.7,62.1,53.7,37.0,23.7
New York,1901,-6.7,-10.3,-1.9,6.6,12.5,18.7,22.2,19.8,15.2,8.7,-0.9,-4.7,20.0,13.5,28.5,43.8,54.5,65.6,71.9,67.6,59.4,47.7,30.4,23.6
New York,1902,-7.8,-7.5,2.3,6.7,11.9,15.7,19.6,17.6,15.1,8.4,5.1,-6.0,17.9,18.5,36.1,44.0,53.4,60.2,67.3,63.6,59.1,47.2,41.2,21.2
New York,1903,-6.6,-4.7,4.3,6.2,13.9,15.2,19.2,16.0,15.2,9.2,-0.2,-7.4,20.2,23.6,39.7,43.1,57.1,59.3,66.6,60.8,59.4,48.5,31.7,18.7
New York,1904,-10.9,-10.6,-2.3,3.9,14.4,17.7,19.3,17.8,14.0,7.0,-0.1,-8.2,12.3,12.9,27.8,39.0,58.0,63.9,66.7,64.0,57.2,44.6,31.8,17.2
New York,1905,-9.2,-10.2,-1.6,5.4,12.4,17.2,20.4,18.1,14.9,8.9,0.6,-2.7,15.5,13.6,29.2,41.7,54.4,63.0,68.8,64.6,58.9,48.0,33.1,27.1
New York,1906,-2.6,-6.4,-4.3,6.0,12.5,18.2,19.9,20.4,16.6,8.8,1.1,-6.0,27.3,20.4,24.2,42.8,54.5,64.8,67.8,68.7,61.8,47.8,34.0,21.2
New York,1907,-6.9,-10.1,0.3,3.3,9.4,16.4,19.6,17.7,15.4,6.2,1.2,-2.4,19.6,13.8,32.5,37.9,48.9,61.6,67.3,63.9,59.8,43.1,34.2,27.6
New York,1908,-6.8,-8.8,-0.7,5.3,13.8,18.2,21.1,18.3,16.6,10.1,2.3,-4.3,19.8,16.2,30.8,41.5,56.9,64.8,69.9,65.0,61.9,50.1,36.2,24.2
New York,1909,-5.2,-3.9,-2.4,5.2,12.1,17.8,18.9,18.2,14.4,7.0,4.1,-5.8,22.7,25.0,27.6,41.4,53.7,64.0,66.0,64.8,58.0,44.6,39.3,21.6
New York,1910,-6.0,-7.7,2.8,8.4,11.5,16.4,20.6,18.4,14.9,9.7,0.2,-8.3,21.2,18.2,37.0,47.2,52.7,61.5,69.0,65.1,58.9,49.4,32.3,17.1
New York,1911,-5.4,-6.4,-2.9,4.7,16.3,17.2,21.4,19.4,14.4,8.2,0.1,-0.7,22.2,20.4,26.7,40.4,61.3,63.0,70.6,67.0,57.9,46.7,32.2,30.8
New York,1912,-11.8,-8.7,-3.9,5.4,13.1,15.8,20.1,16.8,15.1,9.6,3.1,-1.4,10.8,16.4,24.9,41.7,55.6,60.4,68.2,62.3,59.1,49.3,37.5,29.4
New York,1913,-1.4,-7.7,1.3,7.4,11.7,17.0,19.8,18.8,14.2,10.6,4.1,-1.9,29.4,18.2,34.3,45.4,53.1,62.6,67.7,65.9,57.5,51.1,39.3,28.6
New York,1914,-6.8,-11.1,-2.3,4.2,13.6,16.8,19.2,18.9,14.2,10.7,1.1,-5.7,19.7,12.1,27.9,39.5,56.5,62.2,66.6,66.1,57.5,51.3,34.0,21.8
