state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
North Dakota,1895,-19.6,-14.3,-4.8,9.3,11.6,15.1,19.2,18.0,13.2,4.3,-7.0,-10.4,-3.2,6.2,23.4,48.8,52.9,59.1,66.5,64.4,55.7,39.7,19.4,13.2
North Dakota,1896,-15.1,-10.1,-9.4,4.2,13.2,18.1,19.4,17.8,11.1,3.7,-14.4,-9.1,4.9,13.9,15.0,39.6,55.7,64.6,67.0,64.1,52.0,38.6,6.1,15.6
North Dakota,1897,-16.0,-14.1,-11.7,4.7,13.1,16.5,20.3,17.5,17.5,7.2,-7.1,-11.8,3.2,6.7,10.9,40.5,55.6,61.7,68.6,63.5,63.5,45.0,19.2,10.7
North Dakota,1898,-10.3,-10.3,-6.7,5.1,11.2,16.8,19.7,18.8,13.4,3.0,-5.9,-11.4,13.4,13.4,19.9,41.1,52.2,62.2,67.4,65.8,56.1,37.4,21.3,11.4
North Dakota,1899,-15.3,-18.6,-13.9,2.9,10.1,16.6,20.1,18.1,12.8,4.9,1.8,-11.1,4.5,-1.5,7.0,37.3,50.1,61.8,68.2,64.5,55.1,40.8,35.2,12.0
North Dakota,1900,-9.2,-16.4,-6.4,9.4,15.1,19.4,20.0,20.7,12.3,8.2,-7.2,-8.4,15.4,2.4,20.4,49.0,59.2,66.9,68.0,69.3,54.1,46.8,19.0,16.9
North Dakota,1901,-13.6,-14.1,-3.7,6.7,15.8,16.3,21.8,19.2,11.4,8.1,-3.4,-11.2,7.6,6.7,25.4,44.0,60.5,61.4,71.3,66.6,52.5,46.6,25.9,11.8
North Dakota,1902,-11.3,-12.0,-3.4,4.3,13.2,14.3,19.4,17.7,11.5,5.6,-3.3,-14.7,11.6,10.4,25.9,39.8,55.7,57.7,67.0,63.9,52.7,42.0,26.1,5.6
North Dakota,1903,-12.4,-16.5,-6.0,5.6,11.6,16.7,18.9,17.2,10.3,7.6,-4.7,-11.7,9.6,2.3,21.2,42.0,52.9,62.1,66.0,62.9,50.5,45.6,23.6,10.9
North Dakota,1904,-16.1,-19.2,-8.5,2.9,12.0,15.9,17.9,17.1,12.3,7.6,1.3,-10.3,3.1,-2.5,16.7,37.3,53.6,60.7,64.2,62.7,54.1,45.6,34.3,13.4
North Dakota,1905,-17.6,-13.3,0.3,4.4,9.7,15.2,18.8,20.0,15.1,4.0,-0.9,-9.8,0.4,8.1,32.6,40.0,49.5,59.4,65.9,68.0,59.2,39.2,30.4,14.3
North Dakota,1906,-11.6,-12.2,-7.8,8.7,10.7,16.7,19.9,18.9,16.6,7.0,-4.1,-13.3,11.2,10.0,17.9,47.7,51.3,62.1,67.8,66.0,61.9,44.6,24.7,8.0
North Dakota,1907,-21.4,-11.9,-4.8,0.1,6.9,16.7,18.8,18.0,10.9,6.4,-1.7,-7.2,-6.5,10.6,23.4,32.2,44.4,62.0,65.9,64.4,51.7,43.6,28.9,19.0
North Dakota,1908,-8.7,-10.5,-6.5,6.4,10.4,15.9,20.6,17.3,15.9,5.6,-1.2,-10.1,16.4,13.1,20.3,43.6,50.7,60.6,69.0,63.1,60.6,42.1,29.9,13.8
North Dakota,1909,-16.0,-12.3,-4.6,1.2,10.9,17.4,19.7,20.5,14.9,5.6,-2.4,-15.6,3.2,9.8,23.8,34.1,51.6,63.3,67.5,68.9,58.9,42.1,27.7,4.0
North Dakota,1910,-13.2,-16.3,4.7,8.7,10.1,19.3,21.1,17.1,12.7,8.6,-5.1,-11.1,8.3,2.6,40.4,47.6,50.1,66.8,70.0,62.7,54.8,47.5,22.8,12.1
North Dakota,1911,-18.4,-14.1,-0.9,5.1,12.8,19.4,18.7,16.7,12.4,5.5,-9.2,-9.8,-1.2,6.7,30.4,41.2,55.0,67.0,65.6,62.0,54.4,41.9,15.5,14.4
North Dakota,1912,-20.7,-11.8,-9.8,6.7,12.2,16.5,19.0,17.3,10.6,6.4,-0.6,-7.6,-5.3,10.8,14.3,44.0,54.0,61.7,66.2,63.1,51.1,43.6,30.9,18.3
North Dakota,1913,-16.7,-13.7,-8.5,7.8,10.6,18.8,18.7,20.3,13.9,3.8,0.3,-5.9,2.0,7.4,16.7,46.1,51.0,65.8,65.7,68.6,57.0,38.8,32.6,21.4
North Dakota,1914,-10.0,-17.4,-3.7,5.0,12.8,16.9,22.4,17.8,14.8,9.4,-0.9,-14.9,14.0,0.6,25.4,41.0,55.0,62.4,72.3,64.0,58.6,49.0,30.4,5.2
North Dakota,1915,-14.9,-8.5,-5.3,9.9,10.4,13.8,16.9,17.9,12.3,7.8,-2.6,-9.5,5.2,16.7,22.4,49.9,50.8,56.8,62.4,64.3,54.1,46.0,27.4,14.9
North Dakota,1916,-22.1,-14.2,-6.3,4.0,10.4,14.4,22.8,18.6,12.6,4.2,-2.5,-16.9,-7.8,6.4,20.6,39.2,50.7,58.0,73.0,65.5,54.6,39.5,27.5,1.6
North Dakota,1917,-17.2,-18.4,-5.8,2.7,10.5,15.4,21.7,18.3,13.2,1.2,2.2,-17.7,1.1,-1.2,21.5,36.8,50.9,59.8,71.0,65.0,55.8,34.2,35.9,0.2
North Dakota,1918,-18.9,-12.2,1.3,4.9,10.8,17.4,18.8,19.0,11.0,7.6,-2.3,-8.0,-2.0,10.1,34.4,40.9,51.5,63.3,65.8,66.2,51.8,45.6,27.8,17.6
North Dakota,1919,-7.6,-13.9,-8.2,5.6,12.9,19.6,21.9,19.9,14.8,0.4,-9.5,-13.9,18.3,7.0,17.2,42.0,55.3,67.3,71.5,67.9,58.6,32.8,14.9,7.0
North Dakota,1920,-16.6,-10.7,-5.3,0.1,11.9,16.8,20.3,20.4,14.8,9.1,-2.9,-9.9,2.2,12.7,22.4,32.1,53.5,62.3,68.6,68.7,58.6,48.3,26.8,14.2
