state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Ohio,1895,-5.7,-7.6,1.2,10.4,15.9,22.0,21.7,22.7,20.2,7.4,4.4,0.3,21.8,18.4,34.2,50.8,60.6,71.6,71.1,72.8,68.4,45.4,40.0,32.5
Ohio,1896,-2.3,-1.4,-0.4,13.6,19.8,20.6,22.7,21.7,16.5,8.8,6.6,-0.1,27.8,29.4,31.3,56.4,67.6,69.0,72.9,71.1,61.7,47.8,43.9,31.9
Ohio,1897,-4.4,-0.3,4.9,9.1,13.6,19.6,24.0,20.3,18.8,13.7,5.0,-0.2,24.0,31.5,40.8,48.4,56.4,67.2,75.2,68.6,65.9,56.7,41.0,31.7
Ohio,1898,-0.5,-1.6,6.5,8.1,16.1,21.7,24.2,22.6,19.8,11.7,3.1,-2.3,31.1,29.2,43.7,46.5,60.9,71.1,75.5,72.7,67.6,53.1,37.6,27.9
Ohio,1899,-3.0,-6.0,2.3,11.4,17.3,21.8,23.2,22.9,17.5,13.5,6.0,-1.6,26.6,21.2,36.2,52.6,63.1,71.2,73.8,73.2,63.5,56.3,42.8,29.2
Ohio,1900,-1.1,-3.9,0.0,9.6,17.0,20.8,23.2,24.3,20.6,15.2,4.7,-0.7,30.0,25.0,32.0,49.3,62.6,69.5,73.7,75.8,69.0,59.4,40.4,30.7
Ohio,1901,-2.2,-6.4,3.6,7.8,15.0,21.5,25.6,22.6,17.9,11.7,2.4,-2.9,28.0,20.4,38.5,46.1,59.0,70.7,78.0,72.6,64.3,53.0,36.4,26.8
Ohio,1902,-3.3,-5.9,4.9,8.6,17.1,19.4,23.3,20.3,17.3,12.2,8.7,-1.8,26.0,21.3,40.8,47.4,62.8,66.9,74.0,68.5,63.2,54.0,47.6,28.7
Ohio,1903,-3.4,-1.6,7.7,9.6,17.7,17.8,22.7,21.3,18.4,11.6,2.3,-5.2,25.8,29.2,45.9,49.3,63.8,64.1,72.8,70.4,65.1,52.9,36.2,22.6
Ohio,1904,-7.0,-5.4,3.7,6.4,15.8,20.1,21.8,20.2,18.3,10.8,4.1,-2.8,19.4,22.2,38.7,43.6,60.5,68.2,71.2,68.4,65.0,51.4,39.4,27.0
Ohio,1905,-5.9,-6.8,5.4,8.9,16.0,20.7,22.8,21.9,18.2,10.9,3.6,-0.1,21.3,19.8,41.7,48.0,60.8,69.2,73.0,71.4,64.8,51.7,38.5,31.8
Ohio,1906,1.3,-3.1,-0.9,10.8,16.2,20.8,22.2,23.4,20.2,10.9,4.5,-0.4,34.3,26.4,30.3,51.5,61.2,69.5,71.9,74.2,68.4,51.7,40.1,31.2
Ohio,1907,-0.4,-3.7,7.2,5.3,12.5,18.4,22.4,20.4,18.4,8.9,3.3,0.1,31.2,25.4,45.0,41.6,54.5,65.2,72.4,68.8,65.1,48.1,37.9,32.1
Ohio,1908,-2.4,-2.8,5.8,10.1,16.9,20.5,23.2,21.4,19.6,11.7,4.8,0.1,27.7,26.9,42.4,50.2,62.4,68.9,73.7,70.6,67.3,53.0,40.7,32.1
Ohio,1909,-0.6,1.1,2.4,9.1,14.8,21.1,21.4,21.9,17.1,8.7,8.9,-4.2,31.0,34.0,36.3,48.3,58.6,69.9,70.5,71.4,62.7,47.7,48.0,24.4
Ohio,1910,-3.1,-4.0,8.3,10.4,13.2,18.7,23.2,21.6,18.8,13.1,1.6,-4.3,26.4,24.8,47.0,50.7,55.8,65.6,73.7,70.8,65.9,55.6,34.9,24.3
Ohio,1911,-0.3,1.0,2.5,8.3,18.9,21.4,23.2,22.2,19.6,11.2,2.5,1.8,31.5,33.8,36.5,46.9,66.0,70.6,73.7,72.0,67.2,52.2,36.5,35.2
Ohio,1912,-8.6,-5.9,-0.1,10.7,16.8,19.1,22.9,20.3,19.3,11.9,5.0,0.4,16.5,21.4,31.8,51.3,62.2,66.3,73.3,68.6,66.7,53.5,41.0,32.8
Ohio,1913,1.4,-3.4,4.0,9.6,15.5,20.7,23.5,22.7,17.5,11.6,6.3,0.7,34.5,25.9,39.2,49.2,59.9,69.3,74.3,72.9,63.5,52.9,43.3,33.3
Ohio,1914,-0.1,-6.1,1.4,9.4,16.4,21.5,23.2,22.2,17.1,13.2,4.8,-3.5,31.9,21.0,34.6,49.0,61.5,70.7,73.7,72.0,62.7,55.7,40.6,25.7
Ohio,1915,-4.1,1.2,-0.2,12.0,14.0,18.9,21.7,19.3,19.0,12.2,6.1,-1.7,24.6,34.1,31.7,53.6,57.2,66.1,71.0,66.7,66.2,53.9,42.9,29.0
Ohio,1916,1.0,-3.7,0.7,8.9,16.3,17.8,24.6,23.0,17.1,10.9,5.1,-2.5,33.8,25.3,33.3,48.0,61.4,64.0,76.3,73.4,62.7,51.6,41.1,27.5
Ohio,1917,-3.1,-4.2,3.4,8.7,11.9,19.1,22.1,21.3,16.1,7.5,2.9,-6.7,26.4,24.5,38.1,47.7,53.4,66.3,71.7,70.4,60.9,45.5,37.2,20.0
Ohio,1918,-10.6,-1.2,5.9,8.7,18.7,20.0,21.5,24.4,14.1,12.9,4.9,3.3,13.0,29.9,42.7,47.6,65.7,68.0,70.7,75.9,57.4,55.3,40.8,38.0
Ohio,1919,-0.4,-0.4,4.3,9.3,14.4,23.1,23.7,20.9,18.7,14.6,4.4,-4.2,31.3,31.3,39.8,48.8,58.0,73.6,74.6,69.6,65.7,58.3,40.0,24.4
Ohio,1920,-6.3,-3.2,4.7,7.1,14.2,20.1,21.0,20.7,18.6,13.9,3.8,0.2,20.6,26.3,40.4,44.7,57.6,68.2,69.8,69.3,65.4,57.1,38.9,32.4
Ohio,1921,-0.3,0.5,8.7,12.1,16.3,22.6,25.1,20.8,20.7,11.2,5.2,0.2,31.5,32.9,47.6,53.8,61.4,72.6,77.2,69.5,69.3,52.2,41.4,32.3
Ohio,1922,-4.1,0.3,4.8,10.8,17.4,21.2,22.3,20.8,19.4,12.4,5.8,-0.4,24.6,32.6,40.6,51.4,63.4,70.2,72.2,69.4,67.0,54.4,42.4,31.2
Ohio,1923,-0.7,-3.8,2.4,8.5,14.3,21.3,22.3,20.9,18.1,9.8,4.3,4.1,30.7,25.1,36.4,47.3,57.7,70.4,72.2,69.6,64.6,49.7,39.8,39.4
Ohio,1924,-4.7,-2.7,1.4,9.2,12.2,19.7,20.9,21.6,15.4,12.4,4.4,-2.7,23.5,27.1,34.6,48.6,53.9,67.4,69.7,70.8,59.8,54.4,39.9,27.1
Ohio,1925,-3.7,1.7,4.6,11.7,12.7,22.4,21.8,21.5,20.6,7.1,3.1,-2.5,25.4,35.1,40.2,53.0,54.8,72.3,71.2,70.7,69.0,44.7,37.6,27.5
Ohio,1926,-3.7,-0.9,-0.2,6.1,15.4,18.4,22.3,22.9,18.8,11.3,3.7,-2.1,25.4,30.4,31.6,43.0,59.7,65.1,72.2,73.2,65.8,52.3,38.7,28.3
Ohio,1927,-3.1,2.0,5.1,9.3,15.2,17.6,22.1,18.4,19.4,13.2,7.2,-0.9,26.4,35.6,41.2,48.8,59.4,63.6,71.8,65.1,66.9,55.8,45.0,30.4
Ohio,1928,-2.6,-1.2,2.6,7.3,14.6,17.9,22.8,22.8,15.8,13.3,5.3,0.7,27.4,29.9,36.7,45.2,58.2,64.2,73.0,73.0,60.4,55.9,41.6,33.2
Ohio,1929,-4.3,-4.6,6.8,11.2,14.4,19.2,22.3,19.4,18.1,10.3,3.2,-0.8,24.2,23.8,44.3,52.2,58.0,66.5,72.1,67.0,64.5,50.5,37.7,30.6
Ohio,1930,-3.2,2.9,2.7,10.6,16.7,20.6,23.8,21.6,19.2,9.8,4.9,-1.4,26.3,37.3,36.8,51.1,62.0,69.1,74.8,70.8,66.6,49.6,40.8,29.4
Ohio,1931,-1.1,1.0,1.4,9.3,14.6,21.1,24.7,21.9,20.7,13.2,9.2,3.5,30.1,33.8,34.5,48.8,58.2,69.9,76.5,71.5,69.2,55.7,48.6,38.3
Ohio,1932,3.4,2.6,0.1,8.6,15.9,21.2,22.8,21.9,18.3,11.7,3.2,-0.7,38.1,36.6,32.1,47.4,60.7,70.1,73.0,71.4,64.9,53.0,37.7,30.8
Ohio,1933,2.2,-0.8,2.7,9.8,17.1,23.1,23.3,21.6,20.1,10.6,3.1,0.7,36.0,30.5,36.9,49.7,62.8,73.5,74.0,70.9,68.2,51.0,37.5,33.2
Ohio,1934,-0.2,-7.2,1.0,9.1,17.3,23.9,25.4,21.5,19.2,11.5,6.7,-1.7,31.6,19.0,33.8,48.4,63.2,75.1,77.8,70.7,66.6,52.7,44.0,29.0
Ohio,1935,-2.1,-1.1,7.1,7.9,13.1,19.2,24.3,22.3,17.3,11.3,5.1,-4.6,28.3,30.0,44.7,46.3,55.6,66.6,75.8,72.1,63.1,52.4,41.1,23.8
Ohio,1936,-6.1,-5.9,5.3,7.2,17.3,20.8,24.4,23.8,20.1,11.6,2.4,1.1,21.0,21.3,41.5,45.0,63.1,69.5,76.0,74.8,68.2,52.8,36.4,34.0
