state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Oregon,1895,-2.9,-0.1,1.7,6.8,9.6,13.4,16.6,16.6,10.8,9.1,1.3,-1.1,26.8,31.8,35.1,44.2,49.3,56.2,61.9,61.8,51.5,48.3,34.3,30.1
Oregon,1896,0.7,2.5,2.8,3.8,7.3,14.0,19.4,17.1,12.4,8.8,0.2,1.9,33.2,36.5,37.1,38.8,45.2,57.2,66.9,62.8,54.3,47.8,32.3,35.5
Oregon,1897,-1.0,0.4,-0.4,7.6,12.8,13.1,15.9,18.9,12.6,8.3,2.7,0.2,30.2,32.7,31.3,45.7,55.0,55.6,60.7,66.0,54.7,47.0,36.8,32.3
Oregon,1898,-2.9,2.6,1.4,7.3,9.1,13.6,17.4,18.9,13.8,7.3,1.4,-3.1,26.7,36.7,34.6,45.2,48.4,56.4,63.4,66.1,56.9,45.1,34.6,26.5
Oregon,1899,0.6,-1.3,1.8,5.1,7.2,12.6,17.6,13.9,14.4,6.3,4.7,-1.0,33.0,29.6,35.3,41.1,45.0,54.6,63.6,57.0,58.0,43.4,40.5,30.2
Oregon,1900,1.7,0.6,6.1,6.3,10.4,15.1,17.3,15.2,12.3,7.6,3.2,2.1,35.0,33.0,42.9,43.4,50.8,59.1,63.1,59.3,54.2,45.6,37.8,35.7
Oregon,1901,-1.3,-0.3,3.0,4.9,10.7,11.7,16.9,18.9,11.6,10.7,4.3,0.3,29.7,31.5,37.4,40.8,51.2,53.0,62.4,66.1,52.9,51.3,39.7,32.5
Oregon,1902,-1.9,2.3,2.0,5.4,9.4,13.1,15.7,16.8,12.8,8.9,2.2,-0.3,28.5,36.2,35.6,41.7,48.9,55.5,60.3,62.3,55.1,48.0,36.0,31.4
Oregon,1903,-0.3,-2.9,2.6,4.9,9.8,14.9,15.6,16.7,12.6,9.2,3.4,-0.1,31.4,26.7,36.6,40.8,49.6,58.9,60.1,62.0,54.6,48.6,38.1,31.8
Oregon,1904,-0.4,0.1,1.9,7.5,10.5,13.6,17.3,18.2,14.4,9.4,5.1,0.0,31.2,32.2,35.4,45.5,50.9,56.4,63.1,64.7,57.9,48.9,41.2,32.0
Oregon,1905,-0.3,-0.2,5.2,7.4,8.7,13.1,19.1,17.8,14.0,6.7,1.6,-1.4,31.4,31.7,41.4,45.4,47.6,55.5,66.4,64.0,57.2,44.0,34.9,29.4
Oregon,1906,-0.7,0.9,1.2,7.8,9.7,12.1,20.8,18.2,14.1,9.4,2.7,1.7,30.7,33.6,34.2,46.1,49.5,53.7,69.4,64.7,57.4,49.0,36.9,35.1
Oregon,1907,-3.4,3.7,2.7,6.6,10.4,12.7,17.6,15.6,13.3,10.8,3.5,1.1,25.8,38.7,36.8,43.8,50.8,54.9,63.7,60.1,55.9,51.5,38.3,34.0
Oregon,1908,0.3,1.0,3.0,7.3,7.6,12.7,19.5,17.2,13.7,7.8,3.9,-1.9,32.6,33.8,37.4,45.2,45.7,54.8,67.1,63.0,56.6,46.1,39.1,28.6
Oregon,1909,-1.7,1.8,3.6,5.7,8.6,13.8,16.2,17.0,14.4,8.8,3.4,-3.8,29.0,35.3,38.5,42.2,47.5,56.9,61.1,62.6,58.0,47.9,38.2,25.1
Oregon,1910,-3.6,-1.5,6.1,8.7,11.6,13.3,18.6,15.7,12.5,9.2,2.8,0.8,25.5,29.3,43.0,47.6,52.8,56.0,65.5,60.3,54.5,48.6,37.1,33.4
Oregon,1911,-1.6,-2.5,4.2,5.2,7.8,13.4,18.8,16.5,11.4,7.6,2.1,-1.1,29.1,27.5,39.5,41.4,46.0,56.1,65.8,61.7,52.6,45.6,35.8,30.1
Oregon,1912,-0.8,2.1,2.0,5.3,9.7,13.8,16.6,15.8,11.8,6.2,3.3,-0.8,30.5,35.7,35.6,41.5,49.4,56.8,61.8,60.5,53.3,43.1,38.0,30.6
Oregon,1913,-3.1,-1.8,1.6,6.0,10.3,13.5,17.0,18.1,13.6,7.4,3.7,-1.6,26.4,28.7,34.9,42.8,50.5,56.3,62.6,64.5,56.4,45.4,38.7,29.2
Oregon,1914,1.3,0.6,5.3,7.1,11.5,12.8,18.4,18.0,12.4,9.2,3.5,-4.2,34.4,33.1,41.5,44.8,52.7,55.1,65.2,64.4,54.4,48.5,38.3,24.4
Oregon,1915,-1.9,2.0,5.5,8.6,9.0,12.9,17.1,19.7,12.9,9.1,2.3,0.1,28.6,35.6,41.9,47.4,48.2,55.3,62.8,67.5,55.3,48.3,36.2,32.1
Oregon,1916,-6.0,1.7,4.2,7.0,7.6,12.6,15.8,17.1,13.5,6.8,0.3,-2.6,21.2,35.0,39.5,44.6,45.7,54.6,60.4,62.8,56.3,44.3,32.6,27.3
Oregon,1917,-4.0,-1.2,-1.2,4.6,8.2,12.7,19.3,18.4,14.6,9.5,4.8,4.2,24.8,29.8,29.9,40.2,46.8,54.8,66.8,65.2,58.2,49.1,40.7,39.6
Oregon,1918,1.7,-0.1,3.8,6.3,8.7,17.0,17.8,16.1,15.5,9.7,2.2,-1.3,35.0,31.9,38.8,43.3,47.7,62.6,64.0,60.9,59.9,49.4,36.0,29.7
Oregon,1919,-0.7,0.1,3.0,7.1,10.2,13.2,18.8,18.3,13.3,5.7,1.8,-4.1,30.8,32.1,37.4,44.8,50.3,55.7,65.8,65.0,55.9,42.2,35.2,24.7
Oregon,1920,-0.7,0.6,2.5,4.5,8.7,13.1,18.1,18.1,13.6,7.3,2.2,0.3,30.7,33.0,36.5,40.1,47.7,55.6,64.6,64.5,56.4,45.2,35.9,32.6
Oregon,1921,-0.7,1.2,4.3,5.4,9.8,14.8,17.3,17.5,11.4,9.8,4.1,-1.3,30.7,34.2,39.8,41.7,49.7,58.7,63.2,63.5,52.6,49.6,39.3,29.6
Oregon,1922,-5.8,-2.1,0.9,4.1,9.6,15.7,18.9,17.6,15.0,9.2,0.8,-1.7,21.6,28.2,33.6,39.3,49.3,60.2,66.0,63.7,59.0,48.6,33.5,28.9
Oregon,1923,0.2,-1.9,2.7,6.2,9.8,12.5,18.2,18.2,14.8,7.9,3.9,-1.1,32.4,28.6,36.9,43.2,49.7,54.5,64.7,64.7,58.7,46.3,39.0,30.1
Oregon,1924,-2.7,3.7,2.0,6.7,12.6,14.2,17.8,16.9,13.8,8.3,2.4,-4.8,27.2,38.6,35.6,44.0,54.6,57.6,64.0,62.4,56.8,47.0,36.4,23.3
Oregon,1925,0.8,3.1,4.1,7.6,11.6,14.1,19.4,16.8,13.1,8.0,3.0,1.4,33.5,37.5,39.3,45.7,52.8,57.4,66.9,62.2,55.6,46.4,37.4,34.6
Oregon,1926,-0.6,3.8,5.8,9.9,10.5,16.1,19.2,17.7,11.3,9.4,5.1,-0.7,31.0,38.8,42.4,49.8,50.9,60.9,66.6,63.8,52.3,48.9,41.1,30.8
Oregon,1927,-0.8,1.6,2.8,5.5,8.5,14.4,18.1,17.4,12.5,9.1,5.1,-2.6,30.5,34.9,37.1,41.9,47.3,58.0,64.6,63.4,54.5,48.3,41.2,27.4
Oregon,1928,-0.4,0.8,5.1,5.7,12.7,13.3,18.9,17.0,14.0,8.4,3.1,-1.8,31.2,33.4,41.2,42.2,54.9,56.0,66.0,62.6,57.2,47.2,37.6,28.7
Oregon,1929,-4.3,-3.8,3.7,4.4,10.1,13.3,18.3,19.0,12.6,9.6,1.9,2.5,24.3,25.1,38.7,40.0,50.2,55.9,64.9,66.2,54.6,49.2,35.5,36.5
