state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Rhode Island,1895,-3.4,-5.8,0.7,7.0,14.3,19.3,19.2,20.4,17.7,8.1,6.3,1.1,25.9,21.6,33.2,44.6,57.8,66.7,66.6,68.8,63.9,46.5,43.3,33.9
Rhode Island,1896,-4.9,-2.3,-0.8,8.6,15.4,17.4,21.3,20.6,15.8,8.9,6.9,-2.3,23.2,27.8,30.5,47.4,59.8,63.3,70.3,69.0,60.4,48.0,44.5,27.9
Rhode Island,1897,-3.4,-2.4,1.8,7.8,13.3,16.1,21.1,19.3,15.7,10.9,4.1,-0.2,25.8,27.6,35.3,46.1,56.0,60.9,69.9,66.7,60.2,51.6,39.4,31.7
Rhode Island,1898,-2.8,-1.1,4.9,5.8,12.6,18.1,21.1,21.3,17.9,11.3,4.3,-1.3,27.0,30.1,40.9,42.5,54.7,64.5,69.9,70.3,64.2,52.3,39.7,29.7
Rhode Island,1899,-2.8,-4.8,0.5,7.4,13.2,19.6,20.8,19.8,15.6,11.4,4.1,0.4,26.9,23.4,32.9,45.3,55.8,67.2,69.5,67.6,60.0,52.6,39.4,32.8
Rhode Island,1900,-2.4,-2.9,-0.2,7.7,12.3,18.4,21.8,21.0,17.7,12.8,5.7,-0.9,27.6,26.7,31.7,45.8,54.2,65.2,71.2,69.8,63.9,55.0,42.2,30.4
Rhode Island,1901,-3.6,-6.1,1.3,6.6,12.1,18.4,22.1,20.6,17.2,10.7,1.6,-1.3,25.6,21.0,34.4,43.8,53.8,65.2,71.7,69.1,63.0,51.2,34.8,29.6
Rhode Island,1902,-4.1,-3.3,4.8,7.8,12.8,16.9,19.0,18.8,16.2,10.8,6.7,-2.9,24.7,26.0,40.7,46.1,55.1,62.5,66.2,65.8,61.2,51.4,44.1,26.8
Rhode Island,1903,-2.9,-1.7,5.9,7.6,14.2,14.8,20.6,17.2,16.2,10.9,2.8,-3.8,26.8,29.0,42.6,45.7,57.6,58.6,69.0,62.9,61.2,51.6,37.1,25.2
Rhode Island,1904,-6.9,-6.5,0.4,6.1,14.9,16.7,20.4,18.8,15.7,8.9,1.7,-5.0,19.5,20.3,32.7,43.0,58.8,62.1,68.7,65.9,60.2,48.0,35.1,23.0
Rhode Island,1905,-5.0,-6.4,1.3,7.1,13.0,17.1,21.4,18.8,15.6,10.8,3.7,0.3,23.0,20.5,34.3,44.7,55.4,62.7,70.5,65.9,60.0,51.4,38.6,32.5
Rhode Island,1906,0.2,-2.3,-0.9,7.4,13.5,17.9,20.2,21.2,17.2,10.8,4.1,-2.7,32.4,27.8,30.3,45.3,56.3,64.2,68.4,70.1,62.9,51.5,39.3,27.1
