state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
South Carolina,1895,5.9,2.3,10.8,15.8,20.1,25.6,26.4,26.3,25.1,16.1,11.9,7.0,42.7,36.2,51.5,60.4,68.2,78.0,79.5,79.4,77.2,60.9,53.4,44.6
South Carolina,1896,5.7,8.3,10.8,19.0,24.8,25.4,27.2,26.9,23.6,16.5,14.6,6.3,42.3,47.0,51.5,66.2,76.6,77.7,81.0,80.5,74.5,61.7,58.3,43.3
South Carolina,1897,5.0,9.5,13.1,16.5,20.7,26.4,27.0,25.8,23.2,18.7,12.4,7.9,41.0,49.1,55.5,61.7,69.2,79.5,80.6,78.5,73.8,65.6,54.4,46.3
South Carolina,1898,8.9,6.6,14.6,14.3,23.1,26.6,26.9,26.3,24.0,16.7,10.2,7.3,48.1,43.9,58.3,57.7,73.5,79.8,80.5,79.4,75.2,62.0,50.4,45.1
South Carolina,1899,6.6,6.0,12.3,15.3,23.2,26.5,26.8,27.4,22.8,17.8,12.4,6.8,43.8,42.8,54.2,59.6,73.7,79.7,80.2,81.4,73.1,64.0,54.4,44.2
South Carolina,1900,6.4,6.3,10.6,16.8,21.4,24.9,27.5,28.3,25.1,19.6,12.8,7.1,43.6,43.4,51.0,62.3,70.5,76.8,81.5,83.0,77.2,67.3,55.1,44.7
South Carolina,1901,6.7,5.9,11.3,13.0,21.9,25.0,27.5,26.0,22.9,16.7,8.6,5.9,44.1,42.6,52.3,55.4,71.5,77.0,81.5,78.8,73.3,62.0,47.4,42.6
South Carolina,1902,5.3,4.3,11.8,15.2,23.2,25.7,27.6,25.9,22.2,17.8,14.2,7.4,41.5,39.7,53.2,59.4,73.7,78.3,81.7,78.7,72.0,64.0,57.6,45.4
South Carolina,1903,5.7,8.9,15.3,15.5,21.4,23.3,26.8,26.8,22.4,16.3,10.0,4.4,42.3,48.1,59.5,59.9,70.6,73.9,80.2,80.3,72.4,61.4,50.0,39.9
South Carolina,1904,4.1,6.4,12.8,14.8,20.9,24.7,26.2,25.2,23.3,16.7,10.3,6.6,39.4,43.5,55.1,58.6,69.7,76.5,79.2,77.3,74.0,62.0,50.5,43.8
South Carolina,1905,4.4,3.7,13.8,16.9,22.8,25.8,26.7,25.2,24.3,17.6,12.0,6.2,40.0,38.6,56.8,62.4,73.1,78.4,80.1,77.3,75.8,63.6,53.6,43.2
South Carolina,1906,7.9,7.4,10.3,17.6,20.9,25.6,25.8,26.9,24.9,16.3,11.6,8.3,46.3,45.4,50.5,63.7,69.7,78.0,78.4,80.4,76.9,61.3,52.8,47.0
South Carolina,1907,11.1,7.0,16.2,13.1,20.9,23.8,27.2,25.9,24.3,15.8,10.7,7.2,52.0,44.6,61.2,55.6,69.6,74.9,81.0,78.7,75.7,60.5,51.2,45.0
South Carolina,1908,6.3,5.9,15.8,18.8,22.1,24.5,26.3,25.7,22.1,16.1,12.8,9.5,43.4,42.6,60.4,65.9,71.8,76.1,79.4,78.2,71.8,61.0,55.1,49.1
South Carolina,1909,9.2,10.4,11.6,17.3,20.7,25.7,25.6,25.8,22.1,15.7,13.8,5.1,48.5,50.8,52.9,63.1,69.2,78.3,78.0,78.4,71.8,60.3,56.8,41.1
South Carolina,1910,6.6,6.4,14.7,16.9,20.7,23.6,26.1,25.7,24.0,18.7,9.7,4.6,43.8,43.6,58.4,62.4,69.3,74.4,79.0,78.2,75.2,65.7,49.5,40.2
South Carolina,1911,9.0,10.5,11.8,15.8,22.1,26.8,26.2,26.2,25.7,19.2,10.0,8.8,48.2,50.9,53.2,60.4,71.8,80.3,79.2,79.2,78.3,66.5,50.0,47.9
South Carolina,1912,3.8,5.0,10.9,17.4,22.1,24.0,26.3,26.1,25.0,17.7,10.4,8.6,38.9,41.0,51.7,63.4,71.8,75.2,79.3,78.9,77.0,63.9,50.7,47.5
South Carolina,1913,11.3,8.6,13.0,15.6,21.7,24.7,27.6,25.8,21.7,16.5,11.2,8.0,52.3,47.4,55.4,60.0,71.0,76.5,81.6,78.4,71.0,61.7,52.2,46.4
South Carolina,1914,7.3,6.2,9.2,17.0,21.8,26.9,26.4,25.9,21.5,17.6,10.6,5.8,45.2,43.2,48.5,62.6,71.3,80.4,79.6,78.6,70.7,63.6,51.0,42.5
South Carolina,1915,6.4,8.4,6.9,16.5,22.4,24.1,26.8,25.7,24.1,18.9,12.7,5.9,43.6,47.1,44.5,61.7,72.4,75.3,80.3,78.2,75.4,66.1,54.8,42.6
South Carolina,1916,10.4,8.5,11.2,15.9,22.9,24.3,25.4,26.3,22.1,17.3,11.7,7.1,50.7,47.3,52.1,60.6,73.3,75.8,77.8,79.3,71.8,63.1,53.1,44.8
South Carolina,1917,9.2,7.9,11.9,17.8,18.8,24.7,26.4,25.7,21.5,15.0,9.4,2.7,48.6,46.2,53.5,64.1,65.9,76.5,79.5,78.2,70.7,59.0,48.9,36.8
