state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Tennessee,1895,1.1,-1.5,8.3,14.6,18.2,24.2,24.1,24.4,23.1,11.4,8.8,4.4,34.0,29.3,47.0,58.3,64.7,75.5,75.3,76.0,73.6,52.5,47.9,39.9
Tennessee,1896,3.0,4.6,6.9,17.7,22.2,22.8,25.3,25.4,20.9,13.7,10.4,4.3,37.4,40.2,44.5,63.8,72.0,73.1,77.6,77.7,69.6,56.7,50.8,39.8
Tennessee,1897,1.2,6.4,11.3,14.2,17.3,23.9,25.4,24.3,22.3,17.1,9.2,4.6,34.2,43.5,52.4,57.5,63.1,75.1,77.7,75.8,72.1,62.7,48.5,40.3
Tennessee,1898,5.9,4.1,11.9,11.7,20.6,24.8,25.2,24.7,22.7,14.1,6.9,2.4,42.7,39.3,53.5,53.1,69.1,76.6,77.4,76.4,72.8,57.3,44.5,36.4
Tennessee,1899,2.8,-1.1,8.6,13.9,21.4,24.7,25.2,25.8,20.3,16.3,10.4,2.7,37.0,30.1,47.4,57.0,70.6,76.5,77.3,78.5,68.6,61.4,50.8,36.9
Tennessee,1900,3.3,2.4,7.6,14.6,19.0,23.2,25.3,26.2,23.7,17.8,9.2,4.5,38.0,36.3,45.7,58.2,66.2,73.7,77.6,79.2,74.6,64.0,48.5,40.1
Tennessee,1901,3.6,1.9,9.0,11.4,18.3,24.5,27.2,24.0,19.9,14.3,5.8,1.1,38.4,35.5,48.2,52.6,64.9,76.1,80.9,75.2,67.9,57.8,42.5,33.9
Tennessee,1902,1.9,-0.5,9.2,13.3,21.8,23.9,26.0,24.8,19.7,15.3,11.8,3.4,35.5,31.1,48.6,55.9,71.2,75.1,78.8,76.7,67.4,59.5,53.3,38.2
Tennessee,1903,2.8,4.5,12.2,13.5,19.7,20.3,25.2,24.8,20.4,14.6,6.7,0.7,37.0,40.1,54.0,56.3,67.4,68.6,77.4,76.6,68.8,58.2,44.0,33.3
Tennessee,1904,1.4,4.4,10.2,11.7,18.4,22.9,23.8,24.2,22.1,14.3,7.3,3.8,34.6,39.9,50.3,53.0,65.2,73.3,74.8,75.5,71.7,57.7,45.2,38.9
