state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Utah,1895,-5.1,-4.0,1.5,8.3,12.5,16.3,20.4,20.8,15.3,8.9,-0.2,-6.4,22.8,24.8,34.7,47.0,54.5,61.3,68.8,69.4,59.6,48.0,31.6,20.5
Utah,1896,-1.7,-1.1,2.7,6.3,10.8,19.8,21.4,20.2,15.0,9.0,0.1,-1.2,29.0,30.0,36.8,43.3,51.5,67.6,70.6,68.4,59.0,48.2,32.1,29.9
Utah,1897,-3.9,-3.1,-1.2,7.4,15.2,17.2,20.0,20.6,15.9,7.7,2.5,-6.4,24.9,26.4,29.8,45.3,59.3,62.9,68.0,69.1,60.6,45.9,36.5,20.5
Utah,1898,-8.8,-2.3,0.0,9.3,10.9,17.9,22.0,21.9,15.2,6.8,0.5,-6.3,16.2,27.9,32.0,48.8,51.6,64.3,71.6,71.4,59.3,44.2,32.9,20.7
Utah,1899,-3.4,-2.8,2.6,7.9,10.3,17.2,22.0,18.2,16.7,6.8,3.8,-5.0,25.9,26.9,36.6,46.2,50.6,63.0,71.6,64.8,62.1,44.2,38.9,23.0
Utah,1900,-0.8,-0.4,5.7,6.1,13.7,19.8,21.7,19.1,13.2,8.4,3.5,-1.9,30.6,31.2,42.3,43.0,56.7,67.6,71.0,66.4,55.8,47.2,38.3,28.6
Utah,1901,-3.1,-0.8,1.8,6.8,14.1,16.6,23.3,21.3,14.3,10.1,4.0,-2.1,26.4,30.5,35.2,44.3,57.4,61.8,74.0,70.4,57.8,50.1,39.2,28.2
Utah,1902,-3.2,0.6,0.6,7.9,12.6,18.8,19.8,20.0,15.2,9.6,1.6,-3.5,26.3,33.0,33.1,46.3,54.7,65.9,67.6,68.0,59.3,49.3,34.8,25.7
Utah,1903,-3.4,-9.4,1.7,6.5,11.1,18.4,20.3,21.0,14.1,9.0,2.6,-3.9,25.9,15.1,35.1,43.7,52.0,65.1,68.6,69.8,57.4,48.2,36.6,24.9
Utah,1904,-5.6,0.8,3.4,8.0,12.6,16.9,20.7,20.1,15.7,8.6,2.9,-2.7,21.9,33.4,38.2,46.4,54.7,62.5,69.2,68.2,60.3,47.4,37.3,27.2
Utah,1905,-3.0,-1.9,4.4,7.8,10.4,17.4,20.9,20.8,15.6,6.6,2.2,-6.1,26.6,28.6,40.0,46.0,50.7,63.4,69.7,69.5,60.0,43.9,35.9,21.1
Utah,1906,-4.3,0.1,1.9,7.6,12.0,16.0,21.3,19.9,14.7,8.6,1.2,-0.2,24.2,32.2,35.5,45.6,53.6,60.8,70.4,67.8,58.4,47.4,34.2,31.7
Utah,1907,-2.8,3.7,4.8,8.8,10.7,14.4,21.0,19.2,14.9,10.8,2.1,-1.3,27.0,38.6,40.6,47.9,51.2,57.9,69.8,66.6,58.8,51.4,35.8,29.6
Utah,1908,-3.2,-1.4,3.2,8.4,9.7,15.2,21.6,19.4,14.9,6.2,1.3,-4.5,26.2,29.5,37.8,47.1,49.4,59.3,70.8,66.9,58.8,43.1,34.4,23.9
Utah,1909,-0.7,-1.6,1.8,5.9,10.6,18.4,21.7,20.8,15.0,9.9,2.6,-8.3,30.8,29.1,35.2,42.7,51.1,65.2,71.0,69.5,59.0,49.8,36.7,17.0
Utah,1910,-5.2,-3.2,6.8,9.7,13.6,19.1,22.2,20.5,16.9,9.3,4.9,-1.3,22.6,26.2,44.3,49.4,56.5,66.3,71.9,68.9,62.4,48.7,40.8,29.6
Utah,1911,-0.6,-2.4,4.7,6.9,12.0,17.6,20.5,20.3,15.9,7.4,0.1,-5.4,30.9,27.7,40.4,44.5,53.6,63.7,68.9,68.6,60.6,45.3,32.2,22.3
Utah,1912,-3.1,0.1,2.1,5.1,11.1,17.4,19.8,19.5,12.1,7.1,2.7,-4.7,26.5,32.1,35.8,41.2,51.9,63.4,67.7,67.1,53.7,44.7,36.8,23.6
Utah,1913,-6.3,-2.5,0.9,7.8,13.2,17.0,20.4,20.7,14.9,7.4,3.5,-5.0,20.7,27.5,33.6,46.0,55.8,62.6,68.8,69.3,58.8,45.4,38.3,23.0
Utah,1914,-2.4,-2.0,4.2,8.6,13.7,16.7,20.7,20.7,15.9,9.7,3.2,-5.4,27.6,28.4,39.6,47.4,56.7,62.0,69.2,69.2,60.6,49.5,37.7,22.2
Utah,1915,-5.9,-0.8,3.4,9.9,10.8,15.8,21.0,20.8,14.6,9.8,2.7,-2.3,21.3,30.6,38.2,49.8,51.5,60.5,69.8,69.5,58.3,49.6,36.9,27.9
Utah,1916,-5.0,-0.4,4.6,8.4,10.7,16.9,21.0,19.1,14.7,7.6,0.3,-4.7,23.0,31.3,40.3,47.2,51.2,62.4,69.8,66.4,58.5,45.6,32.5,23.6
