state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Washington,1895,-3.2,1.5,3.2,7.6,10.2,14.3,16.7,16.8,10.6,8.7,1.9,-0.6,26.2,34.7,37.7,45.6,50.4,57.8,62.0,62.3,51.0,47.6,35.5,31.0
Washington,1896,-1.0,2.5,2.4,5.5,9.1,14.3,19.2,17.2,12.3,8.2,-1.4,1.1,30.2,36.5,36.4,41.9,48.4,57.7,66.5,62.9,54.1,46.8,29.5,34.0
Washington,1897,-2.2,0.3,-0.2,8.5,13.3,13.9,15.7,19.0,12.6,7.9,1.3,-1.3,28.0,32.5,31.7,47.3,55.9,57.1,60.3,66.2,54.6,46.3,34.4,29.7
Washington,1898,-3.1,2.7,2.1,7.5,11.2,14.3,17.4,19.1,14.1,7.4,1.2,-2.9,26.5,36.9,35.7,45.5,52.2,57.8,63.4,66.4,57.4,45.4,34.2,26.7
Washington,1899,-1.6,-2.1,2.3,6.2,8.7,12.8,17.9,14.6,14.4,7.2,6.1,0.8,29.1,28.2,36.2,43.1,47.6,55.1,64.2,58.2,58.0,44.9,43.0,33.4
Washington,1900,1.1,-0.1,6.1,8.5,11.5,15.6,17.6,15.4,12.8,7.5,1.4,2.6,34.0,31.9,43.0,47.3,52.7,60.1,63.6,59.7,55.0,45.5,34.5,36.7
Washington,1901,-1.8,-0.2,3.8,5.8,11.3,11.7,16.1,18.7,11.6,10.9,4.0,0.3,28.7,31.7,38.8,42.5,52.3,53.1,60.9,65.6,52.9,51.7,39.2,32.6
Washington,1902,-2.2,1.8,3.1,6.4,11.0,13.2,15.9,16.7,12.6,9.4,2.1,-1.4,28.0,35.2,37.5,43.5,51.8,55.8,60.6,62.1,54.7,48.9,35.8,29.5
Washington,1903,-0.6,-2.1,2.1,5.7,10.4,15.8,15.8,16.8,12.1,8.6,2.0,-0.4,30.9,28.3,35.8,42.2,50.7,60.5,60.4,62.2,53.7,47.4,35.6,31.2
Washington,1904,-0.6,-0.8,1.1,8.5,10.4,13.8,17.8,17.8,14.2,9.2,5.4,0.6,31.0,30.6,34.0,47.3,50.7,56.8,64.1,64.1,57.5,48.6,41.7,33.1
Washington,1905,-1.2,-0.6,6.0,8.2,10.4,13.8,18.2,17.0,13.9,5.4,2.2,-0.7,29.8,31.0,42.8,46.8,50.7,56.8,64.8,62.6,57.0,41.8,35.9,30.8
Washington,1906,-0.7,1.7,2.6,9.3,10.9,12.7,20.8,17.5,13.7,9.0,1.9,-0.1,30.8,35.0,36.7,48.8,51.6,54.8,69.4,63.5,56.6,48.2,35.5,31.9
Washington,1907,-7.1,0.4,2.5,6.3,11.9,13.5,17.7,15.2,13.1,10.4,3.9,0.4,19.3,32.7,36.5,43.4,53.4,56.3,63.8,59.3,55.6,50.7,39.1,32.8
Washington,1908,-1.0,0.0,3.2,7.6,9.4,13.7,18.7,17.1,13.5,7.8,4.3,-1.8,30.2,32.0,37.8,45.6,49.0,56.6,65.7,62.7,56.3,46.1,39.8,28.8
Washington,1909,-6.6,1.1,3.9,6.0,9.7,14.2,15.9,16.2,14.4,8.2,2.8,-4.0,20.2,33.9,39.1,42.8,49.5,57.6,60.6,61.1,58.0,46.8,37.1,24.8
Washington,1910,-3.1,-2.7,6.1,8.7,12.5,13.4,17.8,15.4,13.1,9.0,2.6,0.7,26.5,27.1,42.9,47.7,54.5,56.1,64.0,59.8,55.6,48.2,36.6,33.2
Washington,1911,-2.9,-1.6,4.4,6.2,9.5,14.0,18.3,16.5,11.9,7.7,1.2,-0.7,26.7,29.1,39.9,43.1,49.1,57.2,64.9,61.7,53.5,45.9,34.2,30.7
Washington,1912,-2.6,1.8,2.4,7.0,11.7,15.2,17.0,15.8,12.3,6.4,3.2,-0.1,27.3,35.2,36.4,44.6,53.1,59.4,62.6,60.5,54.2,43.5,37.8,31.8
