state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
West Virginia,1895,-3.1,-5.8,3.8,10.8,15.6,21.4,20.7,22.2,20.3,8.3,6.6,1.6,26.5,21.5,38.9,51.5,60.0,70.5,69.2,72.0,68.5,46.9,43.8,34.9
West Virginia,1896,-0.8,0.3,1.6,14.2,19.8,20.4,22.4,22.0,17.9,9.8,8.6,0.9,30.5,32.5,34.9,57.5,67.7,68.8,72.4,71.6,64.2,49.7,47.4,33.7
West Virginia,1897,-2.8,1.7,7.0,10.4,14.3,20.2,23.1,21.1,18.2,13.6,6.2,1.8,27.0,35.1,44.6,50.7,57.8,68.4,73.5,69.9,64.7,56.4,43.2,35.2
West Virginia,1898,1.3,0.0,8.2,8.1,17.1,21.2,23.6,22.4,19.2,12.2,4.1,-0.7,34.4,32.0,46.8,46.5,62.8,70.2,74.5,72.3,66.5,54.0,39.4,30.8
West Virginia,1899,-1.1,-4.3,5.1,11.2,17.4,21.6,22.5,22.4,17.1,13.4,6.7,-0.3,30.0,24.2,41.1,52.2,63.4,70.8,72.5,72.4,62.7,56.2,44.0,31.5
West Virginia,1900,0.2,-1.1,2.9,10.5,16.5,21.1,23.2,24.0,21.1,14.9,6.6,0.6,32.4,30.0,37.2,50.9,61.7,70.0,73.8,75.2,69.9,58.9,43.8,33.0
West Virginia,1901,-0.2,-3.5,5.3,7.8,15.9,21.0,24.5,22.0,17.2,11.8,2.4,-0.8,31.7,25.7,41.5,46.1,60.6,69.8,76.1,71.6,63.0,53.2,36.3,30.5
West Virginia,1902,-1.8,-3.8,5.6,8.8,17.4,19.3,23.1,20.6,17.2,12.7,9.2,0.4,28.7,25.2,42.1,47.9,63.4,66.7,73.5,69.0,63.0,54.8,48.5,32.8
West Virginia,1903,-1.4,0.8,9.5,10.3,17.6,18.0,22.1,21.4,17.6,11.6,2.8,-3.7,29.5,33.5,49.1,50.6,63.7,64.4,71.8,70.5,63.7,52.9,37.1,25.3
West Virginia,1904,-3.4,-2.1,5.7,8.3,16.0,20.2,21.3,20.7,18.6,11.5,4.1,-0.4,25.9,28.2,42.2,47.0,60.8,68.4,70.3,69.2,65.5,52.7,39.3,31.2
West Virginia,1905,-3.8,-4.2,7.3,10.7,17.3,20.8,22.4,21.1,18.1,11.7,4.7,0.9,25.2,24.5,45.2,51.2,63.2,69.4,72.3,70.0,64.6,53.0,40.5,33.6
West Virginia,1906,2.2,-0.4,2.1,11.5,16.3,21.0,21.7,23.3,20.2,11.8,5.9,1.6,35.9,31.3,35.8,52.7,61.4,69.8,71.1,74.0,68.4,53.3,42.7,34.9
West Virginia,1907,3.0,-1.3,8.9,6.8,14.5,17.8,22.1,20.2,18.3,9.2,4.6,0.9,37.4,29.7,48.0,44.3,58.1,64.0,71.8,68.4,64.9,48.6,40.2,33.7
West Virginia,1908,-1.7,-1.4,8.1,11.9,16.8,20.0,22.8,21.0,18.1,12.0,5.6,1.5,28.9,29.4,46.5,53.5,62.2,68.0,73.0,69.8,64.5,53.6,42.1,34.7
West Virginia,1909,1.9,4.2,4.0,10.9,15.6,21.3,20.8,21.0,17.2,9.3,8.8,-2.5,35.5,39.5,39.2,51.7,60.0,70.3,69.5,69.8,62.9,48.8,47.8,27.5
West Virginia,1910,-0.6,-0.7,9.0,11.4,14.0,18.5,22.7,20.9,19.5,13.7,2.3,-2.8,30.9,30.8,48.2,52.5,57.2,65.3,72.9,69.6,67.1,56.7,36.2,26.9
West Virginia,1911,2.1,3.2,4.3,9.1,18.2,20.7,22.2,22.7,20.1,12.9,4.1,3.3,35.7,37.8,39.8,48.3,64.7,69.2,72.0,72.8,68.1,55.2,39.3,38.0
West Virginia,1912,-5.4,-3.1,3.7,12.3,16.6,18.9,22.2,20.2,19.7,12.6,5.1,1.2,22.2,26.4,38.6,54.2,61.9,66.0,72.0,68.3,67.4,54.6,41.2,34.2
West Virginia,1913,3.9,-0.1,6.9,10.4,15.7,20.3,22.7,21.7,17.2,12.2,6.1,1.7,39.0,31.9,44.4,50.8,60.2,68.5,72.9,71.1,62.9,53.9,43.0,35.1
