state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Wisconsin,1895,-13.7,-12.8,-3.5,7.9,13.4,19.0,19.3,19.6,16.7,4.3,-1.7,-6.6,7.3,8.9,25.7,46.3,56.2,66.2,66.7,67.2,62.0,39.8,28.9,20.2
Wisconsin,1896,-9.2,-7.7,-4.9,8.0,16.4,18.9,20.3,19.7,12.3,5.4,-4.0,-5.7,15.4,18.1,23.2,46.4,61.5,66.0,68.6,67.5,54.1,41.8,24.8,21.7
Wisconsin,1897,-10.8,-7.1,-4.1,5.8,11.6,16.7,21.9,17.5,17.6,10.0,-2.3,-10.4,12.6,19.2,24.6,42.4,52.8,62.0,71.5,63.5,63.6,50.0,27.8,13.3
Wisconsin,1898,-7.5,-7.6,0.1,5.6,12.7,18.8,21.2,18.8,16.1,6.7,-1.5,-10.8,18.5,18.4,32.2,42.0,54.9,65.9,70.1,65.9,61.0,44.0,29.3,12.6
Wisconsin,1899,-12.1,-14.6,-8.1,7.4,12.8,18.4,20.6,20.3,12.9,10.1,3.2,-7.7,10.2,5.7,17.4,45.4,55.1,65.2,69.1,68.6,55.2,50.1,37.7,18.1
Wisconsin,1900,-7.2,-13.3,-5.3,8.1,14.1,18.2,19.7,22.7,15.3,12.6,-2.5,-6.2,19.1,8.1,22.4,46.6,57.4,64.7,67.5,72.8,59.6,54.7,27.5,20.8
Wisconsin,1901,-9.8,-12.4,-3.3,7.4,13.1,19.0,23.2,19.9,14.1,9.1,-1.7,-9.4,14.3,9.7,26.1,45.4,55.6,66.2,73.7,67.8,57.4,48.3,28.9,15.1
Wisconsin,1902,-9.2,-9.9,1.3,5.8,13.8,15.8,20.7,17.7,12.9,8.1,2.4,-8.7,15.4,14.2,34.3,42.4,56.9,60.5,69.3,63.9,55.2,46.5,36.4,16.4
Wisconsin,1903,-10.6,-9.7,1.2,6.4,13.6,16.1,19.7,16.8,13.7,8.3,-2.3,-12.2,13.0,14.6,34.1,43.5,56.4,60.9,67.5,62.3,56.7,47.0,27.8,10.1
Wisconsin,1904,-14.6,-15.2,-3.3,3.2,12.5,17.3,18.7,17.3,14.0,7.8,1.7,-8.7,5.7,4.7,26.1,37.8,54.5,63.1,65.7,63.1,57.2,46.0,35.1,16.3
Wisconsin,1905,-14.5,-12.9,-0.4,5.4,11.3,17.2,19.3,19.4,15.8,6.8,-0.1,-5.8,5.9,8.8,31.2,41.8,52.4,62.9,66.7,67.0,60.4,44.3,31.8,21.6
Wisconsin,1906,-7.3,-9.7,-6.7,7.9,12.0,17.6,19.6,20.2,17.0,7.4,-0.3,-6.8,18.9,14.5,20.0,46.2,53.6,63.6,67.2,68.4,62.6,45.4,31.5,19.8
Wisconsin,1907,-12.0,-8.8,-0.2,1.6,8.2,17.3,19.7,17.9,13.7,6.7,-0.4,-5.9,10.4,16.2,31.6,34.8,46.7,63.1,67.4,64.3,56.6,44.0,31.2,21.4
Wisconsin,1908,-8.3,-7.7,-1.6,6.6,12.7,17.2,20.4,18.6,17.6,8.8,0.8,-7.5,17.1,18.1,29.2,43.8,54.9,63.0,68.7,65.4,63.7,47.8,33.4,18.5
Wisconsin,1909,-9.4,-7.4,-3.1,2.5,11.3,18.1,19.9,20.8,14.0,6.4,2.8,-10.4,15.0,18.6,26.4,36.5,52.4,64.6,67.8,69.5,57.2,43.6,37.1,13.2
Wisconsin,1910,-10.7,-11.4,4.8,8.4,10.2,19.1,21.4,19.2,13.9,9.8,-3.2,-9.2,12.8,11.4,40.7,47.1,50.4,66.4,70.5,66.6,57.1,49.7,26.2,15.5
Wisconsin,1911,-10.9,-6.0,-0.1,5.4,15.3,20.6,20.4,18.1,14.1,6.6,-4.4,-4.5,12.3,21.2,31.8,41.7,59.6,69.1,68.7,64.5,57.4,43.8,24.1,23.9
Wisconsin,1912,-20.6,-11.9,-6.5,6.9,12.9,16.7,20.1,17.1,14.8,8.7,0.8,-5.3,-5.1,10.5,20.3,44.4,55.2,62.0,68.1,62.7,58.6,47.6,33.4,22.4
Wisconsin,1913,-10.2,-12.0,-4.7,7.2,11.7,19.2,19.8,19.7,14.4,7.1,2.7,-2.4,13.6,10.4,23.5,45.0,53.0,66.5,67.6,67.5,58.0,44.7,36.9,27.6
Wisconsin,1914,-6.4,-13.9,-3.0,5.1,13.9,17.3,21.5,18.7,14.6,11.0,0.2,-11.1,20.4,7.0,26.6,41.2,57.1,63.1,70.7,65.7,58.3,51.8,32.4,12.0
Wisconsin,1915,-11.8,-4.6,-3.2,10.8,9.9,15.1,18.0,16.1,14.6,8.6,0.7,-7.0,10.8,23.8,26.3,51.4,49.8,59.1,64.4,61.0,58.3,47.4,33.2,19.4
Wisconsin,1916,-10.5,-11.6,-4.7,5.4,11.8,15.1,23.8,20.3,13.3,7.5,-1.0,-11.1,13.1,11.2,23.5,41.8,53.3,59.1,74.9,68.6,56.0,45.5,30.2,12.0
Wisconsin,1917,-13.7,-15.1,-3.2,4.1,9.8,15.3,20.6,17.3,13.3,2.5,1.3,-12.4,7.3,4.8,26.2,39.3,49.6,59.6,69.1,63.2,56.0,36.5,34.4,9.7
Wisconsin,1918,-16.8,-10.1,1.1,4.3,14.1,17.3,19.4,20.0,11.0,8.9,1.8,-3.3,1.8,13.9,34.0,39.7,57.4,63.2,66.9,68.0,51.8,48.1,35.3,26.1
Wisconsin,1919,-6.8,-7.6,-1.4,6.1,11.9,20.4,21.6,18.4,15.6,7.0,-2.5,-13.3,19.8,18.3,29.4,42.9,53.4,68.7,70.8,65.1,60.1,44.6,27.5,8.0
Wisconsin,1920,-14.9,-10.1,-1.7,2.6,12.1,18.6,18.9,18.2,16.3,11.8,-1.0,-5.6,5.1,13.8,28.9,36.7,53.7,65.4,66.0,64.7,61.3,53.2,30.2,21.9
Wisconsin,1921,-6.6,-5.7,0.3,8.9,14.2,20.9,23.9,19.3,16.6,8.7,-2.9,-7.2,20.2,21.7,32.6,48.0,57.5,69.6,75.0,66.7,61.8,47.7,26.8,19.0
Wisconsin,1922,-11.9,-10.3,-1.6,5.7,15.8,18.6,19.1,19.7,16.1,9.4,2.8,-8.7,10.6,13.4,29.2,42.3,60.5,65.5,66.4,67.5,60.9,48.9,37.0,16.4
Wisconsin,1923,-9.1,-13.1,-6.7,4.3,12.4,20.1,21.5,17.8,14.7,7.0,1.8,-2.2,15.7,8.4,20.0,39.7,54.4,68.2,70.7,64.0,58.5,44.6,35.2,28.1
Wisconsin,1924,-15.4,-7.5,-3.2,4.9,8.7,15.9,18.6,17.8,12.0,11.2,-0.3,-12.8,4.2,18.5,26.2,40.9,47.6,60.6,65.4,64.1,53.6,52.1,31.5,9.0
Wisconsin,1925,-10.7,-7.1,-0.7,8.9,10.5,18.3,19.7,19.7,16.4,2.5,-1.2,-9.9,12.8,19.3,30.8,48.1,50.9,65.0,67.4,67.4,61.5,36.5,29.8,14.1
Wisconsin,1926,-10.2,-7.0,-5.9,3.8,13.5,15.4,20.0,18.9,13.1,6.6,-3.3,-10.2,13.7,19.4,21.4,38.8,56.3,59.7,68.0,66.0,55.5,43.8,26.0,13.6
Wisconsin,1927,-12.1,-5.8,0.9,5.8,10.8,16.1,19.0,16.4,15.9,9.2,-0.8,-11.7,10.3,21.5,33.7,42.4,51.4,61.0,66.2,61.5,60.7,48.6,30.6,10.9
Wisconsin,1928,-9.4,-7.7,-2.3,2.7,13.4,15.2,20.3,19.2,12.5,8.8,1.0,-5.3,15.0,18.1,27.8,36.9,56.2,59.3,68.5,66.6,54.5,47.8,33.8,22.5
