state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Wyoming,1895,-9.8,-9.7,-3.8,5.6,8.2,11.8,16.2,16.8,11.4,5.3,-3.9,-9.0,14.4,14.5,25.2,42.0,46.8,53.2,61.2,62.3,52.5,41.5,24.9,15.8
Wyoming,1896,-6.1,-4.4,-4.3,2.8,8.2,15.6,17.8,16.8,10.3,5.1,-7.0,-2.7,21.1,24.0,24.3,37.0,46.7,60.0,64.1,62.2,50.6,41.2,19.4,27.2
Wyoming,1897,-8.6,-7.0,-5.8,3.1,11.7,14.4,17.1,16.7,13.9,6.0,-1.7,-8.8,16.5,19.4,21.6,37.6,53.0,58.0,62.8,62.0,57.0,42.8,29.0,16.2
Wyoming,1898,-10.4,-3.7,-4.1,5.1,8.3,14.7,18.0,18.6,11.8,3.3,-3.7,-9.9,13.3,25.3,24.6,41.1,47.0,58.4,64.4,65.5,53.3,38.0,25.3,14.1
Wyoming,1899,-6.6,-12.7,-5.3,3.8,7.7,13.2,18.1,16.2,12.5,3.8,0.6,-8.0,20.2,9.1,22.4,38.8,45.8,55.7,64.5,61.2,54.5,38.9,33.1,17.6
Wyoming,1900,-4.7,-6.9,0.2,4.8,11.3,17.2,18.1,17.8,11.2,6.1,-1.6,-4.2,23.5,19.5,32.4,40.6,52.3,62.9,64.5,64.0,52.2,42.9,29.2,24.4
Wyoming,1901,-6.6,-8.3,-2.1,3.7,11.9,12.7,20.3,18.2,10.4,7.1,0.4,-6.7,20.1,17.1,28.2,38.7,53.4,54.8,68.6,64.8,50.7,44.7,32.7,20.0
Wyoming,1902,-8.1,-3.9,-2.3,2.9,9.9,13.9,16.5,16.9,11.0,6.0,-1.6,-7.2,17.4,24.9,27.9,37.3,49.8,57.0,61.7,62.4,51.8,42.8,29.1,19.1
Wyoming,1903,-6.4,-12.2,-2.9,3.2,7.2,13.9,17.0,17.3,9.8,6.2,-2.0,-5.5,20.5,10.0,26.7,37.7,45.0,57.0,62.6,63.1,49.6,43.2,28.4,22.1
Wyoming,1904,-7.7,-5.1,-1.5,4.4,9.0,12.8,16.8,17.0,12.1,6.8,1.2,-5.2,18.2,22.8,29.3,40.0,48.2,55.0,62.2,62.6,53.8,44.2,34.2,22.6
Wyoming,1905,-7.3,-9.2,1.4,3.3,7.1,13.5,17.2,17.8,12.7,2.7,-0.7,-7.6,18.8,15.4,34.6,37.9,44.7,56.3,62.9,64.1,54.8,36.8,30.8,18.4
Wyoming,1906,-6.3,-4.8,-6.5,4.8,8.7,12.4,17.0,16.8,12.2,5.3,-2.8,-3.2,20.7,23.4,20.3,40.7,47.6,54.4,62.6,62.2,53.9,41.5,27.0,26.2
Wyoming,1907,-9.0,-2.3,1.1,2.8,6.7,12.1,17.3,16.2,11.4,7.3,-1.6,-5.9,15.8,27.9,34.0,37.1,44.0,53.7,63.2,61.1,52.5,45.2,29.1,21.4
Wyoming,1908,-6.7,-5.5,-1.6,5.6,7.7,12.1,17.9,15.7,12.7,3.8,-2.3,-7.4,19.9,22.1,29.1,42.0,45.8,53.8,64.3,60.3,54.8,38.9,27.8,18.7
Wyoming,1909,-6.6,-6.0,-2.3,0.9,7.0,14.6,18.5,18.8,12.3,5.9,-0.3,-12.7,20.1,21.2,27.8,33.6,44.6,58.3,65.3,65.9,54.1,42.7,31.5,9.1
Wyoming,1910,-9.1,-9.1,4.3,7.2,9.2,15.7,19.3,16.3,12.4,7.0,0.3,-5.2,15.7,15.6,39.7,45.0,48.6,60.3,66.8,61.4,54.4,44.6,32.5,22.7
Wyoming,1911,-5.7,-7.7,0.8,3.0,9.3,16.1,17.1,15.9,12.3,3.3,-4.6,-9.0,21.7,18.1,33.4,37.4,48.8,61.0,62.8,60.6,54.2,38.0,23.8,15.8
Wyoming,1912,-8.3,-6.0,-6.7,2.9,7.8,13.8,16.8,15.6,7.4,4.0,-0.3,-7.1,17.1,21.2,20.0,37.2,46.0,56.8,62.3,60.1,45.4,39.2,31.5,19.3
Wyoming,1913,-8.5,-10.5,-4.2,5.2,9.6,15.0,17.0,18.3,11.4,3.2,0.3,-8.7,16.7,13.1,24.4,41.3,49.2,59.0,62.6,65.0,52.5,37.8,32.5,16.4
Wyoming,1914,-5.0,-7.0,-1.3,4.2,9.9,14.1,18.6,16.8,12.3,6.6,0.8,-10.7,23.0,19.4,29.7,39.5,49.9,57.4,65.5,62.3,54.1,43.8,33.5,12.8
Wyoming,1915,-8.4,-3.8,-2.9,7.8,7.6,11.3,15.7,16.3,10.3,7.0,-0.9,-5.9,16.8,25.1,26.8,46.0,45.6,52.4,60.3,61.4,50.5,44.6,30.3,21.4
Wyoming,1916,-12.8,-4.9,0.6,3.7,6.8,12.8,18.9,16.3,11.3,3.6,-4.2,-10.8,8.9,23.1,33.0,38.7,44.2,55.0,66.0,61.4,52.3,38.5,24.5,12.6
Wyoming,1917,-11.1,-7.2,-7.0,0.9,6.1,12.4,19.4,15.7,12.6,4.4,2.0,-4.3,12.0,19.0,19.4,33.6,43.0,54.4,67.0,60.2,54.7,39.9,35.6,24.2
Wyoming,1918,-9.7,-6.4,1.5,0.9,8.2,17.0,17.6,16.3,11.2,7.3,-3.3,-5.9,14.6,20.4,34.7,33.7,46.7,62.6,63.6,61.4,52.2,45.1,26.0,21.3
Wyoming,1919,-5.4,-6.6,-1.1,4.2,10.2,16.5,20.2,17.9,13.4,0.7,-4.9,-9.4,22.2,20.1,30.0,39.6,50.4,61.7,68.4,64.2,56.1,33.2,23.1,15.0
Wyoming,1920,-5.6,-5.3,-3.1,-0.5,8.4,13.4,18.2,16.4,11.8,5.0,-3.6,-6.5,22.0,22.5,26.5,31.1,47.1,56.1,64.7,61.6,53.3,41.0,25.5,20.3
Wyoming,1921,-5.6,-3.7,0.7,2.7,9.3,15.9,18.8,17.4,11.1,7.8,-0.6,-5.7,22.0,25.4,33.2,36.8,48.8,60.6,65.9,63.3,52.0,46.1,30.9,21.7
Wyoming,1922,-12.0,-9.7,-3.0,1.5,8.7,15.8,17.3,19.0,13.6,6.5,-3.0,-7.3,10.4,14.6,26.6,34.7,47.6,60.5,63.1,66.2,56.5,43.7,26.6,18.9
Wyoming,1923,-4.5,-9.2,-4.8,2.7,9.3,13.9,19.6,16.6,11.8,2.7,-0.3,-7.4,23.9,15.5,23.4,36.9,48.7,57.1,67.2,61.8,53.3,36.8,31.4,18.7
