state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Alabama,1895,11.5,8.9,19.2,24.3,27.0,31.3,32.0,32.1,31.7,23.4,18.4,13.9,52.7,48.1,66.5,75.7,80.6,88.4,89.6,89.7,89.1,74.2,65.1,57.1
Alabama,1896,11.7,15.0,17.7,27.0,31.0,31.1,33.1,34.4,31.8,24.3,20.5,14.3,53.0,59.0,63.9,80.6,87.8,87.9,91.6,94.0,89.2,75.8,68.9,57.7
Alabama,1897,11.2,16.1,21.1,23.8,27.9,34.4,33.8,31.9,31.5,27.2,19.5,14.4,52.1,61.0,69.9,74.8,82.2,94.0,92.8,89.5,88.7,81.0,67.1,58.0
Alabama,1898,15.1,14.4,21.1,21.7,31.1,33.7,32.5,31.3,29.7,22.4,16.1,12.4,59.1,58.0,69.9,71.0,88.0,92.7,90.5,88.4,85.4,72.3,61.0,54.3
Alabama,1899,12.4,10.8,19.9,22.6,31.4,33.5,33.3,33.3,30.2,25.6,19.9,13.1,54.4,51.4,67.8,72.6,88.6,92.3,91.9,92.0,86.3,78.1,67.8,55.6
Alabama,1900,12.9,13.6,18.1,24.8,29.1,29.6,32.6,34.2,31.7,25.7,19.1,14.1,55.3,56.4,64.5,76.7,84.4,85.2,90.6,93.5,89.1,78.2,66.4,57.4
Alabama,1901,14.2,12.2,18.6,21.1,28.9,32.8,35.1,32.0,28.7,24.6,17.1,12.0,57.5,53.9,65.5,70.0,84.0,91.1,95.1,89.6,83.7,76.2,62.7,53.6
Alabama,1902,13.0,10.5,19.0,23.8,31.3,34.8,35.6,34.8,29.3,24.2,20.7,13.1,55.4,50.9,66.2,74.9,88.3,94.6,96.1,94.6,84.8,75.6,69.2,55.6
Alabama,1903,11.9,15.3,20.2,23.3,27.2,29.5,33.3,33.2,30.4,25.0,16.9,11.6,53.5,59.5,68.4,74.0,81.0,85.1,92.0,91.8,86.7,77.0,62.5,52.8
Alabama,1904,11.4,15.7,21.3,22.6,29.0,32.9,32.6,32.0,32.4,26.7,18.3,13.9,52.6,60.2,70.3,72.7,84.2,91.3,90.6,89.6,90.3,80.1,64.9,57.0
Alabama,1905,9.9,9.7,22.0,24.3,29.7,33.0,32.8,32.1,31.2,23.6,20.0,11.4,49.8,49.5,71.6,75.7,85.4,91.4,91.1,89.8,88.2,74.4,68.0,52.6
Alabama,1906,14.0,14.5,16.6,26.2,27.8,32.8,32.2,33.2,31.4,22.6,20.4,15.8,57.2,58.1,61.9,79.1,82.1,91.1,89.9,91.7,88.6,72.6,68.8,60.4
Alabama,1907,18.3,15.9,25.2,21.1,26.2,31.2,33.8,33.6,30.4,24.9,17.1,13.1,65.0,60.6,77.3,70.0,79.2,88.2,92.8,92.5,86.8,76.9,62.8,55.5
Alabama,1908,12.6,12.9,23.7,26.5,28.9,32.4,33.3,33.0,30.6,24.1,21.3,16.4,54.6,55.2,74.6,79.7,84.0,90.4,91.9,91.4,87.0,75.3,70.3,61.6
Alabama,1909,16.1,17.3,19.9,24.2,27.4,31.7,33.1,33.8,30.7,26.2,23.8,11.2,61.0,63.2,67.8,75.6,81.4,89.0,91.5,92.8,87.3,79.1,74.8,52.1
Alabama,1910,14.2,13.8,24.0,24.3,27.7,30.5,31.6,32.9,32.4,26.4,17.8,11.8,57.6,56.9,75.2,75.8,81.9,86.9,88.8,91.2,90.3,79.5,64.1,53.2
Alabama,1911,16.3,18.6,21.7,23.8,30.3,34.4,31.7,32.1,33.6,26.9,17.0,15.6,61.3,65.4,71.1,74.9,86.6,93.9,89.1,89.8,92.5,80.4,62.6,60.1
Alabama,1912,10.8,12.8,17.6,24.4,29.3,29.9,32.3,32.3,30.8,25.3,18.2,13.8,51.4,55.1,63.6,76.0,84.8,85.8,90.2,90.2,87.5,77.6,64.8,56.9
Alabama,1913,16.9,14.6,19.2,23.9,29.2,32.8,33.7,34.1,28.9,23.3,21.2,14.0,62.5,58.2,66.5,75.0,84.6,91.1,92.7,93.4,84.0,73.9,70.1,57.2
Alabama,1914,14.9,14.1,16.8,24.8,29.7,35.8,34.4,32.0,29.2,23.8,18.8,10.8,58.8,57.4,62.2,76.7,85.4,96.4,93.9,89.6,84.5,74.8,65.8,51.5
Alabama,1915,11.8,14.9,14.5,26.1,30.1,32.7,33.4,32.3,31.4,25.6,21.3,14.4,53.3,58.9,58.1,79.0,86.1,90.8,92.2,90.1,88.5,78.0,70.4,58.0
Alabama,1916,17.0,15.5,19.5,23.7,30.1,31.7,30.7,32.9,30.3,25.6,20.3,14.6,62.6,59.9,67.1,74.7,86.2,89.0,87.3,91.3,86.6,78.0,68.5,58.2
Alabama,1917,15.6,16.1,20.4,25.3,26.5,32.7,32.7,31.9,29.1,23.0,17.9,10.5,60.0,60.9,68.7,77.5,79.7,90.9,90.9,89.5,84.4,73.4,64.3,50.9
Alabama,1918,9.2,18.4,23.7,22.1,29.6,33.4,32.6,33.6,28.4,25.8,18.1,15.3,48.6,65.2,74.6,71.8,85.3,92.2,90.6,92.4,83.1,78.4,64.5,59.5
Alabama,1919,13.5,14.7,20.6,24.6,26.6,31.6,32.3,32.0,31.2,29.3,20.6,14.9,56.3,58.5,69.0,76.2,79.8,88.9,90.1,89.6,88.2,84.7,69.0,58.8
Alabama,1920,13.8,13.6,17.6,23.2,27.2,31.5,32.3,30.8,31.1,25.8,17.4,12.9,56.8,56.5,63.7,73.7,80.9,88.7,90.1,87.4,87.9,78.4,63.3,55.2
Alabama,1921,16.2,16.7,24.4,23.6,27.9,34.0,33.8,33.2,34.0,24.8,21.2,17.0,61.1,62.0,75.9,74.5,82.3,93.2,92.9,91.8,93.2,76.7,70.1,62.6
Alabama,1922,13.0,17.9,19.2,25.4,27.8,32.2,32.8,32.4,32.2,25.0,20.6,17.6,55.4,64.3,66.6,77.8,82.1,89.9,91.1,90.4,90.0,77.0,69.0,63.7
Alabama,1923,17.1,14.3,19.3,23.8,26.6,30.8,31.9,31.4,30.9,24.4,17.6,17.1,62.8,57.7,66.7,74.8,79.8,87.4,89.4,88.5,87.7,76.0,63.7,62.8
Alabama,1924,11.5,14.4,16.6,23.8,26.4,32.6,33.3,34.6,28.7,26.2,20.9,14.7,52.7,58.0,61.8,74.8,79.5,90.6,91.9,94.3,83.6,79.1,69.7,58.5
Alabama,1925,14.0,17.9,21.6,27.1,28.1,34.1,34.2,34.1,36.0,24.3,17.3,13.2,57.2,64.3,70.8,80.8,82.6,93.3,93.6,93.3,96.8,75.8,63.2,55.7
Alabama,1926,12.1,16.7,15.4,23.3,28.6,31.9,32.7,32.4,32.1,25.7,16.4,16.6,53.8,62.1,59.8,74.0,83.4,89.4,90.9,90.4,89.8,78.3,61.5,61.8
Alabama,1927,15.3,20.4,19.7,26.6,29.3,31.3,33.6,32.1,32.7,27.5,21.9,13.9,59.5,68.7,67.4,79.8,84.8,88.3,92.4,89.8,90.8,81.5,71.4,57.0
Alabama,1928,13.3,15.0,19.5,21.9,27.5,30.0,33.0,33.1,29.3,26.3,18.1,14.6,56.0,59.0,67.1,71.4,81.5,86.0,91.4,91.6,84.8,79.4,64.5,58.3
Alabama,1929,15.5,13.6,21.4,25.6,27.8,31.4,33.0,33.9,29.4,23.6,17.0,13.4,59.9,56.4,70.5,78.1,82.1,88.5,91.4,93.0,84.9,74.4,62.6,56.2
Alabama,1930,13.2,18.8,17.1,26.0,29.1,32.2,36.1,33.2,30.5,23.1,17.0,11.3,55.7,65.8,62.8,78.8,84.4,89.9,96.9,91.7,86.9,73.6,62.6,52.3
Alabama,1931,12.9,16.4,15.9,23.3,27.1,34.3,33.6,31.7,33.4,27.2,22.8,17.6,55.3,61.6,60.7,74.0,80.7,93.8,92.5,89.0,92.2,80.9,73.0,63.6
Alabama,1932,16.9,20.0,17.2,25.1,27.4,32.2,34.2,32.8,29.3,23.7,15.8,14.9,62.5,68.0,63.0,77.2,81.3,90.0,93.6,91.1,84.7,74.7,60.5,58.9
Alabama,1933,16.4,14.8,19.7,23.2,30.9,33.2,31.8,32.7,33.1,25.6,19.5,19.2,61.6,58.7,67.4,73.7,87.7,91.8,89.3,90.8,91.6,78.1,67.1,66.5
Alabama,1934,14.8,13.6,18.8,24.5,28.3,32.8,33.3,32.4,30.3,25.8,20.2,12.9,58.6,56.4,65.9,76.1,83.0,91.1,92.0,90.4,86.5,78.5,68.4,55.3
