state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Alaska,1925,-19.7,-14.8,-6.9,0.2,8.9,14.8,16.5,15.9,9.7,3.6,-6.3,-12.3,-3.5,5.3,19.6,32.3,48.0,58.6,61.7,60.6,49.5,38.5,20.7,9.9
Alaska,1926,-6.1,-11.7,-1.9,3.0,9.2,17.4,17.2,16.0,10.9,2.9,-4.1,-13.3,21.0,10.9,28.6,37.4,48.6,63.3,63.0,60.8,51.7,37.2,24.6,8.0
Alaska,1927,-10.5,-9.4,-10.6,-4.1,7.6,15.4,17.7,14.5,7.0,-1.4,-12.5,-11.7,13.1,15.1,13.0,24.6,45.6,59.7,63.8,58.1,44.6,29.4,9.5,11.0
Alaska,1928,-9.3,-6.2,-10.2,0.7,8.2,14.9,15.6,13.2,7.3,0.1,-4.4,-8.3,15.3,20.9,13.6,33.2,46.8,58.9,60.0,55.8,45.2,32.2,24.1,17.0
Alaska,1929,-7.4,-7.2,-10.7,-1.0,8.0,15.4,15.9,14.2,11.2,0.6,-4.2,-12.2,18.6,19.1,12.8,30.2,46.4,59.8,60.6,57.5,52.1,33.0,24.4,10.1
Alaska,1930,-8.3,-16.8,-8.7,-0.8,8.0,14.7,16.0,14.1,8.0,0.1,-9.9,-7.6,17.0,1.7,16.3,30.5,46.4,58.4,60.8,57.4,46.4,32.2,14.1,18.3
Alaska,1931,-9.0,-8.1,-6.5,-0.3,6.1,14.3,15.6,14.3,8.1,-0.7,-5.3,-11.3,15.8,17.5,20.3,31.4,43.0,57.8,60.0,57.8,46.5,30.7,22.4,11.6
Alaska,1932,-16.8,-15.4,-4.8,1.1,7.4,13.3,15.9,12.3,7.6,1.1,-11.3,-11.3,1.8,4.2,23.4,34.0,45.4,56.0,60.6,54.2,45.7,34.0,11.6,11.6
Alaska,1933,-18.2,-11.9,-7.1,0.9,8.1,13.1,16.1,13.8,7.9,-1.8,-7.4,-18.2,-0.8,10.5,19.3,33.6,46.5,55.6,60.9,56.8,46.2,28.7,18.6,-0.8
Alaska,1934,-20.4,-6.1,-6.0,1.0,7.6,14.7,15.2,13.8,10.0,1.7,-7.4,-8.6,-4.7,21.1,21.2,33.8,45.6,58.4,59.4,56.8,50.0,35.0,18.6,16.6
Alaska,1935,-13.3,-7.3,-6.2,0.3,6.5,14.7,16.2,13.5,8.6,0.4,-7.8,-14.5,8.0,18.8,20.8,32.6,43.7,58.5,61.2,56.3,47.5,32.8,18.0,5.9
Alaska,1936,-11.4,-13.7,-8.1,1.3,8.1,17.8,16.6,15.8,9.2,1.8,-5.9,-14.0,11.4,7.4,17.5,34.4,46.6,64.1,61.8,60.5,48.5,35.3,21.4,6.8
Alaska,1937,-4.5,-13.2,-7.9,-1.6,7.2,15.6,16.8,13.4,10.4,3.4,-4.8,-11.1,23.9,8.2,17.8,29.1,44.9,60.1,62.2,56.2,50.8,38.2,23.3,12.0
Alaska,1938,-15.4,-13.8,-6.4,2.3,8.2,14.1,16.0,13.9,9.3,4.0,-4.9,-10.1,4.3,7.2,20.4,36.1,46.8,57.3,60.8,57.1,48.7,39.2,23.2,13.9
Alaska,1939,-15.0,-10.0,-8.8,0.6,6.8,15.2,16.4,12.9,8.2,-1.1,-11.3,-9.2,5.0,14.0,16.1,33.0,44.2,59.4,61.5,55.2,46.7,30.0,11.6,15.5
Alaska,1940,-8.3,-8.3,-6.0,5.8,10.6,16.1,17.5,15.4,9.3,1.1,-5.3,-9.7,17.0,17.1,21.2,42.4,51.1,61.0,63.5,59.8,48.7,33.9,22.5,14.6
Alaska,1941,-14.2,-6.2,-6.0,1.9,8.1,16.1,14.9,16.0,9.8,-0.1,-8.7,-11.2,6.5,20.8,21.2,35.4,46.6,61.0,58.9,60.8,49.6,31.9,16.4,11.9
Alaska,1942,-7.7,-5.1,-7.4,1.5,10.3,15.4,16.3,14.1,10.4,0.7,-10.5,-19.6,18.1,22.9,18.6,34.7,50.6,59.8,61.3,57.4,50.7,33.3,13.1,-3.2
Alaska,1943,-18.7,-8.0,-6.6,0.5,8.9,16.1,15.7,12.8,7.7,1.8,-3.8,-9.3,-1.6,17.6,20.2,32.9,48.0,61.0,60.2,55.1,45.9,35.2,25.2,15.3
Alaska,1944,-11.7,-6.1,-7.7,-0.3,7.6,15.0,16.6,13.1,7.8,1.2,-7.8,-9.2,10.9,21.1,18.2,31.4,45.6,59.0,61.8,55.6,46.0,34.2,17.9,15.4
Alaska,1945,-6.3,-7.6,-8.4,-1.4,5.8,13.1,15.7,12.3,8.1,0.1,-12.9,-11.8,20.7,18.4,16.9,29.4,42.5,55.6,60.2,54.2,46.6,32.2,8.7,10.8
Alaska,1946,-10.7,-11.7,-10.7,-1.7,7.4,15.2,17.2,12.9,7.7,1.8,-9.4,-17.2,12.8,11.0,12.8,29.0,45.3,59.4,62.9,55.2,45.9,35.3,15.1,1.0
Alaska,1947,-18.9,-9.6,-6.7,-0.1,8.3,13.8,16.8,12.9,7.2,-0.6,-4.9,-9.0,-2.1,14.8,20.0,31.9,46.9,56.8,62.3,55.2,45.0,30.9,23.2,15.8
