state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Arizona,1895,9.4,13.3,18.2,23.3,27.0,30.7,32.8,32.3,29.3,23.2,13.7,9.5,49.0,56.0,64.7,73.9,80.6,87.2,91.0,90.2,84.8,73.8,56.6,49.1
Arizona,1896,13.7,14.5,18.1,20.9,26.9,34.4,32.1,31.5,28.0,21.9,15.5,13.3,56.6,58.1,64.6,69.6,80.4,93.9,89.8,88.7,82.4,71.5,59.9,56.0
Arizona,1897,10.0,11.8,14.0,22.7,28.9,31.6,33.4,33.0,28.7,21.2,18.3,10.9,50.0,53.2,57.2,72.9,84.1,88.8,92.2,91.4,83.6,70.2,64.9,51.7
Arizona,1898,7.7,16.0,15.6,24.6,25.6,33.0,34.0,32.7,30.8,24.7,17.1,8.5,45.9,60.8,60.1,76.3,78.0,91.4,93.2,90.9,87.5,76.5,62.8,47.3
Arizona,1899,10.1,13.3,18.1,23.2,25.5,32.2,33.7,31.9,32.6,22.3,18.1,13.4,50.1,55.9,64.5,73.7,77.9,89.9,92.6,89.5,90.6,72.1,64.6,56.2
Arizona,1900,14.9,15.6,20.8,18.1,27.7,33.7,35.1,32.3,27.8,23.3,17.9,13.6,58.8,60.0,69.5,64.6,81.8,92.6,95.1,90.1,82.1,73.9,64.2,56.5
Arizona,1901,12.1,13.4,17.2,21.0,27.0,31.7,35.7,33.4,30.7,24.8,19.0,13.8,53.8,56.1,63.0,69.8,80.6,89.0,96.2,92.2,87.3,76.7,66.2,56.8
Arizona,1902,13.0,15.6,15.0,24.3,27.0,34.6,34.0,32.9,30.3,25.4,16.2,11.2,55.4,60.1,59.0,75.8,80.6,94.2,93.2,91.2,86.5,77.7,61.1,52.2
Arizona,1903,12.2,10.2,16.9,21.4,26.2,31.6,34.3,33.8,28.8,24.6,20.2,13.2,54.0,50.3,62.4,70.6,79.1,88.8,93.8,92.9,83.9,76.3,68.4,55.8
Arizona,1904,11.3,17.5,19.3,23.6,27.3,32.6,33.8,31.6,29.1,23.4,19.2,12.1,52.4,63.5,66.8,74.5,81.2,90.7,92.8,88.9,84.4,74.2,66.5,53.8
Arizona,1905,12.1,11.0,15.6,19.6,24.4,32.3,34.6,33.9,30.2,23.8,14.9,9.5,53.7,51.8,60.0,67.2,76.0,90.2,94.3,93.0,86.4,74.9,58.9,49.1
Arizona,1906,10.4,14.7,16.4,20.7,26.3,32.3,34.4,31.2,29.6,24.6,16.1,12.8,50.8,58.4,61.6,69.3,79.4,90.1,93.9,88.2,85.2,76.2,60.9,55.0
Arizona,1907,11.2,17.3,18.1,23.4,24.5,30.0,33.8,31.8,30.4,22.9,16.2,13.9,52.1,63.2,64.5,74.1,76.1,86.0,92.8,89.2,86.7,73.2,61.1,57.0
Arizona,1908,13.0,13.3,18.6,22.4,24.8,32.0,33.9,31.9,29.8,22.4,17.9,11.5,55.4,56.0,65.5,72.4,76.7,89.6,93.0,89.5,85.7,72.3,64.3,52.7
Arizona,1909,13.8,13.2,15.1,22.1,26.1,33.4,34.0,31.1,28.4,25.7,18.1,8.0,56.9,55.8,59.2,71.7,78.9,92.2,93.2,88.0,83.2,78.2,64.6,46.4
Arizona,1910,11.3,14.4,21.6,24.0,29.7,33.6,34.9,33.7,32.0,24.8,18.2,14.2,52.4,58.0,70.9,75.2,85.5,92.4,94.8,92.6,89.6,76.6,64.7,57.6
Arizona,1911,13.2,12.0,18.7,21.8,27.3,32.0,32.2,33.6,29.8,22.9,16.1,9.8,55.8,53.6,65.6,71.2,81.1,89.6,90.0,92.4,85.6,73.3,60.9,49.6
Arizona,1912,13.4,16.0,15.4,18.6,26.2,32.6,31.7,31.7,28.7,21.1,17.3,9.6,56.2,60.8,59.7,65.4,79.1,90.6,89.1,89.0,83.6,69.9,63.2,49.2
Arizona,1913,9.3,11.4,15.4,21.8,27.5,31.2,33.1,32.6,28.9,23.8,16.5,9.7,48.8,52.5,59.7,71.3,81.5,88.2,91.5,90.7,84.0,74.9,61.7,49.5
Arizona,1914,12.8,13.8,19.2,22.7,27.4,31.6,31.9,33.3,30.5,23.2,19.1,8.8,55.1,56.9,66.5,72.8,81.4,88.9,89.4,92.0,86.9,73.7,66.4,47.9
Arizona,1915,9.5,12.3,16.3,21.2,24.0,31.8,32.9,33.7,29.2,26.3,17.7,11.8,49.1,54.1,61.3,70.2,75.2,89.3,91.2,92.7,84.5,79.3,63.8,53.3
Arizona,1916,9.3,16.7,20.0,22.9,26.8,33.3,33.4,31.3,29.0,21.7,17.3,10.7,48.8,62.0,68.0,73.2,80.3,92.0,92.2,88.3,84.2,71.1,63.2,51.2
Arizona,1917,8.2,12.7,15.7,20.4,22.6,33.5,34.5,33.0,29.8,26.6,20.2,17.2,46.8,54.9,60.3,68.7,72.7,92.3,94.1,91.4,85.7,79.8,68.4,62.9
Arizona,1918,11.1,14.3,17.7,21.7,24.8,34.5,32.8,31.1,30.6,24.3,14.8,9.7,52.0,57.8,63.8,71.0,76.6,94.1,91.1,87.9,87.1,75.7,58.7,49.4
Arizona,1919,9.4,10.7,15.3,23.3,27.6,33.4,32.0,33.1,28.6,20.4,15.8,12.3,48.9,51.3,59.6,74.0,81.6,92.1,89.6,91.6,83.5,68.8,60.4,54.2
Arizona,1920,10.7,13.7,15.2,18.7,26.9,31.1,34.9,31.7,28.9,21.6,16.6,11.4,51.3,56.6,59.3,65.6,80.5,88.0,94.8,89.0,84.1,70.8,61.9,52.6
Arizona,1921,12.6,16.0,19.6,21.2,25.6,32.4,32.9,30.9,30.1,25.4,19.4,13.6,54.6,60.8,67.3,70.1,78.1,90.4,91.2,87.6,86.2,77.8,66.9,56.5
Arizona,1922,9.8,12.8,15.1,19.1,27.4,33.6,34.3,32.7,31.4,24.7,14.8,13.3,49.6,55.0,59.2,66.4,81.3,92.5,93.8,90.9,88.5,76.5,58.6,56.0
Arizona,1923,14.4,12.7,15.3,20.3,28.2,30.9,33.2,30.6,27.8,22.3,15.4,9.6,57.9,54.8,59.6,68.6,82.7,87.7,91.7,87.1,82.1,72.1,59.8,49.3
Arizona,1924,10.8,16.8,14.1,19.9,28.1,34.6,33.6,34.0,30.5,24.0,18.8,9.7,51.5,62.2,57.3,67.9,82.6,94.3,92.4,93.2,86.9,75.2,65.9,49.4
