state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Arkansas,1895,7.8,6.1,16.7,23.6,26.4,30.7,31.1,32.1,31.0,21.0,15.2,11.3,46.0,43.0,62.1,74.5,79.5,87.2,87.9,89.7,87.8,69.8,59.4,52.3
Arkansas,1896,9.4,12.6,14.4,25.5,29.6,31.4,35.2,35.1,29.8,22.1,16.6,13.6,48.9,54.6,58.0,77.9,85.2,88.6,95.3,95.2,85.6,71.8,61.8,56.4
Arkansas,1897,8.2,12.8,18.2,21.8,26.5,31.6,34.6,33.2,32.5,27.6,16.6,8.7,46.8,55.1,64.7,71.2,79.7,88.9,94.3,91.8,90.5,81.6,61.9,47.7
Arkansas,1898,11.4,12.6,17.8,20.6,28.3,31.4,32.4,32.1,29.7,21.2,14.4,9.1,52.5,54.7,64.1,69.0,83.0,88.6,90.3,89.8,85.4,70.1,57.9,48.3
Arkansas,1899,9.0,5.6,16.5,21.2,27.8,30.9,32.4,34.8,29.8,25.4,18.4,10.1,48.2,42.0,61.7,70.1,82.1,87.6,90.4,94.7,85.7,77.8,65.1,50.2
Arkansas,1900,11.1,10.2,16.7,22.8,26.8,30.1,31.8,33.3,30.8,24.6,16.9,12.4,52.0,50.4,62.0,73.0,80.2,86.1,89.3,92.0,87.5,76.3,62.5,54.3
Arkansas,1901,12.6,9.9,16.8,20.5,26.7,33.0,36.6,33.7,29.3,24.7,16.2,8.6,54.7,49.9,62.2,68.9,80.0,91.4,97.8,92.6,84.8,76.4,61.2,47.5
Arkansas,1902,8.5,5.8,17.1,22.0,28.7,31.4,32.4,33.2,26.4,23.6,17.7,8.7,47.3,42.5,62.7,71.6,83.7,88.6,90.4,91.8,79.6,74.5,63.8,47.7
Arkansas,1903,9.1,9.6,17.4,21.9,24.9,27.5,32.1,31.6,28.3,22.8,14.9,10.2,48.4,49.3,63.4,71.4,76.8,81.5,89.8,88.9,83.0,73.1,58.8,50.4
Arkansas,1904,9.8,12.0,18.9,19.4,25.7,29.7,31.2,31.5,30.0,24.2,17.1,10.8,49.6,53.6,66.0,66.9,78.3,85.5,88.1,88.7,86.0,75.6,62.7,51.4
Arkansas,1905,5.1,4.6,19.7,21.0,26.2,30.6,29.9,31.9,29.4,22.0,17.8,7.9,41.2,40.3,67.5,69.8,79.1,87.1,85.8,89.5,85.0,71.6,64.0,46.2
Arkansas,1906,11.2,11.3,11.8,23.8,26.8,30.7,30.6,31.4,29.7,20.6,15.9,12.4,52.1,52.4,53.2,74.9,80.2,87.3,87.0,88.5,85.5,69.1,60.7,54.4
Arkansas,1907,14.7,13.1,22.4,17.9,23.2,29.7,33.7,34.2,30.2,23.3,15.2,11.5,58.4,55.5,72.3,64.2,73.8,85.5,92.7,93.5,86.3,74.0,59.3,52.7
Arkansas,1908,10.2,11.9,20.9,22.8,26.4,29.9,32.3,31.9,29.2,22.6,18.0,13.0,50.3,53.4,69.7,73.1,79.5,85.9,90.2,89.5,84.6,72.7,64.4,55.4
Arkansas,1909,11.2,14.7,17.1,22.1,25.3,30.5,33.7,34.8,30.9,24.7,21.0,6.8,52.1,58.4,62.7,71.7,77.5,86.9,92.7,94.7,87.6,76.5,69.8,44.2
Arkansas,1910,11.0,9.4,22.9,21.2,24.7,29.2,31.7,31.6,31.3,24.1,17.3,10.0,51.8,49.0,73.2,70.2,76.4,84.6,89.0,88.9,88.4,75.3,63.1,50.0
Arkansas,1911,13.6,15.2,20.0,21.3,28.7,34.2,31.3,30.6,31.9,22.9,14.3,10.6,56.5,59.3,68.0,70.3,83.6,93.5,88.4,87.0,89.4,73.2,57.8,51.1
Arkansas,1912,6.7,8.8,11.8,21.7,26.8,28.7,33.2,31.9,30.6,24.4,16.8,10.6,44.0,47.8,53.2,71.1,80.3,83.7,91.7,89.4,87.1,76.0,62.2,51.0
Arkansas,1913,11.9,9.7,15.8,22.1,26.8,32.1,33.5,34.9,27.5,21.2,18.9,10.1,53.4,49.4,60.4,71.8,80.3,89.8,92.3,94.9,81.5,70.2,66.1,50.1
Arkansas,1914,13.2,9.8,15.4,21.6,26.8,34.7,34.4,30.7,29.1,22.5,17.5,5.0,55.8,49.7,59.8,70.8,80.2,94.5,94.0,87.2,84.3,72.5,63.5,41.0
Arkansas,1915,8.3,12.3,10.1,23.8,27.0,30.0,32.1,28.8,29.6,24.4,18.4,12.1,46.9,54.2,50.1,74.8,80.6,86.0,89.8,83.8,85.2,75.9,65.2,53.8
Arkansas,1916,11.7,11.9,18.2,20.9,28.1,29.7,34.4,33.9,29.0,24.6,17.9,11.2,53.0,53.4,64.8,69.6,82.5,85.5,94.0,93.0,84.2,76.2,64.3,52.2
Arkansas,1917,11.6,13.1,17.2,21.8,23.7,30.4,32.7,31.1,28.7,22.1,17.0,6.7,52.9,55.5,63.0,71.2,74.6,86.8,90.8,88.0,83.6,71.7,62.6,44.1
Arkansas,1918,2.8,14.5,21.0,21.2,28.4,33.1,33.8,35.1,26.4,23.8,14.8,13.7,37.0,58.1,69.8,70.2,83.1,91.6,92.9,95.2,79.5,74.9,58.7,56.6
Arkansas,1919,10.4,12.3,17.9,22.6,24.4,30.2,33.8,33.1,30.1,23.8,16.3,9.8,50.8,54.2,64.2,72.7,75.9,86.4,92.9,91.5,86.1,74.8,61.4,49.6
Arkansas,1920,8.4,12.4,16.4,21.2,26.7,29.9,32.2,30.3,29.7,24.1,14.1,10.8,47.1,54.4,61.5,70.2,80.1,85.8,90.0,86.6,85.4,75.4,57.4,51.5
Arkansas,1921,13.1,14.6,21.7,21.4,27.6,31.4,33.8,33.3,32.3,24.3,19.1,13.7,55.5,58.3,71.1,70.6,81.6,88.5,92.9,92.0,90.1,75.8,66.3,56.6
Arkansas,1922,7.8,13.4,15.9,23.1,27.0,31.7,32.4,33.4,32.0,24.9,17.5,13.8,46.1,56.1,60.7,73.5,80.6,89.0,90.3,92.2,89.6,76.9,63.5,56.9
Arkansas,1923,14.3,9.8,15.8,22.3,24.9,30.1,32.3,33.6,27.7,20.9,15.8,14.4,57.8,49.7,60.5,72.1,76.9,86.2,90.1,92.4,81.9,69.6,60.5,58.0
Arkansas,1924,6.9,11.1,13.2,22.3,24.7,31.4,32.7,34.6,27.3,26.2,17.9,10.4,44.5,51.9,55.7,72.2,76.5,88.6,90.8,94.3,81.2,79.1,64.3,50.7
