state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
California,1895,8.6,13.4,14.6,18.7,23.5,28.9,30.2,30.3,26.3,22.6,15.3,10.4,47.4,56.1,58.2,65.6,74.3,84.1,86.4,86.6,79.4,72.7,59.5,50.7
California,1896,12.2,15.2,15.7,15.3,21.8,30.1,32.0,30.7,26.5,22.7,13.9,12.5,53.9,59.4,60.2,59.6,71.3,86.1,89.6,87.2,79.7,72.9,57.0,54.5
California,1897,9.9,10.2,11.3,20.9,25.2,27.5,31.7,31.9,26.8,19.4,15.2,11.1,49.8,50.4,52.3,69.6,77.4,81.5,89.1,89.5,80.3,67.0,59.4,52.0
California,1898,8.1,14.1,14.3,21.4,21.4,28.7,32.2,32.1,28.0,22.4,16.0,10.8,46.6,57.4,57.7,70.5,70.6,83.7,89.9,89.8,82.4,72.4,60.8,51.5
California,1899,11.5,13.3,14.4,19.9,20.8,28.6,32.7,28.7,30.7,19.6,15.6,10.9,52.7,56.0,57.9,67.9,69.5,83.5,90.9,83.6,87.3,67.3,60.1,51.7
California,1900,12.3,14.7,18.4,16.9,24.2,29.2,32.4,29.1,25.4,20.7,16.9,12.6,54.1,58.5,65.2,62.5,75.5,84.6,90.4,84.3,77.8,69.3,62.5,54.6
California,1901,10.2,12.2,16.7,18.2,22.1,28.3,32.5,32.1,26.4,23.3,17.4,13.6,50.4,54.0,62.0,64.8,71.8,82.9,90.5,89.8,79.5,74.0,63.3,56.5
California,1902,11.1,13.1,13.6,18.1,22.0,29.4,31.1,30.5,29.2,21.7,13.8,10.9,52.0,55.6,56.4,64.6,71.6,85.0,87.9,86.9,84.5,71.1,56.8,51.7
California,1903,10.9,9.4,13.7,17.4,23.4,28.8,30.6,31.6,27.4,24.2,16.3,12.6,51.7,48.9,56.7,63.4,74.1,83.8,87.1,88.9,81.4,75.6,61.3,54.7
California,1904,11.6,12.6,13.6,18.7,24.8,29.3,30.9,31.8,27.8,21.4,17.7,12.0,52.9,54.7,56.4,65.7,76.6,84.8,87.7,89.2,82.1,70.5,63.9,53.6
California,1905,12.6,13.5,15.7,18.9,20.4,27.3,32.8,32.0,28.6,23.1,15.4,10.8,54.6,56.3,60.2,66.0,68.7,81.2,91.1,89.6,83.4,73.6,59.8,51.4
California,1906,12.2,14.2,14.2,17.8,20.2,26.0,33.9,31.3,28.1,24.0,14.4,10.3,54.0,57.5,57.6,64.1,68.3,78.8,93.1,88.4,82.6,75.2,58.0,50.5
California,1907,8.4,15.3,12.6,19.2,21.9,25.4,31.0,29.8,26.4,21.4,16.6,12.1,47.1,59.5,54.6,66.5,71.4,77.8,87.8,85.6,79.6,70.6,61.9,53.8
California,1908,11.5,11.3,16.2,20.8,20.7,26.6,33.4,31.1,27.7,20.7,16.7,10.0,52.7,52.4,61.1,69.4,69.2,79.9,92.1,88.0,81.8,69.2,62.0,50.0
California,1909,11.2,10.8,13.0,20.1,22.3,27.9,30.8,31.4,27.6,21.5,14.8,8.9,52.2,51.4,55.4,68.2,72.1,82.2,87.4,88.6,81.6,70.7,58.7,48.0
California,1910,8.6,11.6,17.9,21.6,26.1,27.9,32.6,32.2,27.8,22.9,15.9,12.8,47.5,52.9,64.2,70.9,79.0,82.3,90.6,90.0,82.1,73.3,60.7,55.1
California,1911,11.1,9.8,15.6,17.4,21.3,27.6,32.4,30.8,25.7,21.8,16.2,10.6,51.9,49.6,60.0,63.3,70.4,81.6,90.3,87.5,78.2,71.2,61.1,51.0
California,1912,12.2,14.9,12.7,15.5,22.5,27.6,30.0,29.8,26.5,19.5,16.3,11.6,53.9,58.8,54.8,59.9,72.5,81.7,86.0,85.6,79.7,67.1,61.3,52.8
California,1913,9.3,12.3,14.8,18.9,23.6,25.8,30.7,31.9,29.4,23.8,15.1,10.8,48.7,54.2,58.6,66.0,74.4,78.4,87.2,89.4,85.0,74.8,59.1,51.4
California,1914,11.1,13.3,18.6,18.9,23.5,27.2,31.5,31.7,26.9,21.9,18.6,8.7,52.0,55.9,65.5,66.0,74.3,80.9,88.7,89.1,80.4,71.4,65.5,47.6
