state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Colorado,1895,0.9,0.7,7.8,16.0,19.2,23.3,25.4,26.7,24.3,15.7,5.7,1.1,33.6,33.3,46.1,60.8,66.5,74.0,77.7,80.0,75.7,60.3,42.3,33.9
Colorado,1896,5.1,5.2,7.1,14.6,20.0,26.8,27.2,27.3,21.2,15.1,6.0,6.2,41.2,41.3,44.8,58.3,68.0,80.2,80.9,81.2,70.1,59.2,42.8,43.1
Colorado,1897,1.2,2.7,6.0,13.2,21.4,25.2,27.8,26.4,24.0,15.4,9.2,0.8,34.2,36.8,42.8,55.8,70.5,77.4,82.0,79.6,75.2,59.8,48.5,33.4
Colorado,1898,0.3,6.3,6.4,15.0,16.6,24.8,27.7,27.8,22.3,14.3,6.1,-0.6,32.6,43.4,43.5,59.0,61.8,76.6,81.9,82.0,72.2,57.7,43.0,30.9
Colorado,1899,1.1,-1.4,6.5,14.8,19.2,25.1,26.8,26.6,23.8,14.4,10.3,1.7,34.0,29.4,43.7,58.7,66.5,77.2,80.2,79.8,74.9,58.0,50.5,35.0
Colorado,1900,4.9,3.9,11.1,11.3,20.1,26.7,28.3,27.7,21.2,17.2,9.6,5.3,40.8,39.1,51.9,52.4,68.1,80.1,82.9,81.9,70.2,62.9,49.3,41.5
Colorado,1901,4.1,3.3,7.8,13.1,19.8,24.9,30.4,27.1,22.6,17.3,11.6,3.7,39.4,37.9,46.0,55.5,67.6,76.8,86.7,80.7,72.7,63.1,52.9,38.6
Colorado,1902,3.6,6.2,6.8,15.0,20.4,26.0,26.8,27.1,22.4,16.6,8.2,2.4,38.4,43.2,44.3,59.0,68.7,78.8,80.3,80.8,72.3,61.8,46.7,36.4
Colorado,1903,3.1,-2.1,6.7,13.1,17.7,21.0,27.2,26.8,21.1,16.9,9.8,5.4,37.5,28.3,44.1,55.6,63.8,69.8,80.9,80.3,70.0,62.4,49.7,41.8
Colorado,1904,2.6,8.5,10.8,14.6,18.6,22.1,26.1,25.4,22.3,15.7,11.7,4.3,36.6,47.3,51.4,58.3,65.5,71.7,79.0,77.8,72.2,60.2,53.0,39.8
Colorado,1905,1.1,0.6,9.3,11.7,16.6,25.0,26.1,27.3,23.0,14.3,9.1,2.1,33.9,33.0,48.8,53.0,61.8,77.0,79.0,81.2,73.4,57.7,48.3,35.8
Colorado,1906,4.2,6.6,4.1,13.4,18.6,23.7,24.8,25.7,21.0,14.5,6.8,6.4,39.5,43.9,39.3,56.2,65.5,74.6,76.7,78.3,69.8,58.1,44.2,43.5
Colorado,1907,3.8,9.3,12.2,13.1,14.8,22.1,27.1,25.6,22.4,17.3,8.1,3.4,38.9,48.7,54.0,55.5,58.7,71.8,80.7,78.0,72.4,63.1,46.5,38.1
Colorado,1908,3.3,4.6,10.7,15.0,17.1,23.4,26.7,25.0,23.6,13.4,7.1,1.1,38.0,40.3,51.2,59.0,62.8,74.2,80.1,77.0,74.4,56.1,44.8,34.0
Colorado,1909,3.8,3.4,6.3,11.0,16.9,24.3,27.7,26.6,21.0,16.6,8.6,-3.4,38.8,38.2,43.3,51.8,62.4,75.8,81.9,79.9,69.8,61.9,47.5,25.8
Colorado,1910,1.7,3.1,14.7,15.8,18.4,25.8,28.7,26.2,23.5,17.3,10.7,4.5,35.1,37.5,58.4,60.4,65.2,78.4,83.6,79.1,74.3,63.1,51.3,40.1
Colorado,1911,5.7,3.2,10.6,13.8,20.0,25.5,25.3,26.1,23.2,13.4,6.0,0.1,42.3,37.7,51.1,56.9,68.0,77.9,77.5,78.9,73.7,56.1,42.8,32.1
Colorado,1912,1.1,2.8,3.5,11.3,18.1,22.2,25.7,25.4,18.2,14.5,9.4,1.3,34.0,37.0,38.3,52.4,64.6,72.0,78.2,77.7,64.8,58.1,48.9,34.4
Colorado,1913,0.9,0.4,6.3,14.2,20.4,23.5,27.2,28.1,19.9,13.5,9.8,-1.3,33.6,32.8,43.3,57.6,68.8,74.3,80.9,82.6,67.8,56.3,49.6,29.6
Colorado,1914,2.7,2.9,8.8,13.1,18.6,24.4,26.0,26.2,23.5,15.8,12.0,-0.9,36.9,37.2,47.8,55.6,65.5,76.0,78.8,79.1,74.3,60.5,53.6,30.4
Colorado,1915,0.7,4.7,4.8,14.4,16.1,21.9,25.6,24.4,21.1,17.3,9.2,3.6,33.3,40.4,40.6,57.9,60.9,71.4,78.0,75.9,70.0,63.1,48.6,38.5
Colorado,1916,0.0,6.1,11.4,12.9,18.4,24.6,28.0,24.7,21.6,13.8,7.1,0.4,32.0,42.9,52.6,55.2,65.1,76.3,82.4,76.4,70.8,56.8,44.7,32.7
Colorado,1917,0.3,3.8,5.0,10.7,13.6,24.0,28.3,25.1,22.3,15.4,11.4,6.1,32.5,38.9,41.0,51.2,56.5,75.2,83.0,77.1,72.1,59.7,52.5,42.9
