state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Connecticut,1895,-0.1,-1.7,4.7,13.0,21.3,25.9,24.7,26.4,24.2,13.3,10.4,4.9,31.8,29.0,40.4,55.4,70.4,78.7,76.4,79.5,75.6,56.0,50.8,40.8
Connecticut,1896,-1.3,1.6,3.4,15.8,22.6,23.2,26.5,26.4,21.0,13.2,11.6,1.6,29.6,34.9,38.1,60.5,72.7,73.7,79.7,79.5,69.8,55.8,52.8,34.9
Connecticut,1897,0.9,1.6,6.9,14.9,19.7,22.4,26.0,24.6,21.8,17.2,8.6,3.3,33.6,34.8,44.5,58.8,67.4,72.3,78.8,76.2,71.3,63.0,47.5,38.0
Connecticut,1898,1.2,2.5,10.4,11.7,18.1,24.9,27.2,26.5,23.7,15.8,8.1,2.3,34.2,36.5,50.8,53.1,64.5,76.9,81.0,79.7,74.7,60.5,46.5,36.1
Connecticut,1899,1.6,-0.9,4.0,14.8,21.1,26.6,26.8,25.8,21.1,16.3,8.5,4.5,34.8,30.4,39.2,58.7,69.9,79.8,80.3,78.4,69.9,61.3,47.3,40.1
Connecticut,1900,2.5,1.7,4.8,14.1,20.5,25.3,28.2,27.8,24.6,17.9,10.1,3.3,36.5,35.0,40.7,57.4,68.9,77.6,82.8,82.1,76.3,64.3,50.1,38.0
Connecticut,1901,0.7,-2.1,5.6,12.1,18.4,25.6,28.0,26.1,22.8,16.9,5.6,2.8,33.3,28.3,42.0,53.8,65.2,78.1,82.4,79.0,73.0,62.4,42.1,37.1
Connecticut,1902,0.3,0.4,9.8,14.1,20.2,23.7,25.0,25.2,21.6,16.1,11.9,1.4,32.6,32.8,49.6,57.4,68.3,74.6,77.0,77.4,70.8,61.0,53.5,34.6
Connecticut,1903,1.3,2.6,11.8,14.2,22.6,20.1,26.9,22.4,22.2,15.9,7.7,0.4,34.4,36.6,53.2,57.5,72.7,68.2,80.4,72.3,72.0,60.7,45.8,32.8
Connecticut,1904,-2.9,-1.7,4.9,12.3,22.1,24.0,26.1,25.0,21.6,15.0,6.6,-0.9,26.8,28.9,40.8,54.1,71.8,75.2,78.9,77.0,70.8,59.0,43.8,30.4
Connecticut,1905,-0.9,-2.2,6.8,14.0,20.2,23.8,27.6,24.6,21.2,16.8,9.1,4.8,30.3,28.0,44.2,57.2,68.3,74.9,81.6,76.2,70.2,62.2,48.4,40.7
Connecticut,1906,4.4,2.5,3.3,14.3,20.8,24.8,26.3,26.9,23.9,16.3,8.4,1.2,40.0,36.5,37.9,57.8,69.4,76.7,79.3,80.4,75.1,61.4,47.1,34.2
Connecticut,1907,1.4,-2.3,7.5,11.1,17.0,23.1,27.2,25.8,22.1,14.0,8.6,4.6,34.5,27.8,45.5,52.0,62.6,73.6,80.9,78.4,71.7,57.2,47.5,40.2
Connecticut,1908,2.3,-0.2,7.2,13.8,20.8,26.5,28.7,25.2,23.7,18.4,8.6,3.4,36.1,31.6,44.9,56.9,69.4,79.7,83.6,77.4,74.6,65.1,47.5,38.1
Connecticut,1909,2.4,4.2,5.2,13.3,19.2,25.3,26.9,25.6,21.8,15.1,11.1,0.6,36.4,39.5,41.4,55.9,66.6,77.6,80.4,78.0,71.2,59.2,52.0,33.0
Connecticut,1910,1.8,1.3,10.7,16.7,19.4,23.3,28.8,25.1,22.6,17.7,6.7,-0.5,35.3,34.4,51.3,62.0,66.9,73.9,83.9,77.1,72.7,63.9,44.1,31.1
Connecticut,1911,2.7,0.3,5.6,12.4,23.3,24.0,29.3,26.1,21.8,14.8,7.9,5.4,36.9,32.5,42.1,54.4,73.9,75.2,84.8,78.9,71.3,58.7,46.2,41.7
Connecticut,1912,-3.4,-0.2,5.2,13.2,20.3,25.0,27.8,24.6,21.4,17.8,10.2,5.3,25.8,31.7,41.4,55.8,68.6,77.0,82.1,76.3,70.6,64.0,50.4,41.5
Connecticut,1913,6.7,0.8,10.0,14.4,19.2,25.6,28.5,26.8,21.2,16.7,10.6,5.1,44.0,33.4,50.0,57.9,66.5,78.0,83.3,80.2,70.2,62.0,51.0,41.2
Connecticut,1914,1.1,-1.4,5.1,11.9,22.0,24.3,24.8,25.9,23.6,18.4,9.0,1.2,33.9,29.5,41.2,53.4,71.6,75.8,76.6,78.6,74.4,65.1,48.2,34.1
Connecticut,1915,2.4,3.6,5.7,16.7,18.4,24.2,26.2,24.2,24.0,16.3,9.9,1.7,36.3,38.4,42.2,62.1,65.1,75.5,79.1,75.5,75.2,61.3,49.8,35.0
Connecticut,1916,3.9,-0.8,1.9,11.8,19.6,21.6,27.0,27.2,22.8,17.6,9.1,1.9,39.1,30.5,35.5,53.3,67.3,70.8,80.6,81.0,73.0,63.7,48.4,35.4
Connecticut,1917,1.7,-0.4,5.7,12.3,14.9,24.0,27.1,27.3,20.7,14.0,7.2,-2.2,35.0,31.3,42.3,54.1,58.8,75.2,80.7,81.1,69.2,57.2,44.9,28.0
Connecticut,1918,-4.2,1.1,8.4,14.2,22.9,23.2,26.9,27.2,20.2,17.6,9.6,4.1,24.5,34.0,47.2,57.6,73.2,73.7,80.4,80.9,68.4,63.7,49.3,39.4
Connecticut,1919,3.1,2.5,8.9,12.8,20.4,26.1,27.0,24.1,21.8,17.4,9.0,0.7,37.6,36.5,48.1,55.1,68.8,79.0,80.6,75.4,71.2,63.4,48.2,33.2
Connecticut,1920,-2.6,-0.4,7.4,11.2,18.3,23.6,25.6,26.2,23.1,19.5,7.2,3.8,27.3,31.3,45.4,52.1,65.0,74.5,78.1,79.2,73.5,67.1,45.0,38.8
Connecticut,1921,3.0,2.9,12.4,17.4,20.7,25.8,27.8,25.1,24.9,16.9,7.7,2.3,37.4,37.3,54.4,63.4,69.2,78.4,82.1,77.2,76.9,62.4,45.9,36.2
Connecticut,1922,-0.1,2.4,7.7,14.4,22.5,24.8,26.5,25.2,23.3,17.4,9.0,1.7,31.8,36.4,45.9,57.9,72.5,76.7,79.7,77.3,74.0,63.4,48.2,35.1
Connecticut,1923,-0.6,-1.8,5.0,14.3,19.8,26.2,26.2,26.0,22.9,16.6,9.5,6.6,31.0,28.7,41.0,57.8,67.7,79.1,79.1,78.8,73.3,61.8,49.1,43.9
