state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Georgia,1895,12.4,9.6,18.9,23.1,26.8,32.1,31.7,31.9,30.9,23.8,18.6,13.9,54.4,49.3,66.0,73.5,80.2,89.7,89.1,89.4,87.7,74.8,65.4,57.1
Georgia,1896,11.9,15.4,17.8,26.6,31.1,31.3,32.3,33.3,31.1,23.9,20.8,14.2,53.4,59.8,64.0,79.8,88.0,88.4,90.2,92.0,88.0,75.0,69.4,57.5
Georgia,1897,11.8,15.9,19.9,23.6,28.0,34.1,32.9,31.3,29.3,25.4,19.7,14.7,53.3,60.7,67.9,74.5,82.4,93.4,91.2,88.3,84.8,77.7,67.5,58.5
Georgia,1898,15.6,14.9,21.4,22.2,31.3,33.7,31.9,30.3,29.0,22.4,16.6,12.9,60.0,58.8,70.6,71.9,88.3,92.6,89.4,86.5,84.2,72.4,61.9,55.3
Georgia,1899,13.1,13.5,19.9,22.6,31.1,33.4,32.9,33.1,29.6,24.1,19.9,13.2,55.5,56.3,67.8,72.6,88.0,92.2,91.2,91.5,85.3,75.3,67.9,55.7
Georgia,1900,13.0,13.2,17.7,24.8,28.4,29.9,33.1,34.8,31.1,25.2,19.4,13.9,55.4,55.8,63.9,76.6,83.2,85.8,91.6,94.6,87.9,77.3,67.0,57.0
Georgia,1901,13.8,12.8,18.5,20.6,29.5,31.6,33.7,31.0,28.8,24.4,16.5,12.7,56.9,55.1,65.3,69.1,85.1,88.9,92.6,87.8,83.8,76.0,61.7,54.9
Georgia,1902,13.0,11.2,18.5,23.6,31.3,33.4,34.7,33.2,28.6,24.1,20.9,14.3,55.4,52.2,65.3,74.4,88.4,92.1,94.4,91.8,83.4,75.3,69.7,57.7
Georgia,1903,12.0,16.3,20.6,22.9,27.1,29.9,33.1,33.2,29.2,24.3,17.0,11.9,53.6,61.3,69.0,73.2,80.8,85.8,91.5,91.7,84.6,75.8,62.6,53.5
Georgia,1904,11.1,14.7,20.7,22.4,28.9,32.2,32.9,31.3,31.2,25.3,17.8,14.1,51.9,58.4,69.2,72.4,84.1,90.0,91.2,88.4,88.1,77.5,64.1,57.3
Georgia,1905,11.1,10.7,20.9,24.4,29.8,32.7,33.1,31.8,31.2,23.9,19.8,11.6,51.9,51.3,69.7,75.9,85.6,90.9,91.6,89.2,88.2,75.1,67.6,52.9
Georgia,1906,13.6,14.8,17.3,25.8,27.8,32.4,31.4,32.5,30.8,22.2,19.9,15.2,56.5,58.6,63.2,78.5,82.1,90.3,88.6,90.5,87.5,72.0,67.8,59.3
Georgia,1907,18.4,15.6,24.8,20.9,28.0,31.7,33.6,32.7,30.2,23.9,17.4,13.3,65.1,60.0,76.7,69.6,82.4,89.0,92.5,90.9,86.3,75.1,63.3,55.9
Georgia,1908,12.6,12.6,23.7,26.4,29.6,32.3,32.8,32.4,29.1,23.3,20.6,16.8,54.6,54.7,74.6,79.6,85.3,90.2,91.1,90.4,84.4,73.9,69.0,62.2
Georgia,1909,16.2,17.2,19.3,24.1,27.8,32.1,31.9,32.4,29.3,24.7,22.3,11.5,61.1,63.0,66.8,75.3,82.0,89.7,89.5,90.4,84.8,76.4,72.2,52.7
Georgia,1910,13.8,13.8,22.7,24.4,28.1,30.1,31.6,32.0,30.9,25.8,18.0,11.5,56.8,56.9,72.9,76.0,82.5,86.1,88.8,89.6,87.7,78.5,64.4,52.7
Georgia,1911,16.2,18.0,20.7,23.4,29.9,34.5,31.8,32.1,32.4,26.3,16.9,15.6,61.2,64.4,69.2,74.2,85.9,94.1,89.3,89.8,90.4,79.4,62.5,60.0
Georgia,1912,10.4,12.3,17.3,24.3,29.1,30.0,32.2,32.1,30.4,24.8,18.2,14.6,50.8,54.2,63.1,75.7,84.4,86.0,90.0,89.7,86.8,76.6,64.7,58.3
Georgia,1913,17.1,15.3,19.0,23.7,29.4,32.3,33.8,32.5,28.4,23.9,19.9,14.4,62.7,59.5,66.2,74.7,85.0,90.1,92.8,90.5,83.2,75.1,67.8,57.9
Georgia,1914,14.2,13.5,16.7,25.2,30.2,34.8,33.6,31.7,28.6,23.3,18.6,11.2,57.5,56.3,62.1,77.3,86.4,94.7,92.4,89.0,83.4,74.0,65.4,52.1
Georgia,1915,12.4,14.7,14.7,25.4,30.1,31.9,33.6,32.6,31.2,24.9,20.7,13.4,54.4,58.5,58.4,77.7,86.1,89.5,92.5,90.7,88.1,76.8,69.2,56.2
Georgia,1916,17.2,16.1,18.8,24.1,30.8,31.5,30.4,32.6,29.7,24.3,19.8,14.7,62.9,60.9,65.9,75.3,87.5,88.7,86.7,90.6,85.5,75.8,67.6,58.4
Georgia,1917,15.8,15.4,20.3,25.9,26.9,32.6,32.7,31.7,28.1,23.0,18.0,9.9,60.4,59.7,68.6,78.7,80.4,90.7,90.8,89.0,82.6,73.4,64.4,49.8
Georgia,1918,9.3,18.4,22.5,22.2,29.6,32.7,32.1,33.1,28.1,25.8,18.1,15.1,48.8,65.1,72.5,72.0,85.2,90.9,89.8,91.6,82.5,78.4,64.6,59.1
Georgia,1919,14.2,14.6,20.4,25.0,28.2,31.1,31.8,31.7,30.7,29.0,20.8,14.9,57.5,58.3,68.7,77.0,82.7,88.0,89.3,89.0,87.2,84.2,69.4,58.9
Georgia,1920,14.4,13.1,17.7,22.9,26.9,32.1,32.2,31.0,30.8,25.4,17.7,13.3,57.9,55.5,63.9,73.3,80.4,89.7,90.0,87.8,87.5,77.8,63.9,56.0
Georgia,1921,15.7,16.7,24.4,24.3,27.4,33.6,32.1,32.0,34.0,24.3,20.4,17.2,60.2,62.1,76.0,75.8,81.4,92.5,89.8,89.6,93.2,75.7,68.7,62.9
Georgia,1922,12.8,18.5,19.8,25.8,27.9,32.2,32.7,31.2,31.1,24.6,20.1,17.0,55.1,65.3,67.6,78.5,82.3,89.9,90.9,88.2,88.0,76.2,68.1,62.6
Georgia,1923,16.8,15.2,19.8,24.1,26.3,30.6,32.1,32.0,30.6,24.3,17.4,17.4,62.2,59.4,67.6,75.4,79.4,87.1,89.7,89.6,87.0,75.7,63.4,63.4
Georgia,1924,12.6,13.9,16.8,23.4,27.1,32.8,32.6,34.4,27.5,23.7,19.9,15.2,54.7,57.1,62.3,74.1,80.7,91.0,90.6,94.0,81.5,74.7,67.8,59.4
Georgia,1925,14.0,18.0,21.4,26.8,28.5,33.7,34.3,33.8,35.9,24.6,16.8,13.0,57.2,64.4,70.5,80.3,83.3,92.6,93.8,92.8,96.6,76.2,62.2,55.4
Georgia,1926,11.9,16.4,15.1,23.4,29.1,31.7,32.4,32.8,31.6,25.8,16.9,16.7,53.5,61.6,59.2,74.1,84.3,89.1,90.3,91.0,88.8,78.4,62.4,62.0
Georgia,1927,15.2,20.4,19.9,26.4,30.1,31.4,32.6,31.6,31.8,26.8,21.3,14.3,59.3,68.8,67.9,79.6,86.2,88.5,90.6,88.8,89.3,80.3,70.4,57.7
Georgia,1928,13.9,15.2,19.2,22.3,27.3,30.8,32.6,31.8,28.4,25.6,18.6,14.8,57.0,59.3,66.6,72.2,81.1,87.5,90.6,89.3,83.2,78.0,65.4,58.7
Georgia,1929,15.6,14.7,21.3,25.8,28.0,30.8,32.3,32.8,28.4,23.3,18.2,14.1,60.1,58.4,70.4,78.5,82.4,87.5,90.2,91.0,83.2,74.0,64.8,57.3
Georgia,1930,14.3,18.8,16.3,25.1,29.8,30.9,34.5,32.5,31.0,23.2,16.3,10.7,57.8,65.8,61.4,77.1,85.7,87.6,94.1,90.5,87.8,73.7,61.3,51.2
Georgia,1931,13.1,16.4,16.3,23.2,27.7,34.4,34.3,32.0,32.7,26.9,22.8,18.8,55.6,61.5,61.4,73.7,81.8,94.0,93.8,89.6,90.9,80.4,73.0,65.9
Georgia,1932,18.3,19.8,17.8,25.0,28.1,31.6,34.4,31.8,29.2,24.0,16.6,16.4,64.9,67.6,64.0,77.0,82.6,88.9,94.0,89.2,84.6,75.2,61.9,61.6
Georgia,1933,16.9,15.4,19.7,23.1,31.2,33.2,32.0,32.4,32.3,25.4,19.1,19.0,62.5,59.8,67.4,73.6,88.1,91.7,89.6,90.4,90.1,77.8,66.3,66.2
Georgia,1934,15.1,13.3,18.7,24.7,27.6,32.3,33.9,32.6,30.9,25.7,20.6,13.6,59.1,55.9,65.6,76.4,81.6,90.2,93.0,90.6,87.6,78.2,69.0,56.5
Georgia,1935,14.8,15.9,22.7,24.2,29.3,32.7,32.1,32.2,29.2,26.3,19.9,9.9,58.6,60.7,72.8,75.5,84.7,90.9,89.7,90.0,84.6,79.4,67.8,49.9
Georgia,1936,12.6,13.3,21.5,23.4,30.1,33.2,34.1,32.7,31.1,25.2,18.0,14.6,54.6,55.9,70.7,74.1,86.1,91.8,93.3,90.8,88.0,77.4,64.4,58.2
Georgia,1937,18.7,15.0,18.4,23.4,29.0,32.8,32.5,32.1,28.6,22.7,16.8,13.8,65.6,59.0,65.1,74.1,84.2,91.1,90.5,89.7,83.4,72.8,62.3,56.9
Georgia,1938,13.8,19.0,23.1,24.4,29.3,30.6,31.5,33.7,30.1,25.4,20.3,14.3,56.8,66.2,73.6,76.0,84.7,87.1,88.7,92.6,86.2,77.8,68.6,57.7
Georgia,1939,16.0,18.5,21.5,23.9,27.6,32.2,33.1,31.1,30.8,26.3,18.4,15.6,60.8,65.3,70.7,75.0,81.7,90.0,91.5,88.0,87.5,79.3,65.1,60.0
Georgia,1940,7.3,13.7,18.6,23.1,28.4,31.8,31.4,31.8,29.5,26.0,18.8,16.1,45.1,56.6,65.5,73.5,83.1,89.3,88.5,89.3,85.1,78.8,65.9,60.9
Georgia,1941,14.5,12.4,16.2,25.3,30.8,31.7,32.2,33.0,31.4,28.0,19.7,15.9,58.1,54.4,61.2,77.6,87.4,89.1,90.0,91.4,88.5,82.4,67.4,60.6
Georgia,1942,13.9,11.9,18.8,25.9,28.6,31.7,33.5,31.7,29.7,25.4,21.1,14.9,57.1,53.5,65.8,78.7,83.5,89.1,92.3,89.0,85.5,77.7,70.0,58.8
Georgia,1943,15.4,17.1,18.3,24.1,29.3,33.6,32.9,33.5,28.9,24.3,19.4,14.7,59.8,62.8,65.0,75.4,84.7,92.4,91.2,92.3,84.0,75.8,67.0,58.5
Georgia,1944,14.0,18.2,20.0,23.2,29.8,34.1,31.9,31.3,30.0,24.9,18.2,12.8,57.2,64.8,68.0,73.8,85.6,93.4,89.5,88.3,86.0,76.9,64.7,55.1
Georgia,1945,13.9,17.1,24.7,25.8,27.4,32.8,31.9,31.7,30.7,24.1,20.2,11.0,57.1,62.8,76.4,78.5,81.4,91.0,89.4,89.0,87.3,75.4,68.4,51.8
Georgia,1946,14.5,17.6,21.9,25.6,27.5,31.2,31.6,31.6,28.2,24.4,21.3,17.9,58.1,63.7,71.5,78.0,81.5,88.1,88.8,88.8,82.8,76.0,70.4,64.2
Georgia,1947,16.1,13.2,15.4,25.6,28.4,31.0,31.6,32.1,30.3,25.2,16.2,14.7,61.0,55.8,59.7,78.0,83.1,87.8,88.8,89.7,86.6,77.4,61.2,58.5
Georgia,1948,11.1,16.4,20.5,25.9,29.6,32.9,32.5,31.4,28.6,23.2,20.9,15.9,51.9,61.6,68.9,78.6,85.2,91.2,90.5,88.6,83.4,73.7,69.6,60.7
Georgia,1949,18.3,18.5,19.1,22.9,29.2,30.7,32.3,31.4,28.7,25.9,18.7,15.8,65.0,65.3,66.3,73.3,84.5,87.3,90.1,88.5,83.6,78.7,65.6,60.4
Georgia,1950,20.4,18.6,17.8,23.0,29.7,32.4,31.2,31.8,28.1,25.4,17.6,11.4,68.7,65.4,64.0,73.4,85.4,90.3,88.1,89.2,82.5,77.8,63.7,52.6
Georgia,1951,15.2,17.2,19.1,23.2,29.0,32.6,33.2,34.0,30.1,25.8,16.9,16.4,59.4,63.0,66.3,73.8,84.2,90.6,91.7,93.2,86.1,78.4,62.5,61.5
Georgia,1952,17.8,16.7,19.6,23.8,29.4,34.8,34.7,32.2,28.4,23.4,19.3,13.4,64.0,62.0,67.3,74.8,84.9,94.7,94.5,90.0,83.2,74.2,66.8,56.2
Georgia,1953,16.2,16.2,20.9,23.7,30.6,32.2,32.0,32.4,29.0,25.2,19.1,13.9,61.2,61.2,69.7,74.6,87.0,89.9,89.6,90.3,84.2,77.4,66.4,57.0
