state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Idaho,1895,-2.0,1.0,5.2,14.3,16.5,20.5,25.9,26.8,17.6,16.1,4.8,-1.3,28.4,33.8,41.3,57.7,61.7,68.9,78.7,80.2,63.6,61.0,40.6,29.7
Idaho,1896,1.4,4.7,5.2,9.0,12.4,23.1,28.1,26.1,19.2,13.9,1.1,2.4,34.5,40.4,41.3,48.2,54.3,73.6,82.5,78.9,66.6,57.0,34.0,36.4
Idaho,1897,-0.8,0.7,1.2,12.3,21.2,21.6,25.7,28.7,20.5,13.1,4.6,-0.7,30.5,33.2,34.1,54.2,70.2,70.9,78.3,83.7,68.9,55.6,40.3,30.8
Idaho,1898,-2.6,4.0,4.2,14.8,17.2,22.7,27.9,28.7,21.6,11.0,2.3,-3.0,27.3,39.2,39.5,58.6,62.9,72.9,82.2,83.6,70.9,51.8,36.1,26.6
Idaho,1899,0.4,-1.0,4.1,11.2,13.6,21.1,28.2,22.7,22.7,10.0,7.7,-1.0,32.8,30.2,39.4,52.1,56.4,69.9,82.7,72.9,72.9,50.0,45.9,30.2
Idaho,1900,2.4,1.9,10.4,12.3,18.5,25.9,27.1,23.9,18.9,12.1,4.7,1.4,36.4,35.5,50.8,54.2,65.3,78.6,80.8,75.1,66.1,53.7,40.5,34.6
Idaho,1901,0.5,0.9,5.3,10.1,18.8,18.2,29.0,28.1,17.5,15.8,7.6,0.9,32.9,33.7,41.6,50.2,65.8,64.8,84.2,82.5,63.5,60.5,45.7,33.6
Idaho,1902,-0.6,3.2,4.1,10.3,16.6,21.8,24.8,25.7,20.7,14.9,3.7,0.1,30.9,37.8,39.3,50.5,61.8,71.3,76.7,78.2,69.2,58.8,38.6,32.2
Idaho,1903,-0.5,-2.6,4.9,9.7,15.6,23.4,24.8,26.6,18.4,14.2,4.5,0.0,31.1,27.3,40.8,49.5,60.0,74.2,76.6,79.9,65.2,57.6,40.1,32.0
Idaho,1904,-0.6,1.9,3.2,12.4,16.6,21.4,26.1,27.2,22.3,14.6,9.5,0.9,31.0,35.4,37.8,54.3,61.9,70.6,79.0,80.9,72.1,58.2,49.1,33.7
Idaho,1905,-0.2,1.0,8.4,12.9,14.6,19.9,27.6,27.2,21.6,10.7,6.3,-1.8,31.7,33.8,47.2,55.2,58.3,67.8,81.7,81.0,70.8,51.2,43.3,28.7
Idaho,1906,-0.8,1.5,3.4,13.4,15.8,18.6,29.1,26.1,21.9,14.7,3.6,1.9,30.6,34.7,38.1,56.1,60.4,65.5,84.4,79.0,71.5,58.4,38.5,35.5
Idaho,1907,-2.8,5.3,5.1,11.1,16.7,17.9,25.7,23.6,20.3,16.8,6.3,0.5,27.0,41.5,41.2,51.9,62.0,64.3,78.3,74.5,68.5,62.3,43.3,32.9
Idaho,1908,0.1,2.7,5.9,13.8,13.2,17.8,27.9,24.9,20.7,10.8,6.3,-1.2,32.1,36.9,42.6,56.8,55.7,64.0,82.2,76.8,69.3,51.4,43.4,29.8
Idaho,1909,0.2,1.9,6.4,9.4,14.8,22.0,26.1,26.9,19.8,13.5,5.0,-4.3,32.3,35.5,43.6,48.9,58.7,71.6,79.0,80.4,67.6,56.3,41.0,24.2
Idaho,1910,-3.4,-2.1,10.2,15.2,18.3,23.2,28.6,25.5,20.7,14.8,5.1,0.9,25.9,28.3,50.4,59.3,65.0,73.7,83.4,77.9,69.2,58.6,41.2,33.7
Idaho,1911,-0.1,-1.3,7.7,10.4,14.3,20.9,26.6,25.5,19.3,11.7,2.1,-0.9,31.8,29.7,45.8,50.7,57.8,69.7,79.9,77.9,66.7,53.1,35.8,30.3
