state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Illinois,1895,-2.1,-2.2,9.3,18.8,23.9,30.3,29.2,30.3,27.5,15.9,8.1,3.7,28.3,28.0,48.7,65.9,75.1,86.5,84.6,86.5,81.5,60.6,46.6,38.6
Illinois,1896,2.5,3.7,6.7,21.1,26.8,27.9,29.9,29.6,23.3,16.9,9.7,5.4,36.5,38.6,44.0,70.0,80.3,82.2,85.8,85.3,73.9,62.5,49.4,41.7
Illinois,1897,-0.3,3.2,8.9,15.4,21.7,28.0,30.9,29.0,30.2,23.1,9.4,0.7,31.5,37.8,48.0,59.8,71.1,82.4,87.6,84.2,86.4,73.6,49.0,33.2
Illinois,1898,2.8,3.3,11.2,15.4,22.4,28.9,30.4,28.7,26.4,15.3,7.8,1.2,37.0,38.0,52.2,59.8,72.3,84.0,86.8,83.7,79.5,59.6,46.0,34.1
Illinois,1899,0.9,-2.6,5.4,17.8,23.3,28.9,30.2,31.0,25.1,21.3,12.2,2.1,33.6,27.4,41.8,64.0,73.9,84.0,86.4,87.8,77.2,70.3,54.0,35.8
Illinois,1900,3.7,0.2,6.3,17.8,24.4,27.5,29.9,32.6,26.4,22.6,9.4,3.9,38.6,32.3,43.3,64.0,76.0,81.5,85.8,90.6,79.6,72.6,49.0,39.0
Illinois,1901,3.0,-0.9,8.5,15.9,22.8,30.4,35.4,30.7,26.1,20.4,8.8,0.0,37.4,30.4,47.3,60.6,73.0,86.8,95.7,87.3,79.0,68.7,47.9,32.0
Illinois,1902,1.3,-1.6,10.4,16.4,25.4,26.3,30.3,27.6,22.6,19.6,13.0,1.1,34.4,29.2,50.8,61.6,77.8,79.3,86.5,81.6,72.6,67.3,55.4,34.0
Illinois,1903,0.8,1.7,12.2,17.3,24.2,25.0,30.6,28.1,25.2,18.6,7.8,0.2,33.4,35.0,54.0,63.2,75.6,77.0,87.0,82.6,77.4,65.4,46.1,32.4
Illinois,1904,-2.2,-0.6,8.7,13.7,22.7,26.7,28.8,27.7,25.2,18.8,11.7,2.8,28.0,31.0,47.7,56.6,72.8,80.1,83.8,81.9,77.4,65.8,53.1,37.1
Illinois,1905,-2.4,-2.5,12.8,17.2,23.3,29.2,28.4,29.8,26.0,18.1,10.9,3.6,27.6,27.5,55.0,62.9,73.9,84.5,83.1,85.6,78.8,64.5,51.6,38.5
Illinois,1906,4.5,3.1,2.9,19.3,24.4,27.4,30.1,30.6,27.6,17.7,8.7,3.8,40.1,37.5,37.2,66.8,75.9,81.4,86.1,87.1,81.7,63.9,47.6,38.8
Illinois,1907,3.4,3.3,13.8,12.0,19.7,25.9,30.0,28.3,24.3,17.3,9.3,4.1,38.1,37.9,56.9,53.6,67.4,78.7,86.0,82.9,75.8,63.1,48.7,39.4
Illinois,1908,2.9,1.9,12.1,17.1,22.5,27.2,30.1,30.0,28.8,19.3,11.7,5.0,37.2,35.5,53.7,62.8,72.5,81.0,86.2,86.0,83.8,66.8,53.0,41.0
Illinois,1909,2.3,5.8,8.7,15.9,21.6,27.9,28.7,31.7,24.3,16.8,15.1,-2.2,36.1,42.4,47.6,60.6,70.8,82.2,83.6,89.0,75.8,62.3,59.1,28.1
Illinois,1910,0.4,1.3,17.6,18.0,20.1,27.9,30.6,29.1,24.9,20.8,7.8,1.2,32.8,34.3,63.6,64.4,68.1,82.2,87.0,84.4,76.8,69.4,46.0,34.2
Illinois,1911,3.1,5.4,11.4,15.1,27.1,31.2,31.5,29.1,26.2,17.0,6.4,4.9,37.6,41.8,52.5,59.2,80.7,88.2,88.7,84.3,79.1,62.6,43.6,40.8
Illinois,1912,-6.0,-1.2,3.7,17.7,24.3,26.6,30.1,28.0,25.9,20.1,10.7,5.7,21.2,29.9,38.7,63.9,75.7,79.8,86.2,82.4,78.6,68.1,51.2,42.3
Illinois,1913,3.4,1.4,8.3,17.2,23.6,30.5,32.4,32.5,25.6,17.0,12.9,5.6,38.2,34.6,46.9,62.9,74.4,86.9,90.4,90.5,78.1,62.6,55.2,42.0
Illinois,1914,4.5,-1.1,8.1,16.9,25.2,30.8,33.4,30.9,25.1,19.8,12.7,-1.1,40.1,30.1,46.6,62.4,77.4,87.5,92.2,87.6,77.2,67.6,54.8,30.0
Illinois,1915,-0.8,5.6,5.8,21.4,21.1,26.2,27.9,24.9,25.7,20.1,12.7,1.9,30.6,42.0,42.5,70.5,69.9,79.1,82.3,76.8,78.2,68.1,54.9,35.4
Illinois,1916,3.4,1.3,8.9,15.8,23.2,25.0,34.3,31.3,24.9,19.3,11.7,2.4,38.2,34.4,48.0,60.5,73.8,77.0,93.8,88.4,76.8,66.7,53.0,36.3
Illinois,1917,2.3,1.2,10.7,15.2,19.7,26.0,30.3,28.5,24.9,13.6,10.9,-1.5,36.2,34.1,51.2,59.3,67.4,78.8,86.5,83.3,76.8,56.5,51.6,29.3
Illinois,1918,-6.6,4.5,15.3,13.8,25.4,28.7,29.8,32.1,21.6,19.8,9.8,7.2,20.1,40.1,59.5,56.9,77.8,83.7,85.6,89.8,70.8,67.7,49.6,45.0
Illinois,1919,4.2,4.5,11.2,17.3,20.9,29.4,32.8,29.4,27.6,19.7,8.6,-0.6,39.5,40.1,52.1,63.2,69.7,85.0,91.1,85.0,81.7,67.5,47.4,30.9
Illinois,1920,-1.9,2.4,10.6,13.3,21.9,28.6,30.2,28.7,26.9,22.0,8.4,3.9,28.6,36.3,51.1,55.9,71.4,83.4,86.4,83.7,80.4,71.6,47.1,39.1
Illinois,1921,4.4,6.1,15.6,18.5,24.6,30.6,33.6,28.8,27.1,19.1,9.7,4.6,39.9,42.9,60.1,65.3,76.2,87.0,92.5,83.9,80.8,66.3,49.4,40.3
Illinois,1922,1.1,4.9,10.1,17.6,24.7,29.8,30.0,30.4,28.2,21.2,10.9,4.3,33.9,40.8,50.2,63.6,76.5,85.7,86.0,86.8,82.7,70.2,51.7,39.8
Illinois,1923,3.8,0.3,8.1,16.7,22.2,28.5,31.5,29.2,24.3,16.6,10.5,8.4,38.9,32.6,46.5,62.1,71.9,83.3,88.7,84.5,75.7,61.8,50.9,47.2
