state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Indiana,1895,-0.9,-2.0,8.6,18.3,24.2,30.6,29.4,30.7,27.7,15.3,9.4,4.8,30.3,28.4,47.5,65.0,75.6,87.0,84.9,87.3,81.8,59.5,49.0,40.6
Indiana,1896,1.7,3.9,5.9,20.9,27.0,27.6,29.5,28.8,23.2,16.3,11.3,5.4,35.1,39.0,42.7,69.6,80.6,81.7,85.1,83.9,73.8,61.4,52.3,41.7
Indiana,1897,-0.1,3.7,10.4,15.4,20.9,27.3,30.8,28.3,29.3,22.3,10.3,2.7,31.8,38.7,50.8,59.7,69.6,81.1,87.4,83.0,84.8,72.2,50.6,36.9
Indiana,1898,3.8,3.9,12.2,15.3,22.6,29.4,31.0,28.8,26.7,16.5,8.0,1.9,38.8,39.1,54.0,59.5,72.7,84.9,87.8,83.9,80.0,61.7,46.4,35.5
Indiana,1899,1.8,-1.6,6.8,18.0,23.4,29.4,30.5,30.7,25.4,21.0,11.7,2.8,35.2,29.1,44.3,64.4,74.1,85.0,86.9,87.3,77.8,69.8,53.0,37.1
Indiana,1900,3.7,1.2,6.1,17.3,24.9,27.3,29.8,31.7,27.2,22.6,9.9,4.2,38.6,34.2,43.0,63.1,76.9,81.1,85.7,89.0,80.9,72.6,49.9,39.6
Indiana,1901,2.8,-0.7,9.2,14.7,21.8,29.1,34.3,30.1,25.8,19.8,8.3,0.9,37.1,30.7,48.5,58.4,71.3,84.4,93.7,86.1,78.4,67.6,47.0,33.7
Indiana,1902,1.9,-1.1,11.0,16.2,25.5,26.7,30.4,27.8,23.5,19.2,13.8,2.3,35.4,30.0,51.8,61.2,77.9,80.0,86.7,82.0,74.3,66.5,56.8,36.1
Indiana,1903,1.1,2.7,12.9,16.6,25.1,24.8,30.3,28.1,26.2,18.3,8.2,0.2,34.0,36.9,55.3,61.8,77.2,76.6,86.6,82.6,79.2,65.0,46.7,32.4
Indiana,1904,-1.6,0.3,9.1,13.2,22.4,26.7,28.9,28.4,25.4,18.0,11.0,2.8,29.1,32.5,48.3,55.8,72.4,80.0,84.0,83.1,77.8,64.4,51.8,37.0
Indiana,1905,-1.1,-1.7,12.7,16.6,23.4,28.0,28.8,29.1,25.8,18.1,10.8,3.8,30.0,29.0,54.8,61.8,74.1,82.4,83.8,84.4,78.5,64.6,51.5,38.8
Indiana,1906,5.8,3.3,3.1,18.7,24.2,27.4,29.6,30.2,27.3,17.4,10.1,4.3,42.5,38.0,37.6,65.6,75.6,81.3,85.3,86.3,81.2,63.3,50.2,39.8
Indiana,1907,4.7,2.7,13.8,11.0,19.6,25.5,29.3,27.6,24.0,16.3,8.7,3.9,40.4,36.9,56.9,51.8,67.3,77.9,84.7,81.6,75.2,61.4,47.6,39.1
Indiana,1908,3.1,1.6,11.9,16.9,22.8,27.7,30.4,30.1,29.6,19.7,11.7,5.0,37.6,34.9,53.4,62.5,73.1,81.9,86.8,86.2,85.3,67.5,53.1,41.0
Indiana,1909,3.5,6.3,8.3,15.8,21.1,27.6,27.9,29.9,24.1,16.1,15.6,-1.0,38.3,43.4,47.0,60.4,69.9,81.6,82.2,85.9,75.4,61.0,60.0,30.2
Indiana,1910,1.1,1.7,16.8,17.8,19.6,27.1,29.6,28.6,24.9,19.9,7.1,0.7,33.9,35.1,62.3,64.0,67.2,80.8,85.3,83.5,76.8,67.9,44.8,33.2
Indiana,1911,4.0,5.6,9.8,14.8,26.9,29.3,30.8,29.1,26.1,17.3,7.1,5.4,39.2,42.1,49.7,58.6,80.4,84.8,87.5,84.4,78.9,63.1,44.8,41.8
Indiana,1912,-4.4,-1.2,4.1,17.6,23.8,26.4,29.0,27.2,25.9,19.5,10.4,5.2,24.0,29.9,39.4,63.7,74.8,79.6,84.2,81.0,78.7,67.1,50.7,41.4
Indiana,1913,5.2,1.6,9.4,16.3,23.6,30.0,31.9,30.9,25.3,17.7,12.3,5.7,41.4,34.8,49.0,61.4,74.5,86.0,89.4,87.7,77.6,63.8,54.2,42.3
Indiana,1914,4.3,-0.7,7.2,16.3,24.7,30.4,32.6,29.8,25.2,19.4,11.9,-0.1,39.8,30.8,45.0,61.4,76.4,86.8,90.7,85.7,77.4,67.0,53.5,31.8
Indiana,1915,0.2,6.4,5.8,20.4,20.8,26.0,28.1,24.5,25.8,19.6,12.6,2.2,32.3,43.5,42.5,68.8,69.5,78.8,82.5,76.1,78.4,67.2,54.6,36.0
Indiana,1916,6.1,2.1,8.3,15.5,23.3,24.9,32.9,30.7,25.2,19.3,12.2,3.1,43.0,35.8,47.0,59.9,74.0,76.9,91.3,87.2,77.4,66.7,54.0,37.5
Indiana,1917,3.0,2.2,10.3,15.4,19.1,26.0,29.0,28.4,24.9,13.8,10.4,-1.1,37.4,35.9,50.6,59.8,66.3,78.8,84.2,83.2,76.8,56.8,50.7,30.0
Indiana,1918,-5.7,5.2,15.1,14.7,25.9,28.3,29.0,31.7,21.3,19.8,10.2,7.9,21.8,41.3,59.1,58.5,78.7,83.0,84.2,89.0,70.3,67.6,50.3,46.3
Indiana,1919,5.1,4.6,11.4,16.6,20.8,29.9,32.7,29.1,27.7,20.9,9.7,0.3,41.2,40.3,52.6,61.9,69.4,85.8,90.8,84.4,81.8,69.7,49.4,32.6
Indiana,1920,-1.4,1.9,10.9,13.3,21.9,27.8,29.2,27.9,26.6,22.4,9.0,4.2,29.5,35.5,51.7,55.9,71.5,82.0,84.5,82.2,79.8,72.4,48.2,39.6
Indiana,1921,4.5,5.5,16.0,18.8,24.4,30.8,33.6,28.4,27.3,18.4,10.8,4.9,40.1,41.9,60.8,65.9,76.0,87.4,92.5,83.1,81.2,65.2,51.5,40.9
Indiana,1922,1.5,4.9,10.8,17.8,25.0,29.6,29.6,29.9,28.6,20.7,11.2,5.0,34.7,40.8,51.4,64.0,77.0,85.2,85.2,85.8,83.5,69.3,52.1,41.0
