state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Kansas,1895,1.3,1.9,13.4,23.0,26.8,29.2,30.2,31.0,30.3,18.9,10.9,6.0,34.4,35.5,56.1,73.4,80.2,84.6,86.4,87.8,86.6,66.0,51.6,42.8
Kansas,1896,6.7,10.1,10.3,22.9,27.2,30.9,32.2,33.1,25.7,19.4,9.1,10.6,44.0,50.2,50.5,73.2,81.0,87.7,90.0,91.6,78.3,67.0,48.4,51.1
Kansas,1897,3.1,5.8,12.3,18.7,24.8,30.8,33.9,31.3,31.0,23.2,12.8,3.6,37.5,42.5,54.1,65.7,76.7,87.4,93.1,88.4,87.8,73.7,55.1,38.4
Kansas,1898,4.7,9.4,12.8,18.7,22.9,29.6,32.1,32.6,27.8,18.2,10.1,2.5,40.5,48.9,55.0,65.6,73.3,85.2,89.8,90.7,82.1,64.8,50.2,36.5
Kansas,1899,4.4,-0.8,9.4,19.2,26.4,29.4,30.9,34.2,28.6,23.5,14.7,4.2,40.0,30.5,48.9,66.6,79.6,85.0,87.6,93.6,83.4,74.3,58.5,39.6
Kansas,1900,7.7,4.1,12.4,18.8,24.9,31.0,32.4,34.2,27.4,22.7,11.7,8.1,45.8,39.4,54.4,65.8,76.9,87.8,90.4,93.5,81.4,72.8,53.0,46.6
Kansas,1901,6.4,3.3,12.6,17.7,24.7,32.7,37.8,33.4,27.2,21.9,14.0,5.3,43.6,38.0,54.6,63.9,76.5,90.8,100.0,92.2,80.9,71.5,57.2,41.5
Kansas,1902,5.3,3.5,13.3,19.9,26.1,27.8,31.4,32.4,24.8,21.9,12.9,2.1,41.5,38.3,56.0,67.9,79.0,82.1,88.6,90.4,76.6,71.4,55.3,35.7
Kansas,1903,5.4,2.3,11.4,19.7,22.2,25.3,32.6,30.4,26.8,21.1,10.9,7.8,41.7,36.2,52.5,67.4,72.0,77.6,90.6,86.7,80.2,69.9,51.6,46.1
Kansas,1904,5.0,8.1,15.7,17.6,23.3,27.3,30.4,30.1,28.2,21.7,15.8,5.4,41.0,46.5,60.2,63.7,73.9,81.2,86.7,86.2,82.7,71.1,60.5,41.7
