state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Kentucky,1895,2.9,1.5,12.2,20.2,24.1,30.7,29.2,30.7,29.2,18.2,13.2,7.9,37.3,34.7,53.9,68.3,75.3,87.3,84.6,87.2,84.5,64.7,55.8,46.2
Kentucky,1896,5.4,7.5,9.3,23.7,28.4,28.3,30.2,30.7,26.3,19.2,14.9,8.8,41.8,45.5,48.7,74.6,83.1,82.9,86.3,87.2,79.3,66.6,58.8,47.8
Kentucky,1897,4.2,8.4,14.6,18.7,22.8,29.4,31.0,30.0,30.4,24.8,14.3,7.2,39.5,47.2,58.3,65.7,73.0,84.9,87.8,86.0,86.8,76.7,57.8,45.0
Kentucky,1898,8.3,8.0,15.2,17.1,26.1,30.8,31.1,30.7,28.7,19.0,11.2,6.0,47.0,46.4,59.4,62.7,78.9,87.4,88.0,87.2,83.6,66.2,52.1,42.8
Kentucky,1899,5.6,1.9,12.2,19.6,26.0,30.6,31.7,31.7,27.2,22.7,14.9,5.9,42.1,35.4,54.0,67.2,78.8,87.0,89.1,89.0,81.0,72.9,58.8,42.7
Kentucky,1900,7.3,5.7,11.2,20.0,26.1,28.5,31.3,33.1,29.4,24.0,13.7,8.2,45.1,42.3,52.1,68.0,78.9,83.3,88.4,91.6,85.0,75.2,56.6,46.8
Kentucky,1901,7.2,5.2,14.0,16.4,24.5,30.7,34.6,29.6,26.2,21.6,11.1,4.8,44.9,41.3,57.2,61.5,76.1,87.2,94.3,85.2,79.2,70.9,52.0,40.7
Kentucky,1902,5.4,1.7,13.5,18.4,27.7,29.1,32.3,30.7,26.0,22.0,17.1,6.1,41.8,35.1,56.3,65.1,81.8,84.4,90.2,87.3,78.8,71.6,62.8,43.0
Kentucky,1903,5.5,8.2,16.3,19.1,26.9,26.1,31.4,30.2,28.4,21.0,11.2,4.1,41.9,46.7,61.3,66.4,80.5,78.9,88.5,86.4,83.2,69.8,52.1,39.4
Kentucky,1904,4.6,6.4,13.9,16.2,24.9,28.8,30.2,30.4,27.9,21.6,13.3,6.6,40.2,43.6,57.1,61.2,76.8,83.8,86.4,86.7,82.2,70.8,55.9,43.8
Kentucky,1905,1.9,2.2,16.7,19.7,25.9,29.7,29.9,29.9,27.5,19.8,14.1,6.6,35.5,35.9,62.1,67.5,78.6,85.5,85.8,85.8,81.5,67.7,57.3,43.9
Kentucky,1906,8.6,7.7,7.6,21.9,26.0,29.1,29.9,30.8,27.9,19.7,13.6,7.8,47.5,45.8,45.7,71.5,78.8,84.4,85.9,87.4,82.2,67.5,56.5,46.0
Kentucky,1907,11.0,7.3,18.2,14.6,22.7,27.1,31.8,29.4,27.0,19.8,11.8,7.6,51.8,45.2,64.7,58.2,72.9,80.7,89.2,85.0,80.6,67.6,53.3,45.6
Kentucky,1908,5.9,6.1,16.2,20.6,24.9,29.0,31.0,30.4,29.9,21.8,15.1,9.0,42.7,43.0,61.2,69.0,76.8,84.2,87.8,86.8,85.8,71.2,59.2,48.2
Kentucky,1909,7.8,11.1,12.3,19.7,23.8,29.1,29.0,31.0,26.3,19.8,18.7,3.3,46.1,52.0,54.1,67.4,74.9,84.3,84.2,87.8,79.3,67.7,65.6,38.0
Kentucky,1910,5.8,6.1,20.2,19.6,22.4,27.3,29.7,29.4,27.8,22.3,11.1,4.1,42.4,42.9,68.4,67.3,72.3,81.2,85.5,84.9,82.0,72.2,51.9,39.4
Kentucky,1911,8.7,10.9,13.9,17.6,28.3,30.7,31.2,30.6,29.3,20.9,10.6,9.4,47.6,51.7,57.0,63.6,82.9,87.2,88.1,87.0,84.8,69.6,51.1,49.0
Kentucky,1912,1.7,3.9,9.6,21.0,25.5,27.7,30.4,28.6,28.2,22.1,13.6,7.6,35.0,39.0,49.3,69.8,77.9,81.8,86.8,83.4,82.8,71.7,56.4,45.7
Kentucky,1913,10.8,6.8,13.7,18.8,25.8,31.0,33.0,32.5,27.1,20.1,15.5,8.4,51.4,44.2,56.6,65.9,78.5,87.8,91.4,90.5,80.8,68.1,59.9,47.1
Kentucky,1914,7.9,5.3,10.3,19.3,26.4,32.8,33.2,30.3,26.1,20.6,14.7,3.8,46.3,41.6,50.6,66.8,79.6,91.0,91.8,86.6,79.0,69.1,58.5,38.8
Kentucky,1915,4.7,10.1,8.0,22.9,24.4,27.8,30.2,26.9,27.7,22.1,15.7,6.8,40.4,50.2,46.4,73.2,75.9,82.1,86.4,80.4,81.8,71.8,60.3,44.3
Kentucky,1916,10.6,7.2,12.6,17.9,26.2,27.0,31.8,30.5,26.2,21.6,15.8,7.5,51.1,44.9,54.7,64.2,79.1,80.6,89.2,86.9,79.1,70.8,60.4,45.5
Kentucky,1917,7.8,8.0,13.2,20.0,21.2,27.8,29.6,29.3,26.1,17.4,12.8,2.4,46.0,46.4,55.7,68.0,70.2,82.0,85.2,84.8,79.0,63.3,55.0,36.4
Kentucky,1918,-1.2,10.4,17.9,17.8,27.1,29.6,29.7,32.9,23.8,22.8,12.8,11.3,29.8,50.8,64.3,64.0,80.8,85.2,85.4,91.2,74.8,73.1,55.0,52.3
Kentucky,1919,8.3,8.3,14.8,20.0,23.2,30.6,32.7,29.8,28.9,23.4,13.9,6.1,46.9,47.0,58.6,68.0,73.7,87.0,90.9,85.7,84.1,74.2,57.0,43.0
Kentucky,1920,5.1,6.1,13.8,17.9,23.9,28.3,29.9,28.1,27.1,23.3,12.0,7.6,41.1,43.0,56.8,64.2,75.1,83.0,85.8,82.5,80.7,73.9,53.6,45.6
Kentucky,1921,8.7,9.7,19.9,21.3,25.2,31.6,33.5,29.8,29.2,20.9,15.2,9.6,47.6,49.5,67.9,70.3,77.4,88.8,92.3,85.6,84.5,69.6,59.3,49.3
Kentucky,1922,5.7,9.7,14.6,21.4,26.0,30.2,30.5,30.2,29.3,22.6,14.7,10.4,42.3,49.5,58.2,70.5,78.8,86.3,86.9,86.3,84.8,72.7,58.5,50.7
Kentucky,1923,9.4,6.3,14.1,19.6,23.8,29.2,31.1,29.6,26.6,20.1,13.2,12.9,48.9,43.3,57.3,67.3,74.9,84.5,87.9,85.3,79.9,68.2,55.8,55.3
Kentucky,1924,5.0,6.5,9.6,20.5,21.5,28.9,29.2,30.9,24.2,23.5,14.0,7.3,41.0,43.7,49.3,68.9,70.7,84.1,84.6,87.6,75.5,74.3,57.2,45.1
