state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Louisiana,1895,14.1,10.3,21.4,25.3,28.2,31.7,32.8,32.6,32.6,25.2,19.8,16.2,57.3,50.6,70.6,77.6,82.7,89.1,91.1,90.6,90.6,77.4,67.6,61.2
Louisiana,1896,13.8,17.2,20.2,26.7,31.3,32.9,34.8,34.8,31.6,25.7,21.5,16.7,56.8,62.9,68.4,80.1,88.4,91.2,94.6,94.7,88.8,78.2,70.7,62.1
Louisiana,1897,13.0,17.5,23.7,24.9,28.8,33.2,34.3,33.2,31.9,28.7,21.1,15.2,55.4,63.5,74.6,76.9,83.8,91.7,93.7,91.7,89.4,83.7,69.9,59.4
Louisiana,1898,17.2,18.1,21.6,23.4,30.1,32.1,32.4,32.3,30.6,24.7,17.3,13.9,62.9,64.6,70.8,74.1,86.2,89.7,90.4,90.1,87.0,76.4,63.1,57.0
Louisiana,1899,14.7,11.6,21.9,23.6,31.7,32.6,34.1,34.5,30.9,27.5,21.3,15.3,58.4,52.9,71.4,74.5,89.0,90.7,93.3,94.1,87.6,81.5,70.4,59.5
Louisiana,1900,14.5,15.3,19.8,25.1,29.0,31.3,31.8,32.7,33.1,27.2,21.3,16.3,58.1,59.6,67.7,77.1,84.2,88.4,89.2,90.9,91.5,81.0,70.3,61.4
Louisiana,1901,17.0,14.6,21.0,23.9,29.2,33.8,34.2,33.2,29.9,26.6,20.2,15.3,62.6,58.3,69.8,75.0,84.6,92.9,93.6,91.7,85.9,79.9,68.3,59.5
Louisiana,1902,14.6,13.4,21.3,25.7,30.3,34.1,33.6,34.8,30.0,25.8,21.9,15.4,58.2,56.2,70.3,78.2,86.6,93.4,92.4,94.6,86.0,78.5,71.5,59.7
Louisiana,1903,13.8,16.1,20.9,24.8,27.6,29.9,32.4,32.8,30.6,26.1,19.8,15.1,56.9,60.9,69.6,76.6,81.6,85.8,90.4,91.0,87.1,78.9,67.6,59.1
Louisiana,1904,14.5,19.1,23.7,24.3,28.7,32.5,31.9,32.1,32.2,27.8,20.5,15.9,58.1,66.3,74.6,75.8,83.6,90.5,89.5,89.7,90.0,82.1,68.9,60.7
Louisiana,1905,12.2,10.7,22.9,24.8,30.0,32.6,31.8,33.2,31.7,25.2,21.3,12.7,53.9,51.2,73.2,76.6,86.0,90.7,89.2,91.7,89.0,77.3,70.4,54.8
Louisiana,1906,15.6,15.6,18.6,25.3,29.2,33.6,32.3,33.4,31.9,23.5,22.1,18.4,60.0,60.1,65.5,77.5,84.6,92.4,90.1,92.2,89.4,74.3,71.7,65.2
Louisiana,1907,20.6,19.1,26.2,23.2,26.6,31.9,33.7,33.7,31.8,26.1,18.7,16.6,69.0,66.4,79.1,73.7,79.8,89.4,92.7,92.7,89.2,78.9,65.6,61.8
Louisiana,1908,15.6,16.7,24.8,27.7,28.7,32.5,32.5,32.7,30.2,25.1,21.9,18.4,60.0,62.0,76.6,81.8,83.7,90.5,90.5,90.8,86.3,77.1,71.4,65.1
Louisiana,1909,17.7,18.8,22.1,24.8,28.3,31.9,34.0,33.8,31.8,27.8,24.9,13.2,63.8,65.8,71.7,76.6,82.9,89.5,93.2,92.8,89.3,82.0,76.8,55.7
Louisiana,1910,17.1,15.4,25.0,25.2,28.3,31.1,32.3,33.6,32.8,27.0,21.3,15.6,62.8,59.8,77.0,77.3,83.0,88.0,90.1,92.4,91.0,80.6,70.4,60.1
Louisiana,1911,19.3,20.8,24.0,25.7,30.1,34.6,31.4,32.6,33.6,27.1,19.1,16.2,66.8,69.5,75.2,78.2,86.1,94.3,88.5,90.6,92.5,80.7,66.3,61.1
Louisiana,1912,13.1,14.9,18.7,25.3,29.3,30.3,33.3,32.8,32.1,27.3,20.3,14.7,55.6,58.9,65.6,77.5,84.8,86.6,91.9,91.0,89.8,81.1,68.5,58.5
Louisiana,1913,17.9,15.6,20.1,24.6,28.6,31.7,32.8,33.1,28.7,23.7,22.8,14.8,64.2,60.1,68.2,76.2,83.5,89.0,91.1,91.6,83.7,74.7,73.1,58.6
Louisiana,1914,17.9,15.8,18.9,24.6,28.8,34.6,34.0,32.1,30.9,25.5,19.7,11.9,64.2,60.4,66.0,76.3,83.8,94.3,93.2,89.8,87.6,77.9,67.4,53.5
Louisiana,1915,14.0,16.7,15.9,25.7,29.8,33.5,33.5,31.8,31.9,27.2,22.7,16.9,57.2,62.1,60.7,78.3,85.7,92.3,92.3,89.2,89.4,81.0,72.8,62.5
Louisiana,1916,18.6,18.0,22.8,24.0,29.6,32.1,32.8,33.3,31.1,26.9,21.6,17.6,65.5,64.4,73.1,75.2,85.3,89.8,91.1,91.9,87.9,80.4,70.8,63.7
