state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Maine,1895,-4.7,-4.7,0.3,9.7,18.9,23.8,24.1,22.5,20.6,10.3,5.5,-0.9,23.6,23.6,32.5,49.4,66.0,74.9,75.3,72.5,69.0,50.5,41.9,30.4
Maine,1896,-6.3,-4.2,0.0,10.0,18.2,22.0,24.5,22.6,17.2,9.9,4.2,-4.3,20.6,24.5,32.0,50.0,64.7,71.6,76.1,72.7,62.9,49.8,39.5,24.2
Maine,1897,-4.6,-2.4,0.9,9.2,15.3,18.7,24.3,22.2,18.3,14.2,3.1,-2.6,23.7,27.7,33.6,48.6,59.5,65.6,75.7,72.0,64.9,57.5,37.6,27.4
Maine,1898,-6.2,-1.4,5.1,7.8,16.2,20.4,24.3,23.6,19.8,12.3,4.3,-3.2,20.9,29.4,41.2,46.0,61.2,68.8,75.8,74.5,67.6,54.2,39.7,26.2
Maine,1899,-4.7,-5.6,-0.5,10.8,17.1,22.3,23.3,23.4,17.8,13.4,3.6,-0.6,23.5,22.0,31.1,51.4,62.8,72.1,74.0,74.2,64.1,56.2,38.5,30.9
Maine,1900,-3.2,-2.9,0.8,10.3,15.1,23.2,24.4,23.8,20.0,14.4,4.5,-3.8,26.3,26.7,33.5,50.6,59.2,73.8,75.9,74.9,68.0,57.9,40.1,25.2
Maine,1901,-6.3,-5.8,1.1,9.7,16.4,22.6,24.8,23.2,19.8,12.5,1.4,-2.1,20.6,21.5,34.0,49.5,61.5,72.6,76.6,73.8,67.6,54.5,34.5,28.2
Maine,1902,-4.7,-2.6,5.4,9.3,15.1,19.0,22.6,21.5,19.1,12.3,6.5,-3.7,23.6,27.3,41.7,48.8,59.2,66.2,72.6,70.7,66.3,54.2,43.7,25.4
Maine,1903,-3.7,-1.9,6.3,10.0,18.8,19.1,22.2,20.2,20.3,12.1,3.4,-4.3,25.3,28.5,43.3,50.0,65.8,66.4,72.0,68.3,68.6,53.7,38.2,24.3
Maine,1904,-8.6,-7.3,1.2,7.8,18.9,21.1,24.5,21.7,16.4,10.3,1.7,-8.1,16.6,18.8,34.1,46.1,66.0,70.0,76.1,71.1,61.6,50.5,35.0,17.4
Maine,1905,-7.0,-6.0,1.8,9.4,16.1,20.2,24.6,22.4,17.0,12.6,3.3,-1.9,19.4,21.2,35.3,48.9,61.0,68.3,76.3,72.4,62.6,54.7,37.9,28.6
Maine,1906,-1.5,-2.3,-1.3,7.9,14.7,21.6,24.6,24.8,19.2,12.7,2.6,-4.6,29.3,27.8,29.7,46.2,58.4,70.9,76.2,76.6,66.6,54.8,36.6,23.7
Maine,1907,-6.7,-6.5,1.7,7.2,13.3,21.8,23.2,21.8,17.8,10.4,4.0,-0.4,20.0,20.3,35.1,45.0,56.0,71.3,73.8,71.3,64.1,50.8,39.2,31.3
Maine,1908,-3.0,-4.3,1.6,8.2,17.4,23.8,26.3,22.2,22.3,15.0,3.8,-3.7,26.6,24.3,34.8,46.7,63.4,74.9,79.3,71.9,72.1,59.0,38.8,25.4
Maine,1909,-4.8,-3.1,0.8,7.3,14.8,22.8,23.1,23.8,18.6,12.1,5.8,-3.2,23.4,26.5,33.5,45.2,58.6,73.0,73.6,74.9,65.5,53.8,42.4,26.2
Maine,1910,-2.4,-3.7,4.2,10.9,15.8,19.7,25.2,22.6,18.3,12.0,2.7,-5.1,27.7,25.4,39.6,51.7,60.4,67.5,77.3,72.6,64.9,53.6,36.9,22.9
Maine,1911,-4.6,-5.6,0.2,9.1,21.6,21.4,27.2,23.1,17.1,11.5,3.1,-0.3,23.8,21.9,32.3,48.4,70.9,70.5,80.9,73.6,62.8,52.7,37.6,31.4
Maine,1912,-8.8,-3.9,0.4,8.4,17.2,20.8,24.6,19.8,17.5,13.6,4.8,-0.4,16.2,24.9,32.8,47.2,63.0,69.4,76.2,67.7,63.5,56.4,40.6,31.2
Maine,1913,-0.6,-5.6,3.9,10.9,14.8,21.5,24.7,23.5,18.4,13.9,6.3,-0.8,30.9,22.0,39.0,51.7,58.6,70.7,76.4,74.3,65.1,57.0,43.3,30.5
Maine,1914,-6.7,-7.3,1.4,6.7,18.2,20.5,23.6,22.5,19.7,13.8,3.0,-3.7,20.0,18.8,34.5,44.1,64.7,68.9,74.5,72.5,67.5,56.8,37.4,25.3
Maine,1915,-3.2,-0.9,1.2,10.4,15.3,21.8,23.5,22.0,19.7,13.2,4.4,-1.5,26.2,30.3,34.2,50.7,59.5,71.2,74.3,71.6,67.4,55.8,40.0,29.3
Maine,1916,-3.3,-5.1,-1.4,9.9,16.2,19.8,25.2,24.5,19.0,13.1,2.8,-3.2,26.0,22.9,29.4,49.8,61.2,67.7,77.3,76.1,66.2,55.6,37.0,26.3
Maine,1917,-5.7,-5.9,1.5,7.1,11.6,19.9,24.9,23.8,18.3,10.3,1.4,-7.5,21.8,21.3,34.7,44.8,52.9,67.9,76.8,74.9,64.9,50.5,34.5,18.5
Maine,1918,-9.0,-5.1,1.1,10.6,18.8,19.8,23.9,23.3,16.6,12.2,4.2,-2.4,15.8,22.8,33.9,51.1,65.8,67.6,75.1,74.0,61.8,54.0,39.6,27.6
Maine,1919,-3.7,-1.9,3.7,7.9,16.6,24.2,25.4,21.7,17.4,11.1,3.2,-5.1,25.3,28.6,38.6,46.2,61.9,75.6,77.8,71.1,63.3,51.9,37.8,22.9
Maine,1920,-9.2,-4.4,3.2,7.1,17.3,22.1,23.9,25.3,19.1,15.4,1.8,-2.6,15.4,24.0,37.7,44.7,63.2,71.7,75.0,77.6,66.3,59.7,35.3,27.4
Maine,1921,-3.5,-2.7,5.5,12.2,19.1,22.1,27.9,22.8,20.7,12.6,0.4,-3.3,25.7,27.1,41.9,54.0,66.3,71.8,82.3,73.0,69.2,54.6,32.8,26.1
