state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Maryland,1895,3.3,0.4,9.3,16.4,21.9,28.7,27.6,30.3,27.4,16.8,12.6,7.8,38.0,32.7,48.7,61.6,71.4,83.7,81.6,86.5,81.3,62.2,54.6,46.0
Maryland,1896,3.8,6.3,7.9,18.6,25.5,26.7,29.6,29.4,24.7,16.6,15.4,6.0,38.9,43.4,46.2,65.5,77.9,80.0,85.2,85.0,76.5,61.9,59.7,42.8
Maryland,1897,3.2,5.8,12.1,17.3,21.9,25.9,29.0,27.9,26.0,19.1,12.0,7.2,37.8,42.4,53.7,63.1,71.5,78.7,84.2,82.2,78.8,66.4,53.6,45.0
Maryland,1898,5.9,6.1,13.8,14.9,22.5,28.4,30.7,29.2,26.6,19.1,10.7,6.3,42.7,43.0,56.8,58.9,72.5,83.1,87.2,84.5,79.9,66.3,51.2,43.4
Maryland,1899,5.0,1.6,9.6,18.0,23.4,28.8,30.1,28.4,24.3,19.6,12.4,7.1,41.0,34.9,49.2,64.4,74.2,83.9,86.2,83.2,75.8,67.2,54.4,44.7
Maryland,1900,5.9,5.4,8.2,16.8,24.1,27.7,31.6,31.6,27.7,21.0,13.4,6.6,42.7,41.8,46.7,62.3,75.4,81.9,88.9,88.9,81.9,69.8,56.1,43.8
Maryland,1901,4.7,2.2,11.5,14.1,21.7,27.7,31.3,28.7,25.1,19.3,8.7,5.4,40.4,35.9,52.7,57.4,71.0,81.8,88.3,83.6,77.1,66.7,47.7,41.8
Maryland,1902,3.1,1.6,12.8,16.4,23.8,27.6,30.1,27.9,24.3,19.4,15.2,4.9,37.5,34.9,55.0,61.5,74.9,81.6,86.2,82.2,75.7,67.0,59.4,40.8
Maryland,1903,3.7,7.2,14.7,16.6,23.9,23.7,29.6,26.2,24.8,18.8,10.8,3.9,38.7,44.9,58.4,61.8,75.1,74.6,85.3,79.1,76.6,65.9,51.4,39.0
Maryland,1904,1.4,2.0,9.8,14.9,24.0,26.6,28.4,27.5,25.2,18.2,10.3,3.0,34.6,35.6,49.7,58.8,75.2,79.9,83.2,81.5,77.3,64.8,50.5,37.4
Maryland,1905,2.6,0.6,12.2,17.6,24.0,27.0,28.9,27.4,25.2,19.7,11.8,7.2,36.7,33.0,53.9,63.7,75.2,80.6,84.0,81.4,77.3,67.4,53.3,45.0
Maryland,1906,7.8,6.2,6.8,18.9,24.2,27.4,28.3,28.3,26.4,17.4,12.1,6.1,46.1,43.1,44.3,66.0,75.6,81.3,83.0,83.0,79.5,63.3,53.7,43.0
Maryland,1907,6.6,2.4,13.8,13.8,20.4,23.5,29.0,27.1,25.1,16.8,10.5,7.2,43.9,36.4,56.8,56.8,68.8,74.3,84.2,80.8,77.2,62.2,50.9,45.0
