state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Massachusetts,1895,-0.2,-1.3,4.1,12.4,21.2,25.2,24.6,25.8,23.2,12.8,9.9,4.6,31.7,29.7,39.4,54.4,70.1,77.3,76.3,78.4,73.8,55.1,49.8,40.2
Massachusetts,1896,-1.8,1.2,3.2,14.8,22.0,23.1,26.4,25.9,20.2,12.3,10.8,1.2,28.8,34.1,37.7,58.6,71.6,73.6,79.6,78.6,68.4,54.1,51.4,34.1
Massachusetts,1897,1.0,1.5,6.0,14.4,19.1,21.6,26.3,24.2,21.3,16.6,7.7,2.9,33.8,34.7,42.8,58.0,66.4,70.9,79.3,75.6,70.3,61.9,45.8,37.2
Massachusetts,1898,0.3,2.6,9.6,10.5,17.9,23.7,26.9,25.9,23.2,15.5,7.6,1.9,32.6,36.6,49.2,50.9,64.2,74.7,80.4,78.7,73.7,59.9,45.6,35.4
Massachusetts,1899,1.1,-0.9,3.6,13.8,20.1,26.1,26.6,25.2,20.6,15.7,7.6,4.1,34.0,30.4,38.5,56.9,68.2,79.0,79.8,77.4,69.0,60.2,45.7,39.3
Massachusetts,1900,1.8,0.8,4.2,12.8,19.1,25.3,27.7,26.4,23.1,16.9,8.8,2.6,35.3,33.5,39.5,55.0,66.3,77.5,81.8,79.6,73.5,62.5,47.8,36.6
Massachusetts,1901,-0.2,-2.4,4.8,10.8,17.9,25.3,27.7,25.7,22.3,16.2,4.8,2.3,31.7,27.7,40.6,51.5,64.2,77.5,81.9,78.2,72.1,61.1,40.6,36.1
Massachusetts,1902,-0.2,0.6,9.4,13.4,19.4,22.9,24.1,24.0,20.7,15.1,10.9,0.6,31.7,33.1,48.9,56.2,67.0,73.2,75.3,75.2,69.2,59.2,51.7,33.1
Massachusetts,1903,0.4,2.0,10.7,13.5,21.9,19.8,26.3,21.8,22.2,15.2,6.8,0.1,32.7,35.6,51.3,56.3,71.4,67.7,79.4,71.3,71.9,59.4,44.2,32.2
Massachusetts,1904,-3.7,-2.3,4.5,11.4,21.6,23.3,26.1,24.4,20.9,13.9,5.6,-1.5,25.4,27.9,40.1,52.6,70.8,74.0,79.0,75.9,69.6,57.1,42.0,29.3
Massachusetts,1905,-1.7,-2.2,6.0,13.2,19.5,23.3,27.1,24.1,20.3,16.0,7.9,3.9,28.9,28.0,42.8,55.8,67.1,73.9,80.7,75.3,68.5,60.8,46.3,39.0
Massachusetts,1906,3.7,2.1,2.8,13.2,20.0,24.3,25.9,26.6,23.2,15.4,7.2,0.3,38.7,35.7,37.0,55.8,68.0,75.7,78.7,79.8,73.7,59.8,45.0,32.6
Massachusetts,1907,-0.4,-2.6,6.7,10.4,16.1,23.2,27.1,25.1,20.8,13.4,7.6,4.0,31.3,27.4,44.0,50.7,61.0,73.7,80.7,77.1,69.4,56.1,45.6,39.2
Massachusetts,1908,2.0,-0.6,6.6,12.9,20.1,26.1,28.2,24.2,22.9,17.7,7.7,2.4,35.6,31.0,43.9,55.2,68.1,79.0,82.8,75.5,73.2,63.8,45.9,36.3
Massachusetts,1909,1.4,3.2,4.6,12.5,18.1,24.7,26.2,24.9,21.1,14.8,10.3,0.4,34.6,37.7,40.3,54.5,64.6,76.5,79.1,76.9,69.9,58.7,50.6,32.7
Massachusetts,1910,1.5,0.9,9.5,15.8,18.6,22.6,28.2,24.3,21.4,16.7,5.9,-0.7,34.7,33.7,49.1,60.5,65.4,72.6,82.7,75.8,70.5,62.0,42.7,30.8
Massachusetts,1911,1.9,-0.1,4.7,11.8,22.9,23.1,29.1,25.1,20.6,13.9,7.3,5.0,35.5,31.8,40.5,53.3,73.2,73.5,84.3,77.2,69.0,57.1,45.1,41.0
Massachusetts,1912,-4.0,-0.4,4.9,12.8,19.6,24.6,27.3,23.8,20.8,17.1,9.2,4.9,24.8,31.3,40.8,55.0,67.2,76.3,81.2,74.9,69.4,62.8,48.6,40.9
Massachusetts,1913,6.1,0.2,9.1,13.1,18.1,24.7,27.9,25.9,20.4,16.1,9.8,4.7,42.9,32.3,48.3,55.5,64.5,76.4,82.2,78.6,68.7,60.9,49.7,40.4
Massachusetts,1914,0.0,-1.7,4.9,10.9,21.1,23.9,24.3,24.8,22.4,17.6,8.1,0.8,32.0,29.0,40.8,51.6,70.0,75.1,75.7,76.7,72.4,63.6,46.6,33.4
Massachusetts,1915,1.8,3.1,5.1,15.5,17.8,23.1,25.2,23.4,23.6,15.9,9.2,1.6,35.2,37.6,41.2,59.9,64.0,73.6,77.4,74.2,74.4,60.7,48.5,34.8
Massachusetts,1916,2.9,-1.2,1.8,11.0,18.8,20.7,26.3,26.2,21.9,16.9,7.9,1.3,37.2,29.9,35.2,51.8,65.8,69.3,79.4,79.2,71.5,62.4,46.2,34.4
Massachusetts,1917,0.6,-0.8,5.0,10.3,14.0,23.2,26.9,26.7,19.8,13.6,6.2,-2.5,33.1,30.6,41.0,50.6,57.2,73.7,80.4,80.0,67.6,56.4,43.2,27.5
Massachusetts,1918,-4.6,0.4,6.9,13.5,22.6,22.2,26.2,26.3,19.5,17.1,8.7,2.7,23.8,32.7,44.5,56.3,72.6,72.0,79.1,79.4,67.1,62.8,47.6,36.8
Massachusetts,1919,2.2,2.2,7.9,12.3,19.7,25.6,27.2,23.6,21.0,16.2,8.0,0.3,36.0,35.9,46.2,54.2,67.4,78.0,81.0,74.5,69.8,61.2,46.4,32.6
Massachusetts,1920,-3.3,-0.6,7.0,10.4,17.6,22.9,25.7,26.2,22.3,19.1,6.5,3.1,26.1,30.9,44.6,50.8,63.7,73.2,78.2,79.2,72.1,66.3,43.7,37.5
Massachusetts,1921,2.2,2.5,11.7,16.0,19.8,25.2,27.4,24.7,24.2,16.3,6.4,1.4,35.9,36.5,53.0,60.8,67.6,77.3,81.4,76.5,75.5,61.3,43.6,34.6
Massachusetts,1922,-0.8,1.6,7.1,13.2,21.8,24.2,26.0,24.6,22.6,16.6,8.1,1.2,30.5,34.8,44.7,55.8,71.3,75.6,78.8,76.3,72.7,61.8,46.5,34.1
Massachusetts,1923,-1.3,-2.2,4.1,13.3,19.2,25.6,25.4,25.3,22.2,16.4,8.9,6.1,29.7,28.0,39.4,56.0,66.6,78.0,77.8,77.6,71.9,61.5,48.0,42.9
Massachusetts,1924,2.3,-0.9,5.2,11.7,16.7,23.4,27.4,25.7,20.7,17.0,9.6,1.2,36.2,30.4,41.3,53.1,62.0,74.1,81.3,78.2,69.2,62.6,49.2,34.2
Massachusetts,1925,-0.7,5.1,8.9,14.1,18.4,26.3,25.8,26.0,21.5,11.7,8.3,1.7,30.8,41.1,48.1,57.4,65.2,79.4,78.4,78.8,70.7,53.1,46.9,35.0
Massachusetts,1926,1.0,-0.4,3.2,10.3,18.8,22.0,26.7,24.9,20.7,14.6,8.9,-0.3,33.8,31.3,37.8,50.5,65.9,71.6,80.1,76.9,69.2,58.3,48.1,31.4
Massachusetts,1927,0.6,2.3,8.3,13.4,17.2,22.7,26.1,23.2,22.1,17.7,11.4,3.8,33.0,36.1,47.0,56.1,62.9,72.8,78.9,73.7,71.7,63.9,52.5,38.9
Massachusetts,1928,2.0,1.5,5.2,11.7,17.7,21.9,26.8,26.4,19.7,16.9,8.7,4.6,35.6,34.7,41.3,53.1,63.8,71.4,80.2,79.6,67.5,62.5,47.7,40.3
Massachusetts,1929,0.1,1.6,8.4,12.2,20.4,25.3,27.7,25.2,22.9,15.0,8.3,1.4,32.2,34.8,47.2,54.0,68.7,77.6,81.8,77.3,73.3,59.0,46.9,34.5
Massachusetts,1930,1.3,4.1,6.5,12.9,20.8,26.9,27.2,25.5,24.4,15.1,9.0,2.2,34.4,39.3,43.7,55.3,69.5,80.4,80.9,77.9,75.9,59.2,48.2,35.9
Massachusetts,1931,0.8,1.8,6.1,14.3,20.6,24.4,27.5,25.8,23.5,18.2,11.7,4.8,33.5,35.2,42.9,57.7,69.1,75.9,81.5,78.4,74.3,64.8,53.0,40.7
Massachusetts,1932,5.4,1.7,4.4,12.4,20.7,24.2,26.6,26.8,22.1,16.2,8.2,4.7,41.7,35.0,39.9,54.3,69.3,75.5,79.9,80.3,71.8,61.1,46.8,40.4
Massachusetts,1933,5.3,3.6,4.1,11.8,21.6,25.8,27.0,25.3,21.7,15.2,6.1,0.1,41.6,38.4,39.3,53.3,70.9,78.4,80.6,77.5,71.0,59.3,42.9,32.1
Massachusetts,1934,1.3,-3.9,5.7,13.8,21.6,25.3,28.1,24.4,22.0,13.7,10.0,1.1,34.3,25.0,42.2,56.8,70.8,77.6,82.6,75.9,71.6,56.6,50.0,34.0
Massachusetts,1935,-1.3,0.9,7.7,11.8,18.4,23.5,27.6,26.4,20.6,16.7,9.8,-0.7,29.6,33.7,45.8,53.2,65.2,74.3,81.7,79.6,69.1,62.1,49.6,30.8
Massachusetts,1936,-0.5,-2.3,9.5,10.9,22.1,24.0,27.1,26.3,21.4,16.0,6.7,4.3,31.1,27.9,49.1,51.6,71.8,75.2,80.7,79.3,70.6,60.8,44.0,39.8
Massachusetts,1937,5.0,3.4,3.9,11.6,20.7,24.2,27.7,27.8,21.3,14.8,8.8,1.5,41.0,38.2,39.1,52.8,69.3,75.6,81.9,82.0,70.4,58.7,47.8,34.7
Massachusetts,1938,0.3,2.8,8.1,14.8,18.4,24.6,26.2,27.4,20.7,17.5,10.7,2.7,32.5,37.0,46.6,58.6,65.1,76.2,79.2,81.4,69.2,63.5,51.2,36.9
Massachusetts,1939,0.4,3.4,3.9,10.4,20.4,24.3,27.1,27.6,22.2,15.9,7.2,2.7,32.7,38.1,39.1,50.7,68.7,75.7,80.8,81.7,72.0,60.7,45.0,36.8
Massachusetts,1940,-3.2,1.1,3.0,10.2,18.6,23.3,26.8,25.0,21.3,13.8,8.0,3.6,26.3,34.0,37.4,50.3,65.4,73.9,80.3,77.0,70.4,56.9,46.4,38.4
Massachusetts,1941,-1.3,1.1,3.6,17.0,21.3,25.0,26.8,25.9,24.3,16.9,11.4,4.6,29.6,34.0,38.5,62.6,70.4,77.0,80.2,78.6,75.8,62.4,52.6,40.3
Massachusetts,1942,0.4,-0.1,7.9,15.6,21.4,24.2,26.3,25.3,22.5,16.9,9.2,0.1,32.8,31.8,46.2,60.0,70.6,75.6,79.3,77.5,72.5,62.4,48.5,32.1
Massachusetts,1943,-1.4,2.3,5.2,10.3,19.3,27.0,27.6,25.6,21.6,15.4,8.3,1.6,29.4,36.1,41.4,50.5,66.8,80.6,81.7,78.1,70.8,59.8,46.9,34.8
Massachusetts,1944,1.4,1.4,4.7,11.1,23.6,24.4,28.4,28.2,22.3,15.9,8.3,1.5,34.5,34.6,40.5,51.9,74.5,75.9,83.1,82.7,72.2,60.6,46.9,34.7
Massachusetts,1945,-1.7,1.6,12.7,16.4,17.4,23.9,26.2,25.6,23.3,15.3,9.5,-0.6,28.9,34.9,54.8,61.6,63.3,75.1,79.2,78.1,73.9,59.6,49.1,30.9
Massachusetts,1946,0.7,0.9,13.6,12.2,19.2,24.6,26.8,23.4,23.2,19.0,11.1,4.0,33.2,33.6,56.4,53.9,66.5,76.2,80.2,74.2,73.7,66.2,52.0,39.2
Massachusetts,1947,2.9,0.9,5.6,12.4,18.9,23.3,27.2,27.1,22.4,20.9,6.9,1.4,37.2,33.7,42.1,54.3,66.1,73.9,81.0,80.8,72.4,69.6,44.5,34.5
Massachusetts,1948,-2.5,0.2,7.4,13.5,17.5,22.4,27.8,27.2,23.9,15.8,11.9,4.2,27.5,32.4,45.3,56.3,63.5,72.4,82.1,80.9,75.0,60.4,53.5,39.5
Massachusetts,1949,3.9,4.3,7.6,14.9,20.8,27.3,29.6,27.9,21.1,18.7,8.8,4.7,39.1,39.8,45.7,58.9,69.4,81.1,85.3,82.2,70.0,65.6,47.8,40.4
Massachusetts,1950,5.1,0.4,4.4,11.9,18.8,25.1,27.2,25.3,19.8,17.4,11.3,3.2,41.2,32.7,39.9,53.5,65.9,77.2,80.9,77.6,67.7,63.4,52.3,37.8
