state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Michigan,1895,-5.3,-5.9,1.2,13.2,20.6,27.0,26.1,25.8,22.8,11.0,4.6,0.1,22.4,21.4,34.2,55.7,69.0,80.6,79.0,78.4,73.1,51.8,40.2,32.2
Michigan,1896,-3.0,-2.2,0.1,13.6,22.4,25.2,25.9,25.1,17.9,11.3,4.2,-0.6,26.6,28.0,32.2,56.4,72.4,77.3,78.7,77.2,64.3,52.3,39.5,30.9
Michigan,1897,-3.4,-2.2,1.9,9.9,16.4,22.2,27.8,23.4,23.8,15.8,3.6,-2.4,25.8,28.1,35.5,49.8,61.5,71.9,82.1,74.2,74.8,60.4,38.5,27.6
Michigan,1898,-2.1,-2.4,5.6,10.4,18.7,24.8,27.8,24.8,22.2,12.6,3.9,-2.8,28.3,27.7,42.1,50.8,65.7,76.7,82.1,76.6,72.0,54.6,39.0,26.9
Michigan,1899,-4.4,-6.7,-1.3,13.1,19.1,25.1,26.0,26.8,18.6,16.0,7.2,-1.2,24.0,19.9,29.7,55.5,66.4,77.1,78.8,80.3,65.4,60.8,45.0,29.9
Michigan,1900,-1.7,-5.2,-0.8,13.2,19.8,23.9,25.4,28.2,22.2,18.6,3.7,-0.9,29.0,22.7,30.5,55.7,67.6,75.0,77.8,82.8,71.9,65.5,38.7,30.3
Michigan,1901,-3.2,-6.1,1.6,12.8,18.3,25.4,28.5,25.4,21.0,15.1,3.7,-2.8,26.2,21.1,34.9,55.0,65.0,77.7,83.3,77.8,69.8,59.1,38.6,27.0
Michigan,1902,-2.8,-2.9,6.8,11.7,19.1,21.1,26.5,23.4,19.4,13.6,8.4,-2.0,27.0,26.7,44.3,53.0,66.4,69.9,79.7,74.1,66.9,56.4,47.1,28.4
Michigan,1903,-3.4,-2.4,6.8,11.4,20.2,21.7,25.8,22.1,20.7,14.6,3.8,-4.4,25.9,27.6,44.2,52.5,68.4,71.0,78.5,71.7,69.2,58.3,38.9,24.0
Michigan,1904,-7.3,-8.5,1.4,8.3,18.4,23.4,25.2,23.3,19.9,12.7,6.8,-2.8,18.9,16.7,34.5,47.0,65.2,74.1,77.4,73.9,67.8,54.8,44.2,27.0
Michigan,1905,-5.9,-6.3,4.6,10.5,17.3,23.3,25.1,25.2,22.0,13.8,4.8,0.3,21.3,20.6,40.3,50.9,63.1,73.9,77.2,77.3,71.6,56.8,40.6,32.6
Michigan,1906,0.7,-2.1,-0.7,13.4,18.1,23.4,26.0,26.4,23.9,13.2,4.8,-1.1,33.2,28.3,30.7,56.1,64.5,74.2,78.8,79.6,75.1,55.8,40.7,30.1
Michigan,1907,-3.8,-3.4,5.8,6.0,13.9,23.3,25.4,24.0,19.4,12.1,4.3,-0.2,25.1,25.9,42.4,42.8,57.0,73.9,77.8,75.2,67.0,53.8,39.8,31.7
Michigan,1908,-1.9,-3.6,3.6,11.8,18.6,24.6,26.9,25.2,25.0,15.7,6.6,-1.1,28.5,25.5,38.5,53.3,65.4,76.2,80.5,77.3,77.0,60.2,43.9,30.1
Michigan,1909,-1.7,-0.9,1.9,8.5,17.3,24.2,26.2,26.2,20.1,11.9,8.9,-3.1,28.9,30.3,35.5,47.3,63.1,75.6,79.1,79.2,68.2,53.5,48.0,26.5
Michigan,1910,-3.3,-3.6,10.3,13.8,16.0,24.7,28.1,25.1,20.2,15.7,2.3,-3.1,26.0,25.5,50.6,56.8,60.8,76.4,82.6,77.2,68.3,60.3,36.2,26.4
