state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Minnesota,1895,-12.2,-7.8,2.3,16.3,20.2,23.7,26.1,25.7,21.8,11.3,1.2,-4.4,10.0,18.0,36.1,61.4,68.4,74.7,78.9,78.3,71.3,52.4,34.2,24.1
Minnesota,1896,-7.3,-3.0,-1.0,11.3,21.3,25.3,26.7,26.0,18.3,10.8,-5.0,-3.8,18.9,26.6,30.2,52.4,70.3,77.6,80.1,78.8,64.9,51.4,23.0,25.2
Minnesota,1897,-10.5,-5.2,-2.0,11.4,19.8,22.6,27.5,23.8,24.6,14.2,0.3,-8.0,13.1,22.6,28.4,52.5,67.6,72.6,81.5,74.9,76.2,57.5,32.6,17.6
Minnesota,1898,-4.0,-3.7,3.6,12.2,18.6,24.1,27.0,24.9,21.7,9.3,0.9,-7.1,24.8,25.4,38.5,54.0,65.4,75.3,80.6,76.9,71.0,48.8,33.6,19.2
Minnesota,1899,-9.3,-11.4,-5.1,12.2,17.9,23.9,27.3,25.4,19.4,13.5,7.7,-5.0,15.3,11.5,22.8,54.0,64.2,75.1,81.1,77.8,66.9,56.3,45.8,23.0
Minnesota,1900,-3.8,-9.2,-0.1,16.6,22.5,25.9,26.2,28.3,19.7,17.2,-0.8,-4.8,25.1,15.5,31.9,61.8,72.5,78.7,79.1,82.9,67.4,63.0,30.6,23.4
Minnesota,1901,-7.3,-7.8,1.1,13.5,21.1,24.0,28.9,26.9,19.1,14.8,2.0,-7.3,18.8,17.9,34.0,56.3,70.0,75.2,84.0,80.4,66.4,58.6,35.6,18.9
Minnesota,1902,-5.4,-4.6,5.6,11.4,19.7,22.1,26.9,23.8,18.2,13.2,2.8,-7.3,22.3,23.7,42.0,52.6,67.5,71.7,80.4,74.9,64.7,55.7,37.1,18.9
Minnesota,1903,-7.9,-6.7,2.1,11.7,19.3,23.8,25.2,22.6,18.1,14.1,1.1,-8.3,17.8,19.9,35.8,53.0,66.8,74.8,77.4,72.6,64.5,57.4,33.9,17.0
Minnesota,1904,-11.4,-11.8,-0.3,8.2,19.0,22.4,24.4,23.8,18.3,12.0,7.0,-5.6,11.4,10.8,31.4,46.7,66.2,72.3,76.0,74.8,65.0,53.6,44.6,21.9
Minnesota,1905,-11.7,-7.7,4.3,10.7,16.9,22.2,25.0,25.9,21.6,10.5,4.1,-3.6,11.0,18.1,39.8,51.2,62.5,71.9,77.0,78.6,70.8,50.9,39.4,25.6
Minnesota,1906,-4.8,-5.4,-2.4,14.4,17.3,22.9,26.0,25.3,22.8,12.1,1.6,-6.2,23.3,22.3,27.6,57.9,63.2,73.2,78.8,77.6,73.0,53.7,34.8,20.9
Minnesota,1907,-12.4,-4.9,2.0,5.7,13.0,23.3,26.1,24.5,18.3,13.0,3.3,-2.3,9.7,23.1,35.6,42.2,55.4,73.9,78.9,76.1,65.0,55.4,38.0,27.8
Minnesota,1908,-4.1,-3.9,1.2,13.3,17.8,22.1,26.7,24.4,23.8,12.6,4.5,-4.9,24.6,24.9,34.1,56.0,64.0,71.7,80.1,75.9,74.8,54.6,40.1,23.2
Minnesota,1909,-8.4,-6.2,0.2,6.6,17.6,24.2,26.2,26.9,20.6,11.4,4.4,-9.8,16.8,20.9,32.4,43.8,63.6,75.5,79.1,80.5,69.1,52.5,40.0,14.3
Minnesota,1910,-7.6,-8.4,11.3,15.7,17.4,27.2,28.5,25.1,20.4,16.2,-1.0,-6.2,18.4,16.8,52.3,60.2,63.3,80.9,83.3,77.2,68.7,61.2,30.2,20.8
Minnesota,1911,-10.4,-4.1,6.1,11.6,22.3,27.4,26.9,23.7,19.0,10.3,-2.6,-4.3,13.3,24.7,43.0,52.8,72.1,81.3,80.4,74.7,66.2,50.6,27.3,24.3
Minnesota,1912,-17.2,-7.2,-1.2,13.8,19.1,23.4,26.1,22.7,19.2,14.4,5.3,-2.4,1.0,19.0,29.9,56.8,66.4,74.2,78.9,72.8,66.6,58.0,41.5,27.6
Minnesota,1913,-8.9,-7.6,-1.3,14.0,17.2,26.2,25.6,26.5,20.3,10.9,6.2,0.4,16.0,18.4,29.7,57.2,63.0,79.1,78.0,79.7,68.5,51.6,43.2,32.8
Minnesota,1914,-4.6,-10.4,1.6,10.2,20.4,23.8,28.7,24.7,21.0,16.7,4.6,-9.2,23.7,13.2,34.8,50.3,68.8,74.8,83.7,76.4,69.8,62.0,40.2,15.5
