state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Mississippi,1895,11.3,8.6,19.5,24.8,27.3,31.6,32.4,32.4,32.3,23.6,18.0,14.2,52.4,47.5,67.1,76.7,81.2,88.8,90.4,90.4,90.2,74.5,64.4,57.6
Mississippi,1896,11.6,14.8,17.7,26.9,31.2,31.9,34.4,34.7,30.9,24.5,20.3,15.1,52.9,58.6,63.8,80.4,88.2,89.5,94.0,94.5,87.7,76.1,68.5,59.1
Mississippi,1897,10.8,16.2,21.5,23.8,28.0,33.9,34.3,32.8,32.2,28.0,19.8,13.8,51.5,61.1,70.7,74.8,82.4,93.0,93.7,91.1,90.0,82.4,67.7,56.9
Mississippi,1898,15.3,15.2,21.0,22.1,30.2,33.3,32.4,32.3,29.9,22.6,15.9,11.8,59.6,59.3,69.8,71.7,86.4,91.9,90.4,90.1,85.9,72.6,60.7,53.2
Mississippi,1899,12.4,8.8,19.9,22.9,31.5,33.1,33.8,34.2,30.4,26.9,20.5,13.2,54.4,47.9,67.8,73.3,88.7,91.6,92.9,93.5,86.8,80.5,68.9,55.8
Mississippi,1900,12.8,13.6,18.2,24.5,28.7,30.0,32.5,33.8,32.6,25.8,19.4,14.5,55.0,56.4,64.7,76.1,83.6,86.0,90.5,92.8,90.7,78.4,67.0,58.1
Mississippi,1901,14.6,12.5,19.2,22.2,28.3,33.7,35.3,32.6,29.0,25.4,17.8,12.1,58.3,54.5,66.6,71.9,82.9,92.7,95.6,90.6,84.2,77.8,64.0,53.8
Mississippi,1902,12.7,10.4,19.8,24.4,31.1,34.7,34.9,34.4,28.9,24.7,20.9,13.1,54.8,50.8,67.6,75.9,88.0,94.4,94.9,94.0,84.0,76.5,69.6,55.5
Mississippi,1903,12.3,14.7,20.3,24.2,27.5,29.6,33.4,32.9,30.7,25.6,17.8,12.5,54.1,58.4,68.5,75.6,81.5,85.2,92.2,91.3,87.2,78.1,64.0,54.5
Mississippi,1904,12.2,16.6,21.8,22.6,28.6,32.7,32.2,32.3,32.6,27.1,18.9,14.1,53.9,61.9,71.3,72.7,83.4,90.8,90.0,90.2,90.6,80.8,66.1,57.4
Mississippi,1905,9.7,9.1,22.3,24.0,29.2,32.4,32.0,32.9,31.3,23.8,20.0,11.2,49.5,48.3,72.1,75.2,84.6,90.4,89.6,91.2,88.4,74.9,68.0,52.1
Mississippi,1906,14.2,14.3,16.4,25.6,28.1,32.9,32.1,33.5,31.4,22.7,20.6,16.4,57.5,57.7,61.5,78.1,82.5,91.3,89.8,92.3,88.6,72.8,69.1,61.5
Mississippi,1907,18.8,16.6,25.0,21.2,25.8,31.3,33.9,34.3,31.0,25.3,17.4,14.1,65.8,61.9,77.0,70.2,78.5,88.3,93.1,93.7,87.8,77.6,63.4,57.4
Mississippi,1908,13.3,14.0,23.8,26.6,28.4,32.2,33.0,32.4,30.7,24.6,21.4,16.3,56.0,57.2,74.8,79.9,83.2,90.0,91.4,90.4,87.2,76.3,70.5,61.3
Mississippi,1909,15.7,17.4,20.1,24.2,27.0,31.5,33.8,34.1,31.3,26.5,24.2,10.9,60.2,63.3,68.1,75.6,80.6,88.7,92.9,93.4,88.3,79.7,75.5,51.6
Mississippi,1910,14.6,13.1,24.6,24.1,27.2,30.6,31.9,33.5,32.8,26.1,18.6,12.8,58.3,55.6,76.2,75.3,80.9,87.1,89.4,92.3,91.1,79.0,65.4,55.1
