state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Missouri,1895,2.0,1.7,12.8,21.4,25.0,29.5,29.3,30.4,28.7,18.7,11.0,6.3,35.6,35.1,55.0,70.6,77.0,85.1,84.8,86.7,83.6,65.7,51.8,43.3
Missouri,1896,5.4,7.7,9.5,23.1,27.6,28.7,31.6,31.4,24.9,19.4,11.9,9.2,41.7,45.9,49.1,73.5,81.6,83.6,88.8,88.6,76.9,67.0,53.4,48.5
Missouri,1897,2.7,6.1,12.2,18.2,23.8,29.4,32.4,30.4,31.8,25.2,12.7,3.0,36.8,43.0,54.0,64.7,74.8,84.9,90.4,86.8,89.3,77.4,54.9,37.4
Missouri,1898,5.8,7.5,13.1,17.3,24.6,29.9,30.4,30.4,27.6,17.4,10.2,3.4,42.5,45.5,55.6,63.2,76.3,85.9,86.7,86.7,81.6,63.4,50.4,38.2
Missouri,1899,3.9,-0.5,9.1,18.1,25.4,29.4,31.0,32.6,27.2,24.1,15.2,4.3,39.0,31.1,48.4,64.6,77.8,85.0,87.8,90.7,80.9,75.4,59.3,39.8
Missouri,1900,6.6,2.8,11.5,19.9,25.4,28.8,30.8,33.5,27.7,23.0,12.3,7.1,43.8,37.1,52.7,67.8,77.8,83.9,87.4,92.3,81.8,73.4,54.2,44.8
Missouri,1901,7.0,3.2,12.0,18.1,24.7,33.0,37.7,33.4,27.7,22.6,12.8,2.9,44.6,37.8,53.6,64.6,76.4,91.4,99.9,92.1,81.9,72.7,55.0,37.3
Missouri,1902,4.1,0.7,12.8,18.7,27.0,27.3,30.9,29.9,23.3,21.7,14.5,3.2,39.3,33.3,55.1,65.6,80.6,81.2,87.6,85.9,73.9,71.0,58.1,37.7
Missouri,1903,4.2,3.9,13.8,19.5,23.7,25.4,31.2,29.6,25.9,20.1,10.1,4.6,39.5,39.1,56.9,67.1,74.6,77.8,88.1,85.2,78.6,68.2,50.1,40.2
Missouri,1904,2.6,4.4,13.4,15.3,23.3,26.9,29.3,29.2,26.9,21.0,14.6,5.6,36.7,40.0,56.2,59.5,73.9,80.5,84.8,84.6,80.5,69.8,58.3,42.1
Missouri,1905,-0.8,-0.3,16.1,19.1,24.3,30.1,28.3,30.7,26.5,18.6,13.8,5.4,30.5,31.5,60.9,66.3,75.7,86.2,82.9,87.2,79.7,65.5,56.9,41.7
Missouri,1906,6.5,6.3,4.8,21.6,25.4,28.3,29.8,30.4,27.9,19.6,10.6,6.5,43.7,43.4,40.7,70.9,77.8,83.0,85.6,86.7,82.2,67.2,51.0,43.7
Missouri,1907,6.3,7.0,17.6,14.6,21.1,27.4,31.5,30.9,26.7,19.8,11.9,6.8,43.4,44.6,63.7,58.2,69.9,81.3,88.7,87.6,80.0,67.6,53.5,44.3
Missouri,1908,5.8,6.4,15.9,18.9,24.6,27.3,30.7,30.6,28.6,19.9,13.8,8.7,42.5,43.6,60.6,66.0,76.2,81.2,87.3,87.0,83.4,67.8,56.9,47.7
Missouri,1909,4.9,9.2,12.2,18.8,23.3,28.6,30.7,33.6,27.0,20.9,17.2,0.2,40.8,48.6,54.0,65.8,74.0,83.5,87.2,92.4,80.6,69.7,62.9,32.4
Missouri,1910,4.3,4.4,20.9,19.1,21.6,27.6,31.0,29.8,26.7,22.1,12.1,4.7,39.8,39.9,69.7,66.3,70.9,81.7,87.8,85.7,80.0,71.7,53.7,40.4
Missouri,1911,7.2,9.2,15.2,17.9,27.4,33.3,32.3,30.3,28.9,18.8,9.4,6.6,44.9,48.5,59.4,64.3,81.4,92.0,90.1,86.5,84.0,65.8,49.0,43.9
Missouri,1912,-2.1,2.4,6.6,18.9,26.0,26.9,32.1,30.6,26.7,22.1,13.3,7.8,28.3,36.4,43.8,66.1,78.8,80.4,89.8,87.0,80.0,71.7,55.9,46.1
Missouri,1913,5.4,4.1,10.8,19.4,25.3,31.4,33.3,36.1,26.6,18.2,15.2,6.5,41.7,39.4,51.5,67.0,77.5,88.6,92.0,97.0,79.8,64.8,59.4,43.7
Missouri,1914,7.6,3.4,11.4,18.4,25.9,32.9,33.6,31.9,26.6,20.2,15.3,0.1,45.7,38.1,52.6,65.2,78.6,91.2,92.4,89.4,79.8,68.4,59.6,32.2
Missouri,1915,2.5,8.0,6.1,22.4,23.5,27.1,29.3,26.2,26.9,22.2,15.6,5.6,36.5,46.4,42.9,72.4,74.3,80.7,84.8,79.1,80.4,72.0,60.0,42.1
Missouri,1916,4.8,5.1,13.9,17.0,24.8,26.9,34.7,32.9,26.6,21.4,13.9,5.1,40.7,41.1,57.0,62.6,76.6,80.4,94.5,91.3,79.8,70.5,57.0,41.2
Missouri,1917,6.1,6.0,13.4,17.6,21.1,28.1,32.0,29.1,26.6,17.0,13.5,1.0,43.0,42.8,56.1,63.7,70.0,82.6,89.6,84.4,79.9,62.6,56.3,33.8
Missouri,1918,-3.7,8.7,18.5,16.1,26.6,31.7,32.1,34.4,23.2,21.6,11.6,9.1,25.4,47.7,65.3,60.9,79.9,89.0,89.8,94.0,73.8,70.8,52.8,48.4
Missouri,1919,6.6,7.4,14.2,19.1,22.2,29.4,33.1,30.8,28.8,20.5,11.3,3.3,43.9,45.4,57.5,66.4,72.0,84.9,91.6,87.5,83.8,68.9,52.4,37.9
Missouri,1920,2.9,6.6,13.2,16.1,23.2,28.8,31.3,28.9,27.1,22.3,9.9,6.9,37.2,43.9,55.8,60.9,73.8,83.9,88.3,84.0,80.7,72.2,49.9,44.4
Missouri,1921,7.5,10.2,17.7,19.4,25.3,30.3,33.3,30.7,28.7,21.2,13.3,7.8,45.5,50.4,63.9,67.0,77.6,86.5,92.0,87.3,83.6,70.2,55.9,46.1
Missouri,1922,3.3,7.8,12.3,19.6,25.3,31.1,30.9,31.7,28.8,22.6,13.7,8.1,37.9,46.1,54.2,67.3,77.5,88.0,87.7,89.1,83.8,72.6,56.7,46.5
Missouri,1923,8.7,4.4,11.4,18.8,22.9,28.3,31.8,31.6,25.9,17.3,12.7,10.1,47.6,39.9,52.6,65.9,73.3,83.0,89.2,88.8,78.6,63.1,54.9,50.1
Missouri,1924,1.6,6.4,8.1,20.3,21.3,28.1,29.1,31.0,23.9,24.1,14.2,3.2,34.9,43.5,46.5,68.6,70.3,82.5,84.3,87.8,75.1,75.3,57.6,37.7
Missouri,1925,4.1,10.2,16.1,22.1,23.2,31.0,31.9,31.9,29.6,14.1,11.7,5.0,39.4,50.4,60.9,71.7,73.8,87.8,89.4,89.4,85.3,57.3,53.1,41.0
Missouri,1926,5.0,9.5,9.7,16.3,26.5,28.2,32.3,31.2,25.9,19.3,9.5,5.1,41.0,49.1,49.5,61.3,79.7,82.7,90.2,88.2,78.7,66.7,49.1,41.1
Missouri,1927,4.2,11.2,13.3,19.3,23.9,26.7,30.5,27.4,28.3,23.3,13.9,4.9,39.5,52.2,55.9,66.8,75.0,80.1,86.9,81.4,82.9,74.0,57.0,40.9
Missouri,1928,5.8,8.0,14.4,16.8,25.6,25.0,30.9,30.5,25.3,22.3,11.7,7.3,42.4,46.4,58.0,62.2,78.0,77.0,87.7,86.9,77.5,72.2,53.0,45.2
Missouri,1929,2.0,1.3,15.2,19.7,22.1,27.7,31.4,31.2,25.9,19.8,8.7,7.0,35.6,34.3,59.3,67.4,71.8,81.9,88.5,88.1,78.6,67.7,47.6,44.6
Missouri,1930,-1.4,12.5,12.7,21.7,24.2,28.9,34.9,33.1,28.2,18.6,13.6,5.3,29.4,54.5,54.9,71.0,75.5,84.1,94.9,91.5,82.7,65.5,56.5,41.6
Missouri,1931,7.2,10.4,8.9,18.7,22.2,31.3,33.5,29.8,30.5,22.2,15.9,10.2,45.0,50.7,48.1,65.7,72.0,88.4,92.3,85.6,86.9,72.0,60.6,50.4
Missouri,1932,6.9,12.0,9.1,20.5,25.7,29.8,32.8,31.4,26.6,20.0,10.1,4.7,44.4,53.6,48.3,68.9,78.3,85.7,91.0,88.6,79.8,68.0,50.1,40.4
Missouri,1933,10.7,6.4,12.5,18.6,24.4,32.9,32.6,30.1,29.7,19.9,13.6,9.4,51.2,43.5,54.5,65.5,75.9,91.3,90.6,86.1,85.4,67.9,56.4,48.9
Missouri,1934,7.2,6.3,11.6,20.0,27.8,33.9,37.9,33.9,24.6,22.8,14.5,4.0,45.0,43.4,52.8,68.0,82.1,93.0,100.3,93.1,76.2,73.0,58.1,39.2
Missouri,1935,5.1,7.8,15.9,16.2,20.7,26.1,33.1,31.6,26.8,19.7,9.7,3.4,41.2,46.1,60.7,61.2,69.2,79.0,91.6,88.8,80.3,67.4,49.5,38.2
Missouri,1936,0.0,0.5,16.6,18.6,27.1,32.6,37.3,36.8,28.6,19.3,11.8,8.2,32.0,32.9,61.8,65.4,80.8,90.6,99.2,98.3,83.4,66.8,53.2,46.8
Missouri,1937,2.4,4.9,9.8,18.1,24.9,29.2,31.9,33.2,27.7,19.8,10.2,3.4,36.3,40.8,49.6,64.5,76.9,84.6,89.4,91.8,81.9,67.7,50.3,38.1
Missouri,1938,5.4,9.7,18.2,19.3,23.7,28.0,32.9,33.8,28.9,25.9,13.8,7.1,41.7,49.5,64.8,66.7,74.6,82.4,91.3,92.8,84.0,78.7,56.8,44.7
Missouri,1939,8.4,6.6,14.5,17.6,25.8,28.9,33.1,30.4,31.9,23.7,11.6,9.0,47.2,43.8,58.1,63.6,78.5,84.0,91.5,86.8,89.5,74.7,52.8,48.2
Missouri,1940,-4.7,4.6,11.3,17.9,23.6,29.1,32.1,29.7,27.4,24.6,10.8,8.0,23.6,40.3,52.4,64.3,74.5,84.3,89.7,85.4,81.4,76.3,51.5,46.4
Missouri,1941,5.1,5.0,10.4,20.8,27.1,29.1,32.9,32.7,27.8,21.0,12.4,8.3,41.1,41.0,50.8,69.4,80.8,84.4,91.3,90.8,82.0,69.8,54.3,46.9
Missouri,1942,5.1,4.8,13.3,21.1,23.5,28.2,32.0,29.6,25.6,20.9,13.8,4.1,41.1,40.6,55.9,70.0,74.3,82.7,89.6,85.3,78.1,69.6,56.9,39.3
Missouri,1943,5.0,10.9,10.2,19.6,22.8,29.3,32.8,32.8,25.2,19.9,11.9,4.1,41.0,51.6,50.4,67.3,73.0,84.8,91.0,91.0,77.4,67.8,53.4,39.4
Missouri,1944,6.8,8.8,10.3,16.3,25.8,30.3,32.4,29.9,26.4,22.4,12.1,2.0,44.3,47.9,50.6,61.4,78.5,86.6,90.4,85.8,79.6,72.4,53.8,35.6
Missouri,1945,2.8,6.7,17.5,18.7,21.6,25.7,30.1,31.3,26.6,19.9,13.4,1.8,37.0,44.1,63.5,65.7,70.8,78.2,86.2,88.4,79.9,67.8,56.1,35.3
Missouri,1946,5.4,11.2,18.4,21.2,21.9,29.3,32.8,28.8,26.5,22.9,13.1,9.7,41.8,52.2,65.2,70.2,71.4,84.7,91.0,83.9,79.7,73.3,55.6,49.4
Missouri,1947,6.1,3.7,7.7,18.5,23.2,27.8,30.2,35.3,29.3,24.8,8.6,8.2,43.0,38.6,45.8,65.3,73.7,82.0,86.3,95.5,84.8,76.7,47.4,46.8
