state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Montana,1895,-6.6,-2.6,4.7,15.2,17.1,19.8,25.6,25.8,17.9,14.2,3.2,-0.9,20.2,27.4,40.4,59.4,62.7,67.7,78.1,78.5,64.2,57.5,37.8,30.4
Montana,1896,-3.2,3.2,1.5,9.9,14.5,24.1,26.9,25.3,16.6,13.4,-5.8,3.0,26.2,37.7,34.7,49.8,58.1,75.4,80.4,77.5,61.9,56.1,21.5,37.4
Montana,1897,-3.0,-1.9,-2.1,12.3,22.1,21.2,25.0,27.4,22.1,13.2,-0.1,-2.0,26.6,28.6,28.2,54.2,71.8,70.1,77.0,81.4,71.8,55.7,31.8,28.4
Montana,1898,-2.0,2.4,-0.5,11.5,15.6,20.8,25.7,27.5,19.7,8.1,1.2,-2.4,28.4,36.4,31.1,52.7,60.0,69.5,78.3,81.5,67.5,46.6,34.2,27.7
Montana,1899,-3.7,-8.8,-2.3,8.7,13.4,20.0,26.9,23.2,21.8,9.9,8.6,-1.8,25.4,16.2,27.8,47.6,56.1,68.0,80.4,73.7,71.3,49.9,47.5,28.8
Montana,1900,1.9,-2.7,6.0,13.8,20.2,26.1,27.0,24.7,17.5,12.4,2.0,2.6,35.4,27.1,42.8,56.9,68.3,78.9,80.6,76.5,63.5,54.3,35.6,36.7
Montana,1901,-2.2,-2.9,5.7,11.9,20.8,17.8,28.5,26.9,15.0,15.7,6.6,-0.3,28.1,26.7,42.2,53.4,69.4,64.1,83.3,80.4,59.0,60.3,43.9,31.5
Montana,1902,-1.8,-0.5,3.7,10.1,17.5,19.3,24.3,25.1,19.1,14.2,2.6,-3.6,28.8,31.1,38.6,50.2,63.5,66.7,75.8,77.2,66.3,57.6,36.7,25.6
Montana,1903,-0.6,-3.4,1.9,10.8,15.6,23.1,23.7,24.1,17.1,14.9,2.6,1.3,31.0,25.8,35.4,51.5,60.1,73.5,74.7,75.3,62.7,58.8,36.6,34.4
Montana,1904,-1.3,-4.5,-0.4,12.2,16.5,21.6,26.0,25.8,20.8,14.9,9.8,0.8,29.7,23.9,31.2,53.9,61.7,70.8,78.8,78.4,69.4,58.9,49.7,33.4
Montana,1905,-5.1,-3.0,8.4,12.1,14.4,19.2,25.7,27.2,21.6,9.5,5.6,-0.8,22.9,26.6,47.2,53.8,58.0,66.6,78.2,81.0,70.9,49.1,42.0,30.6
Montana,1906,-0.1,2.0,0.9,14.3,14.9,19.3,27.4,24.6,21.8,13.8,2.7,-0.9,31.8,35.6,33.7,57.8,58.8,66.8,81.3,76.3,71.2,56.9,36.9,30.4
Montana,1907,-10.5,0.7,4.3,8.2,13.3,19.2,24.2,23.7,18.3,16.4,6.8,1.1,13.1,33.2,39.8,46.7,56.0,66.6,75.5,74.6,64.9,61.6,44.3,33.9
Montana,1908,1.1,0.2,3.2,13.8,14.6,19.3,28.0,24.2,21.2,9.7,6.3,-0.6,34.0,32.4,37.7,56.8,58.2,66.8,82.4,75.6,70.2,49.5,43.3,31.0
Montana,1909,-6.1,-0.8,4.3,6.8,15.0,21.1,24.9,27.1,20.6,13.0,4.8,-6.6,21.0,30.5,39.8,44.3,59.0,69.9,76.9,80.8,69.1,55.4,40.7,20.1
Montana,1910,-2.7,-4.9,12.1,17.2,17.9,24.2,28.2,24.0,18.1,15.2,3.4,-0.7,27.2,23.2,53.8,63.0,64.2,75.6,82.8,75.2,64.6,59.4,38.1,30.8
Montana,1911,-4.9,-3.8,8.2,10.4,16.2,23.2,25.0,22.6,17.6,10.7,-0.8,-2.2,23.1,25.2,46.7,50.8,61.1,73.7,77.0,72.6,63.7,51.3,30.6,28.0
Montana,1912,-4.4,0.1,-1.8,11.9,15.8,22.9,23.1,22.5,14.7,10.8,6.7,1.6,24.0,32.1,28.8,53.4,60.4,73.3,73.5,72.5,58.4,51.4,44.1,34.9
