state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New Hampshire,1895,-2.9,-3.7,1.2,10.8,20.6,25.0,24.0,23.8,21.7,10.9,7.1,1.6,26.7,25.4,34.2,51.5,69.0,77.0,75.2,74.9,71.0,51.7,44.8,34.9
New Hampshire,1896,-4.3,-2.1,0.6,12.7,20.7,22.6,25.9,24.4,18.7,10.7,7.5,-2.1,24.2,28.2,33.0,54.8,69.3,72.7,78.6,76.0,65.6,51.2,45.5,28.2
New Hampshire,1897,-1.9,-0.7,3.0,12.3,17.8,20.4,26.1,23.4,19.8,15.1,4.3,-0.4,28.5,30.8,37.4,54.1,64.0,68.7,78.9,74.1,67.7,59.1,39.7,31.2
New Hampshire,1898,-3.3,0.3,7.3,9.1,17.1,22.7,26.3,24.8,21.5,13.7,4.8,-1.0,26.1,32.6,45.1,48.3,62.8,72.9,79.4,76.7,70.7,56.7,40.7,30.2
New Hampshire,1899,-2.6,-3.5,0.8,11.4,18.8,24.7,25.4,24.6,18.8,13.9,4.3,1.0,27.3,25.7,33.5,52.6,65.8,76.4,77.8,76.2,65.8,57.0,39.8,33.8
New Hampshire,1900,-1.2,-2.1,0.7,10.7,17.0,24.6,26.3,24.8,21.3,15.8,6.2,-1.1,29.8,28.2,33.3,51.2,62.6,76.2,79.3,76.6,70.3,60.5,43.2,30.0
New Hampshire,1901,-3.5,-5.4,2.6,11.2,17.4,24.6,26.6,24.4,20.8,14.3,2.2,-0.3,25.7,22.2,36.6,52.1,63.3,76.2,79.9,76.0,69.5,57.8,35.9,31.4
New Hampshire,1902,-3.2,-1.5,7.6,11.5,17.3,20.9,23.0,22.2,19.4,12.7,8.6,-2.4,26.3,29.3,45.6,52.7,63.2,69.7,73.4,72.0,67.0,54.8,47.5,27.6
New Hampshire,1903,-2.5,-0.4,8.3,11.6,21.1,19.3,24.1,20.3,21.5,12.9,4.1,-2.8,27.5,31.2,47.0,52.8,70.0,66.8,75.3,68.5,70.7,55.2,39.4,27.0
New Hampshire,1904,-7.0,-5.5,1.9,9.2,21.1,22.7,25.1,22.9,18.5,11.3,2.6,-5.1,19.4,22.1,35.5,48.5,69.9,72.9,77.2,73.3,65.3,52.4,36.7,22.9
New Hampshire,1905,-5.1,-4.7,3.5,10.7,17.8,22.1,25.6,23.1,18.7,13.8,4.7,0.8,22.9,23.5,38.3,51.2,64.1,71.7,78.0,73.5,65.7,56.8,40.5,33.4
New Hampshire,1906,1.1,-0.6,0.0,10.6,17.6,22.8,25.6,26.1,22.2,13.9,4.1,-3.1,33.9,30.9,32.0,51.0,63.6,73.0,78.0,78.9,71.9,57.1,39.4,26.4
New Hampshire,1907,-4.1,-5.3,3.7,8.4,14.6,22.7,25.3,23.4,18.7,11.1,4.8,1.3,24.6,22.4,38.6,47.1,58.2,72.8,77.6,74.2,65.6,51.9,40.6,34.3
New Hampshire,1908,-1.3,-3.4,3.8,9.9,19.1,24.9,27.6,23.1,23.2,16.4,4.9,-0.8,29.7,25.9,38.8,49.8,66.4,76.8,81.6,73.5,73.8,61.5,40.9,30.5
New Hampshire,1909,-1.7,-0.4,2.0,10.3,16.4,23.9,24.4,23.8,19.7,12.7,7.9,-2.2,28.9,31.2,35.6,50.5,61.5,75.1,76.0,74.9,67.4,54.9,46.2,28.1
New Hampshire,1910,-1.1,-1.6,7.3,13.9,17.1,21.1,26.7,23.4,19.8,14.2,3.8,-3.6,30.1,29.2,45.2,57.0,62.8,70.0,80.1,74.2,67.6,57.5,38.8,25.5
New Hampshire,1911,-1.3,-3.2,2.1,10.3,22.9,21.7,28.3,24.0,18.9,12.6,4.9,2.3,29.7,26.2,35.8,50.5,73.2,71.1,82.9,75.2,66.0,54.6,40.8,36.2
