state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New Jersey,1895,1.6,-0.1,7.0,14.3,21.7,27.4,26.7,29.1,26.8,15.8,11.7,6.6,34.8,31.8,44.6,57.8,71.1,81.4,80.1,84.4,80.2,60.4,53.0,43.9
New Jersey,1896,1.4,4.1,5.4,16.9,24.2,25.4,28.5,28.3,23.2,14.8,13.4,3.8,34.5,39.3,41.7,62.5,75.5,77.7,83.3,83.0,73.8,58.6,56.1,38.9
New Jersey,1897,2.0,3.8,9.1,16.3,21.2,24.6,27.9,26.6,24.1,18.1,10.3,5.2,35.6,38.8,48.3,61.3,70.2,76.2,82.2,79.8,75.3,64.6,50.6,41.3
New Jersey,1898,3.7,4.6,11.9,13.7,19.4,26.8,28.9,27.9,25.5,18.0,9.4,4.1,38.6,40.3,53.4,56.7,66.9,80.2,84.1,82.3,77.9,64.4,49.0,39.4
New Jersey,1899,3.1,0.2,6.8,16.2,22.1,28.1,28.4,26.8,23.0,18.1,10.6,5.8,37.5,32.4,44.2,61.2,71.8,82.6,83.1,80.2,73.4,64.5,51.1,42.5
New Jersey,1900,4.1,3.7,6.3,16.1,22.2,26.8,29.8,29.8,25.7,19.4,12.2,4.9,39.4,38.7,43.3,60.9,72.0,80.2,85.7,85.6,78.3,67.0,54.0,40.9
New Jersey,1901,2.9,-0.1,8.3,13.1,19.4,27.1,29.9,27.6,24.4,18.3,7.1,4.3,37.2,31.9,47.0,55.5,67.0,80.7,85.8,81.6,76.0,64.9,44.8,39.7
New Jersey,1902,2.0,0.9,11.2,15.4,21.6,25.7,27.9,26.7,22.7,18.0,13.8,3.6,35.6,33.7,52.2,59.7,70.8,78.3,82.2,80.0,72.8,64.4,56.9,38.4
New Jersey,1903,2.7,5.4,13.4,15.7,23.4,21.9,28.3,24.6,23.4,17.7,9.1,2.0,36.9,41.7,56.2,60.2,74.1,71.5,83.0,76.2,74.2,63.8,48.3,35.6
New Jersey,1904,-1.0,0.4,6.6,13.4,23.4,25.6,27.2,26.3,23.3,16.6,8.6,1.2,30.2,32.7,43.9,56.1,74.1,78.0,80.9,79.4,73.9,61.9,47.5,34.1
New Jersey,1905,1.1,-0.2,9.1,15.5,21.8,25.7,28.5,26.3,23.4,18.3,10.6,6.3,33.9,31.6,48.4,59.9,71.2,78.2,83.3,79.3,74.2,65.0,51.0,43.3
New Jersey,1906,6.0,4.2,4.8,16.8,22.5,26.6,27.4,27.6,25.3,16.4,10.2,4.3,42.8,39.5,40.7,62.2,72.5,79.9,81.4,81.6,77.5,61.6,50.4,39.8
New Jersey,1907,3.9,-0.2,9.9,12.1,18.2,23.3,28.3,26.6,23.6,15.6,9.7,5.8,39.1,31.6,49.8,53.8,64.8,74.0,83.0,79.8,74.5,60.1,49.4,42.4
New Jersey,1908,3.6,2.1,9.9,16.5,21.3,27.3,29.7,26.6,24.1,19.4,10.6,4.9,38.4,35.8,49.9,61.7,70.4,81.2,85.4,79.8,75.4,66.9,51.0,40.8
New Jersey,1909,4.6,7.8,7.7,15.3,21.3,26.3,28.2,26.8,23.1,16.1,12.3,2.1,40.2,46.1,45.9,59.5,70.4,79.3,82.8,80.2,73.6,60.9,54.1,35.8
New Jersey,1910,2.7,3.5,12.8,17.7,21.1,24.4,29.9,26.3,24.6,19.4,7.8,0.8,36.9,38.3,55.0,63.8,69.9,76.0,85.8,79.4,76.2,66.9,46.1,33.4
New Jersey,1911,4.7,3.3,8.2,13.7,24.7,25.9,29.9,27.4,23.8,16.8,9.2,7.3,40.4,38.0,46.7,56.7,76.4,78.6,85.8,81.4,74.8,62.2,48.5,45.1
New Jersey,1912,-1.3,2.1,7.1,15.1,22.3,26.0,28.7,26.6,23.3,19.7,11.7,7.0,29.6,35.7,44.8,59.2,72.2,78.8,83.6,79.8,74.0,67.4,53.0,44.6
New Jersey,1913,8.6,3.8,12.2,16.2,22.0,27.1,29.7,27.6,23.0,18.1,12.2,7.2,47.5,38.9,54.0,61.1,71.6,80.7,85.5,81.6,73.4,64.6,54.0,45.0
New Jersey,1914,3.7,1.2,5.9,14.4,23.9,26.4,26.7,28.2,24.6,19.6,11.2,2.3,38.6,34.2,42.6,58.0,75.0,79.6,80.0,82.7,76.2,67.2,52.2,36.1
New Jersey,1915,4.3,5.8,6.8,18.8,19.9,24.7,27.9,26.2,25.6,18.3,11.3,3.2,39.8,42.4,44.2,65.9,67.8,76.5,82.2,79.1,78.1,65.0,52.4,37.8
New Jersey,1916,6.1,1.9,3.9,13.9,21.8,23.0,28.0,28.5,24.4,19.0,11.0,3.5,42.9,35.5,39.1,57.1,71.2,73.4,82.4,83.3,76.0,66.2,51.8,38.3
New Jersey,1917,3.7,2.6,7.6,14.8,17.4,25.8,27.8,28.7,21.6,16.1,9.2,-0.1,38.7,36.7,45.7,58.6,63.4,78.5,82.1,83.6,70.9,60.9,48.6,31.9
New Jersey,1918,-2.8,3.7,11.3,15.2,24.3,24.7,28.2,29.2,22.2,19.8,10.7,6.9,26.9,38.6,52.4,59.4,75.7,76.5,82.8,84.5,71.9,67.7,51.2,44.5
New Jersey,1919,5.2,4.7,11.3,15.3,21.8,26.7,28.1,26.0,24.2,19.9,10.7,2.6,41.4,40.4,52.3,59.6,71.2,80.1,82.6,78.8,75.5,67.8,51.2,36.7
New Jersey,1920,-0.9,1.5,9.8,14.3,19.9,26.0,27.7,26.6,24.6,21.2,9.4,5.7,30.4,34.7,49.6,57.8,67.8,78.8,81.8,79.9,76.2,70.1,48.9,42.3
New Jersey,1921,5.0,5.3,15.8,19.4,21.3,27.9,29.6,26.4,26.6,18.5,10.3,4.3,41.0,41.6,60.4,66.9,70.4,82.2,85.3,79.5,79.9,65.3,50.5,39.8
New Jersey,1922,1.6,5.1,9.7,16.0,23.6,26.7,27.8,26.4,25.0,19.7,11.1,4.2,34.8,41.2,49.5,60.8,74.4,80.0,82.1,79.6,77.0,67.4,51.9,39.5
New Jersey,1923,2.7,0.8,8.9,15.9,21.6,28.8,27.7,27.2,24.3,17.7,10.3,8.8,36.8,33.5,48.1,60.6,70.9,83.8,81.9,81.0,75.8,63.8,50.5,47.9
New Jersey,1924,4.9,1.9,8.1,14.3,18.5,24.5,28.2,28.0,21.8,19.2,10.9,4.4,40.8,35.4,46.5,57.7,65.3,76.1,82.7,82.4,71.2,66.6,51.6,40.0
New Jersey,1925,1.6,7.8,11.8,16.9,21.1,29.9,27.9,27.8,25.1,13.9,9.8,4.1,34.9,46.0,53.3,62.4,69.9,85.8,82.2,82.0,77.1,57.0,49.7,39.4
New Jersey,1926,3.3,2.5,6.6,13.4,22.1,24.2,28.2,27.1,22.8,16.8,10.6,1.9,37.9,36.5,43.8,56.1,71.7,75.5,82.8,80.7,73.1,62.2,51.0,35.4
New Jersey,1927,2.3,6.3,10.7,14.4,19.9,24.6,27.8,24.4,24.7,19.2,13.4,6.1,36.1,43.3,51.3,58.0,67.9,76.2,82.1,75.9,76.4,66.6,56.2,42.9
