state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New Mexico,1895,7.7,6.7,15.1,20.2,23.6,28.0,28.9,28.6,26.8,18.4,10.6,7.2,45.8,44.1,59.1,68.3,74.5,82.4,84.0,83.4,80.2,65.2,51.0,45.0
New Mexico,1896,10.1,10.6,15.7,21.0,27.1,32.1,29.4,29.6,25.2,17.2,13.7,11.1,50.2,51.0,60.2,69.8,80.8,89.7,85.0,85.3,77.3,63.0,56.6,51.9
New Mexico,1897,4.7,9.5,13.7,19.8,24.9,29.0,29.4,28.9,25.0,19.0,15.8,7.9,40.5,49.1,56.7,67.7,76.8,84.2,84.9,84.0,77.0,66.2,60.5,46.2
New Mexico,1898,6.2,13.3,13.8,20.4,24.3,28.6,29.1,29.3,26.2,21.2,12.4,4.4,43.1,56.0,56.8,68.7,75.7,83.4,84.3,84.7,79.2,70.2,54.4,39.9
New Mexico,1899,7.4,8.2,15.5,20.0,25.0,29.4,29.2,30.1,26.9,19.8,14.3,8.9,45.3,46.7,59.9,68.0,77.0,85.0,84.5,86.1,80.4,67.7,57.8,48.1
New Mexico,1900,10.9,11.4,16.4,16.7,24.9,30.9,31.0,30.5,24.8,20.2,15.4,10.4,51.6,52.5,61.6,62.0,76.9,87.6,87.8,86.9,76.7,68.4,59.8,50.8
New Mexico,1901,10.1,10.3,14.4,18.8,24.5,29.6,30.9,30.2,26.1,20.9,15.1,9.9,50.2,50.5,57.9,65.9,76.1,85.3,87.7,86.4,78.9,69.7,59.2,49.9
New Mexico,1902,9.4,12.3,12.4,22.0,25.1,31.7,29.1,29.4,25.2,21.3,13.2,8.0,48.9,54.1,54.3,71.6,77.1,89.0,84.4,85.0,77.4,70.4,55.8,46.4
New Mexico,1903,8.4,6.4,13.8,18.9,23.4,25.6,31.6,30.1,24.9,20.9,16.9,9.9,47.2,43.6,56.8,66.0,74.2,78.0,88.8,86.2,76.9,69.6,62.4,49.9
New Mexico,1904,8.1,14.8,17.1,21.0,24.4,27.8,29.8,28.6,25.1,18.4,14.5,7.4,46.5,58.6,62.8,69.8,76.0,82.0,85.6,83.4,77.2,65.2,58.1,45.4
New Mexico,1905,8.0,6.2,13.5,16.3,23.6,29.2,29.2,29.8,25.6,19.2,11.7,4.4,46.4,43.2,56.3,61.3,74.5,84.6,84.5,85.7,78.1,66.6,53.0,40.0
New Mexico,1906,7.8,10.6,14.2,18.3,24.4,30.2,28.1,27.2,25.3,19.4,10.8,10.3,46.1,51.0,57.5,64.9,76.0,86.3,82.6,81.0,77.5,67.0,51.4,50.5
New Mexico,1907,9.0,14.6,18.0,19.6,21.2,27.6,30.1,28.5,25.9,19.3,10.8,9.9,48.2,58.2,64.4,67.3,70.1,81.7,86.2,83.3,78.7,66.8,51.4,49.9
New Mexico,1908,9.6,10.2,17.2,18.9,22.9,29.6,28.7,27.5,25.9,19.2,12.9,8.8,49.2,50.4,63.0,66.0,73.3,85.2,83.7,81.5,78.7,66.6,55.2,47.8
New Mexico,1909,12.1,10.9,12.8,19.4,23.4,30.3,30.9,28.4,25.1,21.3,15.4,4.0,53.7,51.7,55.1,67.0,74.1,86.6,87.7,83.2,77.2,70.3,59.7,39.2
New Mexico,1910,9.3,10.3,19.1,20.8,25.6,30.7,32.2,30.1,27.7,21.2,15.8,10.4,48.7,50.5,66.4,69.4,78.1,87.2,89.9,86.1,81.8,70.2,60.5,50.8
New Mexico,1911,11.6,8.7,16.1,19.2,25.2,29.3,27.8,30.2,27.1,19.1,11.4,5.2,52.8,47.6,60.9,66.6,77.4,84.7,82.0,86.4,80.7,66.4,52.6,41.4
New Mexico,1912,9.3,10.3,12.9,16.7,24.6,28.1,30.2,28.8,24.2,19.1,13.9,5.9,48.7,50.6,55.2,62.1,76.3,82.6,86.4,83.8,75.5,66.4,57.0,42.6
New Mexico,1913,6.4,8.3,12.4,19.2,25.5,27.2,30.9,29.6,23.4,19.4,14.1,4.6,43.5,46.9,54.4,66.6,77.9,80.9,87.6,85.3,74.2,66.9,57.4,40.2
New Mexico,1914,10.4,10.9,15.2,19.7,23.8,28.7,27.9,29.0,26.7,19.5,15.3,4.9,50.7,51.6,59.4,67.4,74.9,83.6,82.3,84.2,80.0,67.1,59.6,40.9
New Mexico,1915,5.9,9.3,10.5,17.9,22.4,29.3,29.4,28.0,25.2,21.9,15.4,9.8,42.6,48.8,50.9,64.3,72.3,84.7,84.9,82.4,77.3,71.4,59.7,49.7
New Mexico,1916,8.6,13.6,17.7,18.9,25.1,30.8,30.1,27.8,25.6,19.4,13.9,8.3,47.4,56.4,63.8,66.0,77.1,87.4,86.2,82.0,78.1,67.0,57.1,47.0
New Mexico,1917,7.2,10.6,13.5,18.9,20.3,29.9,31.9,29.4,25.9,22.0,16.7,13.3,44.9,51.1,56.3,66.0,68.6,85.9,89.4,84.9,78.6,71.6,62.0,55.9
New Mexico,1918,6.3,12.7,16.2,18.1,23.9,30.6,30.4,29.0,25.7,20.9,10.6,4.9,43.4,54.9,61.2,64.5,75.0,87.1,86.8,84.2,78.2,69.6,51.1,40.9
New Mexico,1919,4.6,8.0,12.5,19.0,23.8,27.8,28.8,30.3,25.3,18.5,13.0,9.9,40.3,46.4,54.5,66.2,74.9,82.0,83.9,86.5,77.6,65.3,55.4,49.9
New Mexico,1920,8.7,11.6,13.3,16.4,24.1,28.0,30.9,27.8,26.2,19.8,13.1,8.7,47.7,52.8,56.0,61.6,75.4,82.4,87.7,82.0,79.1,67.6,55.6,47.7
New Mexico,1921,10.4,12.1,16.7,18.3,24.1,27.8,28.6,28.5,27.6,22.7,16.5,11.9,50.8,53.8,62.1,64.9,75.3,82.0,83.5,83.3,81.6,72.8,61.7,53.4
New Mexico,1922,7.5,11.1,13.7,17.9,25.0,30.3,31.8,31.2,27.7,21.5,11.8,11.1,45.5,51.9,56.6,64.3,77.0,86.5,89.2,88.2,81.8,70.7,53.3,52.0
New Mexico,1923,11.8,9.4,12.2,18.2,25.1,29.8,30.9,28.0,24.6,17.6,12.0,5.8,53.2,49.0,53.9,64.8,77.1,85.7,87.6,82.4,76.3,63.7,53.6,42.5
New Mexico,1924,7.2,11.9,10.9,18.3,24.2,32.5,30.0,30.9,27.2,21.6,15.9,6.6,45.0,53.4,51.6,65.0,75.6,90.5,86.0,87.7,80.9,70.8,60.7,43.9
New Mexico,1925,7.1,13.4,17.6,22.0,26.1,29.7,31.1,27.7,25.5,19.2,13.0,7.5,44.8,56.2,63.7,71.6,78.9,85.4,87.9,81.8,77.9,66.5,55.4,45.5
New Mexico,1926,5.7,13.3,12.7,16.9,22.8,29.6,29.6,30.4,26.8,21.4,14.3,7.2,42.2,55.9,54.9,62.5,73.0,85.2,85.3,86.7,80.2,70.5,57.8,45.0
New Mexico,1927,11.6,12.7,14.7,20.8,27.2,28.9,30.8,28.4,24.7,21.8,17.3,6.4,52.8,54.8,58.4,69.4,80.9,84.1,87.4,83.2,76.5,71.2,63.2,43.6
