state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
New York,1895,-2.9,-4.7,1.3,11.6,20.8,26.4,24.4,24.9,22.5,11.1,7.6,2.7,26.7,23.6,34.4,52.8,69.5,79.6,76.0,76.8,72.5,52.0,45.7,36.9
New York,1896,-3.9,-1.4,0.1,14.2,21.7,23.7,26.2,25.6,19.8,11.2,9.0,-0.4,25.0,29.5,32.2,57.5,71.0,74.7,79.1,78.0,67.7,52.2,48.2,31.2
New York,1897,-2.2,-0.6,4.3,12.4,18.2,21.6,26.8,23.4,21.1,16.2,5.9,0.9,28.1,31.0,39.8,54.4,64.7,70.9,80.2,74.2,70.0,61.2,42.7,33.6
New York,1898,-1.5,0.1,8.7,10.4,18.0,24.4,27.8,25.3,22.4,14.4,5.9,0.2,29.3,32.1,47.6,50.7,64.4,76.0,82.0,77.6,72.3,58.0,42.7,32.3
New York,1899,-1.6,-3.2,2.1,13.3,19.3,25.3,26.3,26.6,19.8,15.8,5.9,1.2,29.2,26.2,35.8,56.0,66.8,77.5,79.3,79.9,67.7,60.4,42.6,34.2
New York,1900,-0.7,-1.7,0.3,11.8,19.3,25.1,26.9,27.0,22.8,17.7,6.8,-0.3,30.7,28.9,32.5,53.3,66.7,77.2,80.5,80.6,73.0,63.8,44.3,31.5
New York,1901,-1.9,-5.6,2.9,11.6,17.9,25.0,27.9,25.1,21.1,14.6,2.9,-0.3,28.5,21.9,37.2,52.9,64.3,77.0,82.3,77.1,69.9,58.2,37.2,31.5
New York,1902,-2.9,-2.6,7.2,12.0,18.2,21.4,24.9,23.3,20.7,13.6,10.2,-1.4,26.8,27.4,45.0,53.6,64.8,70.6,76.8,74.0,69.3,56.5,50.4,29.4
New York,1903,-2.2,-0.1,9.0,12.0,21.7,20.9,24.8,21.2,21.6,14.2,4.4,-2.8,28.0,31.9,48.2,53.6,71.0,69.6,76.6,70.2,70.8,57.6,40.0,26.9
New York,1904,-5.8,-5.0,2.3,8.9,21.2,23.9,25.1,23.8,19.7,12.6,4.6,-3.6,21.5,23.0,36.2,48.0,70.1,75.0,77.2,74.8,67.5,54.6,40.2,25.5
New York,1905,-4.7,-4.6,4.3,11.3,18.7,23.1,25.8,23.9,20.7,14.8,5.2,1.7,23.6,23.8,39.8,52.3,65.7,73.6,78.5,75.0,69.2,58.6,41.4,35.1
New York,1906,2.2,-0.4,0.2,12.0,18.8,24.4,25.9,26.4,23.1,14.1,5.2,-1.6,35.9,31.3,32.4,53.6,65.8,75.9,78.6,79.5,73.6,57.3,41.4,29.2
New York,1907,-2.1,-4.3,5.9,8.6,15.7,22.8,25.7,24.2,20.2,11.8,5.2,1.6,28.3,24.2,42.6,47.4,60.2,73.0,78.3,75.6,68.3,53.2,41.3,34.8
New York,1908,-1.5,-3.2,4.6,11.2,19.5,25.2,27.4,24.6,23.9,16.6,6.7,0.1,29.3,26.3,40.3,52.1,67.1,77.4,81.3,76.3,75.1,61.8,44.0,32.2
New York,1909,-0.3,1.2,2.3,11.1,17.9,24.0,25.2,24.8,20.7,12.2,9.1,-2.4,31.4,34.2,36.1,51.9,64.2,75.2,77.4,76.7,69.2,53.9,48.4,27.7
