state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
North Dakota,1895,-14.0,-9.1,2.1,17.3,18.6,21.8,26.6,26.8,21.8,12.6,-1.9,-5.1,6.8,15.7,35.7,63.2,65.5,71.2,79.9,80.2,71.2,54.7,28.6,22.9
North Dakota,1896,-10.1,-4.0,-3.4,9.6,19.4,24.8,26.7,26.2,18.2,11.1,-10.6,-4.8,13.9,24.8,25.9,49.3,66.9,76.6,80.1,79.1,64.8,52.0,13.0,23.3
North Dakota,1897,-11.2,-8.4,-5.9,10.3,21.4,23.2,27.5,25.3,26.4,14.5,-1.6,-6.6,11.9,16.8,21.3,50.6,70.6,73.8,81.5,77.5,79.6,58.1,29.2,20.2
North Dakota,1898,-4.4,-3.6,-0.9,11.9,18.7,23.3,27.1,26.7,21.3,7.9,-0.6,-6.2,24.1,25.6,30.4,53.5,65.6,73.9,80.8,80.0,70.4,46.2,31.0,20.9
North Dakota,1899,-10.1,-13.2,-7.6,9.4,15.9,23.0,27.7,25.1,21.2,10.7,7.4,-5.9,13.8,8.2,18.4,48.9,60.7,73.4,81.8,77.2,70.2,51.2,45.4,21.4
North Dakota,1900,-3.3,-10.0,-0.4,17.3,23.9,27.3,27.8,27.6,18.1,14.4,-2.4,-3.6,26.1,14.0,31.2,63.2,75.1,81.2,82.1,81.6,64.6,58.0,27.7,25.5
North Dakota,1901,-8.2,-8.5,1.7,13.2,24.6,22.5,28.4,27.1,17.6,15.6,2.8,-6.7,17.2,16.7,35.1,55.8,76.2,72.5,83.2,80.7,63.7,60.1,37.1,20.0
North Dakota,1902,-6.0,-7.0,1.0,10.7,19.7,20.4,26.8,25.2,20.0,13.0,1.6,-9.0,21.2,19.4,33.8,51.3,67.5,68.8,80.3,77.4,68.0,55.4,34.9,15.8
North Dakota,1903,-6.7,-9.7,-0.4,12.8,19.1,24.0,26.3,23.7,16.7,14.9,1.0,-6.4,20.0,14.6,31.3,55.1,66.3,75.2,79.4,74.7,62.0,58.8,33.8,20.5
North Dakota,1904,-10.9,-13.1,-3.1,8.2,19.2,22.1,25.3,24.9,19.5,14.4,8.5,-4.9,12.4,8.4,26.4,46.7,66.5,71.7,77.6,76.9,67.1,57.9,47.3,23.2
North Dakota,1905,-12.1,-7.0,6.5,12.3,16.4,21.1,25.6,27.6,23.2,10.4,4.8,-4.9,10.2,19.4,43.7,54.1,61.6,70.0,78.0,81.6,73.7,50.7,40.7,23.2
North Dakota,1906,-6.4,-6.6,-2.3,15.9,16.8,22.7,26.9,25.8,24.6,14.2,0.6,-8.1,20.5,20.2,27.9,60.7,62.2,72.8,80.4,78.4,76.3,57.6,33.0,17.5
North Dakota,1907,-16.4,-6.3,1.3,5.8,14.2,23.1,25.7,25.9,18.2,14.6,4.8,-1.4,2.5,20.6,34.3,42.4,57.5,73.6,78.3,78.6,64.7,58.3,40.7,29.4
North Dakota,1908,-2.2,-5.7,-0.9,13.8,17.1,21.8,28.2,25.3,23.7,11.5,4.2,-5.2,28.1,21.7,30.3,56.8,62.7,71.3,82.8,77.6,74.7,52.7,39.6,22.6
North Dakota,1909,-10.7,-7.4,0.1,7.2,17.7,23.4,25.9,28.1,23.0,12.5,3.4,-11.4,12.8,18.6,32.1,45.0,63.9,74.1,78.6,82.6,73.4,54.5,38.2,11.4
North Dakota,1910,-7.9,-10.5,11.7,17.1,17.8,26.9,29.4,24.8,19.7,16.6,-0.6,-5.6,17.7,13.1,53.0,62.8,64.1,80.4,85.0,76.7,67.5,61.8,30.9,22.0
North Dakota,1911,-12.4,-7.8,5.8,12.0,20.7,26.2,26.7,23.3,19.1,11.0,-3.8,-6.0,9.6,18.0,42.4,53.6,69.2,79.2,80.0,74.0,66.3,51.8,25.2,21.2
