state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Oklahoma,1895,6.4,4.8,16.8,25.1,28.4,31.7,32.2,33.4,32.1,21.2,13.6,9.3,43.5,40.6,62.2,77.2,83.1,89.1,89.9,92.1,89.8,70.1,56.5,48.7
Oklahoma,1896,8.9,12.9,14.7,25.8,30.6,33.3,35.7,36.9,30.3,22.4,14.2,13.4,48.0,55.3,58.5,78.4,87.0,92.0,96.2,98.5,86.5,72.3,57.5,56.1
Oklahoma,1897,6.5,12.0,16.7,22.3,26.5,31.9,35.7,33.7,32.2,26.6,17.2,8.4,43.7,53.6,62.1,72.2,79.7,89.4,96.2,92.6,90.0,79.9,62.9,47.2
Oklahoma,1898,9.8,14.0,16.1,21.6,26.8,31.2,33.4,33.3,30.7,22.4,14.6,7.3,49.6,57.2,60.9,70.9,80.2,88.2,92.1,91.9,87.3,72.4,58.2,45.1
Oklahoma,1899,7.8,4.7,16.1,21.6,28.1,30.8,32.7,37.1,30.6,25.9,17.1,8.4,46.1,40.5,61.0,70.9,82.5,87.5,90.8,98.7,87.0,78.6,62.7,47.1
Oklahoma,1900,10.3,9.6,16.2,22.3,26.5,32.4,32.9,34.9,30.1,24.6,16.9,11.9,50.6,49.2,61.2,72.1,79.7,90.4,91.3,94.8,86.1,76.3,62.4,53.4
Oklahoma,1901,11.4,9.2,17.2,21.2,27.0,33.7,38.2,35.3,30.2,25.4,17.3,9.5,52.5,48.6,62.9,70.2,80.6,92.6,100.7,95.5,86.4,77.7,63.1,49.1
Oklahoma,1902,9.0,8.8,16.4,22.9,27.5,31.4,32.7,36.3,27.1,24.1,16.1,7.4,48.2,47.9,61.5,73.2,81.5,88.6,90.9,97.4,80.8,75.3,61.0,45.3
Oklahoma,1903,8.9,7.0,15.2,22.8,24.4,27.7,34.2,33.4,29.2,23.1,14.7,11.7,48.0,44.6,59.4,73.0,76.0,81.9,93.5,92.2,84.6,73.5,58.5,53.0
Oklahoma,1904,9.0,14.3,21.1,21.6,26.1,29.7,32.8,32.6,30.4,24.5,18.4,10.0,48.2,57.7,69.9,70.8,79.0,85.4,91.0,90.6,86.8,76.1,65.2,50.0
Oklahoma,1905,3.4,3.4,18.8,20.7,26.5,31.8,31.3,33.7,31.0,21.9,17.6,8.9,38.1,38.1,65.8,69.2,79.7,89.2,88.4,92.6,87.8,71.4,63.7,48.0
Oklahoma,1906,11.0,11.9,11.1,23.1,26.6,30.2,30.7,31.1,29.3,21.4,14.2,12.2,51.8,53.4,51.9,73.6,79.8,86.4,87.2,87.9,84.7,70.5,57.5,53.9
Oklahoma,1907,11.6,14.3,22.3,19.4,22.9,30.2,33.3,34.6,31.4,22.6,14.9,10.8,52.9,57.8,72.1,67.0,73.3,86.3,91.9,94.3,88.6,72.6,58.9,51.4
Oklahoma,1908,11.4,12.6,20.1,21.4,26.3,29.7,31.6,33.2,29.6,22.0,16.9,12.2,52.6,54.7,68.2,70.6,79.3,85.4,88.9,91.7,85.2,71.6,62.4,54.0
Oklahoma,1909,9.8,14.8,16.2,22.4,26.7,31.2,35.4,35.8,31.8,24.4,19.1,4.8,49.6,58.7,61.2,72.3,80.0,88.2,95.8,96.5,89.2,76.0,66.3,40.7
Oklahoma,1910,10.2,9.6,23.4,23.3,24.9,31.9,35.4,33.3,32.8,25.4,18.2,10.3,50.3,49.2,74.1,73.9,76.9,89.5,95.7,91.9,91.1,77.8,64.8,50.6
Oklahoma,1911,12.6,13.1,19.9,22.2,28.8,36.7,33.3,32.9,33.0,23.0,14.8,7.9,54.7,55.5,67.8,71.9,83.9,98.0,92.0,91.2,91.4,73.4,58.6,46.2
Oklahoma,1912,4.8,9.3,9.8,21.6,28.2,30.1,35.2,33.1,29.1,24.8,16.9,10.0,40.6,48.7,49.7,70.8,82.7,86.2,95.3,91.5,84.4,76.6,62.5,50.0
