state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Oregon,1895,0.9,4.3,7.4,13.7,16.4,21.5,24.5,25.1,16.9,16.9,6.7,2.7,33.7,39.8,45.3,56.6,61.5,70.7,76.1,77.1,62.4,62.4,44.0,36.9
Oregon,1896,4.3,7.4,7.9,8.6,12.8,21.8,28.1,24.7,19.9,15.7,3.7,5.0,39.7,45.3,46.3,47.4,55.0,71.2,82.6,76.5,67.9,60.2,38.6,41.0
Oregon,1897,2.2,3.8,3.0,14.3,19.9,19.4,23.5,27.4,19.1,14.8,6.7,3.3,36.0,38.9,37.4,57.8,67.8,66.9,74.3,81.3,66.4,58.6,44.1,38.0
Oregon,1898,1.1,6.6,6.9,14.2,15.8,21.0,26.4,27.3,21.6,13.4,5.9,0.9,33.9,43.8,44.5,57.5,60.5,69.8,79.6,81.1,70.8,56.1,42.7,33.7
Oregon,1899,3.7,2.4,5.7,10.4,12.8,20.2,26.4,21.0,23.0,11.9,9.1,3.0,38.6,36.3,42.2,50.8,55.0,68.4,79.6,69.8,73.4,53.5,48.4,37.4
Oregon,1900,5.4,4.8,11.5,12.4,17.0,22.6,25.8,22.4,19.0,13.1,7.9,5.4,41.8,40.7,52.7,54.3,62.6,72.7,78.5,72.4,66.2,55.6,46.2,41.8
Oregon,1901,2.6,3.3,8.2,11.0,17.3,18.7,25.7,27.6,17.9,17.1,9.6,4.2,36.6,37.9,46.8,51.8,63.2,65.6,78.2,81.6,64.2,62.7,49.2,39.6
Oregon,1902,2.4,5.9,6.3,11.1,15.3,20.9,24.1,25.8,21.9,16.1,6.2,3.4,36.4,42.6,43.4,51.9,59.6,69.7,75.4,78.4,71.5,61.0,43.1,38.1
Oregon,1903,3.8,2.4,7.6,11.1,16.8,22.3,23.8,25.1,20.3,16.3,7.2,3.7,38.8,36.4,45.7,51.9,62.3,72.2,74.9,77.2,68.5,61.3,45.0,38.6
Oregon,1904,3.4,3.9,5.1,13.8,18.0,21.9,25.3,27.5,22.6,15.9,10.6,4.0,38.2,39.1,41.2,56.9,64.4,71.5,77.5,81.5,72.7,60.7,51.1,39.2
