state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JanF,FebF,MarF,AprF,MayF,JunF,JulF,AugF,SepF,OctF,NovF,DecF
Pennsylvania,1895,-1.5,-3.1,4.8,14.1,21.9,27.8,26.0,27.5,25.0,13.7,9.5,4.3,29.3,26.4,40.6,57.3,71.4,82.0,78.8,81.5,77.0,56.7,49.1,39.7
Pennsylvania,1896,-0.3,1.4,3.0,16.6,23.9,24.8,27.1,26.6,22.2,12.9,11.3,2.1,31.4,34.6,37.4,61.9,75.0,76.6,80.8,79.9,71.9,55.3,52.4,35.7
Pennsylvania,1897,-0.9,1.8,7.7,14.5,19.5,23.7,27.6,25.1,24.0,17.7,8.3,3.2,30.3,35.3,45.9,58.1,67.1,74.6,81.7,77.2,75.2,63.9,46.9,37.8
Pennsylvania,1898,1.8,1.7,10.8,11.9,20.4,26.5,29.3,26.8,24.4,16.0,7.6,1.6,35.2,35.0,51.4,53.5,68.7,79.7,84.7,80.2,75.9,60.8,45.6,34.8
Pennsylvania,1899,0.6,-2.1,5.4,16.3,21.7,26.8,27.8,27.6,21.6,17.9,8.5,2.7,33.0,28.2,41.8,61.3,71.0,80.2,82.0,81.6,70.8,64.2,47.3,36.8
Pennsylvania,1900,1.4,0.4,3.3,14.4,22.1,26.1,28.7,29.3,25.4,19.3,8.9,2.1,34.6,32.8,37.9,57.9,71.7,79.0,83.7,84.8,77.7,66.7,48.0,35.8
Pennsylvania,1901,0.8,-2.7,6.6,12.3,19.7,26.3,29.4,26.6,22.6,16.9,5.0,1.7,33.5,27.1,43.8,54.2,67.4,79.3,85.0,79.8,72.6,62.4,41.0,35.0
Pennsylvania,1902,-0.4,-1.6,9.2,13.4,21.7,24.0,27.1,25.3,22.2,16.3,12.5,0.9,31.3,29.1,48.6,56.1,71.0,75.2,80.8,77.6,72.0,61.4,54.5,33.7
Pennsylvania,1903,-0.1,2.8,12.2,14.2,23.1,21.9,26.9,24.0,22.9,16.2,6.7,-0.8,31.8,37.1,53.9,57.6,73.6,71.4,80.4,75.2,73.2,61.2,44.1,30.6
Pennsylvania,1904,-3.2,-1.6,5.8,11.2,22.3,24.9,26.4,25.6,22.8,15.8,7.4,-0.7,26.3,29.1,42.4,52.2,72.1,76.9,79.6,78.1,73.1,60.5,45.4,30.8
Pennsylvania,1905,-2.1,-2.6,8.6,14.2,21.6,25.0,26.9,25.6,23.0,16.7,7.4,3.6,28.3,27.3,47.5,57.6,70.9,77.0,80.4,78.1,73.4,62.1,45.4,38.4
Pennsylvania,1906,4.7,2.3,2.6,15.7,21.6,25.9,27.0,27.2,24.8,14.9,8.7,1.7,40.4,36.1,36.6,60.2,70.8,78.7,80.6,81.0,76.6,58.9,47.7,35.1
Pennsylvania,1907,1.8,-1.0,9.9,10.7,18.2,22.8,27.0,25.3,22.2,14.0,6.9,3.0,35.3,30.2,49.8,51.3,64.7,73.0,80.6,77.5,71.9,57.2,44.5,37.4
Pennsylvania,1908,1.0,-0.4,8.8,14.9,20.8,26.4,28.7,26.2,25.4,18.0,8.9,2.6,33.8,31.2,47.9,58.9,69.4,79.6,83.7,79.1,77.8,64.4,48.1,36.6
Pennsylvania,1909,2.2,5.4,5.3,14.2,20.6,25.2,27.0,26.7,22.6,13.9,12.1,-0.3,36.0,41.7,41.6,57.6,69.1,77.4,80.6,80.0,72.6,57.0,53.7,31.4
Pennsylvania,1910,0.1,0.4,12.9,17.1,19.4,23.6,28.4,26.6,23.3,18.3,4.8,-1.4,32.1,32.8,55.2,62.7,66.9,74.4,83.2,79.8,73.9,64.9,40.6,29.4
Pennsylvania,1911,2.9,2.3,6.1,13.1,25.5,25.4,29.6,26.8,23.0,15.7,6.6,5.1,37.2,36.1,42.9,55.6,77.9,77.8,85.3,80.2,73.4,60.3,43.8,41.2
Pennsylvania,1912,-4.2,-0.8,4.8,15.3,22.1,24.5,27.1,24.2,23.2,17.9,9.7,4.7,24.4,30.5,40.6,59.6,71.8,76.1,80.7,75.5,73.7,64.2,49.5,40.5
Pennsylvania,1913,5.9,1.3,10.4,15.6,20.8,26.6,27.8,27.3,22.6,16.6,9.9,4.2,42.6,34.3,50.8,60.0,69.5,79.8,82.0,81.1,72.6,61.9,49.9,39.6
Pennsylvania,1914,1.3,-1.8,4.8,13.2,22.9,26.3,27.1,27.1,22.9,18.7,9.1,-0.2,34.4,28.8,40.6,55.8,73.2,79.4,80.7,80.7,73.2,65.6,48.3,31.7
Pennsylvania,1915,0.8,3.8,4.2,18.1,18.7,24.3,26.4,24.1,24.4,17.1,9.3,0.8,33.4,38.8,39.6,64.6,65.6,75.8,79.5,75.4,75.9,62.7,48.7,33.4
Pennsylvania,1916,4.8,-0.2,3.3,13.3,21.5,22.5,28.7,28.0,22.9,17.8,9.3,2.0,40.6,31.6,38.0,56.0,70.7,72.5,83.6,82.4,73.2,64.0,48.8,35.6
